uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
9aa61aa8-b877-4c4d-b211-bab60e6be86e,D16,ABBY,ABBY_002,ABBY_002.basePlot.bgc,2019-04-16T16:11:00Z,2019-04-16T16:11:00Z,ABBY_002-O-6-13.5-20190416,A00000059834,ABBY_002-O-6-13.5-20190416-SM,NEON.DOC.014048vL,O,2019-04-16T23:30:00Z,2019-04-23T00:00:00Z,2.14,7.17,3.55,2.567,0.28,NA,NA,0000-0002-2939-423X,NA,20251217T193752Z,RELEASE-2026,DP1.10086.001,ABBY,2019,sls_soilMoisture
10226b20-d384-4a9c-b524-7eed3855e83c,D16,ABBY,ABBY_002,ABBY_002.basePlot.bgc,2019-04-16T17:33:00Z,2019-04-16T17:33:00Z,ABBY_002-M-39-23-20190416,A00000059832,ABBY_002-M-39-23-20190416-SM,NEON.DOC.014048vL,M,2019-04-16T23:30:00Z,2019-04-23T00:00:00Z,2.13,12.19,8.37,0.612,0.62,NA,NA,0000-0002-2939-423X,NA,20251217T193752Z,RELEASE-2026,DP1.10086.001,ABBY,2019,sls_soilMoisture
c5d97251-bf6d-4014-a648-b2bebcdd4cd2,D16,ABBY,ABBY_004,ABBY_004.basePlot.bgc,2019-04-16T19:24:00Z,2019-04-16T19:24:00Z,ABBY_004-M-32.5-11.5-20190416,A00000059835,ABBY_004-M-32.5-11.5-20190416-SM,NEON.DOC.014048vL,M,2019-04-16T23:30:00Z,2019-04-23T00:00:00Z,2.15,12.17,8.32,0.624,0.616,NA,NA,0000-0002-2939-423X,NA,20251217T193752Z,RELEASE-2026,DP1.10086.001,ABBY,2019,sls_soilMoisture
5e0bf414-6803-4091-924d-c81caf2426e4,D16,ABBY,ABBY_004,ABBY_004.basePlot.bgc,2019-04-16T19:52:00Z,2019-04-16T19:52:00Z,ABBY_004-M-31-34-20190416,A00000059836,ABBY_004-M-31-34-20190416-SM,NEON.DOC.014048vL,M,2019-04-16T23:30:00Z,2019-04-23T00:00:00Z,2.16,12.19,9.06,0.454,0.688,NA,NA,0000-0002-2939-423X,NA,20251217T193752Z,RELEASE-2026,DP1.10086.001,ABBY,2019,sls_soilMoisture
a81c75a5-91ae-4a39-a734-e3f27a0574b9,D16,ABBY,ABBY_004,ABBY_004.basePlot.bgc,2019-04-16T20:28:00Z,2019-04-16T20:28:00Z,ABBY_004-M-3.5-30-20190416,A00000059837,ABBY_004-M-3.5-30-20190416-SM,NEON.DOC.014048vL,M,2019-04-16T23:30:00Z,2019-04-23T00:00:00Z,2.15,12.14,8.48,0.578,0.634,NA,NA,0000-0002-2939-423X,NA,20251217T193752Z,RELEASE-2026,DP1.10086.001,ABBY,2019,sls_soilMoisture
46d9865d-b235-44af-b48d-a6a4508ebff4,D16,ABBY,ABBY_061,ABBY_061.basePlot.bgc,2019-04-17T15:48:00Z,2019-04-17T15:48:00Z,ABBY_061-M-9-5-20190417,A00000059828,ABBY_061-M-9-5-20190417-SM,NEON.DOC.014048vL,M,2019-04-19T15:50:00Z,2019-04-23T00:00:00Z,2.2,12.25,8.9,0.5,0.667,NA,NA,0000-0002-2939-423X,NA,20251217T193752Z,RELEASE-2026,DP1.10086.001,ABBY,2019,sls_soilMoisture
bb00146f-08c6-44ad-85c8-b6d637495bc2,D16,ABBY,ABBY_061,ABBY_061.basePlot.bgc,2019-04-17T16:14:00Z,2019-04-17T16:14:00Z,ABBY_061-M-35-2-20190417,A00000059826,ABBY_061-M-35-2-20190417-SM,NEON.DOC.014048vL,M,2019-04-19T15:50:00Z,2019-04-23T00:00:00Z,2.14,12.1,7.44,0.879,0.532,NA,NA,0000-0002-2939-423X,NA,20251217T193752Z,RELEASE-2026,DP1.10086.001,ABBY,2019,sls_soilMoisture
9043cacd-a37c-4b4c-9b95-5fc80dec183e,D16,ABBY,ABBY_061,ABBY_061.basePlot.bgc,2019-04-17T16:39:00Z,2019-04-17T16:39:00Z,ABBY_061-M-32-36-20190417,A00000059827,ABBY_061-M-32-36-20190417-SM,NEON.DOC.014048vL,M,2019-04-19T15:50:00Z,2019-04-23T00:00:00Z,2.19,12.18,9.02,0.463,0.684,NA,NA,0000-0002-2939-423X,NA,20251217T193752Z,RELEASE-2026,DP1.10086.001,ABBY,2019,sls_soilMoisture
b9306f27-3586-4f81-b4cf-c722b9e1f353,D16,ABBY,ABBY_070,ABBY_070.basePlot.bgc,2019-04-17T17:41:00Z,2019-04-17T17:41:00Z,ABBY_070-M-37-2-20190417,A00000059819,ABBY_070-M-37-2-20190417-SM,NEON.DOC.014048vL,M,2019-04-19T15:50:00Z,2019-04-23T00:00:00Z,2.17,12.12,8.87,0.485,0.673,NA,NA,0000-0002-2939-423X,NA,20251217T193752Z,RELEASE-2026,DP1.10086.001,ABBY,2019,sls_soilMoisture
6a09aa8f-fa4b-4278-b7e2-2ab5a734ec50,D16,ABBY,ABBY_070,ABBY_070.basePlot.bgc,2019-04-17T18:05:00Z,2019-04-17T18:05:00Z,ABBY_070-M-39.5-29-20190417,A00000059820,ABBY_070-M-39.5-29-20190417-SM,NEON.DOC.014048vL,M,2019-04-19T15:50:00Z,2019-04-23T00:00:00Z,2.15,12.17,8.1,0.684,0.594,NA,NA,0000-0002-2939-423X,NA,20251217T193752Z,RELEASE-2026,DP1.10086.001,ABBY,2019,sls_soilMoisture
