uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,processedDate,sampleID,sampleCode,pHSampleID,samplingProtocolVersion,horizon,soilInWaterpH,soilInCaClpH,pHSoilInWaterMass,pHWaterVol,waterpHRatio,pHSoilInCaClMass,pHCaClVol,caclpHRatio,pHRemarks,pHMeasuredBy,pHDataQF,publicationDate,release,dpID,site_download,year_download,source_table
553a4364-4da5-47c3-b001-f4ec413b9618,D16,ABBY,ABBY_063,ABBY_063.basePlot.bgc,2023-05-01T17:50:00Z,2023-05-01T17:50:00Z,2023-06-19,ABBY_063-M-39-20230501,A00000426842,ABBY_063-M-39-20230501-PH,NEON.DOC.014048vO,M,4.92,4.49,10.2,10,1,10.2,20,2,NA,0000-0003-1989-8722,NA,20251217T193806Z,RELEASE-2026,DP1.10086.001,ABBY,2023,sls_soilpH
48fe10b5-6153-46c2-a56a-ec14d3577191,D16,ABBY,ABBY_063,ABBY_063.basePlot.bgc,2023-05-01T18:21:00Z,2023-05-01T18:21:00Z,2023-06-19,ABBY_063-M-23-20230501,A00000426810,ABBY_063-M-23-20230501-PH,NEON.DOC.014048vO,M,5.49,4.68,10.1,10,1,10.1,20,2,NA,0000-0003-1989-8722,NA,20251217T193806Z,RELEASE-2026,DP1.10086.001,ABBY,2023,sls_soilpH
bcb8f9cc-e5e7-49d5-9a11-3b240928ee9d,D16,ABBY,ABBY_063,ABBY_063.basePlot.bgc,2023-05-01T18:25:00Z,2023-05-01T18:25:00Z,2023-06-19,ABBY_063-M-41-20230501,A00000426826,ABBY_063-M-41-20230501-PH,NEON.DOC.014048vO,M,5.31,4.48,10,20,2,10,40,4,NA,0000-0003-1989-8722,NA,20251217T193806Z,RELEASE-2026,DP1.10086.001,ABBY,2023,sls_soilpH
e6edd38b-df61-475f-b376-1b1c2f489e08,D16,ABBY,ABBY_061,ABBY_061.basePlot.bgc,2023-05-01T19:26:00Z,2023-05-01T19:26:00Z,2023-06-19,ABBY_061-M-21-20230501,A00000426876,ABBY_061-M-21-20230501-PH,NEON.DOC.014048vO,M,5.32,4.58,10,10,1,10,20,2,NA,0000-0003-1989-8722,NA,20251217T193806Z,RELEASE-2026,DP1.10086.001,ABBY,2023,sls_soilpH
d8274e75-9dae-45e5-81a6-f4cf681c8678,D16,ABBY,ABBY_070,ABBY_070.basePlot.bgc,2023-05-01T19:48:00Z,2023-05-01T19:48:00Z,2023-06-19,ABBY_070-M-23-20230501,A00000426857,ABBY_070-M-23-20230501-PH,NEON.DOC.014048vO,M,5.28,4.42,10.1,10,1,10.1,20,2,NA,0000-0003-1989-8722,NA,20251217T193806Z,RELEASE-2026,DP1.10086.001,ABBY,2023,sls_soilpH
fa35b5d9-53a6-460e-972b-fed2b740e2c8,D16,ABBY,ABBY_061,ABBY_061.basePlot.bgc,2023-05-01T19:54:00Z,2023-05-01T19:54:00Z,2023-06-19,ABBY_061-M-39-20230501,A00000426860,ABBY_061-M-39-20230501-PH,NEON.DOC.014048vO,M,5.16,4.53,10.3,10,1,10.3,20,1.9,NA,0000-0003-1989-8722,NA,20251217T193806Z,RELEASE-2026,DP1.10086.001,ABBY,2023,sls_soilpH
36bceea5-80ba-4f02-858b-46fbc4bc46dd,D16,ABBY,ABBY_070,ABBY_070.basePlot.bgc,2023-05-01T20:28:00Z,2023-05-01T20:28:00Z,2023-06-19,ABBY_070-M-41-20230501,A00000426798,ABBY_070-M-41-20230501-PH,NEON.DOC.014048vO,M,5.27,4.52,10,10,1,10,20,2,NA,0000-0003-1989-8722,NA,20251217T193806Z,RELEASE-2026,DP1.10086.001,ABBY,2023,sls_soilpH
5cdeefb4-d05f-42aa-a121-7602b1da8617,D16,ABBY,ABBY_061,ABBY_061.basePlot.bgc,2023-05-01T20:29:00Z,2023-05-01T20:29:00Z,2023-06-19,ABBY_061-M-23-20230501,A00000426875,ABBY_061-M-23-20230501-PH,NEON.DOC.014048vO,M,5.45,4.64,10,10,1,10,20,2,NA,0000-0003-1989-8722,NA,20251217T193806Z,RELEASE-2026,DP1.10086.001,ABBY,2023,sls_soilpH
a8381189-377a-4555-a0bb-2fbc69a10014,D16,ABBY,ABBY_070,ABBY_070.basePlot.bgc,2023-05-01T21:02:00Z,2023-05-01T21:02:00Z,2023-06-19,ABBY_070-M-39-20230501,A00000426873,ABBY_070-M-39-20230501-PH,NEON.DOC.014048vO,M,5.2,4.45,10,10,1,10,20,2,NA,0000-0003-1989-8722,NA,20251217T193806Z,RELEASE-2026,DP1.10086.001,ABBY,2023,sls_soilpH
b91ef107-8c3d-4019-bc77-c7048786f2fd,D16,ABBY,ABBY_062,ABBY_062.basePlot.bgc,2023-05-02T17:06:00Z,2023-05-02T17:06:00Z,2023-06-19,ABBY_062-M-41-20230502,A00000426874,ABBY_062-M-41-20230502-PH,NEON.DOC.014048vO,M,4.92,4.12,10,20,2,10,40,4,NA,0000-0003-1989-8722,NA,20251217T193806Z,RELEASE-2026,DP1.10086.001,ABBY,2023,sls_soilpH
