uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
e639f10f-002f-409b-bdfd-36d464586d3d,D18,BARR,BARR_054,BARR_054.basePlot.bgc,2019-08-13T20:25:00Z,2019-08-13T20:25:00Z,BARR_054-O-30-6.5-20190813,NA,BARR_054-O-30-6.5-20190813-SM,NEON.DOC.014048vL,O,2019-08-15T21:54:00Z,2019-08-19T23:03:00Z,2.21,7.22,3.48,2.945,0.253,NA,NA,0000-0002-4754-3665,NA,20251217T193745Z,RELEASE-2026,DP1.10086.001,BARR,2019,sls_soilMoisture
4c6d4ca5-8f9f-4b0a-8e63-bf5a6848013e,D18,BARR,BARR_054,BARR_054.basePlot.bgc,2019-08-13T20:40:00Z,2019-08-13T20:40:00Z,BARR_054-O-4-24.5-20190813,NA,BARR_054-O-4-24.5-20190813-SM,NEON.DOC.014048vL,O,2019-08-15T21:54:00Z,2019-08-19T23:03:00Z,2.23,7.21,2.89,6.545,0.133,NA,NA,0000-0002-4754-3665,NA,20251217T193745Z,RELEASE-2026,DP1.10086.001,BARR,2019,sls_soilMoisture
ee16523f-fd98-4983-b18d-f359374d03c1,D18,BARR,BARR_054,BARR_054.basePlot.bgc,2019-08-13T21:15:00Z,2019-08-13T21:15:00Z,BARR_054-O-30.5-32.5-20190813,NA,BARR_054-O-30.5-32.5-20190813-SM,NEON.DOC.014048vL,O,2019-08-15T21:54:00Z,2019-08-19T23:02:00Z,2.32,7.33,3.36,3.817,0.208,NA,NA,0000-0002-4754-3665,NA,20251217T193745Z,RELEASE-2026,DP1.10086.001,BARR,2019,sls_soilMoisture
7699cb1e-addb-410b-8e34-f1062a8b2652,D18,BARR,BARR_052,BARR_052.basePlot.bgc,2019-08-13T22:31:00Z,2019-08-13T22:31:00Z,BARR_052-O-38.5-0-20190813,NA,BARR_052-O-38.5-0-20190813-SM,NEON.DOC.014048vL,O,2019-08-15T21:42:00Z,2019-08-19T23:00:00Z,2.25,7.24,3.21,4.198,0.192,NA,NA,0000-0002-4754-3665,NA,20251217T193745Z,RELEASE-2026,DP1.10086.001,BARR,2019,sls_soilMoisture
ecdb8c6a-d8f2-4f91-88db-0659da708196,D18,BARR,BARR_052,BARR_052.basePlot.bgc,2019-08-13T22:39:00Z,2019-08-13T22:39:00Z,BARR_052-O-7-3.5-20190813,NA,BARR_052-O-7-3.5-20190813-SM,NEON.DOC.014048vL,O,2019-08-15T21:42:00Z,2019-08-19T23:00:00Z,2.27,7.28,2.74,9.66,0.094,NA,NA,0000-0002-4754-3665,NA,20251217T193745Z,RELEASE-2026,DP1.10086.001,BARR,2019,sls_soilMoisture
f245edda-6c9d-4455-bfa7-518e11d006cf,D18,BARR,BARR_052,BARR_052.basePlot.bgc,2019-08-13T23:11:00Z,2019-08-13T23:11:00Z,BARR_052-O-31.5-36-20190813,NA,BARR_052-O-31.5-36-20190813-SM,NEON.DOC.014048vL,O,2019-08-15T21:42:00Z,2019-08-19T22:59:00Z,2.24,7.24,4.06,1.747,0.364,NA,NA,0000-0002-4754-3665,NA,20251217T193745Z,RELEASE-2026,DP1.10086.001,BARR,2019,sls_soilMoisture
50e85856-b51e-4ecd-89b1-fc73df30840e,D18,BARR,BARR_051,BARR_051.basePlot.bgc,2019-08-14T01:15:00Z,2019-08-14T01:15:00Z,BARR_051-O-1-13.5-20190813,NA,BARR_051-O-1-13.5-20190813-SM,NEON.DOC.014048vL,O,2019-08-15T21:42:00Z,2019-08-19T22:59:00Z,2.29,7.32,3.48,3.227,0.237,NA,NA,0000-0002-4754-3665,NA,20251217T193745Z,RELEASE-2026,DP1.10086.001,BARR,2019,sls_soilMoisture
bd7b665c-b3f1-404f-bd80-cf9f33aa1248,D18,BARR,BARR_053,BARR_053.basePlot.bgc,2019-08-14T01:20:00Z,2019-08-14T01:20:00Z,BARR_053-O-2-12-20190813,NA,BARR_053-O-2-12-20190813-SM,NEON.DOC.014048vL,O,2019-08-15T21:54:00Z,2019-08-19T23:01:00Z,2.29,7.3,3.61,2.795,0.263,NA,NA,0000-0002-4754-3665,NA,20251217T193745Z,RELEASE-2026,DP1.10086.001,BARR,2019,sls_soilMoisture
286b510e-608b-44f5-943f-48f072f1a94f,D18,BARR,BARR_051,BARR_051.basePlot.bgc,2019-08-14T01:35:00Z,2019-08-14T01:35:00Z,BARR_051-O-27-37.5-20190813,NA,BARR_051-O-27-37.5-20190813-SM,NEON.DOC.014048vL,O,2019-08-15T21:42:00Z,2019-08-19T22:58:00Z,2.27,7.28,3.58,2.824,0.261,NA,NA,0000-0002-3121-1658,NA,20251217T193745Z,RELEASE-2026,DP1.10086.001,BARR,2019,sls_soilMoisture
5067a0f5-ca84-4ee9-b1b5-0c74c98d78a5,D18,BARR,BARR_053,BARR_053.basePlot.bgc,2019-08-14T01:50:00Z,2019-08-14T01:50:00Z,BARR_053-O-39.5-0-20190813,NA,BARR_053-O-39.5-0-20190813-SM,NEON.DOC.014048vL,O,2019-08-15T21:54:00Z,2019-08-19T23:02:00Z,2.28,7.29,3.04,5.592,0.152,NA,NA,0000-0002-4754-3665,NA,20251217T193745Z,RELEASE-2026,DP1.10086.001,BARR,2019,sls_soilMoisture
