uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,processedDate,sampleID,sampleCode,pHSampleID,samplingProtocolVersion,horizon,soilInWaterpH,soilInCaClpH,pHSoilInWaterMass,pHWaterVol,waterpHRatio,pHSoilInCaClMass,pHCaClVol,caclpHRatio,pHRemarks,pHMeasuredBy,pHDataQF,publicationDate,release,dpID,site_download,year_download,source_table
027b69c1-3097-4014-a142-99bfc67103ab,D01,BART,BART_036,BART_036.basePlot.bgc,2024-05-06T16:57:00Z,2024-05-06T16:57:00Z,2024-05-23,BART_036-O-41-20240506,A00000160735,BART_036-O-41-20240506-PH,NEON.DOC.014048vP,O,3.5,2.85,2.6,20,7.8,2.6,40,15.6,NA,0000-0003-3463-8507,NA,20251217T193852Z,RELEASE-2026,DP1.10086.001,BART,2024,sls_soilpH
279cac71-a712-4858-abda-e91bfb04b519,D01,BART,BART_036,BART_036.basePlot.bgc,2024-05-06T17:34:00Z,2024-05-06T17:34:00Z,2024-05-23,BART_036-M-23-20240506,A00000160736,BART_036-M-23-20240506-PH,NEON.DOC.014048vP,M,3.61,3.1,10.1,20,2,10.1,40,4,NA,0000-0003-3463-8507,NA,20251217T193852Z,RELEASE-2026,DP1.10086.001,BART,2024,sls_soilpH
2da2a8fd-92cc-4ada-891e-299b7c2fa764,D01,BART,BART_042,BART_042.basePlot.bgc,2024-05-06T18:20:00Z,2024-05-06T18:20:00Z,2024-05-23,BART_042-O-41-20240506,A00000160743,BART_042-O-41-20240506-PH,NEON.DOC.014048vP,O,4.58,4.02,2.5,20,7.9,2.5,40,15.9,NA,0000-0003-3463-8507,NA,20251217T193852Z,RELEASE-2026,DP1.10086.001,BART,2024,sls_soilpH
b902c151-3a8c-4c39-927b-32d9acfc54bd,D01,BART,BART_042,BART_042.basePlot.bgc,2024-05-06T18:54:00Z,2024-05-06T18:54:00Z,2024-05-22,BART_042-O-23-20240506,A00000160741,BART_042-O-23-20240506-PH,NEON.DOC.014048vP,O,4.21,3.59,2.6,20,7.8,2.6,40,15.6,NA,0000-0003-3463-8507,NA,20251217T193852Z,RELEASE-2026,DP1.10086.001,BART,2024,sls_soilpH
581611f8-f93e-48da-b7f1-21ca56258701,D01,BART,BART_042,BART_042.basePlot.bgc,2024-05-06T20:18:00Z,2024-05-06T20:18:00Z,2024-05-22,BART_042-O-21-20240506,A00000160742,BART_042-O-21-20240506-PH,NEON.DOC.014048vP,O,4.43,3.8,2.5,20,8,2.5,40,16.1,NA,0000-0003-3463-8507,NA,20251217T193852Z,RELEASE-2026,DP1.10086.001,BART,2024,sls_soilpH
f14d69ff-f45c-4080-aa49-5a84b91ea335,D01,BART,BART_036,BART_036.basePlot.bgc,2024-05-06T20:50:00Z,2024-05-06T20:50:00Z,2024-05-23,BART_036-O-21-20240506,A00000160737,BART_036-O-21-20240506-PH,NEON.DOC.014048vP,O,3.45,2.79,2.6,20,7.8,2.6,40,15.7,NA,0000-0003-3463-8507,NA,20251217T193852Z,RELEASE-2026,DP1.10086.001,BART,2024,sls_soilpH
a3d63cca-c5b3-4a84-8ad2-63dbdf7270a6,D01,BART,BART_040,BART_040.basePlot.bgc,2024-05-07T12:02:00Z,2024-05-07T12:02:00Z,2024-05-23,BART_040-O-41-20240507,A00000160738,BART_040-O-41-20240507-PH,NEON.DOC.014048vP,O,3.83,3.2,2.6,20,7.8,2.6,40,15.5,NA,0000-0003-3463-8507,NA,20251217T193852Z,RELEASE-2026,DP1.10086.001,BART,2024,sls_soilpH
194ed67c-36d1-434d-8c8a-9f4962e13f5c,D01,BART,BART_040,BART_040.basePlot.bgc,2024-05-07T12:34:00Z,2024-05-07T12:34:00Z,2024-05-22,BART_040-O-39-20240507,A00000160740,BART_040-O-39-20240507-PH,NEON.DOC.014048vP,O,5.62,4.48,2.5,20,7.9,2.5,40,15.7,NA,0000-0003-3463-8507,NA,20251217T193852Z,RELEASE-2026,DP1.10086.001,BART,2024,sls_soilpH
128b561b-30df-4c45-b3ca-1b7d64a55377,D01,BART,BART_040,BART_040.basePlot.bgc,2024-05-07T13:07:00Z,2024-05-07T13:07:00Z,2024-05-23,BART_040-O-21-20240507,A00000160739,BART_040-O-21-20240507-PH,NEON.DOC.014048vP,O,5.21,4.53,2.5,20,7.9,2.5,40,15.7,NA,0000-0003-3463-8507,NA,20251217T193852Z,RELEASE-2026,DP1.10086.001,BART,2024,sls_soilpH
b4d342c3-f60e-42dc-af19-51659046b1d3,D01,BART,BART_071,BART_071.basePlot.bgc,2024-05-07T13:44:00Z,2024-05-07T13:44:00Z,2024-05-22,BART_071-O-39-20240507,A00000160744,BART_071-O-39-20240507-PH,NEON.DOC.014048vP,O,4.09,3.24,2.5,20,8,2.5,40,15.9,NA,0000-0003-3463-8507,NA,20251217T193852Z,RELEASE-2026,DP1.10086.001,BART,2024,sls_soilpH
