uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
2f4374ca-3750-4e32-9b32-f0cfe279b169,D19,BONA,BONA_070,BONA_070.basePlot.bgc,2021-07-06T19:10:00Z,2021-07-06T19:10:00Z,BONA_070-O-3.5-16.5-20210706,A00000307542,BONA_070-O-3.5-16.5-20210706-SM,NEON.DOC.014048vN,O,2021-07-07T02:05:00Z,2021-07-12T16:42:00Z,2.26,7.26,2.96,6.143,0.14,NA,NA,0000-0002-2117-4697,NA,20251217T194016Z,RELEASE-2026,DP1.10086.001,BONA,2021,sls_soilMoisture
0a3a7bea-5e43-4879-8d04-a0456e78d005,D19,BONA,BONA_070,BONA_070.basePlot.bgc,2021-07-06T19:20:00Z,2021-07-06T19:20:00Z,BONA_070-O-33-3.5-20210706,A00000307510,BONA_070-O-33-3.5-20210706-SM,NEON.DOC.014048vN,O,2021-07-07T02:05:00Z,2021-07-12T16:42:00Z,2.28,7.28,2.62,13.706,0.068,NA,NA,0000-0002-2117-4697,NA,20251217T194016Z,RELEASE-2026,DP1.10086.001,BONA,2021,sls_soilMoisture
e1382975-4e19-487e-8662-259cbb1efe45,D19,BONA,BONA_070,BONA_070.basePlot.bgc,2021-07-06T19:44:00Z,2021-07-06T19:44:00Z,BONA_070-O-33.5-26.5-20210706,A00000307526,BONA_070-O-33.5-26.5-20210706-SM,NEON.DOC.014048vN,O,2021-07-07T02:05:00Z,2021-07-12T16:42:00Z,2.15,7.15,3.5,2.704,0.27,NA,NA,0000-0002-2117-4697,NA,20251217T194016Z,RELEASE-2026,DP1.10086.001,BONA,2021,sls_soilMoisture
ad45b90f-5818-4b8e-a58e-a6334ca08b71,D19,BONA,BONA_071,BONA_071.basePlot.bgc,2021-07-06T20:14:00Z,2021-07-06T20:14:00Z,BONA_071-O-4.5-10.5-20210706,A00000307525,BONA_071-O-4.5-10.5-20210706-SM,NEON.DOC.014048vN,O,2021-07-07T02:05:00Z,2021-07-12T16:42:00Z,2.33,7.33,5.01,0.866,0.536,NA,NA,0000-0002-2117-4697,NA,20251217T194016Z,RELEASE-2026,DP1.10086.001,BONA,2021,sls_soilMoisture
1677d704-a9d5-42aa-aac7-b2934df95fde,D19,BONA,BONA_071,BONA_071.basePlot.bgc,2021-07-06T20:24:00Z,2021-07-06T20:24:00Z,BONA_071-O-23.5-0-20210706,A00000307493,BONA_071-O-23.5-0-20210706-SM,NEON.DOC.014048vN,O,2021-07-07T00:36:00Z,2021-07-12T16:42:00Z,2.29,7.29,4.85,0.953,0.512,NA,NA,0000-0002-2117-4697,NA,20251217T194016Z,RELEASE-2026,DP1.10086.001,BONA,2021,sls_soilMoisture
74e4703d-b551-479f-b34a-5e86f27481fa,D19,BONA,BONA_071,BONA_071.basePlot.bgc,2021-07-06T20:43:00Z,2021-07-06T20:43:00Z,BONA_071-O-37.5-38.5-20210706,A00000307509,BONA_071-O-37.5-38.5-20210706-SM,NEON.DOC.014048vN,O,2021-07-07T02:05:00Z,2021-07-12T16:42:00Z,2.3,7.3,4.89,0.931,0.518,NA,NA,0000-0002-2117-4697,NA,20251217T194016Z,RELEASE-2026,DP1.10086.001,BONA,2021,sls_soilMoisture
3e0733c0-b7b9-4b7d-81ac-e0e603e92323,D19,BONA,BONA_080,BONA_080.basePlot.bgc,2021-07-06T21:25:00Z,2021-07-06T21:25:00Z,BONA_080-O-8.5-16-20210706,A00000307541,BONA_080-O-8.5-16-20210706-SM,NEON.DOC.014048vN,O,2021-07-07T00:36:00Z,2021-07-12T16:42:00Z,2.15,7.15,4.15,1.5,0.4,NA,NA,0000-0002-2117-4697,NA,20251217T194016Z,RELEASE-2026,DP1.10086.001,BONA,2021,sls_soilMoisture
5752cde1-b52c-46c6-b730-edbfe5dd13d9,D19,BONA,BONA_080,BONA_080.basePlot.bgc,2021-07-06T21:35:00Z,2021-07-06T21:35:00Z,BONA_080-O-21-34.5-20210706,A00000307492,BONA_080-O-21-34.5-20210706-SM,NEON.DOC.014048vN,O,2021-07-07T00:36:00Z,2021-07-12T16:42:00Z,2.21,7.21,4.43,1.252,0.444,NA,NA,0000-0002-2117-4697,NA,20251217T194016Z,RELEASE-2026,DP1.10086.001,BONA,2021,sls_soilMoisture
d60434b6-f3d7-43fb-baf2-d44e0076d51f,D19,BONA,BONA_080,BONA_080.basePlot.bgc,2021-07-06T21:54:00Z,2021-07-06T21:54:00Z,BONA_080-O-3.5-31.5-20210706,A00000307508,BONA_080-O-3.5-31.5-20210706-SM,NEON.DOC.014048vN,O,2021-07-07T00:36:00Z,2021-07-12T16:42:00Z,2.24,7.24,5.08,0.761,0.568,NA,NA,0000-0002-2117-4697,NA,20251217T194016Z,RELEASE-2026,DP1.10086.001,BONA,2021,sls_soilMoisture
9b2eb4f5-14b3-4e1b-975f-f26373e50bd1,D19,BONA,BONA_084,BONA_084.basePlot.bgc,2021-07-06T22:14:00Z,2021-07-06T22:14:00Z,BONA_084-O-3-33.5-20210706,A00000307540,BONA_084-O-3-33.5-20210706-SM,NEON.DOC.014048vN,O,2021-07-07T00:36:00Z,2021-07-12T16:42:00Z,2.28,7.28,5.71,0.458,0.686,NA,NA,0000-0002-2117-4697,NA,20251217T194016Z,RELEASE-2026,DP1.10086.001,BONA,2021,sls_soilMoisture
b2630c5b-5eab-47b2-8ed3-a0d5873ab4f5,D19,BONA,BONA_084,BONA_084.basePlot.bgc,2021-07-06T22:46:00Z,2021-07-06T22:46:00Z,BONA_084-O-39.5-23.5-20210706,A00000307491,BONA_084-O-39.5-23.5-20210706-SM,NEON.DOC.014048vN,O,2021-07-07T00:36:00Z,2021-07-12T16:42:00Z,2.19,7.19,5.1,0.718,0.582,NA,NA,0000-0002-2117-4697,NA,20251217T194016Z,RELEASE-2026,DP1.10086.001,BONA,2021,sls_soilMoisture
262e6870-99b3-4bf2-b84b-3a5fbe7b5a0f,D19,BONA,BONA_084,BONA_084.basePlot.bgc,2021-07-06T22:50:00Z,2021-07-06T22:50:00Z,BONA_084-O-39.5-14-20210706,A00000307524,BONA_084-O-39.5-14-20210706-SM,NEON.DOC.014048vN,O,2021-07-07T00:36:00Z,2021-07-12T16:42:00Z,2.28,7.28,4.73,1.041,0.49,NA,NA,0000-0002-2117-4697,NA,20251217T194016Z,RELEASE-2026,DP1.10086.001,BONA,2021,sls_soilMoisture
d385f951-0425-423b-b787-3c233f686767,D19,BONA,BONA_009,BONA_009.basePlot.bgc,2021-07-07T19:44:00Z,2021-07-07T19:44:00Z,BONA_009-O-13-37.5-20210707,A00000307544,BONA_009-O-13-37.5-20210707-SM,NEON.DOC.014048vN,O,2021-07-08T02:05:00Z,2021-07-12T16:42:00Z,2.32,7.32,4.69,1.11,0.474,NA,NA,0000-0003-2154-5213,NA,20251217T194016Z,RELEASE-2026,DP1.10086.001,BONA,2021,sls_soilMoisture
