uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,sampleID,sampleCode,cnSampleID,cnSampleCode,sampleType,acidTreatment,co2Trapped,d15N,organicd13C,nitrogenPercent,organicCPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
b04e39d9-3b12-4f49-b202-c68013db9acf,2024-12-16,BONA_071.basePlot.bgc,D19,BONA,BONA_071,tower,2024-07-08T19:37:00Z,2024-07-08T19:37:00Z,BONA_071-M-41-20240708,A00000431340,BONA_071-M-41-20240708-CN,A00000433436,soil,N,N,4.7,-26.2,0.22,4.36,19.6,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Thermo IsoLink Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilChemistry
b2c7ab56-28f5-4b01-a351-92646af59db1,2024-12-16,BONA_071.basePlot.bgc,D19,BONA,BONA_071,tower,2024-07-08T19:37:00Z,2024-07-08T19:37:00Z,BONA_071-M-21-20240708,A00000431339,BONA_071-M-21-20240708-CN,A00000433425,soil,N,N,4.2,-26.2,0.56,12.55,22.4,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Thermo IsoLink Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilChemistry
f53b3483-c3d5-4ddb-882f-48df6bbc74eb,2024-12-16,BONA_071.basePlot.bgc,D19,BONA,BONA_071,tower,2024-07-08T19:37:00Z,2024-07-08T19:37:00Z,BONA_071-O-41-20240708,A00000431311,BONA_071-O-41-20240708-CN,A00000433435,soil,N,N,1.8,-29,1.16,47.99,41.4,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Thermo IsoLink Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilChemistry
435e9f3c-bdf2-404a-b56b-c5cb50a1fc4b,2024-12-16,BONA_071.basePlot.bgc,D19,BONA,BONA_071,tower,2024-07-08T20:21:00Z,2024-07-08T20:21:00Z,BONA_071-O-21-20240708,A00000431310,BONA_071-O-21-20240708-CN,A00000433429,soil,N,N,0,-29,0.9,52.67,58.7,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Thermo IsoLink Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilChemistry
c687a885-8ed2-42e1-87b3-e641faaf8108,2024-12-17,BONA_071.basePlot.bgc,D19,BONA,BONA_071,tower,2024-07-08T21:11:00Z,2024-07-08T21:11:00Z,BONA_071-M-23-20240708,A00000431338,BONA_071-M-23-20240708-CN,A00000433428,soil,N,N,4.4,-26.2,0.15,2.78,18.3,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Thermo IsoLink Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilChemistry
f4996e5b-bc3b-4c4e-9245-47df74bf96ed,2024-12-16,BONA_071.basePlot.bgc,D19,BONA,BONA_071,tower,2024-07-08T21:11:00Z,2024-07-08T21:11:00Z,BONA_071-O-23-20240708,A00000431309,BONA_071-O-23-20240708-CN,A00000433434,soil,N,N,-0.6,-28.9,0.7,49.71,71.1,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Thermo IsoLink Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilChemistry
0f918e7e-2a58-4be8-bdc9-e9b50c8eeafd,2024-12-17,BONA_070.basePlot.bgc,D19,BONA,BONA_070,tower,2024-07-08T21:57:00Z,2024-07-08T21:57:00Z,BONA_070-O-21-20240708,A00000431332,BONA_070-O-21-20240708-CN,A00000433432,soil,N,N,0.3,-27.8,1.14,47.54,41.9,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Thermo IsoLink Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilChemistry
ddfb9c87-8a86-4179-8f67-b9d6a449552c,2024-12-17,BONA_070.basePlot.bgc,D19,BONA,BONA_070,tower,2024-07-08T21:57:00Z,2024-07-08T21:57:00Z,BONA_070-M-21-20240708,A00000431335,BONA_070-M-21-20240708-CN,A00000433426,soil,N,N,3.1,-26.1,0.38,8.32,21.7,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Thermo IsoLink Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilChemistry
6ebd4d46-489b-40fb-ac0f-3fbe8d11ab95,2024-12-16,BONA_070.basePlot.bgc,D19,BONA,BONA_070,tower,2024-07-08T22:56:00Z,2024-07-08T22:56:00Z,BONA_070-O-23-20240708,A00000431336,BONA_070-O-23-20240708-CN,A00000433424,soil,N,N,2.3,-29.4,1,50.82,50.6,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Thermo IsoLink Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilChemistry
d2920f09-e00b-459e-9046-7fedcc919f4e,2024-12-16,BONA_084.basePlot.bgc,D19,BONA,BONA_084,tower,2024-07-08T22:57:00Z,2024-07-08T22:57:00Z,BONA_084-O-39-20240708,A00000431319,BONA_084-O-39-20240708-CN,A00000433422,soil,N,N,1.2,-29.1,1.92,45.73,23.8,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Thermo IsoLink Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilChemistry
