uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,processedDate,sampleID,sampleCode,pHSampleID,samplingProtocolVersion,horizon,soilInWaterpH,soilInCaClpH,pHSoilInWaterMass,pHWaterVol,waterpHRatio,pHSoilInCaClMass,pHCaClVol,caclpHRatio,pHRemarks,pHMeasuredBy,pHDataQF,publicationDate,release,dpID,site_download,year_download,source_table
c25041bb-1e3a-4acb-9aca-32e67534b2b6,D19,BONA,BONA_071,BONA_071.basePlot.bgc,2024-07-08T19:37:00Z,2024-07-08T19:37:00Z,2024-08-13,BONA_071-O-41-20240708,A00000431311,BONA_071-O-41-20240708-PH,NEON.DOC.014048vP,O,4.3,3.61,4.8,30,6.3,4.8,60,12.6,NA,0009-0002-1350-1448,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilpH
671cf75d-fa5f-4d9f-baa0-13c0a842138a,D19,BONA,BONA_071,BONA_071.basePlot.bgc,2024-07-08T19:37:00Z,2024-07-08T19:37:00Z,2024-08-13,BONA_071-M-41-20240708,A00000431340,BONA_071-M-41-20240708-PH,NEON.DOC.014048vP,M,4.65,4.03,9.9,10,1,9.9,20,2,NA,0009-0002-1350-1448,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilpH
b53ef183-0143-4c86-952d-8efec07cd8b6,D19,BONA,BONA_071,BONA_071.basePlot.bgc,2024-07-08T19:37:00Z,2024-07-08T19:37:00Z,2024-08-13,BONA_071-M-21-20240708,A00000431339,BONA_071-M-21-20240708-PH,NEON.DOC.014048vP,M,4.59,3.79,10,10,1,10,20,2,NA,0009-0002-1350-1448,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilpH
d5fd546e-3c55-4cdc-ac21-9ecd472d1008,D19,BONA,BONA_071,BONA_071.basePlot.bgc,2024-07-08T20:21:00Z,2024-07-08T20:21:00Z,2024-08-13,BONA_071-O-21-20240708,A00000431310,BONA_071-O-21-20240708-PH,NEON.DOC.014048vP,O,3.76,3.31,4.8,20,4.1,4.8,40,8.3,NA,0009-0002-1350-1448,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilpH
ed0d8099-f1ef-45d4-b1c5-4fd74ae95dcd,D19,BONA,BONA_071,BONA_071.basePlot.bgc,2024-07-08T21:11:00Z,2024-07-08T21:11:00Z,2024-08-13,BONA_071-O-23-20240708,A00000431309,BONA_071-O-23-20240708-PH,NEON.DOC.014048vP,O,3.8,3.12,4.6,30,6.6,4.6,60,13.1,NA,0009-0002-1350-1448,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilpH
018ccda3-d1df-4f7a-87a7-87802acec70e,D19,BONA,BONA_071,BONA_071.basePlot.bgc,2024-07-08T21:11:00Z,2024-07-08T21:11:00Z,2024-08-13,BONA_071-M-23-20240708,A00000431338,BONA_071-M-23-20240708-PH,NEON.DOC.014048vP,M,4.96,4.2,10.1,10,1,10.1,20,2,NA,0009-0002-1350-1448,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilpH
3b1fc94e-c89e-4db3-9bce-29a36d9e0f90,D19,BONA,BONA_070,BONA_070.basePlot.bgc,2024-07-08T21:57:00Z,2024-07-08T21:57:00Z,2024-08-19,BONA_070-O-21-20240708,A00000431332,BONA_070-O-21-20240708-PH,NEON.DOC.014048vP,O,4.16,3.63,4.8,20,4.1,4.8,40,8.3,NA,0009-0002-1350-1448,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilpH
61d3fca0-8c79-4f36-917d-db408441ed73,D19,BONA,BONA_070,BONA_070.basePlot.bgc,2024-07-08T21:57:00Z,2024-07-08T21:57:00Z,2024-08-13,BONA_070-M-21-20240708,A00000431335,BONA_070-M-21-20240708-PH,NEON.DOC.014048vP,M,4.79,4.02,10.5,10,1,10.5,20,1.9,NA,0009-0002-1350-1448,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilpH
72cbcaa6-d0db-4f87-a907-c9150fd9e98a,D19,BONA,BONA_070,BONA_070.basePlot.bgc,2024-07-08T22:56:00Z,2024-07-08T22:56:00Z,2024-08-13,BONA_070-O-23-20240708,A00000431336,BONA_070-O-23-20240708-PH,NEON.DOC.014048vP,O,3.89,3.36,4.8,20,4.1,4.8,40,8.3,NA,0009-0002-1350-1448,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilpH
b1bce2a5-b4ee-4c32-ae84-2e5335c645c7,D19,BONA,BONA_084,BONA_084.basePlot.bgc,2024-07-08T22:57:00Z,2024-07-08T22:57:00Z,2024-08-13,BONA_084-O-39-20240708,A00000431319,BONA_084-O-39-20240708-PH,NEON.DOC.014048vP,O,4.93,4.58,4.9,20,4.1,4.9,40,8.2,NA,0009-0002-1350-1448,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilpH
d3fbd216-662b-4e46-bdf6-b0afbddd752f,D19,BONA,BONA_084,BONA_084.basePlot.bgc,2024-07-08T22:57:00Z,2024-07-08T22:57:00Z,2024-08-13,BONA_084-M-39-20240708,A00000431322,BONA_084-M-39-20240708-PH,NEON.DOC.014048vP,M,4.92,4.25,9.7,10,1,9.7,20,2.1,NA,0009-0002-1350-1448,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilpH
df18340e-e44a-4525-9a62-3b8b8b496a82,D19,BONA,BONA_070,BONA_070.basePlot.bgc,2024-07-08T23:21:00Z,2024-07-08T23:21:00Z,2024-08-13,BONA_070-M-41-20240708,A00000431337,BONA_070-M-41-20240708-PH,NEON.DOC.014048vP,M,4.78,4.16,9.6,20,2.1,9.6,40,4.2,NA,0009-0002-1350-1448,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilpH
68d9ab72-8c40-4777-bd03-0c844a336fde,D19,BONA,BONA_070,BONA_070.basePlot.bgc,2024-07-08T23:21:00Z,2024-07-08T23:21:00Z,2024-08-19,BONA_070-O-41-20240708,A00000431333,BONA_070-O-41-20240708-PH,NEON.DOC.014048vP,O,4.24,3.76,4.6,30,6.6,4.6,60,13.1,NA,0009-0002-1350-1448,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilpH
27b6deb1-69e2-47d4-8661-aa1c3872f21e,D19,BONA,BONA_084,BONA_084.basePlot.bgc,2024-07-08T23:39:00Z,2024-07-08T23:39:00Z,2024-08-13,BONA_084-O-41-20240708,A00000431320,BONA_084-O-41-20240708-PH,NEON.DOC.014048vP,O,4.88,4.57,4.8,20,4.2,4.8,40,8.4,NA,0009-0002-1350-1448,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilpH
149138da-ed1a-4c24-b57d-657fa05033c9,D19,BONA,BONA_084,BONA_084.basePlot.bgc,2024-07-08T23:39:00Z,2024-07-08T23:39:00Z,2024-08-13,BONA_084-M-41-20240708,A00000431323,BONA_084-M-41-20240708-PH,NEON.DOC.014048vP,M,4.89,4.27,9.6,10,1,9.6,20,2.1,NA,0009-0002-1350-1448,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilpH
5ff84d46-412e-4a33-85ea-054f3aadc65b,D19,BONA,BONA_084,BONA_084.basePlot.bgc,2024-07-09T00:49:00Z,2024-07-09T00:49:00Z,2024-08-13,BONA_084-M-23-20240708,A00000431321,BONA_084-M-23-20240708-PH,NEON.DOC.014048vP,M,4.84,4.21,9.7,10,1,9.7,20,2.1,NA,0009-0002-1350-1448,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilpH
8e11ee4b-38c6-483a-bb82-c2ab8f740e6b,D19,BONA,BONA_084,BONA_084.basePlot.bgc,2024-07-09T00:49:00Z,2024-07-09T00:49:00Z,2024-08-13,BONA_084-O-23-20240708,A00000431318,BONA_084-O-23-20240708-PH,NEON.DOC.014048vP,O,4.75,4.39,4.8,20,4.2,4.8,40,8.4,NA,0009-0002-1350-1448,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilpH
38bbf82a-f49e-4a44-b84e-f47959946648,D19,BONA,BONA_002,BONA_002.basePlot.bgc,2024-07-09T18:33:00Z,2024-07-09T18:33:00Z,2024-08-13,BONA_002-M-23-20240709,A00000431371,BONA_002-M-23-20240709-PH,NEON.DOC.014048vP,M,4.94,4.31,9.7,10,1,9.7,20,2.1,NA,0009-0002-1350-1448,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilpH
