uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
90dd9a85-4589-4a8e-88a7-892926c106ca,D11,CLBJ,CLBJ_031,CLBJ_031.basePlot.bgc,2020-03-02T16:01:00Z,2020-03-02T16:01:00Z,CLBJ_031-M-13-0-20200302,NA,CLBJ_031-M-13-0-20200302-SM,NEON.DOC.014048vM,M,2020-03-03T00:12:00Z,2020-03-05T21:02:00Z,2.14,12.15,10.42,0.209,0.827,NA,NA,0000-0003-3895-0725,NA,20251217T193355Z,RELEASE-2026,DP1.10086.001,CLBJ,2020,sls_soilMoisture
ded77b6f-a4bf-4cdd-8426-74020e123aeb,D11,CLBJ,CLBJ_003,CLBJ_003.basePlot.bgc,2020-03-02T16:10:00Z,2020-03-02T16:10:00Z,CLBJ_003-M-12.5-8-20200302,NA,CLBJ_003-M-12.5-8-20200302-SM,NEON.DOC.014048vM,M,2020-03-02T22:00:00Z,2020-03-05T19:40:00Z,2.09,12.11,10.52,0.189,0.841,NA,NA,0000-0002-1017-1124,NA,20251217T193355Z,RELEASE-2026,DP1.10086.001,CLBJ,2020,sls_soilMoisture
576d0991-848a-4a5f-a3ec-b0db8ed81ed7,D11,CLBJ,CLBJ_031,CLBJ_031.basePlot.bgc,2020-03-02T16:32:00Z,2020-03-02T16:32:00Z,CLBJ_031-M-17-32-20200302,NA,CLBJ_031-M-17-32-20200302-SM,NEON.DOC.014048vM,M,2020-03-03T00:12:00Z,2020-03-05T21:02:00Z,2.06,12.05,10.91,0.129,0.886,NA,NA,0000-0003-3895-0725,NA,20251217T193355Z,RELEASE-2026,DP1.10086.001,CLBJ,2020,sls_soilMoisture
605fd6b9-94f5-4930-8dd1-b5bc54e293c1,D11,CLBJ,CLBJ_003,CLBJ_003.basePlot.bgc,2020-03-02T16:45:00Z,2020-03-02T16:45:00Z,CLBJ_003-M-9-37-20200302,NA,CLBJ_003-M-9-37-20200302-SM,NEON.DOC.014048vM,M,2020-03-02T22:00:00Z,2020-03-05T19:40:00Z,2.1,12.1,10.72,0.16,0.862,NA,NA,0000-0002-1017-1124,NA,20251217T193355Z,RELEASE-2026,DP1.10086.001,CLBJ,2020,sls_soilMoisture
93a74744-70f4-4a5b-becc-31b2c5125835,D11,CLBJ,CLBJ_003,CLBJ_003.basePlot.bgc,2020-03-02T17:01:00Z,2020-03-02T17:01:00Z,CLBJ_003-M-38-5.5-20200302,NA,CLBJ_003-M-38-5.5-20200302-SM,NEON.DOC.014048vM,M,2020-03-02T22:00:00Z,2020-03-05T19:40:00Z,2.09,12.1,10.64,0.171,0.854,NA,NA,0000-0002-1017-1124,NA,20251217T193355Z,RELEASE-2026,DP1.10086.001,CLBJ,2020,sls_soilMoisture
e067f724-233f-4752-a283-4951b2921cac,D11,CLBJ,CLBJ_031,CLBJ_031.basePlot.bgc,2020-03-02T17:04:00Z,2020-03-02T17:04:00Z,CLBJ_031-M-32.5-30-20200302,NA,CLBJ_031-M-32.5-30-20200302-SM,NEON.DOC.014048vM,M,2020-03-03T00:12:00Z,2020-03-05T21:02:00Z,2,11.97,10.7,0.146,0.873,NA,NA,0000-0003-3895-0725,NA,20251217T193355Z,RELEASE-2026,DP1.10086.001,CLBJ,2020,sls_soilMoisture
62277bc8-5f53-4bd5-8ad1-87ccec2e896f,D11,CLBJ,CLBJ_002,CLBJ_002.basePlot.bgc,2020-03-02T17:35:00Z,2020-03-02T17:35:00Z,CLBJ_002-M-18-7-20200302,NA,CLBJ_002-M-18-7-20200302-SM,NEON.DOC.014048vM,M,2020-03-02T22:01:00Z,2020-03-05T19:40:00Z,2.1,12.11,10.79,0.152,0.868,NA,NA,0000-0002-1017-1124,NA,20251217T193355Z,RELEASE-2026,DP1.10086.001,CLBJ,2020,sls_soilMoisture
0b7f6918-c06d-48f8-8bfb-31db70327870,D11,CLBJ,CLBJ_002,CLBJ_002.basePlot.bgc,2020-03-02T17:55:00Z,2020-03-02T17:55:00Z,CLBJ_002-M-35.5-2.5-20200302,NA,CLBJ_002-M-35.5-2.5-20200302-SM,NEON.DOC.014048vM,M,2020-03-02T22:01:00Z,2020-03-05T19:40:00Z,2.12,12.14,10.32,0.222,0.818,NA,NA,0000-0002-1017-1124,NA,20251217T193355Z,RELEASE-2026,DP1.10086.001,CLBJ,2020,sls_soilMoisture
09c4e630-56bb-4e7d-9ff9-ac3787249060,D11,CLBJ,CLBJ_002,CLBJ_002.basePlot.bgc,2020-03-02T18:11:00Z,2020-03-02T18:11:00Z,CLBJ_002-M-30-35-20200302,NA,CLBJ_002-M-30-35-20200302-SM,NEON.DOC.014048vM,M,2020-03-02T22:01:00Z,2020-03-05T19:40:00Z,2.13,12.14,10.98,0.131,0.884,NA,NA,0000-0002-1017-1124,NA,20251217T193355Z,RELEASE-2026,DP1.10086.001,CLBJ,2020,sls_soilMoisture
6e879610-d624-4adc-af2a-d894b7143ef9,D11,CLBJ,CLBJ_032,CLBJ_032.basePlot.bgc,2020-03-02T18:36:00Z,2020-03-02T18:36:00Z,CLBJ_032-M-0-3-20200302,NA,CLBJ_032-M-0-3-20200302-SM,NEON.DOC.014048vM,M,2020-03-03T00:12:00Z,2020-03-05T21:02:00Z,2.05,12.04,10.66,0.16,0.862,NA,NA,0000-0003-3895-0725,NA,20251217T193355Z,RELEASE-2026,DP1.10086.001,CLBJ,2020,sls_soilMoisture
162e3fe4-53bd-4928-bbed-4545fe18fbba,D11,CLBJ,CLBJ_032,CLBJ_032.basePlot.bgc,2020-03-02T19:04:00Z,2020-03-02T19:04:00Z,CLBJ_032-M-30.5-6.5-20200302,NA,CLBJ_032-M-30.5-6.5-20200302-SM,NEON.DOC.014048vM,M,2020-03-03T00:12:00Z,2020-03-05T21:02:00Z,2.1,12.13,10.96,0.132,0.883,NA,NA,0000-0003-3895-0725,NA,20251217T193355Z,RELEASE-2026,DP1.10086.001,CLBJ,2020,sls_soilMoisture
