uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
cd35349f-a508-4108-8edc-b48abd1f3505,D10,CPER,CPER_046,CPER_046.basePlot.bgc,2021-04-12T18:16:00Z,2021-04-12T18:16:00Z,CPER_046-M-19.5-9.5-20210412,A00000123186,CPER_046-M-19.5-9.5-20210412-SM,NEON.DOC.014048vN,M,2021-04-13T14:00:00Z,2021-04-19T14:26:00Z,2.55,12.53,12.1,0.045,0.957,NA,NA,0000-0002-5795-6850,NA,20251217T193946Z,RELEASE-2026,DP1.10086.001,CPER,2021,sls_soilMoisture
d332152b-aaa0-4c42-a39c-1bee2162e9c4,D10,CPER,CPER_046,CPER_046.basePlot.bgc,2021-04-12T18:39:00Z,2021-04-12T18:39:00Z,CPER_046-M-29.5-1.5-20210412,A00000123198,CPER_046-M-29.5-1.5-20210412-SM,NEON.DOC.014048vN,M,2021-04-13T14:00:00Z,2021-04-19T14:30:00Z,2.08,12.08,11.25,0.091,0.917,NA,NA,0000-0002-5795-6850,NA,20251217T193946Z,RELEASE-2026,DP1.10086.001,CPER,2021,sls_soilMoisture
2ad88086-075b-4ea4-aa89-a4b782e13d0c,D10,CPER,CPER_046,CPER_046.basePlot.bgc,2021-04-12T18:49:00Z,2021-04-12T18:49:00Z,CPER_046-M-35-27.5-20210412,A00000123195,CPER_046-M-35-27.5-20210412-SM,NEON.DOC.014048vN,M,2021-04-13T14:00:00Z,2021-04-19T14:29:00Z,2.15,12.1,11.24,0.095,0.914,NA,NA,0000-0002-5795-6850,NA,20251217T193946Z,RELEASE-2026,DP1.10086.001,CPER,2021,sls_soilMoisture
370ba8f4-55df-423a-bd0c-5ccd0c9081f2,D10,CPER,CPER_047,CPER_047.basePlot.bgc,2021-04-12T19:22:00Z,2021-04-12T19:22:00Z,CPER_047-M-25-6.5-20210412,A00000123194,CPER_047-M-25-6.5-20210412-SM,NEON.DOC.014048vN,M,2021-04-13T14:00:00Z,2021-04-19T14:43:00Z,2.11,12.06,11.22,0.092,0.916,NA,NA,0000-0002-5795-6850,NA,20251217T193946Z,RELEASE-2026,DP1.10086.001,CPER,2021,sls_soilMoisture
4f47e75f-211a-4a2f-b140-db81fe205403,D10,CPER,CPER_047,CPER_047.basePlot.bgc,2021-04-12T19:39:00Z,2021-04-12T19:39:00Z,CPER_047-M-21-32-20210412,A00000123193,CPER_047-M-21-32-20210412-SM,NEON.DOC.014048vN,M,2021-04-13T14:00:00Z,2021-04-19T14:44:00Z,2.04,11.91,11.02,0.099,0.91,NA,NA,0000-0002-5795-6850,NA,20251217T193946Z,RELEASE-2026,DP1.10086.001,CPER,2021,sls_soilMoisture
7ae02f3a-3f56-423b-87db-61afe44f9126,D10,CPER,CPER_047,CPER_047.basePlot.bgc,2021-04-12T19:43:00Z,2021-04-12T19:43:00Z,CPER_047-M-1-36.5-20210412,A00000123192,CPER_047-M-1-36.5-20210412-SM,NEON.DOC.014048vN,M,2021-04-13T14:00:00Z,2021-04-19T14:44:00Z,2.51,12.57,11.96,0.065,0.939,NA,NA,0000-0002-5795-6850,NA,20251217T193946Z,RELEASE-2026,DP1.10086.001,CPER,2021,sls_soilMoisture
8d5221fe-9b44-480e-aafc-13abec693136,D10,CPER,CPER_048,CPER_048.basePlot.bgc,2021-04-12T20:38:00Z,2021-04-12T20:38:00Z,CPER_048-M-8-9.5-20210412,A00000123191,CPER_048-M-8-9.5-20210412-SM,NEON.DOC.014048vN,M,2021-04-13T14:00:00Z,2021-04-19T14:27:00Z,2.17,12.13,11.37,0.083,0.924,NA,NA,0000-0002-5795-6850,NA,20251217T193946Z,RELEASE-2026,DP1.10086.001,CPER,2021,sls_soilMoisture
61428a52-49a6-4bae-8148-7410e7cb6738,D10,CPER,CPER_048,CPER_048.basePlot.bgc,2021-04-12T20:50:00Z,2021-04-12T20:50:00Z,CPER_048-M-35-24.5-20210412,A00000123196,CPER_048-M-35-24.5-20210412-SM,NEON.DOC.014048vN,M,2021-04-13T14:00:00Z,2021-04-19T14:31:00Z,2.53,12.5,11.68,0.09,0.918,NA,NA,0000-0002-5795-6850,NA,20251217T193946Z,RELEASE-2026,DP1.10086.001,CPER,2021,sls_soilMoisture
04781c30-bf64-4a6d-8b71-40b27148dae8,D10,CPER,CPER_048,CPER_048.basePlot.bgc,2021-04-12T21:05:00Z,2021-04-12T21:05:00Z,CPER_048-M-1.5-26.5-20210412,A00000123237,CPER_048-M-1.5-26.5-20210412-SM,NEON.DOC.014048vN,M,2021-04-13T14:00:00Z,2021-04-19T14:29:00Z,2.58,12.56,11.78,0.085,0.922,NA,NA,0000-0002-5795-6850,NA,20251217T193946Z,RELEASE-2026,DP1.10086.001,CPER,2021,sls_soilMoisture
c30da5de-d60e-47f6-8be6-78cd809d13dd,D10,CPER,CPER_045,CPER_045.basePlot.bgc,2021-04-12T21:32:00Z,2021-04-12T21:32:00Z,CPER_045-M-23-8.5-20210412,A00000123238,CPER_045-M-23-8.5-20210412-SM,NEON.DOC.014048vN,M,2021-04-13T14:00:00Z,2021-04-19T14:42:00Z,2.08,12.2,11.37,0.089,0.918,NA,NA,0000-0002-5795-6850,NA,20251217T193946Z,RELEASE-2026,DP1.10086.001,CPER,2021,sls_soilMoisture
