uid,namedLocation,domainID,siteID,plotID,startDate,collectDate,sampleID,sampleCode,kclSampleID,kclSampleCode,sampleCondition,ammoniumNAnalysisDate,kclAmmoniumNConc,ammoniumNRepNum,ammoniumNQF,ammoniumNRemarks,nitrateNitriteNAnalysisDate,kclNitrateNitriteNConc,nitrateNitriteNRepNum,nitrateNitriteNQF,nitrateNitriteNRemarks,laboratoryName,ammoniumNMethod,ammoniumNInstrument,ammoniumNAnalyzedBy,ammoniumNReviewedBy,nitrateNitriteNMethod,nitrateNitriteNInstrument,nitrateNitriteNAnalyzedBy,nitrateNitriteNReviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
f56d968e-56a5-454d-8e91-d2baa800f569,DELA_037.basePlot.bgc,D08,DELA,DELA_037,2019-05-15T18:35:00Z,2019-05-15T18:35:00Z,DELA_037-M-28.5-39.5-20190515,A00000048107,DELA_037-M-28.5-39.5-20190515-KCL,B00000004876,ok,2019-07-23,0.277,1,OK,NA,2019-07-23,0.074,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193722Z,RELEASE-2026,DP1.10086.001,DELA,2019,ntr_externalLab
a5a8c226-159a-49b2-a75f-ce643f7aee6d,DELA_037.basePlot.bgc,D08,DELA,DELA_037,2019-05-15T19:09:00Z,2019-05-15T19:09:00Z,DELA_037-M-14-1.5-20190515,A00000082191,DELA_037-M-14-1.5-20190515-KCL,B00000004875,ok,2019-07-23,0.981,1,OK,NA,2019-07-23,0.041,1,blanks exceed sample value,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193722Z,RELEASE-2026,DP1.10086.001,DELA,2019,ntr_externalLab
5da2d8f7-ee92-4ee9-85b4-cbc499f9ce4b,DELA_037.basePlot.bgc,D08,DELA,DELA_037,2019-05-15T19:23:00Z,2019-05-15T19:23:00Z,DELA_037-M-30-11-20190515,A00000048528,DELA_037-M-30-11-20190515-KCL,B00000004872,ok,2019-07-23,0.361,1,OK,NA,2019-07-23,0.032,1,blanks exceed sample value,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193722Z,RELEASE-2026,DP1.10086.001,DELA,2019,ntr_externalLab
41348189-0022-4f09-a709-d73718d58c49,DELA_037.basePlot.bgc,D08,DELA,DELA_037,2019-05-15T18:35:00Z,2019-06-03T14:19:00Z,DELA_037-M-28.5-39.5-20190603,A00000048108,DELA_037-M-28.5-39.5-20190603-KCL,B00000004921,ok,2019-07-23,0.4,1,OK,NA,2019-07-23,0.069,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193725Z,RELEASE-2026,DP1.10086.001,DELA,2019,ntr_externalLab
7b3a4ca2-afc5-43cd-9f65-0e38a9186104,DELA_037.basePlot.bgc,D08,DELA,DELA_037,2019-05-15T19:09:00Z,2019-06-03T14:26:00Z,DELA_037-M-14-1.5-20190603,A00000082241,DELA_037-M-14-1.5-20190603-KCL,B00000004919,ok,2019-07-23,1.585,1,OK,NA,2019-07-23,0.045,1,blanks exceed sample value,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193725Z,RELEASE-2026,DP1.10086.001,DELA,2019,ntr_externalLab
b5d72e64-4b53-4617-bedc-828488df381a,DELA_037.basePlot.bgc,D08,DELA,DELA_037,2019-05-15T19:23:00Z,2019-06-03T14:25:00Z,DELA_037-M-30-11-20190603,A00000048533,DELA_037-M-30-11-20190603-KCL,B00000004920,ok,2019-07-23,0.989,1,OK,NA,2019-07-23,0.054,1,blanks exceed sample value,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193725Z,RELEASE-2026,DP1.10086.001,DELA,2019,ntr_externalLab
0ce41ac3-0e4d-44bc-9e38-bddfe6a224d0,DELA_037.basePlot.bgc,D08,DELA,DELA_037,2019-06-26T14:49:00Z,2019-06-26T14:49:00Z,DELA_037-M-34.5-29-20190626,A00000084420,DELA_037-M-34.5-29-20190626-KCL,B00000005027,ok,2019-08-27,0.152,1,OK,NA,2019-08-27,0.08,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193725Z,RELEASE-2026,DP1.10086.001,DELA,2019,ntr_externalLab
154c8625-081b-4c6a-bca5-0fa92a928e7d,DELA_037.basePlot.bgc,D08,DELA,DELA_037,2019-06-26T14:55:00Z,2019-06-26T14:55:00Z,DELA_037-M-9.5-23-20190626,A00000084415,DELA_037-M-9.5-23-20190626-KCL,B00000005026,ok,2019-08-27,0.115,1,OK,NA,2019-08-27,0.149,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193725Z,RELEASE-2026,DP1.10086.001,DELA,2019,ntr_externalLab
5fbb5585-27bf-45bc-8bf5-b482c9c4d4a2,DELA_037.basePlot.bgc,D08,DELA,DELA_037,2019-06-26T15:17:00Z,2019-06-26T15:17:00Z,DELA_037-M-17-3-20190626,A00000084418,DELA_037-M-17-3-20190626-KCL,B00000005025,ok,2019-08-27,0.126,1,OK,NA,2019-08-27,0.154,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193725Z,RELEASE-2026,DP1.10086.001,DELA,2019,ntr_externalLab
d9c682b0-6c33-43fe-8abe-0869cc68b2e5,DELA_037.basePlot.bgc,D08,DELA,DELA_037,2019-06-26T14:49:00Z,2019-07-15T17:04:00Z,DELA_037-M-34.5-29-20190715,NA,DELA_037-M-34.5-29-20190715-KCL,B00000055709,ok,2019-08-27,0.123,1,OK,NA,2019-08-27,0.225,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193932Z,RELEASE-2026,DP1.10086.001,DELA,2019,ntr_externalLab
