uid,namedLocation,domainID,siteID,plotID,startDate,collectDate,sampleID,sampleCode,kclSampleID,kclSampleCode,sampleCondition,ammoniumNAnalysisDate,kclAmmoniumNConc,ammoniumNRepNum,ammoniumNQF,ammoniumNRemarks,nitrateNitriteNAnalysisDate,kclNitrateNitriteNConc,nitrateNitriteNRepNum,nitrateNitriteNQF,nitrateNitriteNRemarks,laboratoryName,ammoniumNMethod,ammoniumNInstrument,ammoniumNAnalyzedBy,ammoniumNReviewedBy,nitrateNitriteNMethod,nitrateNitriteNInstrument,nitrateNitriteNAnalyzedBy,nitrateNitriteNReviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
a1a98e4b-8f62-41e0-b153-8336e82f7299,DELA_041.basePlot.bgc,D08,DELA,DELA_041,2024-03-06T15:04:00Z,2024-03-06T15:04:00Z,DELA_041-M-41-20240306,A00000458010,DELA_041-M-41-20240306-KCL,B00000094559,ok,2024-10-22,0.058,1,OK,NA,2024-10-22,0.042,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193923Z,RELEASE-2026,DP1.10086.001,DELA,2024,ntr_externalLab
be5d5fa4-931f-4933-a79a-8ef037198a01,DELA_041.basePlot.bgc,D08,DELA,DELA_041,2024-03-06T15:04:00Z,2024-03-27T15:51:00Z,DELA_041-M-41-20240327,A00000458009,DELA_041-M-41-20240327-KCL,B00000094683,ok,2024-10-22,0.346,1,OK,NA,2024-10-22,0.057,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193923Z,RELEASE-2026,DP1.10086.001,DELA,2024,ntr_externalLab
98184a55-0ffd-4dbc-8f06-e9374e20b420,DELA_005.basePlot.bgc,D08,DELA,DELA_005,2024-03-06T15:26:00Z,2024-03-06T15:26:00Z,DELA_005-M-41-20240306,A00000458040,DELA_005-M-41-20240306-KCL,B00000094574,ok,2024-10-22,0.134,1,OK,NA,2024-10-22,0.152,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193923Z,RELEASE-2026,DP1.10086.001,DELA,2024,ntr_externalLab
4c4682fb-5cc9-4b67-9a8a-60af19440aae,DELA_005.basePlot.bgc,D08,DELA,DELA_005,2024-03-06T15:26:00Z,2024-03-27T18:29:00Z,DELA_005-M-41-20240327,A00000458041,DELA_005-M-41-20240327-KCL,B00000094698,ok,2024-10-22,0.07,1,OK,NA,2024-10-22,0.152,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193923Z,RELEASE-2026,DP1.10086.001,DELA,2024,ntr_externalLab
d7d6403d-1448-4925-a877-507ef33a07dc,DELA_041.basePlot.bgc,D08,DELA,DELA_041,2024-03-06T15:29:00Z,2024-03-06T15:29:00Z,DELA_041-M-23-20240306,A00000458008,DELA_041-M-23-20240306-KCL,B00000094561,ok,2024-10-22,0.124,1,OK,NA,2024-10-22,0.045,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193923Z,RELEASE-2026,DP1.10086.001,DELA,2024,ntr_externalLab
33fa9964-e394-4263-822f-558d357f19e4,DELA_041.basePlot.bgc,D08,DELA,DELA_041,2024-03-06T15:29:00Z,2024-03-27T15:56:00Z,DELA_041-M-23-20240327,A00000458007,DELA_041-M-23-20240327-KCL,B00000094685,ok,2024-10-22,0.316,1,OK,NA,2024-10-22,0.02,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193923Z,RELEASE-2026,DP1.10086.001,DELA,2024,ntr_externalLab
8142de3e-ec1f-459b-aec5-0e4306546d06,DELA_005.basePlot.bgc,D08,DELA,DELA_005,2024-03-06T15:49:00Z,2024-03-06T15:49:00Z,DELA_005-M-23-20240306,A00000458045,DELA_005-M-23-20240306-KCL,B00000094575,ok,2024-10-22,0.087,1,OK,NA,2024-10-22,0.195,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193923Z,RELEASE-2026,DP1.10086.001,DELA,2024,ntr_externalLab
fd66f064-47de-45f6-adf7-30bf82ef519c,DELA_005.basePlot.bgc,D08,DELA,DELA_005,2024-03-06T15:49:00Z,2024-03-27T18:26:00Z,DELA_005-M-23-20240327,A00000458046,DELA_005-M-23-20240327-KCL,B00000094699,ok,2024-10-22,0.09,1,OK,NA,2024-10-22,0.258,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193923Z,RELEASE-2026,DP1.10086.001,DELA,2024,ntr_externalLab
1b3900dc-66e8-441b-a279-acc37439b954,DELA_041.basePlot.bgc,D08,DELA,DELA_041,2024-03-06T16:02:00Z,2024-03-06T16:02:00Z,DELA_041-M-39-20240306,A00000458005,DELA_041-M-39-20240306-KCL,B00000094560,ok,2024-10-22,0.113,1,OK,NA,2024-10-22,0.036,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193923Z,RELEASE-2026,DP1.10086.001,DELA,2024,ntr_externalLab
2a136e10-5754-4a45-a06d-b03a76e578f8,DELA_041.basePlot.bgc,D08,DELA,DELA_041,2024-03-06T16:02:00Z,2024-03-27T16:01:00Z,DELA_041-M-39-20240327,A00000458006,DELA_041-M-39-20240327-KCL,B00000094684,ok,2024-10-22,0.053,1,OK,NA,2024-10-22,0.026,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193923Z,RELEASE-2026,DP1.10086.001,DELA,2024,ntr_externalLab
