uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
c6338009-8db2-4aec-a0a1-e07b18934910,D03,DSNY,DSNY_006,DSNY_006.basePlot.bgc,2018-08-23T11:07:00Z,2018-08-23T11:07:00Z,DSNY_006-M-28-35.5-20180823,NA,DSNY_006-M-28-35.5-20180823-SM,NEON.DOC.014048vK,M,2018-08-23T16:08:00Z,2018-08-30T16:35:00Z,1.7,11.7,9.98,0.208,0.828,NA,NA,esanchez@battelleecology.org,NA,20251217T193919Z,RELEASE-2026,DP1.10086.001,DSNY,2018,sls_soilMoisture
d3e7aefa-33c8-4afe-acf6-67010b6ea8f7,D03,DSNY,DSNY_006,DSNY_006.basePlot.bgc,2018-08-23T11:24:00Z,2018-08-23T11:24:00Z,DSNY_006-M-14-38.5-20180823,NA,DSNY_006-M-14-38.5-20180823-SM,NEON.DOC.014048vK,M,2018-08-23T16:03:00Z,2018-08-30T16:31:00Z,1.7,11.69,9.84,0.227,0.815,NA,NA,esanchez@battelleecology.org,NA,20251217T193919Z,RELEASE-2026,DP1.10086.001,DSNY,2018,sls_soilMoisture
a058afab-0894-4452-b108-d79022259019,D03,DSNY,DSNY_006,DSNY_006.basePlot.bgc,2018-08-23T11:37:00Z,2018-08-23T11:37:00Z,DSNY_006-M-8.5-16.5-20180823,NA,DSNY_006-M-8.5-16.5-20180823-SM,NEON.DOC.014048vK,M,2018-08-23T16:14:00Z,2018-08-30T16:35:00Z,1.73,11.72,9.94,0.217,0.822,NA,NA,esanchez@battelleecology.org,NA,20251217T193919Z,RELEASE-2026,DP1.10086.001,DSNY,2018,sls_soilMoisture
cf1aaf35-9e03-45d2-a714-6a107cdb302b,D03,DSNY,DSNY_006,DSNY_006.basePlot.bgc,2018-10-22T20:38:00Z,2018-10-22T20:38:00Z,DSNY_006-M-4-24.5-20181022,A00000036718,DSNY_006-M-4-24.5-20181022-SM,NEON.DOC.014048vK,M,2018-10-23T18:00:00Z,2018-10-25T18:15:00Z,1.77,11.77,11.14,0.067,0.937,NA,NA,jlewis@battelleecology.org,NA,20251217T193834Z,RELEASE-2026,DP1.10086.001,DSNY,2018,sls_soilMoisture
fd63109c-ef2b-4e3d-b8d7-16253635b8fa,D03,DSNY,DSNY_006,DSNY_006.basePlot.bgc,2018-10-22T21:05:00Z,2018-10-22T21:05:00Z,DSNY_006-M-22-36-20181022,A00000036701,DSNY_006-M-22-36-20181022-SM,NEON.DOC.014048vK,M,2018-10-23T18:00:00Z,2018-10-25T18:15:00Z,1.78,11.78,11.21,0.06,0.943,NA,NA,jlewis@battelleecology.org,NA,20251217T193834Z,RELEASE-2026,DP1.10086.001,DSNY,2018,sls_soilMoisture
d3746bcf-6cca-465c-a93d-fcee2e02b40b,D03,DSNY,DSNY_006,DSNY_006.basePlot.bgc,2018-10-22T21:31:00Z,2018-10-22T21:31:00Z,DSNY_006-M-34-17.5-20181022,A00000036700,DSNY_006-M-34-17.5-20181022-SM,NEON.DOC.014048vK,M,2018-10-23T18:00:00Z,2018-10-25T18:15:00Z,1.77,11.78,11.16,0.066,0.938,NA,NA,jlewis@battelleecology.org,NA,20251217T193834Z,RELEASE-2026,DP1.10086.001,DSNY,2018,sls_soilMoisture
86049e50-16c1-445d-a515-54f453b3a44c,D03,DSNY,DSNY_006,DSNY_006.basePlot.bgc,2018-08-23T11:07:00Z,2018-09-04T18:10:00Z,DSNY_006-M-28-35.5-20180904,NA,DSNY_006-M-28-35.5-20180904-SM,NEON.DOC.014048vK,M,2018-09-05T19:00:00Z,2018-09-10T15:56:00Z,1.15,11.18,9.386,0.218,0.821,NA,NA,kmartin@battelleecology.org,NA,20251217T193822Z,RELEASE-2026,DP1.10086.001,DSNY,2018,sls_soilMoisture
fe8bc48b-f3b5-4166-a7f8-d7f8fd4521f6,D03,DSNY,DSNY_006,DSNY_006.basePlot.bgc,2018-08-23T11:24:00Z,2018-09-04T18:08:00Z,DSNY_006-M-14-38.5-20180904,NA,DSNY_006-M-14-38.5-20180904-SM,NEON.DOC.014048vK,M,2018-09-05T19:00:00Z,2018-09-10T15:54:00Z,1.13,11.19,9.467,0.207,0.829,NA,NA,kmartin@battelleecology.org,NA,20251217T193822Z,RELEASE-2026,DP1.10086.001,DSNY,2018,sls_soilMoisture
bc4f053b-bf92-48f8-817d-e3736fafb430,D03,DSNY,DSNY_006,DSNY_006.basePlot.bgc,2018-08-23T11:37:00Z,2018-09-04T18:10:00Z,DSNY_006-M-8.5-16.5-20180904,NA,DSNY_006-M-8.5-16.5-20180904-SM,NEON.DOC.014048vK,M,2018-09-05T19:00:00Z,2018-09-10T15:54:00Z,1.13,11.09,9.478,0.193,0.838,NA,NA,kmartin@battelleecology.org,NA,20251217T193822Z,RELEASE-2026,DP1.10086.001,DSNY,2018,sls_soilMoisture
4c33ce54-67bb-409f-892e-8b8fc12b04d0,D03,DSNY,DSNY_006,DSNY_006.basePlot.bgc,2018-10-22T20:38:00Z,2018-11-07T15:22:00Z,DSNY_006-M-4-24.5-20181107,A00000037015,DSNY_006-M-4-24.5-20181107-SM,NEON.DOC.014048vK,M,2018-11-08T14:40:00Z,2018-11-12T13:33:00Z,1.72,11.73,11.09,0.068,0.936,NA,NA,smatlick@battelleecology.org,NA,20251217T193826Z,RELEASE-2026,DP1.10086.001,DSNY,2018,sls_soilMoisture
7abc3a75-0bb2-499c-8988-1c0a5f697e7f,D03,DSNY,DSNY_006,DSNY_006.basePlot.bgc,2018-10-22T21:05:00Z,2018-11-07T15:19:00Z,DSNY_006-M-22-36-20181107,A00000037014,DSNY_006-M-22-36-20181107-SM,NEON.DOC.014048vK,M,2018-11-08T14:40:00Z,2018-11-12T13:32:00Z,1.76,11.73,11.29,0.046,0.956,NA,NA,smatlick@battelleecology.org,NA,20251217T193826Z,RELEASE-2026,DP1.10086.001,DSNY,2018,sls_soilMoisture
f6621cbc-c0a6-41b4-b865-81246007dc7e,D03,DSNY,DSNY_006,DSNY_006.basePlot.bgc,2018-10-22T21:31:00Z,2018-11-07T15:14:00Z,DSNY_006-M-34-17.5-20181107,A00000037013,DSNY_006-M-34-17.5-20181107-SM,NEON.DOC.014048vK,M,2018-11-08T14:40:00Z,2018-11-12T13:34:00Z,1.78,11.78,11.32,0.048,0.954,NA,NA,smatlick@battelleecology.org,NA,20251217T193826Z,RELEASE-2026,DP1.10086.001,DSNY,2018,sls_soilMoisture
