uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,processedDate,sampleID,sampleCode,pHSampleID,samplingProtocolVersion,horizon,soilInWaterpH,soilInCaClpH,pHSoilInWaterMass,pHWaterVol,waterpHRatio,pHSoilInCaClMass,pHCaClVol,caclpHRatio,pHRemarks,pHMeasuredBy,pHDataQF,publicationDate,release,dpID,site_download,year_download,source_table
b66eff15-1db5-451d-967b-14fb8eed2570,D03,DSNY,DSNY_001,DSNY_001.basePlot.bgc,2022-08-15T17:58:00Z,2022-08-15T17:58:00Z,2022-10-13,DSNY_001-M-23-20220815,A00000175197,DSNY_001-M-23-20220815-PH,NEON.DOC.014048vO,M,4.48,3.27,9.7,10,1,9.7,20,2.1,NA,0000-0001-9861-5609,NA,20251217T193602Z,RELEASE-2026,DP1.10086.001,DSNY,2022,sls_soilpH
234c958b-7913-421f-a2b5-916069c36e03,D03,DSNY,DSNY_001,DSNY_001.basePlot.bgc,2022-08-15T18:11:00Z,2022-08-15T18:11:00Z,2022-10-13,DSNY_001-M-41-20220815,A00000175181,DSNY_001-M-41-20220815-PH,NEON.DOC.014048vO,M,4.94,3.79,10.1,10,1,10.1,20,2,NA,0000-0001-9861-5609,NA,20251217T193602Z,RELEASE-2026,DP1.10086.001,DSNY,2022,sls_soilpH
0b6cf26d-a0b1-4ed0-bb4e-3e35c8708e02,D03,DSNY,DSNY_001,DSNY_001.basePlot.bgc,2022-08-15T18:27:00Z,2022-08-15T18:27:00Z,2022-10-13,DSNY_001-M-21-20220815,A00000175165,DSNY_001-M-21-20220815-PH,NEON.DOC.014048vO,M,4.67,3.55,10.3,10,1,10.3,20,2,NA,0000-0001-9861-5609,NA,20251217T193602Z,RELEASE-2026,DP1.10086.001,DSNY,2022,sls_soilpH
9accd7eb-e76f-4fc5-aa7a-f60ef2dc6128,D03,DSNY,DSNY_009,DSNY_009.basePlot.bgc,2022-08-15T18:34:00Z,2022-08-15T18:34:00Z,2022-10-13,DSNY_009-M-21-20220815,A00000175175,DSNY_009-M-21-20220815-PH,NEON.DOC.014048vO,M,4.16,4.09,10.1,10,1,10.1,20,2,NA,0000-0001-9861-5609,NA,20251217T193602Z,RELEASE-2026,DP1.10086.001,DSNY,2022,sls_soilpH
9f3f3c26-3c70-442b-8398-70504944717f,D03,DSNY,DSNY_009,DSNY_009.basePlot.bgc,2022-08-15T18:56:00Z,2022-08-15T18:56:00Z,2022-10-13,DSNY_009-M-23-20220815,A00000175191,DSNY_009-M-23-20220815-PH,NEON.DOC.014048vO,M,4.22,3.24,10.1,10,1,10.1,20,2,NA,0000-0001-9861-5609,NA,20251217T193602Z,RELEASE-2026,DP1.10086.001,DSNY,2022,sls_soilpH
a8fd6bfd-6254-4b19-9660-f53142e7b4d4,D03,DSNY,DSNY_009,DSNY_009.basePlot.bgc,2022-08-15T19:24:00Z,2022-08-15T19:24:00Z,2022-10-13,DSNY_009-M-41-20220815,A00000175207,DSNY_009-M-41-20220815-PH,NEON.DOC.014048vO,M,4.22,3.14,10.4,10,1,10.4,20,1.9,NA,0000-0001-9861-5609,NA,20251217T193602Z,RELEASE-2026,DP1.10086.001,DSNY,2022,sls_soilpH
36001ea2-1db4-4b0e-9c47-5a90eb89e429,D03,DSNY,DSNY_004,DSNY_004.basePlot.bgc,2022-08-15T19:39:00Z,2022-08-15T19:39:00Z,2022-10-13,DSNY_004-M-23-20220815,A00000175178,DSNY_004-M-23-20220815-PH,NEON.DOC.014048vO,M,4.03,3.11,9.9,10,1,9.9,20,2,NA,0000-0001-9861-5609,NA,20251217T193602Z,RELEASE-2026,DP1.10086.001,DSNY,2022,sls_soilpH
b1421234-0911-49e9-8e8a-a47618c2530b,D03,DSNY,DSNY_004,DSNY_004.basePlot.bgc,2022-08-15T19:59:00Z,2022-08-15T19:59:00Z,2022-10-13,DSNY_004-O-41-20220815,A00000175194,DSNY_004-O-41-20220815-PH,NEON.DOC.014048vO,O,3.98,2.91,4.5,20,4.4,4.5,40,8.9,NA,0000-0001-9861-5609,NA,20251217T193602Z,RELEASE-2026,DP1.10086.001,DSNY,2022,sls_soilpH
28eb2964-c8c0-46ee-868a-f476ad32a208,D03,DSNY,DSNY_004,DSNY_004.basePlot.bgc,2022-08-15T20:20:00Z,2022-08-15T20:20:00Z,2022-10-13,DSNY_004-O-39-20220815,A00000175210,DSNY_004-O-39-20220815-PH,NEON.DOC.014048vO,O,4.1,3.39,4.7,20,4.3,4.7,40,8.5,NA,0000-0001-9861-5609,NA,20251217T193602Z,RELEASE-2026,DP1.10086.001,DSNY,2022,sls_soilpH
2d3419a3-a870-4506-ae8c-c082c59086c5,D03,DSNY,DSNY_003,DSNY_003.basePlot.bgc,2022-08-15T20:30:00Z,2022-08-15T20:30:00Z,2022-10-13,DSNY_003-M-23-20220815,A00000175179,DSNY_003-M-23-20220815-PH,NEON.DOC.014048vO,M,4.27,3.11,10,10,1,10,20,2,NA,0000-0001-9861-5609,NA,20251217T193602Z,RELEASE-2026,DP1.10086.001,DSNY,2022,sls_soilpH
419ae058-05ad-49e3-b9a8-9d986d6ca54e,D03,DSNY,DSNY_003,DSNY_003.basePlot.bgc,2022-08-15T20:47:00Z,2022-08-15T20:47:00Z,2022-10-13,DSNY_003-M-21-20220815,A00000175211,DSNY_003-M-21-20220815-PH,NEON.DOC.014048vO,M,4.73,3.48,10.1,10,1,10.1,20,2,NA,0000-0001-9861-5609,NA,20251217T193602Z,RELEASE-2026,DP1.10086.001,DSNY,2022,sls_soilpH
5bd26c83-716e-4dbb-b464-ef59869b4e6d,D03,DSNY,DSNY_006,DSNY_006.basePlot.bgc,2022-08-15T21:27:00Z,2022-08-15T21:27:00Z,2022-10-13,DSNY_006-M-23-20220815,A00000175176,DSNY_006-M-23-20220815-PH,NEON.DOC.014048vO,M,4.7,3.69,10,10,1,10,20,2,NA,0000-0001-9861-5609,NA,20251217T193602Z,RELEASE-2026,DP1.10086.001,DSNY,2022,sls_soilpH
20a50381-f8b9-4ff2-8214-eee6ea94dd82,D03,DSNY,DSNY_006,DSNY_006.basePlot.bgc,2022-08-15T21:39:00Z,2022-08-15T21:39:00Z,2022-10-13,DSNY_006-M-21-20220815,A00000175192,DSNY_006-M-21-20220815-PH,NEON.DOC.014048vO,M,4.96,3.8,10.1,10,1,10.1,20,2,NA,0000-0001-9861-5609,NA,20251217T193602Z,RELEASE-2026,DP1.10086.001,DSNY,2022,sls_soilpH
8c897086-7cfe-421c-adb6-a2dfbc0fdaaa,D03,DSNY,DSNY_006,DSNY_006.basePlot.bgc,2022-08-15T21:51:00Z,2022-08-15T21:51:00Z,2022-10-13,DSNY_006-M-39-20220815,A00000175208,DSNY_006-M-39-20220815-PH,NEON.DOC.014048vO,M,4.86,3.83,9.8,10,1,9.8,20,2,NA,0000-0001-9861-5609,NA,20251217T193602Z,RELEASE-2026,DP1.10086.001,DSNY,2022,sls_soilpH
9d14be01-0b90-4c1d-ba83-65e244796721,D03,DSNY,DSNY_043,DSNY_043.basePlot.bgc,2022-08-16T13:46:00Z,2022-08-16T13:46:00Z,2022-10-13,DSNY_043-M-21-20220816,A00000175188,DSNY_043-M-21-20220816-PH,NEON.DOC.014048vO,M,5.21,4.15,10.3,10,1,10.3,20,1.9,NA,0000-0001-9861-5609,NA,20251217T193602Z,RELEASE-2026,DP1.10086.001,DSNY,2022,sls_soilpH
69deea54-f46c-4ee9-bfcd-2a6d7587555c,D03,DSNY,DSNY_043,DSNY_043.basePlot.bgc,2022-08-16T14:26:00Z,2022-08-16T14:26:00Z,2022-10-13,DSNY_043-M-39-20220816,A00000175204,DSNY_043-M-39-20220816-PH,NEON.DOC.014048vO,M,5.26,4.08,9.8,10,1,9.8,20,2,NA,0000-0001-9861-5609,NA,20251217T193602Z,RELEASE-2026,DP1.10086.001,DSNY,2022,sls_soilpH
d99f59e3-3efd-409a-aa02-b854c3e49e50,D03,DSNY,DSNY_042,DSNY_042.basePlot.bgc,2022-08-16T15:55:00Z,2022-08-16T15:55:00Z,2022-10-13,DSNY_042-M-21-20220816,A00000175189,DSNY_042-M-21-20220816-PH,NEON.DOC.014048vO,M,4.62,3.65,10.4,10,1,10.4,20,1.9,NA,0000-0001-9861-5609,NA,20251217T193602Z,RELEASE-2026,DP1.10086.001,DSNY,2022,sls_soilpH
3146d714-b8a1-4cfc-94db-61738271023a,D03,DSNY,DSNY_044,DSNY_044.basePlot.bgc,2022-08-16T16:37:00Z,2022-08-16T16:37:00Z,2022-10-13,DSNY_044-M-23-20220816,A00000175171,DSNY_044-M-23-20220816-PH,NEON.DOC.014048vO,M,4.8,3.65,9.9,10,1,9.9,20,2,NA,0000-0001-9861-5609,NA,20251217T193602Z,RELEASE-2026,DP1.10086.001,DSNY,2022,sls_soilpH
c978c675-52c3-4270-97f1-1b3b42a66ee6,D03,DSNY,DSNY_044,DSNY_044.basePlot.bgc,2022-08-16T16:49:00Z,2022-08-16T16:49:00Z,2022-10-13,DSNY_044-M-41-20220816,A00000175187,DSNY_044-M-41-20220816-PH,NEON.DOC.014048vO,M,5.28,4.05,10.2,10,1,10.2,20,2,NA,0000-0001-9861-5609,NA,20251217T193602Z,RELEASE-2026,DP1.10086.001,DSNY,2022,sls_soilpH
37921e96-41fa-4e7e-87ba-e61065b3025f,D03,DSNY,DSNY_044,DSNY_044.basePlot.bgc,2022-08-16T16:58:00Z,2022-08-16T16:58:00Z,2022-10-13,DSNY_044-M-39-20220816,A00000175203,DSNY_044-M-39-20220816-PH,NEON.DOC.014048vO,M,4.98,3.95,10,10,1,10,20,2,NA,0000-0001-9861-5609,NA,20251217T193602Z,RELEASE-2026,DP1.10086.001,DSNY,2022,sls_soilpH
cf63f6fa-7cd5-4c60-90cf-7a737adea4ad,D03,DSNY,DSNY_005,DSNY_005.basePlot.bgc,2022-08-16T17:11:00Z,2022-08-16T17:11:00Z,2022-10-13,DSNY_005-M-39-20220816,A00000175209,DSNY_005-M-39-20220816-PH,NEON.DOC.014048vO,M,4.67,3.47,9.7,10,1,9.7,20,2.1,NA,0000-0001-9861-5609,NA,20251217T193602Z,RELEASE-2026,DP1.10086.001,DSNY,2022,sls_soilpH
084f7c1a-fc54-4a9f-a6d6-5088ef59964a,D03,DSNY,DSNY_005,DSNY_005.basePlot.bgc,2022-08-16T17:23:00Z,2022-08-16T17:23:00Z,2022-10-13,DSNY_005-M-21-20220816,A00000175193,DSNY_005-M-21-20220816-PH,NEON.DOC.014048vO,M,4.49,3.35,10,10,1,10,20,2,NA,0000-0001-9861-5609,NA,20251217T193602Z,RELEASE-2026,DP1.10086.001,DSNY,2022,sls_soilpH
e59e43c2-7f5c-48b9-af8e-ae34282fa7cb,D03,DSNY,DSNY_041,DSNY_041.basePlot.bgc,2022-08-16T17:34:00Z,2022-08-16T17:34:00Z,2022-10-13,DSNY_041-M-41-20220816,A00000175206,DSNY_041-M-41-20220816-PH,NEON.DOC.014048vO,M,4.69,3.57,9.8,10,1,9.8,20,2.1,NA,0000-0001-9861-5609,NA,20251217T193602Z,RELEASE-2026,DP1.10086.001,DSNY,2022,sls_soilpH
6b7dc670-9df5-473f-a046-e29beed10bbd,D03,DSNY,DSNY_041,DSNY_041.basePlot.bgc,2022-08-16T17:42:00Z,2022-08-16T17:42:00Z,2022-10-13,DSNY_041-M-23-20220816,A00000175190,DSNY_041-M-23-20220816-PH,NEON.DOC.014048vO,M,5.02,3.96,10.3,10,1,10.3,20,1.9,NA,0000-0001-9861-5609,NA,20251217T193602Z,RELEASE-2026,DP1.10086.001,DSNY,2022,sls_soilpH
