uid,namedLocation,domainID,siteID,plotID,startDate,collectDate,sampleID,sampleCode,kclSampleID,kclSampleCode,sampleCondition,ammoniumNAnalysisDate,kclAmmoniumNConc,ammoniumNRepNum,ammoniumNQF,ammoniumNRemarks,nitrateNitriteNAnalysisDate,kclNitrateNitriteNConc,nitrateNitriteNRepNum,nitrateNitriteNQF,nitrateNitriteNRemarks,laboratoryName,ammoniumNMethod,ammoniumNInstrument,ammoniumNAnalyzedBy,ammoniumNReviewedBy,nitrateNitriteNMethod,nitrateNitriteNInstrument,nitrateNitriteNAnalyzedBy,nitrateNitriteNReviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
abc6f635-a7a1-4a4f-9250-766ae32486bf,DSNY_004.basePlot.bgc,D03,DSNY,DSNY_004,2023-03-13T20:56:00Z,2023-03-13T20:56:00Z,DSNY_004-M-41-20230313,A00000176795,DSNY_004-M-41-20230313-KCL,B00000130452,ok,2023-06-26,0.004,1,below method detection limit,NA,2023-06-27,0.019,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194004Z,RELEASE-2026,DP1.10086.001,DSNY,2023,ntr_externalLab
37275281-b74c-4e99-a120-d4c6d06e6308,DSNY_004.basePlot.bgc,D03,DSNY,DSNY_004,2023-03-13T21:23:00Z,2023-03-13T21:23:00Z,DSNY_004-M-23-20230313,A00000176794,DSNY_004-M-23-20230313-KCL,B00000130454,ok,2023-06-26,0.011,1,OK,NA,2023-06-27,0.019,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194004Z,RELEASE-2026,DP1.10086.001,DSNY,2023,ntr_externalLab
85753c2c-eef0-4fd9-9d7b-608e77cadeda,DSNY_004.basePlot.bgc,D03,DSNY,DSNY_004,2023-03-13T21:55:00Z,2023-03-13T21:55:00Z,DSNY_004-M-21-20230313,A00000176796,DSNY_004-M-21-20230313-KCL,B00000130453,ok,2023-06-26,0.016,1,OK,NA,2023-06-27,0.019,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194004Z,RELEASE-2026,DP1.10086.001,DSNY,2023,ntr_externalLab
6425ca20-c20c-45ca-900b-234ee55eb4cb,DSNY_004.basePlot.bgc,D03,DSNY,DSNY_004,2023-03-13T20:56:00Z,2023-04-03T21:19:00Z,DSNY_004-M-41-20230403,A00000177229,DSNY_004-M-41-20230403-KCL,B00000073246,ok,2023-06-26,0.009,1,below method detection limit,NA,2023-06-27,0.014,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193541Z,RELEASE-2026,DP1.10086.001,DSNY,2023,ntr_externalLab
bd392a66-3d00-4212-b805-3ff15f4f6f99,DSNY_004.basePlot.bgc,D03,DSNY,DSNY_004,2023-03-13T21:23:00Z,2023-04-03T21:27:00Z,DSNY_004-M-23-20230403,A00000177245,DSNY_004-M-23-20230403-KCL,B00000073245,ok,2023-06-26,0.015,1,OK,NA,2023-06-27,0.016,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193541Z,RELEASE-2026,DP1.10086.001,DSNY,2023,ntr_externalLab
13a8a977-8659-46f7-b777-0efe3bbcfd3e,DSNY_004.basePlot.bgc,D03,DSNY,DSNY_004,2023-09-12T18:04:00Z,2023-09-12T18:04:00Z,DSNY_004-M-21-20230912,A00000176940,DSNY_004-M-21-20230912-KCL,B00000073901,ok,2023-12-12,0.016,1,OK,NA,2023-12-14,0.028,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193931Z,RELEASE-2026,DP1.10086.001,DSNY,2023,ntr_externalLab
d5306b04-35e2-4a74-bead-d95269f9d715,DSNY_004.basePlot.bgc,D03,DSNY,DSNY_004,2023-09-12T18:04:00Z,2023-09-25T19:08:00Z,DSNY_004-M-21-20230925,A00000173618,DSNY_004-M-21-20230925-KCL,B00000073940,ok,2023-12-12,0.015,1,OK,NA,2023-12-14,0.015,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193931Z,RELEASE-2026,DP1.10086.001,DSNY,2023,ntr_externalLab
f91faf41-d6ac-4363-acf3-de889cfb6515,DSNY_004.basePlot.bgc,D03,DSNY,DSNY_004,2023-09-12T18:39:00Z,2023-09-12T18:39:00Z,DSNY_004-M-41-20230912,A00000176923,DSNY_004-M-41-20230912-KCL,B00000073902,ok,2023-12-12,0.011,1,OK,NA,2023-12-14,0.015,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193931Z,RELEASE-2026,DP1.10086.001,DSNY,2023,ntr_externalLab
d99e5f11-8f63-4090-8fbc-5e1a5e3b2bc0,DSNY_004.basePlot.bgc,D03,DSNY,DSNY_004,2023-09-12T18:39:00Z,2023-09-25T19:21:00Z,DSNY_004-M-41-20230925,A00000173582,DSNY_004-M-41-20230925-KCL,B00000073941,ok,2023-12-12,0.008,1,OK,below method detection limit,2023-12-14,0.017,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193931Z,RELEASE-2026,DP1.10086.001,DSNY,2023,ntr_externalLab
d01e5f73-522b-4a76-b17a-7b0789336772,DSNY_004.basePlot.bgc,D03,DSNY,DSNY_004,2023-09-12T19:17:00Z,2023-09-12T19:17:00Z,DSNY_004-M-39-20230912,A00000176924,DSNY_004-M-39-20230912-KCL,B00000073903,ok,2023-12-12,0.012,2,OK,NA,2023-12-14,0.026,2,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193931Z,RELEASE-2026,DP1.10086.001,DSNY,2023,ntr_externalLab
