uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
33847bf1-1fcd-4f46-aed1-a9b0a12813ff,D07,GRSM,GRSM_059,GRSM_059.basePlot.bgc,2021-06-29T15:53:00Z,2021-06-29T15:53:00Z,GRSM_059-M-10.5-38-20210629,A00000215592,GRSM_059-M-10.5-38-20210629-SM,NEON.DOC.014048vN,M,2021-07-07T12:25:00Z,2021-07-12T11:41:00Z,1.05,11.53,8.43,0.42,0.704,NA,NA,0000-0002-5381-0889,NA,20251217T193451Z,RELEASE-2026,DP1.10086.001,GRSM,2021,sls_soilMoisture
954cfd8f-ce4d-4811-8b1b-5b960889c3d8,D07,GRSM,GRSM_059,GRSM_059.basePlot.bgc,2021-06-29T16:42:00Z,2021-06-29T16:42:00Z,GRSM_059-M-36.5-28.5-20210629,A00000215591,GRSM_059-M-36.5-28.5-20210629-SM,NEON.DOC.014048vN,M,2021-07-07T12:25:00Z,2021-07-12T11:39:00Z,1.06,11.21,8.39,0.385,0.722,NA,NA,0000-0002-5381-0889,NA,20251217T193451Z,RELEASE-2026,DP1.10086.001,GRSM,2021,sls_soilMoisture
4f67fd41-a633-4db6-9d83-84ec1e964046,D07,GRSM,GRSM_059,GRSM_059.basePlot.bgc,2021-06-29T17:17:00Z,2021-06-29T17:17:00Z,GRSM_059-M-20.5-7-20210629,A00000215590,GRSM_059-M-20.5-7-20210629-SM,NEON.DOC.014048vN,M,2021-07-07T20:32:00Z,2021-07-12T11:28:00Z,1.06,10.95,8.75,0.286,0.778,NA,NA,0000-0002-1500-0957,NA,20251217T193451Z,RELEASE-2026,DP1.10086.001,GRSM,2021,sls_soilMoisture
e9e46649-4267-4251-8630-e6ad64965ba7,D07,GRSM,GRSM_059,GRSM_059.basePlot.bgc,2021-04-06T19:34:00Z,2021-04-06T19:34:00Z,GRSM_059-O-3-9.5-20210406,A00000214599,GRSM_059-O-3-9.5-20210406-SM,NEON.DOC.014048vN,O,2021-04-09T12:35:00Z,2021-04-14T19:48:00Z,2.28,7.43,4.15,1.754,0.363,NA,NA,0000-0002-5381-0889,NA,20251217T193605Z,RELEASE-2026,DP1.10086.001,GRSM,2021,sls_soilMoisture
514bd8c7-7814-4234-bbdd-d5febef59cc0,D07,GRSM,GRSM_059,GRSM_059.basePlot.bgc,2021-04-06T19:34:00Z,2021-04-06T19:34:00Z,GRSM_059-M-3-9.5-20210406,A00000214583,GRSM_059-M-3-9.5-20210406-SM,NEON.DOC.014048vN,M,2021-04-09T12:35:00Z,2021-04-14T19:48:00Z,2.28,12.49,9.83,0.352,0.739,NA,Needs checking,0000-0002-5381-0889,NA,20251217T193605Z,RELEASE-2026,DP1.10086.001,GRSM,2021,sls_soilMoisture
6e77c777-ff5e-46fd-b46f-2158b084c345,D07,GRSM,GRSM_059,GRSM_059.basePlot.bgc,2021-04-06T19:34:00Z,2021-04-27T12:52:00Z,GRSM_059-M-3-9.5-20210427,A00000215054,GRSM_059-M-3-9.5-20210427-SM,NEON.DOC.014048vN,M,2021-04-29T16:52:00Z,2021-05-04T17:48:00Z,1.04,10.89,8.5,0.32,0.757,NA,NA,0000-0002-1500-0957,NA,20251217T193605Z,RELEASE-2026,DP1.10086.001,GRSM,2021,sls_soilMoisture
af69e39d-e980-46e0-8dd7-b82bdcda616e,D07,GRSM,GRSM_059,GRSM_059.basePlot.bgc,2021-04-06T19:34:00Z,2021-04-27T12:52:00Z,GRSM_059-O-3-9.5-20210427,A00000215053,GRSM_059-O-3-9.5-20210427-SM,NEON.DOC.014048vN,O,2021-04-29T16:52:00Z,2021-05-04T17:47:00Z,1.05,4.67,3.1,0.766,0.566,NA,Limited quantity of soil,0000-0002-1500-0957,NA,20251217T193605Z,RELEASE-2026,DP1.10086.001,GRSM,2021,sls_soilMoisture
21ecc3f3-0c6c-4834-9f09-386901b74ac8,D07,GRSM,GRSM_059,GRSM_059.basePlot.bgc,2021-04-06T20:29:00Z,2021-04-06T20:29:00Z,GRSM_059-M-23-5.5-20210406,A00000214582,GRSM_059-M-23-5.5-20210406-SM,NEON.DOC.014048vN,M,2021-04-09T12:35:00Z,2021-04-14T19:05:00Z,1.05,11.11,7.92,0.464,0.683,NA,NA,0000-0002-5381-0889,NA,20251217T193605Z,RELEASE-2026,DP1.10086.001,GRSM,2021,sls_soilMoisture
8466b8de-ed80-47a4-88b7-4c6b65cc552f,D07,GRSM,GRSM_059,GRSM_059.basePlot.bgc,2021-04-06T20:29:00Z,2021-04-27T12:57:00Z,GRSM_059-M-23-5.5-20210427,A00000215055,GRSM_059-M-23-5.5-20210427-SM,NEON.DOC.014048vN,M,2021-04-29T16:52:00Z,2021-05-04T17:47:00Z,1.03,11.24,8.12,0.44,0.694,NA,NA,0000-0002-1500-0957,NA,20251217T193605Z,RELEASE-2026,DP1.10086.001,GRSM,2021,sls_soilMoisture
3bf2dde6-3a15-406b-bc60-1e9b56146afe,D07,GRSM,GRSM_059,GRSM_059.basePlot.bgc,2021-04-06T21:02:00Z,2021-04-06T21:02:00Z,GRSM_059-M-23.5-35.5-20210406,A00000214581,GRSM_059-M-23.5-35.5-20210406-SM,NEON.DOC.014048vN,M,2021-04-09T12:35:00Z,2021-04-14T19:48:00Z,2.19,12.21,9.43,0.384,0.723,NA,NA,0000-0002-5381-0889,NA,20251217T193605Z,RELEASE-2026,DP1.10086.001,GRSM,2021,sls_soilMoisture
2b1b3b86-60db-4168-b124-a5c1bdccae84,D07,GRSM,GRSM_059,GRSM_059.basePlot.bgc,2021-04-06T21:02:00Z,2021-04-27T13:04:00Z,GRSM_059-M-23.5-35.5-20210427,A00000215056,GRSM_059-M-23.5-35.5-20210427-SM,NEON.DOC.014048vN,M,2021-04-29T16:52:00Z,2021-05-04T17:45:00Z,1.06,11,8.32,0.369,0.73,NA,NA,0000-0002-1500-0957,NA,20251217T193605Z,RELEASE-2026,DP1.10086.001,GRSM,2021,sls_soilMoisture
c32c312d-2f3a-4061-a403-6fd0dee207d0,D07,GRSM,GRSM_059,GRSM_059.basePlot.bgc,2021-10-19T16:07:00Z,2021-10-19T16:07:00Z,GRSM_059-M-17.5-7.5-20211019,A00000218192,GRSM_059-M-17.5-7.5-20211019-SM,NEON.DOC.014048vN,M,2021-10-21T20:20:00Z,2021-10-25T13:30:00Z,2.28,11.91,9.4,0.353,0.739,NA,NA,0000-0002-6510-5837,NA,20251217T193731Z,RELEASE-2026,DP1.10086.001,GRSM,2021,sls_soilMoisture
9b5c7f0d-e48a-483d-8361-5d6e3a7b57bb,D07,GRSM,GRSM_059,GRSM_059.basePlot.bgc,2021-10-19T16:37:00Z,2021-10-19T16:37:00Z,GRSM_059-M-33.5-15-20211019,A00000218196,GRSM_059-M-33.5-15-20211019-SM,NEON.DOC.014048vN,M,2021-10-21T20:20:00Z,2021-10-25T13:30:00Z,2.21,12.16,8.72,0.528,0.654,NA,NA,0000-0002-6510-5837,NA,20251217T193731Z,RELEASE-2026,DP1.10086.001,GRSM,2021,sls_soilMoisture
38148f38-7125-4cc9-8d5c-d760bb17b0fd,D07,GRSM,GRSM_059,GRSM_059.basePlot.bgc,2021-10-19T17:09:00Z,2021-10-19T17:09:00Z,GRSM_059-M-23-38-20211019,A00000218194,GRSM_059-M-23-38-20211019-SM,NEON.DOC.014048vN,M,2021-10-21T20:20:00Z,2021-10-25T13:30:00Z,2.3,12.45,10.37,0.258,0.795,NA,NA,0000-0002-6510-5837,NA,20251217T193731Z,RELEASE-2026,DP1.10086.001,GRSM,2021,sls_soilMoisture
a0fc0d99-f895-401c-991e-0ea86893eb41,D07,GRSM,GRSM_059,GRSM_059.basePlot.bgc,2021-06-29T15:53:00Z,2021-07-20T13:26:00Z,GRSM_059-M-10.5-38-20210720,A00000216472,GRSM_059-M-10.5-38-20210720-SM,NEON.DOC.014048vN,M,2021-07-22T19:00:00Z,2021-07-28T13:32:00Z,1.04,10.65,7.94,0.393,0.718,NA,NA,0000-0001-6726-6119,NA,20251217T193840Z,RELEASE-2026,DP1.10086.001,GRSM,2021,sls_soilMoisture
3b76dc3f-a082-4f99-b7cf-6ec23f393123,D07,GRSM,GRSM_059,GRSM_059.basePlot.bgc,2021-06-29T16:42:00Z,2021-07-20T13:35:00Z,GRSM_059-M-36.5-28.5-20210720,A00000216471,GRSM_059-M-36.5-28.5-20210720-SM,NEON.DOC.014048vN,M,2021-07-22T19:00:00Z,2021-07-28T13:31:00Z,1.06,11.35,7.04,0.721,0.581,NA,NA,0000-0001-6726-6119,NA,20251217T193840Z,RELEASE-2026,DP1.10086.001,GRSM,2021,sls_soilMoisture
5584e58f-101c-45ab-a1c8-29a6a9ebad7c,D07,GRSM,GRSM_059,GRSM_059.basePlot.bgc,2021-06-29T17:17:00Z,2021-07-20T13:45:00Z,GRSM_059-M-20.5-7-20210720,A00000216469,GRSM_059-M-20.5-7-20210720-SM,NEON.DOC.014048vN,M,2021-07-22T19:00:00Z,2021-07-28T13:31:00Z,1.04,11.14,8.55,0.345,0.744,NA,NA,0000-0001-6726-6119,NA,20251217T193840Z,RELEASE-2026,DP1.10086.001,GRSM,2021,sls_soilMoisture
3a0d103f-e0b5-4680-9aad-1661e6098916,D07,GRSM,GRSM_059,GRSM_059.basePlot.bgc,2021-10-19T16:07:00Z,2021-11-09T15:18:00Z,GRSM_059-M-17.5-7.5-20211109,NA,GRSM_059-M-17.5-7.5-20211109-SM,NEON.DOC.014048vN,M,2021-11-11T19:00:00Z,2021-11-15T13:31:00Z,1.05,10.81,8.29,0.348,0.742,OK,NA,0000-0002-8860-3644,NA,20251217T193731Z,RELEASE-2026,DP1.10086.001,GRSM,2021,sls_soilMoisture
d880df05-1a4f-4474-9869-25c4510fe12e,D07,GRSM,GRSM_059,GRSM_059.basePlot.bgc,2021-10-19T16:37:00Z,2021-11-09T15:10:00Z,GRSM_059-M-33.5-15-20211109,NA,GRSM_059-M-33.5-15-20211109-SM,NEON.DOC.014048vN,M,2021-11-11T18:00:00Z,2021-11-15T13:31:00Z,1.06,10.95,7.54,0.526,0.655,OK,NA,0000-0002-8860-3644,NA,20251217T193731Z,RELEASE-2026,DP1.10086.001,GRSM,2021,sls_soilMoisture
62a66766-2d30-491c-a5d1-6e4d477bdf49,D07,GRSM,GRSM_059,GRSM_059.basePlot.bgc,2021-10-19T17:09:00Z,2021-11-09T15:27:00Z,GRSM_059-M-23-38-20211109,NA,GRSM_059-M-23-38-20211109-SM,NEON.DOC.014048vN,M,2021-11-11T18:00:00Z,2021-11-15T13:31:00Z,1.05,10.87,8.64,0.294,0.773,OK,NA,0000-0002-8860-3644,NA,20251217T193731Z,RELEASE-2026,DP1.10086.001,GRSM,2021,sls_soilMoisture
