uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
ea375ab6-f770-431c-98b4-d155d8746cdf,D04,GUAN,GUAN_042,GUAN_042.basePlot.bgc,2019-01-09T17:08:00Z,2019-01-09T17:08:00Z,GUAN_042-M-20.5-30-20190109,A00000039602,GUAN_042-M-20.5-30-20190109-SM,NEON.DOC.014048vK,M,NA,2019-01-14T10:30:00Z,1.09,11.09,8.75,0.305,0.766,NA,NA,ecastro@battelleecology.org,NA,20251217T193839Z,RELEASE-2026,DP1.10086.001,GUAN,2019,sls_soilMoisture
6762c7b0-9373-451b-82fd-93468fbd8635,D04,GUAN,GUAN_042,GUAN_042.basePlot.bgc,2019-01-09T17:08:00Z,2019-01-29T12:24:00Z,GUAN_042-M-20.5-30-20190129,A00000039756,GUAN_042-M-20.5-30-20190129-SM,NEON.DOC.014048vK,M,2019-01-29T16:30:00Z,2019-01-31T17:00:00Z,1.07,11.07,7.65,0.52,0.658,NA,NA,jorengo@battelleecology.org,NA,20251217T193839Z,RELEASE-2026,DP1.10086.001,GUAN,2019,sls_soilMoisture
9005d5a0-d48c-49d0-915f-cb1e74a9566b,D04,GUAN,GUAN_042,GUAN_042.basePlot.bgc,2019-01-09T17:56:00Z,2019-01-09T17:56:00Z,GUAN_042-M-37-10-20190109,A00000039721,GUAN_042-M-37-10-20190109-SM,NEON.DOC.014048vK,M,NA,2019-01-14T10:30:00Z,1.04,11.04,8.95,0.264,0.791,NA,NA,ecastro@battelleecology.org,NA,20251217T193839Z,RELEASE-2026,DP1.10086.001,GUAN,2019,sls_soilMoisture
df0786f1-f1f1-41ce-a530-4ee0ff26b522,D04,GUAN,GUAN_042,GUAN_042.basePlot.bgc,2019-01-09T17:56:00Z,2019-01-29T12:33:00Z,GUAN_042-M-37-10-20190129,A00000039755,GUAN_042-M-37-10-20190129-SM,NEON.DOC.014048vK,M,2019-01-29T16:30:00Z,2019-01-31T17:00:00Z,1.09,11.09,8.71,0.312,0.762,NA,NA,jorengo@battelleecology.org,NA,20251217T193839Z,RELEASE-2026,DP1.10086.001,GUAN,2019,sls_soilMoisture
98e68c5d-495a-4737-83ae-9ad6a10fd843,D04,GUAN,GUAN_042,GUAN_042.basePlot.bgc,2019-01-09T18:35:00Z,2019-01-09T18:35:00Z,GUAN_042-M-6-8-20190109,A00000039601,GUAN_042-M-6-8-20190109-SM,NEON.DOC.014048vK,M,NA,2019-01-14T10:30:00Z,1.12,11.12,8.97,0.274,0.785,NA,NA,ecastro@battelleecology.org,NA,20251217T193839Z,RELEASE-2026,DP1.10086.001,GUAN,2019,sls_soilMoisture
75f19bea-9002-4548-821e-c44731406e5a,D04,GUAN,GUAN_042,GUAN_042.basePlot.bgc,2019-01-09T18:35:00Z,2019-01-29T12:44:00Z,GUAN_042-M-6-8-20190129,A00000039757,GUAN_042-M-6-8-20190129-SM,NEON.DOC.014048vK,M,2019-01-29T16:30:00Z,2019-01-31T17:00:00Z,1.1,11.1,8.34,0.381,0.724,NA,NA,jorengo@battelleecology.org,NA,20251217T193839Z,RELEASE-2026,DP1.10086.001,GUAN,2019,sls_soilMoisture
4f336be0-c247-4329-8e87-e05d2aa959d0,D04,GUAN,GUAN_042,GUAN_042.basePlot.bgc,2019-07-15T15:16:00Z,2019-07-15T15:16:00Z,GUAN_042-M-28-34.5-20190715,A00000109764,GUAN_042-M-28-34.5-20190715-SM,NEON.DOC.014048vL,M,2019-07-15T20:15:00Z,2019-07-17T20:48:00Z,1.02,11.02,8.96,0.259,0.794,NA,NA,0000-0001-5314-0662,NA,20251217T194027Z,RELEASE-2026,DP1.10086.001,GUAN,2019,sls_soilMoisture
e888f601-9fea-4a7d-b0e9-21789247cb72,D04,GUAN,GUAN_042,GUAN_042.basePlot.bgc,2019-07-15T15:37:00Z,2019-07-15T15:37:00Z,GUAN_042-M-11-38.5-20190715,A00000109763,GUAN_042-M-11-38.5-20190715-SM,NEON.DOC.014048vL,M,2019-07-15T20:15:00Z,2019-07-17T20:48:00Z,1.03,11.03,9,0.255,0.797,NA,NA,0000-0001-5314-0662,NA,20251217T194027Z,RELEASE-2026,DP1.10086.001,GUAN,2019,sls_soilMoisture
17a91193-a8f9-4711-a0ae-85efd9636145,D04,GUAN,GUAN_042,GUAN_042.basePlot.bgc,2019-07-15T16:08:00Z,2019-07-15T16:08:00Z,GUAN_042-M-10-5.5-20190715,A00000109762,GUAN_042-M-10-5.5-20190715-SM,NEON.DOC.014048vL,M,2019-07-15T20:15:00Z,2019-07-17T20:48:00Z,1.05,11.05,8.82,0.287,0.777,NA,NA,0000-0001-5314-0662,NA,20251217T194027Z,RELEASE-2026,DP1.10086.001,GUAN,2019,sls_soilMoisture
99f87297-dde9-41a8-b14e-b3706b5ed9d4,D04,GUAN,GUAN_042,GUAN_042.basePlot.bgc,2019-10-01T17:27:00Z,2019-10-01T17:27:00Z,GUAN_042-M-36.5-30.5-20191001,A00000112584,GUAN_042-M-36.5-30.5-20191001-SM,NEON.DOC.014048vL,M,2019-10-01T20:00:00Z,2019-10-03T20:20:00Z,1.04,11.04,6.54,0.818,0.55,NA,NA,0000-0002-8070-0423,NA,20251217T193941Z,RELEASE-2026,DP1.10086.001,GUAN,2019,sls_soilMoisture
