uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
18240f69-c204-4b11-b633-2a3f0f2e1be7,D04,GUAN,GUAN_002,GUAN_002.basePlot.bgc,2021-01-18T11:46:00Z,2021-01-18T11:46:00Z,GUAN_002-M-2.5-23-20210118,A00000191977,GUAN_002-M-2.5-23-20210118-SM,NEON.DOC.014048vN,M,2021-01-18T18:18:00Z,2021-01-20T19:00:00Z,1.03,11.15,8.89,0.288,0.777,NA,NA,0000-0001-5388-9729,NA,20251217T193903Z,RELEASE-2026,DP1.10086.001,GUAN,2021,sls_soilMoisture
14af58e5-f5e9-4225-b4fe-fc322b535510,D04,GUAN,GUAN_002,GUAN_002.basePlot.bgc,2021-01-18T12:26:00Z,2021-01-18T12:26:00Z,GUAN_002-M-10-3-20210118,A00000191975,GUAN_002-M-10-3-20210118-SM,NEON.DOC.014048vN,M,2021-01-18T18:18:00Z,2021-01-20T19:00:00Z,1.05,11.12,8.81,0.298,0.771,NA,NA,0000-0001-5388-9729,NA,20251217T193903Z,RELEASE-2026,DP1.10086.001,GUAN,2021,sls_soilMoisture
2c5a50ec-b28f-465e-a929-9d9db01234ea,D04,GUAN,GUAN_002,GUAN_002.basePlot.bgc,2021-01-18T13:00:00Z,2021-01-18T13:00:00Z,GUAN_002-M-30-13.5-20210118,A00000191979,GUAN_002-M-30-13.5-20210118-SM,NEON.DOC.014048vN,M,2021-01-18T18:18:00Z,2021-01-20T19:00:00Z,1.04,11.34,8.31,0.417,0.706,NA,NA,0000-0001-5388-9729,NA,20251217T193903Z,RELEASE-2026,DP1.10086.001,GUAN,2021,sls_soilMoisture
3ef14248-2974-4faa-ae74-e27f2f757c60,D04,GUAN,GUAN_004,GUAN_004.basePlot.bgc,2021-01-18T14:40:00Z,2021-01-18T14:40:00Z,GUAN_004-M-38.5-7-20210118,A00000191991,GUAN_004-M-38.5-7-20210118-SM,NEON.DOC.014048vN,M,2021-01-18T18:18:00Z,2021-01-20T19:00:00Z,1.06,11.29,7.78,0.522,0.657,NA,NA,0000-0001-5388-9729,NA,20251217T193903Z,RELEASE-2026,DP1.10086.001,GUAN,2021,sls_soilMoisture
5a795c94-b44f-4d7f-b2a4-44cec8848a67,D04,GUAN,GUAN_004,GUAN_004.basePlot.bgc,2021-01-18T15:14:00Z,2021-01-18T15:14:00Z,GUAN_004-M-4.5-12.5-20210118,A00000191993,GUAN_004-M-4.5-12.5-20210118-SM,NEON.DOC.014048vN,M,2021-01-18T18:18:00Z,2021-01-20T19:00:00Z,1.02,11.26,9.18,0.255,0.797,NA,NA,0000-0001-5388-9729,NA,20251217T193903Z,RELEASE-2026,DP1.10086.001,GUAN,2021,sls_soilMoisture
a2bf4c24-46be-4acf-9b8e-0c3c3e8a8605,D04,GUAN,GUAN_004,GUAN_004.basePlot.bgc,2021-01-18T15:46:00Z,2021-01-18T15:46:00Z,GUAN_004-M-30.5-29-20210118,A00000192099,GUAN_004-M-30.5-29-20210118-SM,NEON.DOC.014048vN,M,2021-01-18T18:18:00Z,2021-01-20T19:00:00Z,1.07,11.29,8.88,0.309,0.764,NA,NA,0000-0001-5388-9729,NA,20251217T193903Z,RELEASE-2026,DP1.10086.001,GUAN,2021,sls_soilMoisture
94f5c9e2-9d8f-4ea4-acff-9d3af47c48aa,D04,GUAN,GUAN_001,GUAN_001.basePlot.bgc,2021-01-18T16:51:00Z,2021-01-18T16:51:00Z,GUAN_001-M-6-10-20210118,A00000191973,GUAN_001-M-6-10-20210118-SM,NEON.DOC.014048vN,M,2021-01-18T18:18:00Z,2021-01-20T19:00:00Z,1.03,11.49,9.65,0.213,0.824,NA,NA,0000-0001-5388-9729,NA,20251217T193903Z,RELEASE-2026,DP1.10086.001,GUAN,2021,sls_soilMoisture
b911460b-c3e2-4073-a22b-8be9193f5770,D04,GUAN,GUAN_001,GUAN_001.basePlot.bgc,2021-01-18T17:03:00Z,2021-01-18T17:03:00Z,GUAN_001-M-21.5-32-20210118,A00000191974,GUAN_001-M-21.5-32-20210118-SM,NEON.DOC.014048vN,M,2021-01-18T18:18:00Z,2021-01-20T19:00:00Z,1.04,11.25,9.25,0.244,0.804,NA,NA,0000-0001-5388-9729,NA,20251217T193903Z,RELEASE-2026,DP1.10086.001,GUAN,2021,sls_soilMoisture
4b0d9b0d-7a3d-4556-89e5-9145f653a35c,D04,GUAN,GUAN_001,GUAN_001.basePlot.bgc,2021-01-18T17:16:00Z,2021-01-18T17:16:00Z,GUAN_001-M-16.5-39-20210118,A00000191976,GUAN_001-M-16.5-39-20210118-SM,NEON.DOC.014048vN,M,2021-01-18T18:18:00Z,2021-01-20T19:00:00Z,1.05,11.44,9.41,0.243,0.805,NA,NA,0000-0001-5388-9729,NA,20251217T193903Z,RELEASE-2026,DP1.10086.001,GUAN,2021,sls_soilMoisture
9e26bfea-d524-4e7f-a83d-1651e131d8d2,D04,GUAN,GUAN_007,GUAN_007.basePlot.bgc,2021-01-19T11:16:00Z,2021-01-19T11:16:00Z,GUAN_007-M-35.5-23-20210119,A00000192122,GUAN_007-M-35.5-23-20210119-SM,NEON.DOC.014048vN,M,2021-01-19T18:45:00Z,2021-01-21T17:55:00Z,1.03,11.07,7.88,0.466,0.682,NA,NA,0000-0001-5388-9729,NA,20251217T193903Z,RELEASE-2026,DP1.10086.001,GUAN,2021,sls_soilMoisture
