uid,namedLocation,domainID,siteID,plotID,startDate,collectDate,sampleID,sampleCode,kclSampleID,kclSampleCode,sampleCondition,ammoniumNAnalysisDate,kclAmmoniumNConc,ammoniumNRepNum,ammoniumNQF,ammoniumNRemarks,nitrateNitriteNAnalysisDate,kclNitrateNitriteNConc,nitrateNitriteNRepNum,nitrateNitriteNQF,nitrateNitriteNRemarks,laboratoryName,ammoniumNMethod,ammoniumNInstrument,ammoniumNAnalyzedBy,ammoniumNReviewedBy,nitrateNitriteNMethod,nitrateNitriteNInstrument,nitrateNitriteNAnalyzedBy,nitrateNitriteNReviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
fd12deac-2386-4a6d-b5db-0b75e9ecb754,GUAN_043.basePlot.bgc,D04,GUAN,GUAN_043,2022-09-07T14:17:00Z,2022-09-07T14:17:00Z,GUAN_043-M-21-20220907,A00000197148,GUAN_043-M-21-20220907-KCL,B00000076861,ok,2022-11-16,0.054,1,OK,NA,2022-11-15,1.475,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193746Z,RELEASE-2026,DP1.10086.001,GUAN,2022,ntr_externalLab
d0a76d96-a55c-4c60-b1a4-d8b0e9c2bf91,GUAN_043.basePlot.bgc,D04,GUAN,GUAN_043,2022-09-07T14:35:00Z,2022-09-07T14:35:00Z,GUAN_043-M-39-20220907,A00000197144,GUAN_043-M-39-20220907-KCL,B00000076868,ok,2022-11-16,0.372,1,OK,NA,2022-11-15,1.08,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193746Z,RELEASE-2026,DP1.10086.001,GUAN,2022,ntr_externalLab
c69b0d4a-f256-45f5-bf67-e0b433315324,GUAN_043.basePlot.bgc,D04,GUAN,GUAN_043,2022-09-07T14:49:00Z,2022-09-07T14:49:00Z,GUAN_043-M-41-20220907,A00000197127,GUAN_043-M-41-20220907-KCL,B00000076867,ok,2022-11-16,0.051,1,OK,NA,2022-11-15,5.18,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193746Z,RELEASE-2026,DP1.10086.001,GUAN,2022,ntr_externalLab
513ad64a-02a0-41f6-ba80-d76d7a9420e3,GUAN_043.basePlot.bgc,D04,GUAN,GUAN_043,2022-07-14T11:26:00Z,2022-07-14T11:26:00Z,GUAN_043-M-39-20220714,A00000195558,GUAN_043-M-39-20220714-KCL,B00000076718,ok,2022-09-14,0.261,1,OK,NA,2022-09-07,0.764,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194026Z,RELEASE-2026,DP1.10086.001,GUAN,2022,ntr_externalLab
b197b8fd-2159-4a2a-bbfd-16df6e997dd6,GUAN_043.basePlot.bgc,D04,GUAN,GUAN_043,2022-07-14T11:26:00Z,2022-07-14T11:26:00Z,GUAN_043-M-39-20220714,A00000195558,GUAN_043-M-39-20220714-KCL,B00000076718,ok,NA,NA,NA,NA,NA,2022-09-07,0.632,2,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,NA,NA,NA,NA,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194026Z,RELEASE-2026,DP1.10086.001,GUAN,2022,ntr_externalLab
d49ce2a9-dd79-4dd7-bddb-b788785724f8,GUAN_043.basePlot.bgc,D04,GUAN,GUAN_043,2022-07-14T11:26:00Z,2022-07-26T11:36:00Z,GUAN_043-M-39-20220726,A00000196546,GUAN_043-M-39-20220726-KCL,B00000076731,ok,2022-09-14,0.085,1,OK,NA,2022-09-07,1.316,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194026Z,RELEASE-2026,DP1.10086.001,GUAN,2022,ntr_externalLab
21bd9af3-11ce-43e8-8b25-5954a31eb7a8,GUAN_043.basePlot.bgc,D04,GUAN,GUAN_043,2022-07-14T11:49:00Z,2022-07-14T11:49:00Z,GUAN_043-M-41-20220714,A00000195552,GUAN_043-M-41-20220714-KCL,B00000076716,ok,2022-09-14,0.189,1,OK,NA,2022-09-07,2.728,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194026Z,RELEASE-2026,DP1.10086.001,GUAN,2022,ntr_externalLab
46d5d314-9434-46d1-a49c-d23feb77a0ac,GUAN_043.basePlot.bgc,D04,GUAN,GUAN_043,2022-07-14T11:49:00Z,2022-07-26T11:47:00Z,GUAN_043-M-41-20220726,A00000196544,GUAN_043-M-41-20220726-KCL,B00000035207,ok,2022-09-14,0.041,1,OK,NA,2022-09-07,2.22,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194026Z,RELEASE-2026,DP1.10086.001,GUAN,2022,ntr_externalLab
ae526cd3-81a5-4ea1-8694-86d0554c7b31,GUAN_043.basePlot.bgc,D04,GUAN,GUAN_043,2022-07-14T12:21:00Z,2022-07-14T12:21:00Z,GUAN_043-M-23-20220714,A00000195562,GUAN_043-M-23-20220714-KCL,B00000076717,ok,2022-09-14,0.111,1,OK,NA,2022-09-07,12.92,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194026Z,RELEASE-2026,DP1.10086.001,GUAN,2022,ntr_externalLab
863a07b3-683c-41cf-b73c-248d0eaef0a6,GUAN_043.basePlot.bgc,D04,GUAN,GUAN_043,2022-07-14T12:21:00Z,2022-07-26T11:41:00Z,GUAN_043-M-23-20220726,A00000196545,GUAN_043-M-23-20220726-KCL,B00000076729,ok,2022-09-14,0.053,1,OK,NA,2022-09-07,3.604,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194026Z,RELEASE-2026,DP1.10086.001,GUAN,2022,ntr_externalLab
