uid,namedLocation,domainID,siteID,plotID,startDate,collectDate,sampleID,sampleCode,kclSampleID,kclSampleCode,sampleCondition,ammoniumNAnalysisDate,kclAmmoniumNConc,ammoniumNRepNum,ammoniumNQF,ammoniumNRemarks,nitrateNitriteNAnalysisDate,kclNitrateNitriteNConc,nitrateNitriteNRepNum,nitrateNitriteNQF,nitrateNitriteNRemarks,laboratoryName,ammoniumNMethod,ammoniumNInstrument,ammoniumNAnalyzedBy,ammoniumNReviewedBy,nitrateNitriteNMethod,nitrateNitriteNInstrument,nitrateNitriteNAnalyzedBy,nitrateNitriteNReviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
2e3d6a1c-6c3d-429f-950b-50070dc9d305,JERC_050.basePlot.bgc,D03,JERC,JERC_050,2019-03-18T20:39:00Z,2019-03-18T20:39:00Z,JERC_050-M-29.5-2-20190318,A00000037743,JERC_050-M-29.5-2-20190318-KCL,B00000024195,ok,2019-07-10,0.084,1,OK,NA,2019-07-10,0.045,1,blanks exceed sample value,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193753Z,RELEASE-2026,DP1.10086.001,JERC,2019,ntr_externalLab
d4bce00f-b7a8-4361-9b5a-1a548f82d142,JERC_050.basePlot.bgc,D03,JERC,JERC_050,2019-03-18T21:04:00Z,2019-03-18T21:04:00Z,JERC_050-M-30.5-21-20190318,A00000037744,JERC_050-M-30.5-21-20190318-KCL,B00000024194,ok,2019-07-10,0.104,1,OK,NA,2019-07-10,0.079,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193753Z,RELEASE-2026,DP1.10086.001,JERC,2019,ntr_externalLab
604ab9ce-7d16-4384-8169-45a3bcf0a348,JERC_050.basePlot.bgc,D03,JERC,JERC_050,2019-03-18T21:20:00Z,2019-03-18T21:20:00Z,JERC_050-M-15-33-20190318,A00000037745,JERC_050-M-15-33-20190318-KCL,B00000024193,ok,2019-07-10,0.109,1,OK,NA,2019-07-10,0.088,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193753Z,RELEASE-2026,DP1.10086.001,JERC,2019,ntr_externalLab
a8e455f5-3d1d-40ef-8cdd-aa7f7fa8659c,JERC_050.basePlot.bgc,D03,JERC,JERC_050,2019-03-18T21:20:00Z,2019-03-18T21:20:00Z,JERC_050-M-15-33-20190318,A00000037745,JERC_050-M-15-33-20190318-KCL,B00000024193,ok,2019-07-10,0.115,2,OK,NA,2019-07-10,0.087,2,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193753Z,RELEASE-2026,DP1.10086.001,JERC,2019,ntr_externalLab
2a9630c8-6d5e-414c-acaf-40535e36dc4f,JERC_050.basePlot.bgc,D03,JERC,JERC_050,2019-03-18T20:39:00Z,2019-04-01T18:27:00Z,JERC_050-M-29.5-2-20190401,A00000036859,JERC_050-M-29.5-2-20190401-KCL,B00000024489,ok,2019-07-10,0.176,1,OK,NA,2019-07-10,0.038,1,blanks exceed sample value,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T194026Z,RELEASE-2026,DP1.10086.001,JERC,2019,ntr_externalLab
2dec58ff-3b11-43be-a9b9-4d6ed9457511,JERC_050.basePlot.bgc,D03,JERC,JERC_050,2019-03-18T21:04:00Z,2019-04-01T18:23:00Z,JERC_050-M-30.5-21-20190401,A00000036860,JERC_050-M-30.5-21-20190401-KCL,B00000024488,ok,2019-07-10,0.036,1,OK,NA,2019-07-10,0.078,1,blanks exceed sample value,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T194026Z,RELEASE-2026,DP1.10086.001,JERC,2019,ntr_externalLab
bb1620aa-f29b-497d-8899-f03658d3d6f9,JERC_050.basePlot.bgc,D03,JERC,JERC_050,2019-03-18T21:20:00Z,2019-04-01T18:18:00Z,JERC_050-M-15-33-20190401,A00000036861,JERC_050-M-15-33-20190401-KCL,B00000024471,ok,2019-07-10,0.022,1,OK,NA,2019-07-10,0.095,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T194026Z,RELEASE-2026,DP1.10086.001,JERC,2019,ntr_externalLab
7dd82cae-87f6-4a1a-bbcd-23e52a025b2f,JERC_050.basePlot.bgc,D03,JERC,JERC_050,2019-07-30T18:20:00Z,2019-07-30T18:20:00Z,JERC_050-M-0-16.5-20190730,A00000074263,JERC_050-M-0-16.5-20190730-KCL,B00000063089,ok,2019-09-13,0.068,1,OK,NA,2019-09-13,0.1,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193651Z,RELEASE-2026,DP1.10086.001,JERC,2019,ntr_externalLab
38ffa1c2-450f-4ab3-ac68-44cd77142fd4,JERC_050.basePlot.bgc,D03,JERC,JERC_050,2019-07-30T18:29:00Z,2019-07-30T18:29:00Z,JERC_050-M-5.5-30.5-20190730,A00000074264,JERC_050-M-5.5-30.5-20190730-KCL,B00000063090,ok,2019-09-13,0.21,1,OK,NA,2019-09-13,0.109,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193651Z,RELEASE-2026,DP1.10086.001,JERC,2019,ntr_externalLab
69a2fdda-d3ec-4a56-9764-2ea2f9fd288c,JERC_050.basePlot.bgc,D03,JERC,JERC_050,2019-07-30T18:44:00Z,2019-07-30T18:44:00Z,JERC_050-M-34.5-9-20190730,A00000074265,JERC_050-M-34.5-9-20190730-KCL,B00000063091,ok,2019-09-13,0.042,1,OK,NA,2019-09-13,0.083,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193651Z,RELEASE-2026,DP1.10086.001,JERC,2019,ntr_externalLab
