uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
7a682e07-0375-4add-8820-fd369bacec86,D03,JERC,JERC_004,JERC_004.basePlot.bgc,2019-03-19T13:16:00Z,2019-03-19T13:16:00Z,JERC_004-M-5-23-20190319,A00000037733,JERC_004-M-5-23-20190319-SM,NEON.DOC.014048vL,M,2019-03-19T20:40:00Z,2019-03-25T21:55:00Z,1.8,11.8,11.11,0.074,0.931,NA,NA,0000-0002-0753-5169,NA,20251217T193753Z,RELEASE-2026,DP1.10086.001,JERC,2019,sls_soilMoisture
6df435cf-1776-42bb-8a09-95266731b4fb,D03,JERC,JERC_004,JERC_004.basePlot.bgc,2019-03-19T13:34:00Z,2019-03-19T13:34:00Z,JERC_004-M-36-12-20190319,A00000037732,JERC_004-M-36-12-20190319-SM,NEON.DOC.014048vL,M,2019-03-19T20:43:00Z,2019-03-25T21:56:00Z,1.79,11.79,11.28,0.054,0.949,NA,NA,0000-0002-0753-5169,NA,20251217T193753Z,RELEASE-2026,DP1.10086.001,JERC,2019,sls_soilMoisture
6e7ddcac-f675-4a0b-9c10-fe582c89b036,D03,JERC,JERC_004,JERC_004.basePlot.bgc,2019-03-19T13:48:00Z,2019-03-19T13:48:00Z,JERC_004-M-24-38.5-20190319,A00000037731,JERC_004-M-24-38.5-20190319-SM,NEON.DOC.014048vL,M,2019-03-19T20:47:00Z,2019-03-25T21:56:00Z,1.7,11.71,11.12,0.063,0.941,NA,NA,0000-0002-0753-5169,NA,20251217T193753Z,RELEASE-2026,DP1.10086.001,JERC,2019,sls_soilMoisture
bf6d8e46-c4ca-4155-948f-4485349dfce6,D03,JERC,JERC_004,JERC_004.basePlot.bgc,2019-07-30T19:03:00Z,2019-07-30T19:03:00Z,JERC_004-M-35-23.5-20190730,A00000074279,JERC_004-M-35-23.5-20190730-SM,NEON.DOC.014048vL,M,2019-07-30T22:35:00Z,2019-08-05T19:27:00Z,1.69,11.79,11.374,0.043,0.959,NA,NA,0000-0003-2831-6405,NA,20251217T193651Z,RELEASE-2026,DP1.10086.001,JERC,2019,sls_soilMoisture
e0ed3281-dbca-4177-8445-837e56a8109b,D03,JERC,JERC_004,JERC_004.basePlot.bgc,2019-07-30T19:15:00Z,2019-07-30T19:15:00Z,JERC_004-M-8-8.5-20190730,A00000074281,JERC_004-M-8-8.5-20190730-SM,NEON.DOC.014048vL,M,2019-07-30T22:37:00Z,2019-08-05T19:27:00Z,1.71,11.8,11.482,0.033,0.968,NA,NA,0000-0003-2831-6405,NA,20251217T193651Z,RELEASE-2026,DP1.10086.001,JERC,2019,sls_soilMoisture
9fbe0571-6859-4829-8ee0-eca5e95b0a43,D03,JERC,JERC_004,JERC_004.basePlot.bgc,2019-07-30T19:29:00Z,2019-07-30T19:29:00Z,JERC_004-M-5-22.5-20190730,A00000074280,JERC_004-M-5-22.5-20190730-SM,NEON.DOC.014048vL,M,2019-07-30T22:39:00Z,2019-08-05T19:27:00Z,1.76,11.73,11.245,0.051,0.951,NA,NA,0000-0003-2831-6405,NA,20251217T193651Z,RELEASE-2026,DP1.10086.001,JERC,2019,sls_soilMoisture
1c96cbef-193d-4342-be9b-a87008f61e35,D03,JERC,JERC_004,JERC_004.basePlot.bgc,2019-03-19T13:16:00Z,2019-04-01T17:58:00Z,JERC_004-M-5-23-20190401,A00000036841,JERC_004-M-5-23-20190401-SM,NEON.DOC.014048vL,M,2019-04-02T14:25:00Z,2019-04-09T19:10:00Z,1.77,11.77,11.26,0.054,0.949,NA,NA,0000-0003-1476-1962,NA,20251217T194026Z,RELEASE-2026,DP1.10086.001,JERC,2019,sls_soilMoisture
eb0ac404-4128-4f77-a9ad-1c1386152034,D03,JERC,JERC_004,JERC_004.basePlot.bgc,2019-03-19T13:34:00Z,2019-04-01T17:50:00Z,JERC_004-M-36-12-20190401,A00000036840,JERC_004-M-36-12-20190401-SM,NEON.DOC.014048vL,M,2019-04-02T14:25:00Z,2019-04-09T19:10:00Z,1.76,11.76,11.39,0.038,0.963,NA,Fresh mass not recorded. estimate used.,0000-0003-1476-1962,NA,20251217T194026Z,RELEASE-2026,DP1.10086.001,JERC,2019,sls_soilMoisture
557c30c6-0c41-45cd-8174-a2f5d0e6dc2e,D03,JERC,JERC_004,JERC_004.basePlot.bgc,2019-03-19T13:48:00Z,2019-04-01T17:42:00Z,JERC_004-M-24-38.5-20190401,A00000036842,JERC_004-M-24-38.5-20190401-SM,NEON.DOC.014048vL,M,2019-04-02T14:25:00Z,2019-04-09T19:10:00Z,1.69,11.69,11.22,0.049,0.953,NA,NA,0000-0003-1476-1962,NA,20251217T194026Z,RELEASE-2026,DP1.10086.001,JERC,2019,sls_soilMoisture
abad978d-d5d3-4f7f-a3f6-6ecc8a999d86,D03,JERC,JERC_004,JERC_004.basePlot.bgc,2019-07-30T19:03:00Z,2019-08-12T19:32:00Z,JERC_004-M-35-23.5-20190812,A00000075456,JERC_004-M-35-23.5-20190812-SM,NEON.DOC.014048vL,M,2019-08-13T13:00:00Z,2019-08-15T18:56:00Z,1.8,11.87,11.37,0.052,0.95,NA,NA,0000-0001-8642-686X,NA,20251217T193606Z,RELEASE-2026,DP1.10086.001,JERC,2019,sls_soilMoisture
