uid,namedLocation,domainID,siteID,plotID,startDate,collectDate,sampleID,sampleCode,kclSampleID,kclSampleCode,sampleCondition,ammoniumNAnalysisDate,kclAmmoniumNConc,ammoniumNRepNum,ammoniumNQF,ammoniumNRemarks,nitrateNitriteNAnalysisDate,kclNitrateNitriteNConc,nitrateNitriteNRepNum,nitrateNitriteNQF,nitrateNitriteNRemarks,laboratoryName,ammoniumNMethod,ammoniumNInstrument,ammoniumNAnalyzedBy,ammoniumNReviewedBy,nitrateNitriteNMethod,nitrateNitriteNInstrument,nitrateNitriteNAnalyzedBy,nitrateNitriteNReviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
eaed7dfb-7e28-4361-a556-2e9b0aa8539f,JORN_045.basePlot.bgc,D14,JORN,JORN_045,2022-08-30T21:15:00Z,2022-08-30T21:15:00Z,JORN_045-M-23-20220830,A00000356021,JORN_045-M-23-20220830-KCL,B00000111549,ok,2022-11-21,0.023,1,OK,NA,2022-11-16,0.197,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193807Z,RELEASE-2026,DP1.10086.001,JORN,2022,ntr_externalLab
8acbbce0-e1fb-4879-815b-c8cb81812819,JORN_045.basePlot.bgc,D14,JORN,JORN_045,2022-08-30T21:18:00Z,2022-08-30T21:18:00Z,JORN_045-M-21-20220830,A00000356022,JORN_045-M-21-20220830-KCL,B00000111552,ok,2022-11-21,0.03,1,OK,NA,2022-11-16,0.106,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193807Z,RELEASE-2026,DP1.10086.001,JORN,2022,ntr_externalLab
228a63fd-306c-4959-b749-12eae84e9a70,JORN_045.basePlot.bgc,D14,JORN,JORN_045,2022-08-30T21:31:00Z,2022-08-30T21:31:00Z,JORN_045-M-39-20220830,A00000356023,JORN_045-M-39-20220830-KCL,B00000111539,ok,2022-11-21,0.024,1,OK,NA,2022-11-16,0.177,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193807Z,RELEASE-2026,DP1.10086.001,JORN,2022,ntr_externalLab
5c6624ae-cf91-4b22-be6f-68c380d9bc7d,JORN_045.basePlot.bgc,D14,JORN,JORN_045,2022-07-05T19:22:00Z,2022-07-05T19:22:00Z,JORN_045-M-39-20220705,A00000354921,JORN_045-M-39-20220705-KCL,B00000111250,ok,2022-09-19,0.014,1,OK,NA,2022-09-12,0.143,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193808Z,RELEASE-2026,DP1.10086.001,JORN,2022,ntr_externalLab
29e68c49-0bf7-4549-8ec3-3b4b47134d95,JORN_045.basePlot.bgc,D14,JORN,JORN_045,2022-07-05T19:22:00Z,2022-07-26T14:27:00Z,JORN_045-M-39-20220726,A00000355572,JORN_045-M-39-20220726-KCL,B00000111375,ok,2022-09-19,0.005,1,below method detection limit,NA,2022-09-12,0.273,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193808Z,RELEASE-2026,DP1.10086.001,JORN,2022,ntr_externalLab
1ddb7b37-d9b2-449a-937f-7f356637248d,JORN_045.basePlot.bgc,D14,JORN,JORN_045,2022-07-05T20:00:00Z,2022-07-05T20:00:00Z,JORN_045-M-41-20220705,A00000354920,JORN_045-M-41-20220705-KCL,B00000111249,ok,2022-09-19,0.012,1,OK,NA,2022-09-12,0.145,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193808Z,RELEASE-2026,DP1.10086.001,JORN,2022,ntr_externalLab
3b943686-7ab2-4317-a643-118179b229e7,JORN_045.basePlot.bgc,D14,JORN,JORN_045,2022-07-05T20:00:00Z,2022-07-26T14:15:00Z,JORN_045-M-41-20220726,A00000355571,JORN_045-M-41-20220726-KCL,B00000111376,ok,2022-09-19,0.03,1,OK,NA,2022-09-12,0.241,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193808Z,RELEASE-2026,DP1.10086.001,JORN,2022,ntr_externalLab
cd5e410e-9664-4938-b4ff-fa7ff4702513,JORN_045.basePlot.bgc,D14,JORN,JORN_045,2022-07-05T20:39:00Z,2022-07-05T20:39:00Z,JORN_045-M-23-20220705,A00000354919,JORN_045-M-23-20220705-KCL,B00000111248,ok,2022-09-19,0.023,1,OK,NA,2022-09-12,0.212,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193808Z,RELEASE-2026,DP1.10086.001,JORN,2022,ntr_externalLab
95f81d5d-3388-456b-9769-5175164021ab,JORN_045.basePlot.bgc,D14,JORN,JORN_045,2022-07-05T20:39:00Z,2022-07-26T14:22:00Z,JORN_045-M-23-20220726,A00000355570,JORN_045-M-23-20220726-KCL,B00000111377,ok,2022-09-19,0.012,1,OK,NA,2022-09-12,0.191,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193808Z,RELEASE-2026,DP1.10086.001,JORN,2022,ntr_externalLab
8570bcef-d05d-4b28-9161-f4375c1f7002,JORN_045.basePlot.bgc,D14,JORN,JORN_045,2022-10-25T19:46:00Z,2022-10-25T19:46:00Z,JORN_045-M-23-20221025,A00000356199,JORN_045-M-23-20221025-KCL,B00000111841,ok,2023-01-27,0.018,1,OK,NA,2023-01-30,0.089,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193712Z,RELEASE-2026,DP1.10086.001,JORN,2022,ntr_externalLab
