uid,namedLocation,domainID,siteID,plotID,startDate,collectDate,sampleID,sampleCode,kclSampleID,kclSampleCode,sampleCondition,ammoniumNAnalysisDate,kclAmmoniumNConc,ammoniumNRepNum,ammoniumNQF,ammoniumNRemarks,nitrateNitriteNAnalysisDate,kclNitrateNitriteNConc,nitrateNitriteNRepNum,nitrateNitriteNQF,nitrateNitriteNRemarks,laboratoryName,ammoniumNMethod,ammoniumNInstrument,ammoniumNAnalyzedBy,ammoniumNReviewedBy,nitrateNitriteNMethod,nitrateNitriteNInstrument,nitrateNitriteNAnalyzedBy,nitrateNitriteNReviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
19f66d15-6396-49f2-a0f4-a420c9e904f8,KONZ_024.basePlot.bgc,D06,KONZ,KONZ_024,2022-04-19T17:03:00Z,2022-04-19T17:03:00Z,KONZ_024-M-21-20220419,A00000318642,KONZ_024-M-21-20220419-KCL,B00000017256,ok,2022-06-15,0.127,1,OK,NA,2022-06-15,0.061,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193614Z,RELEASE-2026,DP1.10086.001,KONZ,2022,ntr_externalLab
cf1d3f60-0e8b-4789-9126-b2af5cfd79fe,KONZ_024.basePlot.bgc,D06,KONZ,KONZ_024,2022-04-19T17:37:00Z,2022-04-19T17:37:00Z,KONZ_024-M-23-20220419,A00000318641,KONZ_024-M-23-20220419-KCL,B00000017248,ok,2022-06-15,0.18,1,OK,NA,2022-06-15,0.179,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193614Z,RELEASE-2026,DP1.10086.001,KONZ,2022,ntr_externalLab
70599866-7ce2-4bcf-bc3f-94c06ccec764,KONZ_024.basePlot.bgc,D06,KONZ,KONZ_024,2022-04-19T18:03:00Z,2022-04-19T18:03:00Z,KONZ_024-M-41-20220419,A00000318684,KONZ_024-M-41-20220419-KCL,D00000057353,ok,2022-06-15,0.176,1,OK,NA,2022-06-15,0.217,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193614Z,RELEASE-2026,DP1.10086.001,KONZ,2022,ntr_externalLab
e6d03793-10c6-4b5c-9697-8ab0abc4d7e1,KONZ_024.basePlot.bgc,D06,KONZ,KONZ_024,2022-04-19T17:03:00Z,2022-05-09T15:07:00Z,KONZ_024-M-21-20220509,A00000319186,KONZ_024-M-21-20220509-KCL,B00000083614,ok,2022-06-15,0.095,2,OK,NA,2022-06-15,0.084,2,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193835Z,RELEASE-2026,DP1.10086.001,KONZ,2022,ntr_externalLab
831611d9-e7a2-4e8c-bb43-79e6dfd5c01e,KONZ_024.basePlot.bgc,D06,KONZ,KONZ_024,2022-04-19T17:03:00Z,2022-05-09T15:07:00Z,KONZ_024-M-21-20220509,A00000319186,KONZ_024-M-21-20220509-KCL,B00000083614,ok,2022-06-15,0.11,1,OK,NA,2022-06-15,0.091,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193835Z,RELEASE-2026,DP1.10086.001,KONZ,2022,ntr_externalLab
a98dd08a-db39-44c1-9ad5-ff853e8adb78,KONZ_024.basePlot.bgc,D06,KONZ,KONZ_024,2022-04-19T17:37:00Z,2022-05-09T15:11:00Z,KONZ_024-M-23-20220509,A00000319170,KONZ_024-M-23-20220509-KCL,B00000083625,ok,2022-06-15,0.519,1,OK,NA,2022-06-15,0.472,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193835Z,RELEASE-2026,DP1.10086.001,KONZ,2022,ntr_externalLab
55003421-7e43-4e70-9590-6d2aada561e6,KONZ_024.basePlot.bgc,D06,KONZ,KONZ_024,2022-04-19T18:03:00Z,2022-05-09T15:15:00Z,KONZ_024-M-41-20220509,A00000319202,KONZ_024-M-41-20220509-KCL,B00000083605,ok,2022-06-15,0.08,1,OK,NA,2022-06-15,0.258,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193835Z,RELEASE-2026,DP1.10086.001,KONZ,2022,ntr_externalLab
c5f08c20-15c6-473d-b446-31027a3ce426,KONZ_024.basePlot.bgc,D06,KONZ,KONZ_024,2022-07-14T14:05:00Z,2022-07-14T14:05:00Z,KONZ_024-M-39-20220714,A00000347501,KONZ_024-M-39-20220714-KCL,B00000085099,ok,2022-09-09,0.108,1,OK,NA,2022-09-09,0.119,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193901Z,RELEASE-2026,DP1.10086.001,KONZ,2022,ntr_externalLab
2a187d7c-c72e-4dc4-a300-26e1e56a95cf,KONZ_024.basePlot.bgc,D06,KONZ,KONZ_024,2022-07-14T14:44:00Z,2022-07-14T14:44:00Z,KONZ_024-M-21-20220714,A00000347500,KONZ_024-M-21-20220714-KCL,B00000085100,ok,2022-09-09,0.103,1,OK,NA,2022-09-09,0.054,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193901Z,RELEASE-2026,DP1.10086.001,KONZ,2022,ntr_externalLab
fabaddf5-24da-4a34-95d7-6f72a19a4f1a,KONZ_024.basePlot.bgc,D06,KONZ,KONZ_024,2022-07-14T15:02:00Z,2022-07-14T15:02:00Z,KONZ_024-M-41-20220714,A00000347502,KONZ_024-M-41-20220714-KCL,B00000085101,ok,2022-09-09,0.038,1,OK,NA,2022-09-09,0.048,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193901Z,RELEASE-2026,DP1.10086.001,KONZ,2022,ntr_externalLab
