uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
25bf6a49-d89c-471f-9774-ab7f839f8991,D04,LAJA,LAJA_015,LAJA_015.basePlot.bgc,2018-02-19T11:51:00Z,2018-02-19T11:51:00Z,LAJA_015-M-29.5-1.5-20180219,NA,LAJA_015-M-29.5-1.5-20180219-SM,NEON.DOC.014048vJ,M,2018-02-19T20:50:00Z,2018-02-22T10:08:00Z,1.11,11.12,10.02,0.123,0.89,NA,NA,mviggiano@battelleecology.org,NA,20251217T193926Z,RELEASE-2026,DP1.10086.001,LAJA,2018,sls_soilMoisture
2de3af5d-f9c4-4659-a57c-790a5616f0cb,D04,LAJA,LAJA_015,LAJA_015.basePlot.bgc,2018-02-19T12:43:00Z,2018-02-19T12:43:00Z,LAJA_015-M-36-22.5-20180219,NA,LAJA_015-M-36-22.5-20180219-SM,NEON.DOC.014048vJ,M,2018-02-19T20:50:00Z,2018-02-22T10:08:00Z,1.09,11.09,9.89,0.136,0.88,NA,NA,mviggiano@battelleecology.org,NA,20251217T193926Z,RELEASE-2026,DP1.10086.001,LAJA,2018,sls_soilMoisture
ee45171f-e6b0-4ab4-b65c-287fe1206a34,D04,LAJA,LAJA_015,LAJA_015.basePlot.bgc,2018-02-19T13:21:00Z,2018-02-19T13:21:00Z,LAJA_015-M-8-25.5-20180219,NA,LAJA_015-M-8-25.5-20180219-SM,NEON.DOC.014048vJ,M,2018-02-19T20:50:00Z,2018-02-22T10:08:00Z,1.12,11.12,10.24,0.096,0.912,NA,NA,mviggiano@battelleecology.org,NA,20251217T193926Z,RELEASE-2026,DP1.10086.001,LAJA,2018,sls_soilMoisture
4fc09c87-0b25-4787-8b86-3d6ccb88dee8,D04,LAJA,LAJA_015,LAJA_015.basePlot.bgc,2018-07-23T11:20:00Z,2018-07-23T11:20:00Z,LAJA_015-M-2-7-20180723,A00000006674,LAJA_015-M-2-7-20180723-SM,NEON.DOC.014048vK,M,2018-07-23T19:20:00Z,2018-07-25T20:15:00Z,1.05,11.05,10.09,0.106,0.904,NA,NA,jorengo@battelleecology.org,NA,20251217T193643Z,RELEASE-2026,DP1.10086.001,LAJA,2018,sls_soilMoisture
ae6e54c9-269c-422a-9ec5-36d170f1bb39,D04,LAJA,LAJA_015,LAJA_015.basePlot.bgc,2018-07-23T12:47:00Z,2018-07-23T12:47:00Z,LAJA_015-M-15-38.5-20180723,A00000006675,LAJA_015-M-15-38.5-20180723-SM,NEON.DOC.014048vK,M,2018-07-23T19:20:00Z,2018-07-25T20:15:00Z,1.09,11.09,10.13,0.106,0.904,NA,NA,jorengo@battelleecology.org,NA,20251217T193643Z,RELEASE-2026,DP1.10086.001,LAJA,2018,sls_soilMoisture
ed81b89e-0f36-4232-a163-76b989e9916a,D04,LAJA,LAJA_015,LAJA_015.basePlot.bgc,2018-07-23T13:28:00Z,2018-07-23T13:28:00Z,LAJA_015-M-25-8.5-20180723,A00000006676,LAJA_015-M-25-8.5-20180723-SM,NEON.DOC.014048vK,M,2018-07-23T19:20:00Z,2018-07-25T20:15:00Z,1.05,11.05,10,0.117,0.895,NA,NA,jorengo@battelleecology.org,NA,20251217T193643Z,RELEASE-2026,DP1.10086.001,LAJA,2018,sls_soilMoisture
2f2dce37-3308-4876-bf54-2717c843a636,D04,LAJA,LAJA_015,LAJA_015.basePlot.bgc,2018-12-11T14:15:00Z,2018-12-11T14:15:00Z,LAJA_015-M-4-2-20181211,A00000039704,LAJA_015-M-4-2-20181211-SM,NEON.DOC.014048vK,M,2018-12-11T17:36:00Z,2018-12-13T17:35:00Z,1.08,11.08,9.48,0.19,0.84,NA,NA,jorengo@battelleecology.org,NA,20251217T194016Z,RELEASE-2026,DP1.10086.001,LAJA,2018,sls_soilMoisture
7bf3fd16-adb5-4ea7-a3f1-e8fed36a125e,D04,LAJA,LAJA_015,LAJA_015.basePlot.bgc,2018-12-11T14:35:00Z,2018-12-11T14:35:00Z,LAJA_015-M-20.5-3-20181211,A00000039703,LAJA_015-M-20.5-3-20181211-SM,NEON.DOC.014048vK,M,2018-12-11T17:36:00Z,2018-12-13T17:35:00Z,1.08,11.08,10.09,0.11,0.901,NA,NA,jorengo@battelleecology.org,NA,20251217T194016Z,RELEASE-2026,DP1.10086.001,LAJA,2018,sls_soilMoisture
87c7cf5a-9833-44ec-9b65-497259131f6c,D04,LAJA,LAJA_015,LAJA_015.basePlot.bgc,2018-12-11T15:05:00Z,2018-12-11T15:05:00Z,LAJA_015-M-20-30-20181211,A00000039702,LAJA_015-M-20-30-20181211-SM,NEON.DOC.014048vK,M,2018-12-11T17:36:00Z,2018-12-13T17:35:00Z,1.09,11.09,9.99,0.124,0.89,NA,NA,jorengo@battelleecology.org,NA,20251217T194016Z,RELEASE-2026,DP1.10086.001,LAJA,2018,sls_soilMoisture
021513b1-d804-48d7-94ec-d4a34d23a141,D04,LAJA,LAJA_015,LAJA_015.basePlot.bgc,2018-10-25T13:08:00Z,2018-10-25T13:08:00Z,LAJA_015-M-18.5-31-20181025,A00000039150,LAJA_015-M-18.5-31-20181025-SM,NEON.DOC.014048vK,M,2018-10-25T17:20:00Z,2018-10-27T17:00:00Z,1.08,11.08,9.1,0.247,0.802,NA,NA,jorengo@battelleecology.org,NA,20251217T194045Z,RELEASE-2026,DP1.10086.001,LAJA,2018,sls_soilMoisture
