uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,processedDate,sampleID,sampleCode,pHSampleID,samplingProtocolVersion,horizon,soilInWaterpH,soilInCaClpH,pHSoilInWaterMass,pHWaterVol,waterpHRatio,pHSoilInCaClMass,pHCaClVol,caclpHRatio,pHRemarks,pHMeasuredBy,pHDataQF,publicationDate,release,dpID,site_download,year_download,source_table
b714c748-c010-4dcc-8a9d-f5c544bba163,D08,LENO,LENO_004,LENO_004.basePlot.bgc,2018-04-24T12:47:00Z,2018-04-24T12:47:00Z,2018-05-01,LENO_004-M-2-10.5-20180424,NA,LENO_004-M-2-10.5-20180424-PH,NEON.DOC.014048vJ,M,5.82,4.96,10,20,2,10,20,2,NA,rvalentine@battelleecology.org,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,LENO,2018,sls_soilpH
7885268f-90ad-4a5d-8c56-c14992d6ff1a,D08,LENO,LENO_004,LENO_004.basePlot.bgc,2018-04-24T13:09:00Z,2018-04-24T13:09:00Z,2018-05-01,LENO_004-M-3-20.5-20180424,NA,LENO_004-M-3-20.5-20180424-PH,NEON.DOC.014048vJ,M,5.47,4.84,10.1,20,2,10,20,2,NA,rvalentine@battelleecology.org,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,LENO,2018,sls_soilpH
0d2447ff-88a7-4319-9a6d-435d22822e89,D08,LENO,LENO_004,LENO_004.basePlot.bgc,2018-04-24T13:29:00Z,2018-04-24T13:29:00Z,2018-05-01,LENO_004-M-34-37-20180424,NA,LENO_004-M-34-37-20180424-PH,NEON.DOC.014048vJ,M,5.57,4.91,10,20,2,10.1,20,2,NA,rvalentine@battelleecology.org,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,LENO,2018,sls_soilpH
920aa303-767a-48e2-8712-0b4cac18ee53,D08,LENO,LENO_005,LENO_005.basePlot.bgc,2018-04-24T14:19:00Z,2018-04-24T14:19:00Z,2018-05-01,LENO_005-M-36.5-22.5-20180424,NA,LENO_005-M-36.5-22.5-20180424-PH,NEON.DOC.014048vJ,M,6.2,5.58,10,20,2,10,20,2,NA,rvalentine@battelleecology.org,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,LENO,2018,sls_soilpH
175e0825-e198-4c8c-981b-e48dc78f7bad,D08,LENO,LENO_005,LENO_005.basePlot.bgc,2018-04-24T14:32:00Z,2018-04-24T14:32:00Z,2018-05-01,LENO_005-M-18.5-38-20180424,NA,LENO_005-M-18.5-38-20180424-PH,NEON.DOC.014048vJ,M,6.1,5.69,10.1,20,2,10,20,2,NA,rvalentine@battelleecology.org,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,LENO,2018,sls_soilpH
28704311-d8d8-40c7-9edf-9e61135ed289,D08,LENO,LENO_005,LENO_005.basePlot.bgc,2018-04-24T14:43:00Z,2018-04-24T14:43:00Z,2018-05-01,LENO_005-M-4-15.5-20180424,NA,LENO_005-M-4-15.5-20180424-PH,NEON.DOC.014048vJ,M,6.12,5.53,10,20,2,10.1,20,2,NA,rvalentine@battelleecology.org,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,LENO,2018,sls_soilpH
7d19eb84-27d9-4bf4-aa6e-130e1fc4099b,D08,LENO,LENO_006,LENO_006.basePlot.bgc,2018-04-24T15:24:00Z,2018-04-24T15:24:00Z,2018-05-01,LENO_006-M-19-39.5-20180424,NA,LENO_006-M-19-39.5-20180424-PH,NEON.DOC.014048vJ,M,5.33,4.25,10.1,20,2,10,20,2,NA,rvalentine@battelleecology.org,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,LENO,2018,sls_soilpH
19c7d82b-b446-40ed-b715-a7e59136018d,D08,LENO,LENO_006,LENO_006.basePlot.bgc,2018-04-24T15:44:00Z,2018-04-24T15:44:00Z,2018-05-01,LENO_006-M-33-10-20180424,NA,LENO_006-M-33-10-20180424-PH,NEON.DOC.014048vJ,M,5.04,4.6,10,20,2,10,20,2,NA,rvalentine@battelleecology.org,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,LENO,2018,sls_soilpH
1bb306f7-1eac-420c-86a8-9f44369d457f,D08,LENO,LENO_006,LENO_006.basePlot.bgc,2018-04-24T16:12:00Z,2018-04-24T16:12:00Z,2018-05-01,LENO_006-M-5.5-1-20180424,NA,LENO_006-M-5.5-1-20180424-PH,NEON.DOC.014048vJ,M,5.59,4.6,10,20,2,10.1,20,2,NA,rvalentine@battelleecology.org,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,LENO,2018,sls_soilpH
905973d1-7a5b-4f69-88c4-c438a36f17e7,D08,LENO,LENO_003,LENO_003.basePlot.bgc,2018-04-24T16:46:00Z,2018-04-24T16:46:00Z,2018-05-01,LENO_003-M-38-22-20180424,NA,LENO_003-M-38-22-20180424-PH,NEON.DOC.014048vJ,M,5.19,4.11,10.1,40,4,10,20,2,NA,rvalentine@battelleecology.org,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,LENO,2018,sls_soilpH
b3725ff5-9bf6-4569-89cc-141f7ffa11b8,D08,LENO,LENO_003,LENO_003.basePlot.bgc,2018-04-24T17:05:00Z,2018-04-24T17:05:00Z,2018-05-01,LENO_003-M-30.5-5-20180424,NA,LENO_003-M-30.5-5-20180424-PH,NEON.DOC.014048vJ,M,5.08,4.05,10.1,20,2,10.1,28,2.8,NA,rvalentine@battelleecology.org,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,LENO,2018,sls_soilpH
c432bc28-0c72-4aab-8dac-36e6f6673947,D08,LENO,LENO_003,LENO_003.basePlot.bgc,2018-04-24T17:23:00Z,2018-04-24T17:23:00Z,2018-05-01,LENO_003-M-3.5-36-20180424,NA,LENO_003-M-3.5-36-20180424-PH,NEON.DOC.014048vJ,M,5.1,4.05,10,20,2,10,20,2,NA,rvalentine@battelleecology.org,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,LENO,2018,sls_soilpH
24e488f2-8b74-4852-a1aa-734db15e2e9f,D08,LENO,LENO_002,LENO_002.basePlot.bgc,2018-04-24T17:58:00Z,2018-04-24T17:58:00Z,2018-05-01,LENO_002-M-8.5-20.5-20180424,NA,LENO_002-M-8.5-20.5-20180424-PH,NEON.DOC.014048vJ,M,5.11,4.4,10,20,2,10,20,2,NA,rvalentine@battelleecology.org,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,LENO,2018,sls_soilpH
ec282ae9-748a-48b7-b627-35ffd9bda09f,D08,LENO,LENO_002,LENO_002.basePlot.bgc,2018-04-24T18:17:00Z,2018-04-24T18:17:00Z,2018-05-01,LENO_002-M-2.5-5-20180424,NA,LENO_002-M-2.5-5-20180424-PH,NEON.DOC.014048vJ,M,5.39,4.47,10,20,2,10,20,2,NA,rvalentine@battelleecology.org,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,LENO,2018,sls_soilpH
e6314bef-3e1e-4280-b569-aa77da866946,D08,LENO,LENO_002,LENO_002.basePlot.bgc,2018-04-24T18:32:00Z,2018-04-24T18:32:00Z,2018-05-01,LENO_002-M-33-16-20180424,NA,LENO_002-M-33-16-20180424-PH,NEON.DOC.014048vJ,M,5.57,4.85,10.1,20,2,10.1,20,2,NA,rvalentine@battelleecology.org,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,LENO,2018,sls_soilpH
b3931f78-daff-4015-892b-566a75fe1d5d,D08,LENO,LENO_064,LENO_064.basePlot.bgc,2018-04-25T12:34:00Z,2018-04-25T12:34:00Z,2018-05-01,LENO_064-M-8-19-20180425,NA,LENO_064-M-8-19-20180425-PH,NEON.DOC.014048vJ,M,5.89,5.05,10,20,2,10.1,20,2,NA,rvalentine@battelleecology.org,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,LENO,2018,sls_soilpH
dfc6e293-153f-4ffb-ac7e-b03750142ec1,D08,LENO,LENO_064,LENO_064.basePlot.bgc,2018-04-25T12:45:00Z,2018-04-25T12:45:00Z,2018-05-01,LENO_064-M-1.5-23-20180425,NA,LENO_064-M-1.5-23-20180425-PH,NEON.DOC.014048vJ,M,5.86,4.6,10.1,20,2,10.1,20,2,NA,rvalentine@battelleecology.org,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,LENO,2018,sls_soilpH
ef46e13c-4b21-41bd-b176-8cbaa04db8e7,D08,LENO,LENO_064,LENO_064.basePlot.bgc,2018-04-25T12:55:00Z,2018-04-25T12:55:00Z,2018-05-01,LENO_064-M-29-37-20180425,NA,LENO_064-M-29-37-20180425-PH,NEON.DOC.014048vJ,M,5.67,5.17,10,40,4,10.1,20,2,NA,rvalentine@battelleecology.org,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,LENO,2018,sls_soilpH
d588091a-5c9a-4597-8f90-4032f5da2da1,D08,LENO,LENO_063,LENO_063.basePlot.bgc,2018-04-25T13:30:00Z,2018-04-25T13:30:00Z,2018-05-01,LENO_063-M-18-2-20180425,NA,LENO_063-M-18-2-20180425-PH,NEON.DOC.014048vJ,M,5.48,4.59,10.1,20,2,10,20,2,NA,rvalentine@battelleecology.org,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,LENO,2018,sls_soilpH
