uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,sampleID,sampleCode,cnSampleID,cnSampleCode,bgcArchiveID,bgcArchiveCode,bgcArchiveMass,toxicodendronPossible,sampleCondition,bgcRemarks,processedBy,bgcDataQF,publicationDate,release,dpID,site_download,year_download,source_table
a7334db8-bebd-46c3-a17e-9c5224e24715,D08,LENO,LENO_001,LENO_001.basePlot.bgc,2023-06-27T14:35:00Z,2023-06-27T14:35:00Z,NEON.DOC.014048vO,M,2023-06-28T16:45:00Z,2023-07-03T16:30:00Z,LENO_001-M-41-20230627,A00000416608,LENO_001-M-41-20230627-CN,A00000416890,LENO_001-M-41-20230627-BA,A00000416891,200.8,N,OK,NA,0000-0002-8839-6825,NA,20251217T193824Z,RELEASE-2026,DP1.10086.001,LENO,2023,sls_bgcSubsampling
bc0025b3-22c6-4a5f-a86e-a20784f53d12,D08,LENO,LENO_001,LENO_001.basePlot.bgc,2023-06-27T15:08:00Z,2023-06-27T15:08:00Z,NEON.DOC.014048vO,M,2023-06-28T16:45:00Z,2023-07-03T16:30:00Z,LENO_001-M-39-20230627,A00000416610,LENO_001-M-39-20230627-CN,A00000416869,LENO_001-M-39-20230627-BA,A00000416876,157.6,N,OK,NA,0000-0002-8839-6825,NA,20251217T193824Z,RELEASE-2026,DP1.10086.001,LENO,2023,sls_bgcSubsampling
342c5cbf-8bdc-4676-a6be-fc1818180dec,D08,LENO,LENO_001,LENO_001.basePlot.bgc,2023-06-27T15:32:00Z,2023-06-27T15:32:00Z,NEON.DOC.014048vO,M,2023-06-28T16:45:00Z,2023-07-03T16:30:00Z,LENO_001-M-21-20230627,A00000416593,LENO_001-M-21-20230627-CN,A00000233239,LENO_001-M-21-20230627-BA,A00000416875,168.7,N,OK,NA,0000-0002-8839-6825,NA,20251217T193824Z,RELEASE-2026,DP1.10086.001,LENO,2023,sls_bgcSubsampling
6a1cf59c-97b7-47a0-81bc-53b0a4f8ea42,D08,LENO,LENO_063,LENO_063.basePlot.bgc,2023-06-27T16:33:00Z,2023-06-27T16:33:00Z,NEON.DOC.014048vO,M,2023-06-28T16:45:00Z,2023-07-03T16:30:00Z,LENO_063-M-39-20230627,A00000416690,LENO_063-M-39-20230627-CN,A00000416868,LENO_063-M-39-20230627-BA,A00000416914,154.6,N,OK,NA,0000-0002-8839-6825,NA,20251217T193824Z,RELEASE-2026,DP1.10086.001,LENO,2023,sls_bgcSubsampling
dc1bb826-df27-4b72-920a-e74491f14383,D08,LENO,LENO_063,LENO_063.basePlot.bgc,2023-06-27T16:53:00Z,2023-06-27T16:53:00Z,NEON.DOC.014048vO,M,2023-06-28T16:45:00Z,2023-07-03T16:45:00Z,LENO_063-M-41-20230627,A00000416691,LENO_063-M-41-20230627-CN,A00000416873,LENO_063-M-41-20230627-BA,A00000416915,164.4,N,OK,NA,0000-0002-8839-6825,NA,20251217T193824Z,RELEASE-2026,DP1.10086.001,LENO,2023,sls_bgcSubsampling
dbe00cd9-eb31-4ee2-9255-4e7d5904b57a,D08,LENO,LENO_063,LENO_063.basePlot.bgc,2023-06-27T17:10:00Z,2023-06-27T17:10:00Z,NEON.DOC.014048vO,M,2023-06-28T16:45:00Z,2023-07-03T16:30:00Z,LENO_063-M-23-20230627,A00000416669,LENO_063-M-23-20230627-CN,A00000233279,LENO_063-M-23-20230627-BA,A00000416913,157,N,OK,NA,0000-0002-8839-6825,NA,20251217T193824Z,RELEASE-2026,DP1.10086.001,LENO,2023,sls_bgcSubsampling
140b154f-d4a0-4f95-806c-a4fe41bc486f,D08,LENO,LENO_005,LENO_005.basePlot.bgc,2023-06-27T17:18:00Z,2023-06-27T17:18:00Z,NEON.DOC.014048vO,M,2023-06-28T16:45:00Z,2023-07-03T16:30:00Z,LENO_005-M-21-20230627,A00000416605,LENO_005-M-21-20230627-CN,A00000233277,LENO_005-M-21-20230627-BA,A00000416901,176,N,OK,NA,0000-0002-8839-6825,NA,20251217T193824Z,RELEASE-2026,DP1.10086.001,LENO,2023,sls_bgcSubsampling
0b0c10ac-83a3-4441-996c-68e9214724b4,D08,LENO,LENO_005,LENO_005.basePlot.bgc,2023-06-27T17:43:00Z,2023-06-27T17:43:00Z,NEON.DOC.014048vO,M,2023-06-28T16:45:00Z,2023-07-03T16:30:00Z,LENO_005-M-23-20230627,A00000416606,LENO_005-M-23-20230627-CN,A00000416884,LENO_005-M-23-20230627-BA,A00000416902,212.6,N,OK,NA,0000-0002-8839-6825,NA,20251217T193824Z,RELEASE-2026,DP1.10086.001,LENO,2023,sls_bgcSubsampling
aa98f1e4-8c22-459b-866b-247d56c3a7d8,D08,LENO,LENO_064,LENO_064.basePlot.bgc,2023-06-27T17:56:00Z,2023-06-27T17:56:00Z,NEON.DOC.014048vO,M,2023-06-28T16:45:00Z,2023-07-03T16:30:00Z,LENO_064-M-39-20230627,A00000416692,LENO_064-M-39-20230627-CN,A00000416888,LENO_064-M-39-20230627-BA,A00000416918,147.1,N,OK,NA,0000-0002-8839-6825,NA,20251217T193824Z,RELEASE-2026,DP1.10086.001,LENO,2023,sls_bgcSubsampling
0903f5aa-1353-4b6a-91ff-ae270df9aa61,D08,LENO,LENO_005,LENO_005.basePlot.bgc,2023-06-27T18:01:00Z,2023-06-27T18:01:00Z,NEON.DOC.014048vO,M,2023-06-28T16:45:00Z,2023-07-03T16:30:00Z,LENO_005-M-41-20230627,A00000416594,LENO_005-M-41-20230627-CN,A00000416889,LENO_005-M-41-20230627-BA,A00000416903,165.1,N,OK,NA,0000-0002-8839-6825,NA,20251217T193824Z,RELEASE-2026,DP1.10086.001,LENO,2023,sls_bgcSubsampling
6163528d-df19-493e-bf7e-1b8448222443,D08,LENO,LENO_064,LENO_064.basePlot.bgc,2023-06-27T18:14:00Z,2023-06-27T18:14:00Z,NEON.DOC.014048vO,M,2023-06-28T16:45:00Z,2023-07-03T16:30:00Z,LENO_064-M-21-20230627,A00000416693,LENO_064-M-21-20230627-CN,A00000233278,LENO_064-M-21-20230627-BA,A00000416916,164.9,N,OK,NA,0000-0002-8839-6825,NA,20251217T193824Z,RELEASE-2026,DP1.10086.001,LENO,2023,sls_bgcSubsampling
4111cf32-57f2-407c-ba0d-0834111c800e,D08,LENO,LENO_064,LENO_064.basePlot.bgc,2023-06-27T18:29:00Z,2023-06-27T18:29:00Z,NEON.DOC.014048vO,M,2023-06-28T16:45:00Z,2023-07-03T16:30:00Z,LENO_064-M-23-20230627,A00000416700,LENO_064-M-23-20230627-CN,A00000416867,LENO_064-M-23-20230627-BA,A00000416917,150.7,N,OK,NA,0000-0002-8839-6825,NA,20251217T193824Z,RELEASE-2026,DP1.10086.001,LENO,2023,sls_bgcSubsampling
2555562c-ce42-493a-bd5c-d442bfd14261,D08,LENO,LENO_004,LENO_004.basePlot.bgc,2023-06-27T18:49:00Z,2023-06-27T18:49:00Z,NEON.DOC.014048vO,M,2023-06-28T16:45:00Z,2023-07-03T16:30:00Z,LENO_004-M-21-20230627,A00000416595,LENO_004-M-21-20230627-CN,A00000233240,LENO_004-M-21-20230627-BA,A00000416898,154.4,N,OK,NA,0000-0002-8839-6825,NA,20251217T193824Z,RELEASE-2026,DP1.10086.001,LENO,2023,sls_bgcSubsampling
60f258a8-059e-4041-8534-ceef9fc58e40,D08,LENO,LENO_004,LENO_004.basePlot.bgc,2023-06-27T19:09:00Z,2023-06-27T19:09:00Z,NEON.DOC.014048vO,M,2023-06-28T16:45:00Z,2023-07-03T16:30:00Z,LENO_004-M-39-20230627,A00000416596,LENO_004-M-39-20230627-CN,A00000416874,LENO_004-M-39-20230627-BA,A00000416900,168.7,N,OK,NA,0000-0002-8839-6825,NA,20251217T193824Z,RELEASE-2026,DP1.10086.001,LENO,2023,sls_bgcSubsampling
2c0ae6da-137d-4666-83ad-9190b2cd4967,D08,LENO,LENO_004,LENO_004.basePlot.bgc,2023-06-27T19:46:00Z,2023-06-27T19:46:00Z,NEON.DOC.014048vO,M,2023-06-28T16:45:00Z,2023-07-03T16:30:00Z,LENO_004-M-23-20230627,A00000416597,LENO_004-M-23-20230627-CN,A00000416885,LENO_004-M-23-20230627-BA,A00000416899,178.1,N,OK,NA,0000-0002-8839-6825,NA,20251217T193824Z,RELEASE-2026,DP1.10086.001,LENO,2023,sls_bgcSubsampling
92e8b2ab-bce6-4968-a24a-ac92f588912f,D08,LENO,LENO_061,LENO_061.basePlot.bgc,2023-06-29T12:41:00Z,2023-06-29T12:41:00Z,NEON.DOC.014048vO,M,2023-06-30T19:15:00Z,2023-07-03T16:30:00Z,LENO_061-M-21-20230629,A00000416576,LENO_061-M-21-20230629-CN,A00000416879,LENO_061-M-21-20230629-BA,A00000416907,141.5,N,OK,NA,0000-0002-8839-6825,NA,20251217T193824Z,RELEASE-2026,DP1.10086.001,LENO,2023,sls_bgcSubsampling
591c0ea0-a899-48a4-a0b4-261db1b36350,D08,LENO,LENO_061,LENO_061.basePlot.bgc,2023-06-29T13:10:00Z,2023-06-29T13:10:00Z,NEON.DOC.014048vO,M,2023-06-30T19:15:00Z,2023-07-03T16:30:00Z,LENO_061-M-23-20230629,A00000416575,LENO_061-M-23-20230629-CN,A00000416881,LENO_061-M-23-20230629-BA,A00000416908,193.1,N,OK,NA,0000-0002-8839-6825,NA,20251217T193824Z,RELEASE-2026,DP1.10086.001,LENO,2023,sls_bgcSubsampling
5162d2e4-f779-4a71-85df-b3fd97765ae9,D08,LENO,LENO_061,LENO_061.basePlot.bgc,2023-06-29T13:30:00Z,2023-06-29T13:30:00Z,NEON.DOC.014048vO,M,2023-06-30T19:15:00Z,2023-07-03T17:05:00Z,LENO_061-M-41-20230629,A00000416574,LENO_061-M-41-20230629-CN,A00000416882,LENO_061-M-41-20230629-BA,A00000416909,174.4,N,OK,NA,0000-0002-8839-6825,NA,20251217T193824Z,RELEASE-2026,DP1.10086.001,LENO,2023,sls_bgcSubsampling
9a339b96-7bdb-411c-9ad3-d7218fd7db7e,D08,LENO,LENO_006,LENO_006.basePlot.bgc,2023-06-29T14:01:00Z,2023-06-29T14:01:00Z,NEON.DOC.014048vO,M,2023-06-30T19:15:00Z,2023-07-03T16:30:00Z,LENO_006-M-41-20230629,A00000416611,LENO_006-M-41-20230629-CN,A00000416887,LENO_006-M-41-20230629-BA,A00000416906,153,N,OK,NA,0000-0002-8839-6825,NA,20251217T193824Z,RELEASE-2026,DP1.10086.001,LENO,2023,sls_bgcSubsampling
