uid,namedLocation,domainID,siteID,plotID,startDate,collectDate,sampleID,sampleCode,kclSampleID,kclSampleCode,sampleCondition,ammoniumNAnalysisDate,kclAmmoniumNConc,ammoniumNRepNum,ammoniumNQF,ammoniumNRemarks,nitrateNitriteNAnalysisDate,kclNitrateNitriteNConc,nitrateNitriteNRepNum,nitrateNitriteNQF,nitrateNitriteNRemarks,laboratoryName,ammoniumNMethod,ammoniumNInstrument,ammoniumNAnalyzedBy,ammoniumNReviewedBy,nitrateNitriteNMethod,nitrateNitriteNInstrument,nitrateNitriteNAnalyzedBy,nitrateNitriteNReviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
9f7f43b9-d8b2-4ab0-9ac9-fd33fce49baa,MOAB_046.basePlot.bgc,D13,MOAB,MOAB_046,2022-03-15T21:19:00Z,2022-03-15T21:19:00Z,MOAB_046-M-39-20220315,A00000285702,MOAB_046-M-39-20220315-KCL,B00000116236,ok,2022-06-08,0.058,1,OK,NA,2022-06-08,0.11,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193611Z,RELEASE-2026,DP1.10086.001,MOAB,2022,ntr_externalLab
322413a9-e09a-446b-aa7d-23d579e4d46a,MOAB_046.basePlot.bgc,D13,MOAB,MOAB_046,2022-03-15T21:30:00Z,2022-03-15T21:30:00Z,MOAB_046-M-41-20220315,A00000285701,MOAB_046-M-41-20220315-KCL,B00000116210,ok,2022-06-08,0.015,1,OK,NA,2022-06-08,0.063,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193611Z,RELEASE-2026,DP1.10086.001,MOAB,2022,ntr_externalLab
4407beef-7931-4bbe-b4a1-210cdd598f08,MOAB_046.basePlot.bgc,D13,MOAB,MOAB_046,2022-03-15T21:40:00Z,2022-03-15T21:40:00Z,MOAB_046-M-23-20220315,A00000285699,MOAB_046-M-23-20220315-KCL,B00000116211,ok,2022-06-08,0.019,1,OK,NA,2022-06-08,0.128,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193611Z,RELEASE-2026,DP1.10086.001,MOAB,2022,ntr_externalLab
001b206e-834a-4915-9454-35597f73205a,MOAB_046.basePlot.bgc,D13,MOAB,MOAB_046,2022-03-15T21:19:00Z,2022-04-05T16:16:00Z,MOAB_046-M-39-20220405,A00000286421,MOAB_046-M-39-20220405-KCL,B00000113297,ok,2022-06-08,0.032,1,OK,NA,2022-06-08,0.093,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193635Z,RELEASE-2026,DP1.10086.001,MOAB,2022,ntr_externalLab
2b03a490-99c3-4184-9e90-fe5eac8e409b,MOAB_046.basePlot.bgc,D13,MOAB,MOAB_046,2022-03-15T21:30:00Z,2022-04-05T16:24:00Z,MOAB_046-M-41-20220405,A00000286405,MOAB_046-M-41-20220405-KCL,B00000113296,ok,2022-06-08,0.025,1,OK,NA,2022-06-08,0.062,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193635Z,RELEASE-2026,DP1.10086.001,MOAB,2022,ntr_externalLab
189d09a3-7966-403a-83e5-8c15217a218a,MOAB_046.basePlot.bgc,D13,MOAB,MOAB_046,2022-03-15T21:40:00Z,2022-04-05T16:21:00Z,MOAB_046-M-23-20220405,A00000286356,MOAB_046-M-23-20220405-KCL,B00000113298,ok,2022-06-08,0.036,1,OK,NA,2022-06-08,0.098,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193635Z,RELEASE-2026,DP1.10086.001,MOAB,2022,ntr_externalLab
f3af0a95-8621-4e1c-98b2-452f8874efea,MOAB_046.basePlot.bgc,D13,MOAB,MOAB_046,2022-06-14T19:14:00Z,2022-07-05T18:01:00Z,MOAB_046-M-21-20220705,A00000287816,MOAB_046-M-21-20220705-KCL,B00000113763,ok,2022-09-26,0.04,1,OK,NA,2022-09-19,0.086,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194047Z,RELEASE-2026,DP1.10086.001,MOAB,2022,ntr_externalLab
a1ddd718-0240-4279-be5b-b20d6e3f2e55,MOAB_046.basePlot.bgc,D13,MOAB,MOAB_046,2022-06-14T19:14:00Z,2022-07-05T18:01:00Z,MOAB_046-M-21-20220705,A00000287816,MOAB_046-M-21-20220705-KCL,B00000113763,ok,NA,NA,NA,NA,NA,2022-09-19,0.084,2,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,NA,NA,NA,NA,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194047Z,RELEASE-2026,DP1.10086.001,MOAB,2022,ntr_externalLab
93177669-48f8-450c-863f-894e0ee2286a,MOAB_046.basePlot.bgc,D13,MOAB,MOAB_046,2022-06-14T19:27:00Z,2022-07-05T18:12:00Z,MOAB_046-M-23-20220705,A00000287815,MOAB_046-M-23-20220705-KCL,B00000113767,ok,2022-09-26,0.068,1,OK,NA,2022-09-19,0.081,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194047Z,RELEASE-2026,DP1.10086.001,MOAB,2022,ntr_externalLab
895080e3-3d64-480b-bd3e-1832360fa35e,MOAB_046.basePlot.bgc,D13,MOAB,MOAB_046,2022-06-14T19:40:00Z,2022-07-05T17:45:00Z,MOAB_046-M-41-20220705,A00000287817,MOAB_046-M-41-20220705-KCL,B00000113774,ok,2022-09-26,0.061,1,OK,NA,2022-09-19,0.051,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194047Z,RELEASE-2026,DP1.10086.001,MOAB,2022,ntr_externalLab
620a113e-0a38-42d5-a7f9-db40e2cd7754,MOAB_046.basePlot.bgc,D13,MOAB,MOAB_046,2022-06-14T19:14:00Z,2022-06-14T19:14:00Z,MOAB_046-M-21-20220614,A00000287581,MOAB_046-M-21-20220614-KCL,B00000113718,ok,2022-09-26,0.059,1,OK,NA,2022-09-19,0.161,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193513Z,RELEASE-2026,DP1.10086.001,MOAB,2022,ntr_externalLab
4139e7d6-b11c-4a8e-9d64-7153e6cf77c2,MOAB_046.basePlot.bgc,D13,MOAB,MOAB_046,2022-06-14T19:27:00Z,2022-06-14T19:27:00Z,MOAB_046-M-23-20220614,A00000286889,MOAB_046-M-23-20220614-KCL,B00000113720,ok,2022-09-26,0.041,1,OK,NA,2022-09-19,0.137,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193513Z,RELEASE-2026,DP1.10086.001,MOAB,2022,ntr_externalLab
3deb0c59-0369-460c-93ab-f7c5eb2d7108,MOAB_046.basePlot.bgc,D13,MOAB,MOAB_046,2022-06-14T19:40:00Z,2022-06-14T19:40:00Z,MOAB_046-M-41-20220614,A00000287602,MOAB_046-M-41-20220614-KCL,B00000113719,ok,2022-09-26,0.033,1,OK,NA,2022-09-19,0.103,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193513Z,RELEASE-2026,DP1.10086.001,MOAB,2022,ntr_externalLab
