uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,processedDate,sampleID,sampleCode,pHSampleID,samplingProtocolVersion,horizon,soilInWaterpH,soilInCaClpH,pHSoilInWaterMass,pHWaterVol,waterpHRatio,pHSoilInCaClMass,pHCaClVol,caclpHRatio,pHRemarks,pHMeasuredBy,pHDataQF,publicationDate,release,dpID,site_download,year_download,source_table
9cc47fd7-15e7-411c-90f0-1a6278afbb61,D13,MOAB,MOAB_005,MOAB_005.basePlot.bgc,2023-03-20T20:51:00Z,2023-03-20T20:51:00Z,2023-04-10,MOAB_005-M-23-20230320,A00000388330,MOAB_005-M-23-20230320-PH,NEON.DOC.014048vO,M,8.2,7.29,10.1,10,1,10.1,20,2,NA,0009-0000-7236-0361,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,MOAB,2023,sls_soilpH
db8fe835-7ad9-4ae7-9106-7f146e502765,D13,MOAB,MOAB_005,MOAB_005.basePlot.bgc,2023-03-20T21:19:00Z,2023-03-20T21:19:00Z,2023-04-10,MOAB_005-M-39-20230320,A00000388328,MOAB_005-M-39-20230320-PH,NEON.DOC.014048vO,M,8.01,7.29,10,10,1,10,20,2,NA,0009-0000-7236-0361,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,MOAB,2023,sls_soilpH
df3ec1dd-1f76-49ee-8312-56f8c189c092,D13,MOAB,MOAB_005,MOAB_005.basePlot.bgc,2023-03-20T21:30:00Z,2023-03-20T21:30:00Z,2023-04-10,MOAB_005-M-21-20230320,A00000388329,MOAB_005-M-21-20230320-PH,NEON.DOC.014048vO,M,8,7.31,10.2,10,1,10.2,20,2,NA,0009-0000-7236-0361,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,MOAB,2023,sls_soilpH
339a3349-fcfa-4e3a-aafe-7996e1fcc938,D13,MOAB,MOAB_002,MOAB_002.basePlot.bgc,2023-03-20T22:22:00Z,2023-03-20T22:22:00Z,2023-04-10,MOAB_002-M-41-20230320,A00000388319,MOAB_002-M-41-20230320-PH,NEON.DOC.014048vO,M,8,7.24,10.2,10,1,10.2,20,2,NA,0009-0000-7236-0361,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,MOAB,2023,sls_soilpH
e299ac1d-23a4-4d4d-a85f-b4d7de51d04d,D13,MOAB,MOAB_002,MOAB_002.basePlot.bgc,2023-03-20T22:35:00Z,2023-03-20T22:35:00Z,2023-04-10,MOAB_002-M-23-20230320,A00000388321,MOAB_002-M-23-20230320-PH,NEON.DOC.014048vO,M,8.1,7.27,10.1,10,1,10.1,20,2,NA,0009-0000-7236-0361,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,MOAB,2023,sls_soilpH
906d844a-40ed-4ccf-8515-ba91144069f1,D13,MOAB,MOAB_002,MOAB_002.basePlot.bgc,2023-03-20T22:47:00Z,2023-03-20T22:47:00Z,2023-04-10,MOAB_002-M-39-20230320,A00000388320,MOAB_002-M-39-20230320-PH,NEON.DOC.014048vO,M,8.13,7.2,10.1,10,1,10.1,20,2,NA,0009-0000-7236-0361,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,MOAB,2023,sls_soilpH
8f779225-dd17-4b4c-bcc6-c7d1c1eb4c0f,D13,MOAB,MOAB_001,MOAB_001.basePlot.bgc,2023-03-21T14:35:00Z,2023-03-21T14:35:00Z,2023-04-10,MOAB_001-M-23-20230321,A00000388318,MOAB_001-M-23-20230321-PH,NEON.DOC.014048vO,M,8.03,7.28,10,10,1,10,20,2,NA,0009-0000-7236-0361,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,MOAB,2023,sls_soilpH
0c593fb3-2107-4631-b654-a276f16a7e02,D13,MOAB,MOAB_001,MOAB_001.basePlot.bgc,2023-03-21T14:47:00Z,2023-03-21T14:47:00Z,2023-04-10,MOAB_001-M-39-20230321,A00000388316,MOAB_001-M-39-20230321-PH,NEON.DOC.014048vO,M,8.15,7.34,10.1,10,1,10.1,20,2,NA,0009-0000-7236-0361,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,MOAB,2023,sls_soilpH
1b2c391c-c1b3-4d32-8d84-b9706cb77cee,D13,MOAB,MOAB_001,MOAB_001.basePlot.bgc,2023-03-21T15:00:00Z,2023-03-21T15:00:00Z,2023-04-10,MOAB_001-M-21-20230321,A00000388317,MOAB_001-M-21-20230321-PH,NEON.DOC.014048vO,M,7.99,7.42,10,10,1,10,20,2,NA,0009-0000-7236-0361,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,MOAB,2023,sls_soilpH
f3ae4fc0-93a0-4c69-94a1-e382fd2550ac,D13,MOAB,MOAB_046,MOAB_046.basePlot.bgc,2023-03-21T16:30:00Z,2023-03-21T16:30:00Z,2023-04-10,MOAB_046-M-39-20230321,A00000388340,MOAB_046-M-39-20230321-PH,NEON.DOC.014048vO,M,8.1,7.28,10,10,1,10,20,2,NA,0009-0000-7236-0361,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,MOAB,2023,sls_soilpH
768dce50-fae8-471a-bc46-e7cdefae7d15,D13,MOAB,MOAB_046,MOAB_046.basePlot.bgc,2023-03-21T16:43:00Z,2023-03-21T16:43:00Z,2023-04-10,MOAB_046-M-23-20230321,A00000388341,MOAB_046-M-23-20230321-PH,NEON.DOC.014048vO,M,8.06,7.24,10.2,10,1,10.2,20,2,NA,0009-0000-7236-0361,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,MOAB,2023,sls_soilpH
b88894aa-2129-430c-bc6f-f8e2eb4a6852,D13,MOAB,MOAB_046,MOAB_046.basePlot.bgc,2023-03-21T16:57:00Z,2023-03-21T16:57:00Z,2023-04-10,MOAB_046-M-21-20230321,A00000388339,MOAB_046-M-21-20230321-PH,NEON.DOC.014048vO,M,8.01,7.22,10.1,10,1,10.1,20,2,NA,0009-0000-7236-0361,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,MOAB,2023,sls_soilpH
9d45f2ad-c395-472d-8ec5-c0725c5c409d,D13,MOAB,MOAB_045,MOAB_045.basePlot.bgc,2023-03-21T18:19:00Z,2023-03-21T18:19:00Z,2023-04-10,MOAB_045-M-41-20230321,A00000388344,MOAB_045-M-41-20230321-PH,NEON.DOC.014048vO,M,8.16,7.27,10.1,10,1,10.1,20,2,NA,0009-0000-7236-0361,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,MOAB,2023,sls_soilpH
bd8b8e82-2d3a-4592-94c7-8bd4b7ae3f06,D13,MOAB,MOAB_045,MOAB_045.basePlot.bgc,2023-03-21T18:31:00Z,2023-03-21T18:31:00Z,2023-04-10,MOAB_045-M-39-20230321,A00000388343,MOAB_045-M-39-20230321-PH,NEON.DOC.014048vO,M,7.95,7.23,10.1,10,1,10.1,20,2,NA,0009-0000-7236-0361,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,MOAB,2023,sls_soilpH
39cad55e-aa4a-4963-acd4-65dc3593a147,D13,MOAB,MOAB_045,MOAB_045.basePlot.bgc,2023-03-21T18:46:00Z,2023-03-21T18:46:00Z,2023-04-10,MOAB_045-M-23-20230321,A00000388342,MOAB_045-M-23-20230321-PH,NEON.DOC.014048vO,M,8.05,7.24,10.2,10,1,10.2,20,2,NA,0009-0000-7236-0361,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,MOAB,2023,sls_soilpH
b8d891fc-db38-4018-a611-3340b8bd31b9,D13,MOAB,MOAB_047,MOAB_047.basePlot.bgc,2023-03-21T19:21:00Z,2023-03-21T19:21:00Z,2023-04-10,MOAB_047-M-41-20230321,A00000388338,MOAB_047-M-41-20230321-PH,NEON.DOC.014048vO,M,8.14,7.31,10.1,10,1,10.1,20,2,NA,0009-0000-7236-0361,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,MOAB,2023,sls_soilpH
