uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,processedDate,sampleID,sampleCode,pHSampleID,samplingProtocolVersion,horizon,soilInWaterpH,soilInCaClpH,pHSoilInWaterMass,pHWaterVol,waterpHRatio,pHSoilInCaClMass,pHCaClVol,caclpHRatio,pHRemarks,pHMeasuredBy,pHDataQF,publicationDate,release,dpID,site_download,year_download,source_table
1c8bd093-b254-4b98-b95b-639162d8f4eb,D13,NIWO,NIWO_001,NIWO_001.basePlot.bgc,2019-06-19T18:40:00Z,2019-06-19T18:40:00Z,2019-07-17,NIWO_001-O-7.5-4-20190619,A00000090849,NIWO_001-O-7.5-4-20190619-PH,NEON.DOC.014048vL,O,4.54,3.71,5,40,8,5.1,40,7.9,NA,0000-0002-9897-9899,NA,20251217T193900Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_soilpH
0a879864-6fff-4522-8efe-e0656d90767c,D13,NIWO,NIWO_001,NIWO_001.basePlot.bgc,2019-06-19T18:40:00Z,2019-06-19T18:40:00Z,2019-07-17,NIWO_001-M-7.5-4-20190619,A00000090850,NIWO_001-M-7.5-4-20190619-PH,NEON.DOC.014048vL,M,5.1,4.29,10.1,20,2,10.1,20,2,NA,0000-0002-9897-9899,NA,20251217T193900Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_soilpH
082e5f86-da8d-4e44-a2b0-054cd3b2e8d8,D13,NIWO,NIWO_001,NIWO_001.basePlot.bgc,2019-06-19T19:31:00Z,2019-06-19T19:31:00Z,2019-07-17,NIWO_001-O-6.5-28.5-20190619,A00000090851,NIWO_001-O-6.5-28.5-20190619-PH,NEON.DOC.014048vL,O,4.58,3.88,4.9,40,8.1,5.1,40,7.9,NA,0000-0002-9897-9899,NA,20251217T193900Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_soilpH
ec181138-f2ac-4190-8763-6b01f7fd98a1,D13,NIWO,NIWO_001,NIWO_001.basePlot.bgc,2019-06-19T19:31:00Z,2019-06-19T19:31:00Z,2019-07-17,NIWO_001-M-6.5-28.5-20190619,A00000090848,NIWO_001-M-6.5-28.5-20190619-PH,NEON.DOC.014048vL,M,5.02,4.13,10,20,2,10,20,2,NA,0000-0002-9897-9899,NA,20251217T193900Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_soilpH
2d463215-bc03-4d64-96f9-6cbb272ecc73,D13,NIWO,NIWO_001,NIWO_001.basePlot.bgc,2019-06-19T20:02:00Z,2019-06-19T20:02:00Z,2019-07-17,NIWO_001-O-20-31-20190619,A00000090852,NIWO_001-O-20-31-20190619-PH,NEON.DOC.014048vL,O,4.71,3.83,4.9,40,8.1,5,40,8,NA,0000-0002-9897-9899,NA,20251217T193900Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_soilpH
4524e9b8-4cf4-4941-8d49-82cc0c2c6bb5,D13,NIWO,NIWO_001,NIWO_001.basePlot.bgc,2019-06-19T20:02:00Z,2019-06-19T20:02:00Z,2019-07-17,NIWO_001-M-20-31-20190619,A00000090853,NIWO_001-M-20-31-20190619-PH,NEON.DOC.014048vL,M,4.8,3.92,10,20,2,10,20,2,NA,0000-0002-9897-9899,NA,20251217T193900Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_soilpH
4c52c16d-9e0a-47c1-b2b9-31aa336ef81d,D13,NIWO,NIWO_001,NIWO_001.basePlot.bgc,2019-08-07T20:35:00Z,2019-08-07T20:35:00Z,2019-08-26,NIWO_001-O-0.5-24.5-20190807,A00000091783,NIWO_001-O-0.5-24.5-20190807-PH,NEON.DOC.014048vL,O,5.13,4.19,2.9,20,6.8,3.1,20,6.5,NA,0000-0002-9897-9899,NA,20251217T194056Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_soilpH
9a5eb4dc-9cdb-4f40-b268-e67581209388,D13,NIWO,NIWO_001,NIWO_001.basePlot.bgc,2019-08-07T21:00:00Z,2019-08-07T21:00:00Z,2019-08-26,NIWO_001-M-0.5-24.5-20190807,A00000091766,NIWO_001-M-0.5-24.5-20190807-PH,NEON.DOC.014048vL,M,5.01,4.08,9.9,20,2,10,20,2,NA,0000-0002-9897-9899,NA,20251217T194056Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_soilpH
e9b1a78a-d9eb-42be-bf3e-db68eeed4b98,D13,NIWO,NIWO_001,NIWO_001.basePlot.bgc,2019-08-07T21:24:00Z,2019-08-07T21:24:00Z,2019-08-26,NIWO_001-M-30-27.5-20190807,A00000091800,NIWO_001-M-30-27.5-20190807-PH,NEON.DOC.014048vL,M,4.84,3.81,10,20,2,10.1,20,2,NA,0000-0002-9897-9899,NA,20251217T194056Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_soilpH
8216ce99-a4e0-4ee4-b083-60bc43416412,D13,NIWO,NIWO_001,NIWO_001.basePlot.bgc,2019-08-07T22:05:00Z,2019-08-07T22:05:00Z,2019-08-26,NIWO_001-O-34.5-6-20190807,A00000091817,NIWO_001-O-34.5-6-20190807-PH,NEON.DOC.014048vL,O,4.69,3.99,3,40,13.5,3,40,13.5,NA,0000-0002-9897-9899,NA,20251217T194056Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_soilpH
3afecfc5-6056-497f-980f-36c15ce6ad21,D13,NIWO,NIWO_001,NIWO_001.basePlot.bgc,2019-09-03T21:01:00Z,2019-09-03T21:01:00Z,2019-09-26,NIWO_001-M-1.5-28-20190903,A00000092732,NIWO_001-M-1.5-28-20190903-PH,NEON.DOC.014048vL,M,5.04,3.97,9.9,20,2,10,20,2,NA,0000-0002-2359-6738,NA,20251217T194005Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_soilpH
73a34b00-0c90-4207-81d2-3ca19dd28c78,D13,NIWO,NIWO_001,NIWO_001.basePlot.bgc,2019-09-03T21:28:00Z,2019-09-03T21:28:00Z,2019-09-26,NIWO_001-O-31.5-21-20190903,A00000092731,NIWO_001-O-31.5-21-20190903-PH,NEON.DOC.014048vL,O,4.08,3.41,3,40,13.2,3,40,13.2,NA,0000-0002-2359-6738,NA,20251217T194005Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_soilpH
827e267d-c592-4414-ab95-8cfd2efe2b42,D13,NIWO,NIWO_001,NIWO_001.basePlot.bgc,2019-09-03T21:49:00Z,2019-09-03T21:49:00Z,2019-09-26,NIWO_001-M-31.5-21-20190903,A00000092733,NIWO_001-M-31.5-21-20190903-PH,NEON.DOC.014048vL,M,4.3,3.29,10.1,20,2,9.9,20.5,2.1,NA,0000-0002-2359-6738,NA,20251217T194005Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_soilpH
b369919b-6e85-4e49-8050-29a35d28197e,D13,NIWO,NIWO_001,NIWO_001.basePlot.bgc,2019-09-03T22:13:00Z,2019-09-03T22:13:00Z,2019-09-26,NIWO_001-M-30-15-20190903,A00000092730,NIWO_001-M-30-15-20190903-PH,NEON.DOC.014048vL,M,4.54,3.57,10,20,2,10.1,20,2,NA,0000-0002-2359-6738,NA,20251217T194005Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_soilpH
