uid,namedLocation,domainID,siteID,plotID,startDate,collectDate,sampleID,sampleCode,kclSampleID,kclSampleCode,sampleCondition,ammoniumNAnalysisDate,kclAmmoniumNConc,ammoniumNRepNum,ammoniumNQF,ammoniumNRemarks,nitrateNitriteNAnalysisDate,kclNitrateNitriteNConc,nitrateNitriteNRepNum,nitrateNitriteNQF,nitrateNitriteNRemarks,laboratoryName,ammoniumNMethod,ammoniumNInstrument,ammoniumNAnalyzedBy,ammoniumNReviewedBy,nitrateNitriteNMethod,nitrateNitriteNInstrument,nitrateNitriteNAnalyzedBy,nitrateNitriteNReviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
374a7ba7-f2be-43dc-a997-b6c71601dde9,OAES_045.basePlot.bgc,D11,OAES,OAES_045,2018-04-02T22:23:00Z,2018-04-02T22:23:00Z,OAES_045-M-7.5-3-20180402,NA,OAES_045-M-7.5-3-20180402-KCL,B00000001080,ok,2018-07-16,0.088,1,OK,NA,2018-07-16,0.076,1,OK,NA,EcoCore_CSU,Salicylate/nitroferricyanide (EPA 353.2),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,Cd reduction/sulfanilamide (DIN 38406),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,OAES,2018,ntr_externalLab
0acb5e8e-a50a-4e53-bb8a-d95a49c3c7ba,OAES_045.basePlot.bgc,D11,OAES,OAES_045,2018-04-02T22:23:00Z,2018-04-24T17:40:00Z,OAES_045-M-7.5-3-20180424,NA,OAES_045-M-7.5-3-20180424-KCL,B00000001094,ok,2018-07-16,0.069,1,OK,NA,2018-07-16,0.334,1,OK,NA,EcoCore_CSU,Salicylate/nitroferricyanide (EPA 353.2),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,Cd reduction/sulfanilamide (DIN 38406),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,OAES,2018,ntr_externalLab
e7c1be18-4d87-4d1f-90e4-d0346718876d,OAES_045.basePlot.bgc,D11,OAES,OAES_045,2018-04-02T22:53:00Z,2018-04-02T22:53:00Z,OAES_045-M-4.5-34-20180402,NA,OAES_045-M-4.5-34-20180402-KCL,B00000001081,ok,2018-07-16,0.163,1,OK,NA,2018-07-16,0.102,1,OK,NA,EcoCore_CSU,Salicylate/nitroferricyanide (EPA 353.2),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,Cd reduction/sulfanilamide (DIN 38406),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,OAES,2018,ntr_externalLab
236cc044-063b-4c50-b61a-7db77a53ab60,OAES_045.basePlot.bgc,D11,OAES,OAES_045,2018-04-02T22:53:00Z,2018-04-24T17:47:00Z,OAES_045-M-4.5-34-20180424,NA,OAES_045-M-4.5-34-20180424-KCL,B00000001093,ok,2018-07-16,0.093,1,OK,NA,2018-07-16,0.145,1,OK,NA,EcoCore_CSU,Salicylate/nitroferricyanide (EPA 353.2),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,Cd reduction/sulfanilamide (DIN 38406),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,OAES,2018,ntr_externalLab
edc6487e-ea93-4858-bdf7-6bebbbbf6e6a,OAES_045.basePlot.bgc,D11,OAES,OAES_045,2018-04-02T22:58:00Z,2018-04-02T22:58:00Z,OAES_045-M-33.5-18-20180402,NA,OAES_045-M-33.5-18-20180402-KCL,B00000001079,ok,2018-07-16,0.361,1,OK,NA,2018-07-16,0.134,1,OK,NA,EcoCore_CSU,Salicylate/nitroferricyanide (EPA 353.2),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,Cd reduction/sulfanilamide (DIN 38406),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,OAES,2018,ntr_externalLab
dae93f84-8622-492b-96f0-90068ac546ba,OAES_045.basePlot.bgc,D11,OAES,OAES_045,2018-04-02T22:58:00Z,2018-04-24T18:02:00Z,OAES_045-M-33.5-18-20180424,NA,OAES_045-M-33.5-18-20180424-KCL,B00000001092,ok,2018-07-16,0.132,1,OK,NA,2018-07-16,0.497,1,OK,NA,EcoCore_CSU,Salicylate/nitroferricyanide (EPA 353.2),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,Cd reduction/sulfanilamide (DIN 38406),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,OAES,2018,ntr_externalLab
08f94b75-239d-4d76-9e08-d14d1b0a3894,OAES_045.basePlot.bgc,D11,OAES,OAES_045,2018-05-30T17:09:00Z,2018-05-30T17:09:00Z,OAES_045-M-13-2-20180530,A00000015553,OAES_045-M-13-2-20180530-KCL,B00000001416,ok,2019-02-08,0.129,1,OK,NA,2019-02-06,0.149,1,OK,NA,EcoCore_CSU,Salicylate/nitroferricyanide (EPA 353.2),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,Cd reduction/sulfanilamide (DIN 38406),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,NA,20251217T193830Z,RELEASE-2026,DP1.10086.001,OAES,2018,ntr_externalLab
023c869c-ac88-4f35-b13d-f7de949522c3,OAES_045.basePlot.bgc,D11,OAES,OAES_045,2018-05-30T17:31:00Z,2018-05-30T17:31:00Z,OAES_045-M-28-3-20180530,A00000015552,OAES_045-M-28-3-20180530-KCL,B00000001417,ok,2019-02-08,0.254,1,OK,NA,2019-02-06,0.209,1,OK,NA,EcoCore_CSU,Salicylate/nitroferricyanide (EPA 353.2),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,Cd reduction/sulfanilamide (DIN 38406),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,NA,20251217T193830Z,RELEASE-2026,DP1.10086.001,OAES,2018,ntr_externalLab
2759ad43-ce8a-4747-903b-07edc22fdf0f,OAES_045.basePlot.bgc,D11,OAES,OAES_045,2018-05-30T17:53:00Z,2018-05-30T17:53:00Z,OAES_045-M-33.5-37-20180530,A00000015554,OAES_045-M-33.5-37-20180530-KCL,B00000001415,ok,2019-02-08,0.157,1,OK,NA,2019-02-06,0.107,1,OK,NA,EcoCore_CSU,Salicylate/nitroferricyanide (EPA 353.2),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,Cd reduction/sulfanilamide (DIN 38406),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,NA,20251217T193830Z,RELEASE-2026,DP1.10086.001,OAES,2018,ntr_externalLab
ccbbfabd-34d1-41f1-ac22-ce8a79a31eaf,OAES_045.basePlot.bgc,D11,OAES,OAES_045,2018-05-30T17:09:00Z,2018-06-18T20:01:00Z,OAES_045-M-13-2-20180618,NA,OAES_045-M-13-2-20180618-KCL,B00000001487,ok,2019-02-08,0.136,1,OK,NA,2019-02-06,0.215,1,OK,NA,EcoCore_CSU,Salicylate/nitroferricyanide (EPA 353.2),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,Cd reduction/sulfanilamide (DIN 38406),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,NA,20251217T193857Z,RELEASE-2026,DP1.10086.001,OAES,2018,ntr_externalLab
df26d85d-ac3d-48af-9a1d-7d4ed8196cf4,OAES_045.basePlot.bgc,D11,OAES,OAES_045,2018-05-30T17:31:00Z,2018-06-18T20:10:00Z,OAES_045-M-28-3-20180618,NA,OAES_045-M-28-3-20180618-KCL,B00000001477,ok,2019-02-08,0.326,1,OK,NA,2019-02-06,0.509,1,OK,NA,EcoCore_CSU,Salicylate/nitroferricyanide (EPA 353.2),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,Cd reduction/sulfanilamide (DIN 38406),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,NA,20251217T193857Z,RELEASE-2026,DP1.10086.001,OAES,2018,ntr_externalLab
