uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,processedDate,sampleID,sampleCode,pHSampleID,samplingProtocolVersion,horizon,soilInWaterpH,soilInCaClpH,pHSoilInWaterMass,pHWaterVol,waterpHRatio,pHSoilInCaClMass,pHCaClVol,caclpHRatio,pHRemarks,pHMeasuredBy,pHDataQF,publicationDate,release,dpID,site_download,year_download,source_table
c6751ef3-fcad-416a-8936-bafb04b342c2,D11,OAES,OAES_004,OAES_004.basePlot.bgc,2019-04-01T19:38:00Z,2019-04-01T19:38:00Z,2019-04-17,OAES_004-M-32.5-19-20190401,NA,OAES_004-M-32.5-19-20190401-PH,NEON.DOC.014048vL,M,8.09,7.38,10,20,2,10,20,2,NA,0000-0003-3231-8913,NA,20251217T194026Z,RELEASE-2026,DP1.10086.001,OAES,2019,sls_soilpH
039dd283-9a8d-42a4-8bbd-c3f982035f3d,D11,OAES,OAES_004,OAES_004.basePlot.bgc,2019-04-01T20:00:00Z,2019-04-01T20:00:00Z,2019-04-17,OAES_004-M-35.5-24-20190401,NA,OAES_004-M-35.5-24-20190401-PH,NEON.DOC.014048vL,M,8.1,7.33,10,20,2,10,20,2,NA,0000-0003-3231-8913,NA,20251217T194026Z,RELEASE-2026,DP1.10086.001,OAES,2019,sls_soilpH
4dc2d7ae-1f3a-48f0-b1c1-e893c72bf6ef,D11,OAES,OAES_004,OAES_004.basePlot.bgc,2019-04-01T20:26:00Z,2019-04-01T20:26:00Z,2019-04-17,OAES_004-M-0-37.5-20190401,NA,OAES_004-M-0-37.5-20190401-PH,NEON.DOC.014048vL,M,8.17,7.29,10.1,20,2,10,20,2,NA,0000-0003-3231-8913,NA,20251217T194026Z,RELEASE-2026,DP1.10086.001,OAES,2019,sls_soilpH
2dd72f14-6624-4739-a764-8174f0d1be20,D11,OAES,OAES_001,OAES_001.basePlot.bgc,2019-04-01T20:27:00Z,2019-04-01T20:27:00Z,2019-04-17,OAES_001-M-3.5-28.5-20190401,NA,OAES_001-M-3.5-28.5-20190401-PH,NEON.DOC.014048vL,M,8.71,7.6,10,20,2,10,20,2,NA,0000-0003-3231-8913,NA,20251217T194026Z,RELEASE-2026,DP1.10086.001,OAES,2019,sls_soilpH
7b88686a-fe9f-4eaa-8f87-9c5faa9bc9b1,D11,OAES,OAES_001,OAES_001.basePlot.bgc,2019-04-01T21:16:00Z,2019-04-01T21:16:00Z,2019-04-17,OAES_001-M-16-7.5-20190401,NA,OAES_001-M-16-7.5-20190401-PH,NEON.DOC.014048vL,M,8.5,7.63,10.1,20,2,10,20,2,NA,0000-0003-3231-8913,NA,20251217T194026Z,RELEASE-2026,DP1.10086.001,OAES,2019,sls_soilpH
39c75331-b7fa-479d-bef0-107037183ce2,D11,OAES,OAES_003,OAES_003.basePlot.bgc,2019-04-01T21:44:00Z,2019-04-01T21:44:00Z,2019-04-17,OAES_003-M-26.5-35-20190401,NA,OAES_003-M-26.5-35-20190401-PH,NEON.DOC.014048vL,M,8.23,7.57,10,20,2,10.1,20,2,NA,0000-0003-3231-8913,NA,20251217T194026Z,RELEASE-2026,DP1.10086.001,OAES,2019,sls_soilpH
290a4b88-54e6-4fca-bcf4-d477d58565df,D11,OAES,OAES_001,OAES_001.basePlot.bgc,2019-04-01T21:45:00Z,2019-04-01T21:45:00Z,2019-04-17,OAES_001-M-32.5-15.5-20190401,NA,OAES_001-M-32.5-15.5-20190401-PH,NEON.DOC.014048vL,M,8.63,7.66,10,20,2,10,20,2,NA,0000-0003-3231-8913,NA,20251217T194026Z,RELEASE-2026,DP1.10086.001,OAES,2019,sls_soilpH
6ced04c3-878c-4848-8565-062ed9aefa3b,D11,OAES,OAES_003,OAES_003.basePlot.bgc,2019-04-01T21:59:00Z,2019-04-01T21:59:00Z,2019-04-17,OAES_003-M-26-1.5-20190401,NA,OAES_003-M-26-1.5-20190401-PH,NEON.DOC.014048vL,M,7.68,6.78,10.1,20,2,10,20,2,NA,0000-0003-3231-8913,NA,20251217T194026Z,RELEASE-2026,DP1.10086.001,OAES,2019,sls_soilpH
6d06540a-2625-4d2a-b803-898300ad95c6,D11,OAES,OAES_003,OAES_003.basePlot.bgc,2019-04-01T22:21:00Z,2019-04-01T22:21:00Z,2019-04-17,OAES_003-M-5-21-20190401,NA,OAES_003-M-5-21-20190401-PH,NEON.DOC.014048vL,M,8.72,7.61,10,20,2,10,20,2,NA,0000-0003-3231-8913,NA,20251217T194026Z,RELEASE-2026,DP1.10086.001,OAES,2019,sls_soilpH
313f287c-3320-41fc-8429-021b854a463b,D11,OAES,OAES_045,OAES_045.basePlot.bgc,2019-04-01T22:47:00Z,2019-04-01T22:47:00Z,2019-04-17,OAES_045-M-11.5-1-20190401,NA,OAES_045-M-11.5-1-20190401-PH,NEON.DOC.014048vL,M,8.58,7.67,10.1,20,2,10.1,20,2,NA,0000-0003-3231-8913,NA,20251217T194026Z,RELEASE-2026,DP1.10086.001,OAES,2019,sls_soilpH
46bb792a-c420-4f3a-b759-c9c4d263341a,D11,OAES,OAES_045,OAES_045.basePlot.bgc,2019-04-01T23:22:00Z,2019-04-01T23:22:00Z,2019-04-17,OAES_045-M-32-14-20190401,NA,OAES_045-M-32-14-20190401-PH,NEON.DOC.014048vL,M,8.27,7.47,10,20,2,10,20,2,NA,0000-0003-3231-8913,NA,20251217T194026Z,RELEASE-2026,DP1.10086.001,OAES,2019,sls_soilpH
fff70cb7-6ebe-40b3-ad7c-b06cfa5a1bab,D11,OAES,OAES_045,OAES_045.basePlot.bgc,2019-04-01T23:49:00Z,2019-04-01T23:49:00Z,2019-04-17,OAES_045-M-18-35.5-20190401,NA,OAES_045-M-18-35.5-20190401-PH,NEON.DOC.014048vL,M,7.99,7.35,10.1,20,2,10,20,2,NA,0000-0003-3231-8913,NA,20251217T194026Z,RELEASE-2026,DP1.10086.001,OAES,2019,sls_soilpH
40cf8a83-8575-45df-9c18-0de3230c275f,D11,OAES,OAES_007,OAES_007.basePlot.bgc,2019-04-02T14:27:00Z,2019-04-02T14:27:00Z,2019-04-17,OAES_007-M-15.5-32-20190402,NA,OAES_007-M-15.5-32-20190402-PH,NEON.DOC.014048vL,M,8.62,7.68,10,20,2,10,20,2,NA,0000-0003-3231-8913,NA,20251217T194026Z,RELEASE-2026,DP1.10086.001,OAES,2019,sls_soilpH
51a0cfb3-399c-40da-aa5b-6f794b4c89bb,D11,OAES,OAES_007,OAES_007.basePlot.bgc,2019-04-02T14:49:00Z,2019-04-02T14:49:00Z,2019-04-17,OAES_007-M-6.5-3.5-20190402,NA,OAES_007-M-6.5-3.5-20190402-PH,NEON.DOC.014048vL,M,8.77,7.56,10,20,2,10,20,2,NA,0000-0003-3231-8913,NA,20251217T194026Z,RELEASE-2026,DP1.10086.001,OAES,2019,sls_soilpH
2e11130f-ddf3-45f6-8169-45068e2cc386,D11,OAES,OAES_007,OAES_007.basePlot.bgc,2019-04-02T15:12:00Z,2019-04-02T15:12:00Z,2019-04-17,OAES_007-M-39.5-17.5-20190402,NA,OAES_007-M-39.5-17.5-20190402-PH,NEON.DOC.014048vL,M,8.93,7.63,10,20,2,10,20,2,NA,0000-0003-3231-8913,NA,20251217T194026Z,RELEASE-2026,DP1.10086.001,OAES,2019,sls_soilpH
