uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
ac878ba7-bc98-4c6d-a6dd-7803949cd79e,D11,OAES,OAES_009,OAES_009.basePlot.bgc,2023-03-22T14:29:00Z,2023-04-11T17:06:00Z,OAES_009-M-23-20230411,A00000277992,OAES_009-M-23-20230411-SM,NEON.DOC.014048vO,M,2023-04-13T18:45:00Z,2023-04-18T14:30:00Z,2.06,11.9,10.5,0.166,0.858,used frozen soil,NA,0009-0009-3561-839X,NA,20251217T193639Z,RELEASE-2026,DP1.10086.001,OAES,2023,sls_soilMoisture
5a62e04e-ce77-4bcb-a054-b71749164cae,D11,OAES,OAES_009,OAES_009.basePlot.bgc,2023-03-22T14:56:00Z,2023-04-11T16:53:00Z,OAES_009-M-21-20230411,A00000277991,OAES_009-M-21-20230411-SM,NEON.DOC.014048vO,M,2023-04-13T18:45:00Z,2023-04-18T14:30:00Z,2.08,12.1,10.5,0.19,0.84,used frozen soil,NA,0009-0009-3561-839X,NA,20251217T193639Z,RELEASE-2026,DP1.10086.001,OAES,2023,sls_soilMoisture
56f1839f-4e01-4a69-a98c-7fc07551a453,D11,OAES,OAES_009,OAES_009.basePlot.bgc,2023-03-22T15:31:00Z,2023-04-11T17:13:00Z,OAES_009-M-39-20230411,A00000277990,OAES_009-M-39-20230411-SM,NEON.DOC.014048vO,M,2023-04-13T18:45:00Z,2023-04-18T14:30:00Z,2.02,12,10.4,0.191,0.84,used frozen soil,NA,0009-0009-3561-839X,NA,20251217T193639Z,RELEASE-2026,DP1.10086.001,OAES,2023,sls_soilMoisture
7d326e79-c44f-40f8-9b8b-dcc1c5b422da,D11,OAES,OAES_009,OAES_009.basePlot.bgc,2023-03-22T14:29:00Z,2023-03-22T14:29:00Z,OAES_009-M-23-20230322,A00000273850,OAES_009-M-23-20230322-SM,NEON.DOC.014048vO,M,2023-03-29T17:19:00Z,2023-04-03T19:10:00Z,2.08,11.97,10.38,0.192,0.839,used frozen soil,NA,0000-0002-0594-4276,NA,20251217T193609Z,RELEASE-2026,DP1.10086.001,OAES,2023,sls_soilMoisture
ac8269d5-f946-4f80-a273-6e2e4b61efac,D11,OAES,OAES_009,OAES_009.basePlot.bgc,2023-03-22T14:56:00Z,2023-03-22T14:56:00Z,OAES_009-M-21-20230322,A00000277450,OAES_009-M-21-20230322-SM,NEON.DOC.014048vO,M,2023-03-29T17:15:00Z,2023-04-03T19:10:00Z,2.14,12.27,10.66,0.189,0.841,used frozen soil,NA,0000-0002-0594-4276,NA,20251217T193609Z,RELEASE-2026,DP1.10086.001,OAES,2023,sls_soilMoisture
a6ce66d6-f2e3-4d3a-b2df-2c7f7be64cbc,D11,OAES,OAES_009,OAES_009.basePlot.bgc,2023-03-22T15:31:00Z,2023-03-22T15:31:00Z,OAES_009-M-39-20230322,A00000277437,OAES_009-M-39-20230322-SM,NEON.DOC.014048vO,M,2023-03-29T17:17:00Z,2023-04-03T19:10:00Z,2.12,11.93,10.35,0.192,0.839,used frozen soil,NA,0000-0002-0594-4276,NA,20251217T193609Z,RELEASE-2026,DP1.10086.001,OAES,2023,sls_soilMoisture
adf54aeb-fea0-4ad7-a580-01cbd3e66540,D11,OAES,OAES_009,OAES_009.basePlot.bgc,2023-05-16T17:52:00Z,2023-05-16T17:52:00Z,OAES_009-M-23-20230516,A00000418605,OAES_009-M-23-20230516-SM,NEON.DOC.014048vO,M,2023-05-17T18:53:00Z,2023-05-22T14:50:00Z,2.13,12.22,10.72,0.175,0.851,OK,NA,0009-0009-3584-4071,NA,20251217T193849Z,RELEASE-2026,DP1.10086.001,OAES,2023,sls_soilMoisture
9591dd74-ddf5-4648-ad2f-d5ee411dedbc,D11,OAES,OAES_009,OAES_009.basePlot.bgc,2023-05-16T18:31:00Z,2023-05-16T18:31:00Z,OAES_009-M-21-20230516,A00000418589,OAES_009-M-21-20230516-SM,NEON.DOC.014048vO,M,2023-05-17T18:26:00Z,2023-05-22T14:48:00Z,2.08,12.4,10.73,0.193,0.838,OK,NA,0009-0009-3584-4071,NA,20251217T193849Z,RELEASE-2026,DP1.10086.001,OAES,2023,sls_soilMoisture
0218dfde-486f-4c8c-a69c-0215ca2408ad,D11,OAES,OAES_009,OAES_009.basePlot.bgc,2023-05-16T19:01:00Z,2023-05-16T19:01:00Z,OAES_009-M-39-20230516,A00000418526,OAES_009-M-39-20230516-SM,NEON.DOC.014048vO,M,2023-05-17T18:44:00Z,2023-05-22T14:49:00Z,2.16,12.39,11.25,0.125,0.889,OK,NA,0009-0004-0916-8982,NA,20251217T193849Z,RELEASE-2026,DP1.10086.001,OAES,2023,sls_soilMoisture
f2049469-da22-4907-8a0e-4ad7dad695e9,D11,OAES,OAES_009,OAES_009.basePlot.bgc,2023-05-16T17:52:00Z,2023-06-06T16:14:00Z,OAES_009-M-23-20230606,A00000418679,OAES_009-M-23-20230606-SM,NEON.DOC.014048vO,M,2023-06-08T15:07:00Z,2023-06-12T13:42:00Z,2.18,11.91,10.29,0.2,0.834,used frozen soil,NA,0000-0003-2942-5873,NA,20251217T194010Z,RELEASE-2026,DP1.10086.001,OAES,2023,sls_soilMoisture
f48aba3d-aa49-4ef9-beb3-3b5f4866ce52,D11,OAES,OAES_009,OAES_009.basePlot.bgc,2023-05-16T17:52:00Z,2023-06-06T16:23:00Z,OAES_009-M-21-20230606,A00000418680,OAES_009-M-21-20230606-SM,NEON.DOC.014048vO,M,2023-06-08T15:42:00Z,2023-06-12T13:56:00Z,2.1,12.54,10.78,0.203,0.831,used frozen soil,NA,0000-0003-2942-5873,NA,20251217T194010Z,RELEASE-2026,DP1.10086.001,OAES,2023,sls_soilMoisture
22c23c1c-a1dc-40f5-9fd4-1fe6777ad789,D11,OAES,OAES_009,OAES_009.basePlot.bgc,2023-05-16T19:01:00Z,2023-06-06T16:29:00Z,OAES_009-M-39-20230606,A00000418678,OAES_009-M-39-20230606-SM,NEON.DOC.014048vO,M,2023-06-08T15:18:00Z,2023-06-12T13:42:00Z,2.13,12.21,10.51,0.203,0.831,used frozen soil,NA,0000-0003-2942-5873,NA,20251217T194010Z,RELEASE-2026,DP1.10086.001,OAES,2023,sls_soilMoisture
22eef41d-947c-40e5-a0f4-f11f1bee4b81,D11,OAES,OAES_009,OAES_009.basePlot.bgc,2023-08-09T13:11:00Z,2023-08-09T13:11:00Z,OAES_009-M-41-20230809,A00000277843,OAES_009-M-41-20230809-SM,NEON.DOC.014048vO,M,2023-08-28T19:55:00Z,2023-08-31T13:23:00Z,2.076,12.15,11.4,0.08,0.926,used frozen soil,NA,0009-0000-3406-7017,NA,20251217T193647Z,RELEASE-2026,DP1.10086.001,OAES,2023,sls_soilMoisture
a9ed13d4-1298-467e-af1e-ddb0b21c0510,D11,OAES,OAES_009,OAES_009.basePlot.bgc,2023-08-09T13:11:00Z,2023-08-30T15:58:00Z,OAES_009-M-41-20230830,A00000272679,OAES_009-M-41-20230830-SM,NEON.DOC.014048vO,M,2023-08-31T19:43:00Z,2023-09-04T13:52:00Z,2.13,12.4,11.71,0.072,0.933,used frozen soil,NA,0009-0009-3584-4071,NA,20251217T193647Z,RELEASE-2026,DP1.10086.001,OAES,2023,sls_soilMoisture
dfce5552-b2df-4bbc-a5c2-70d7fd0d8f84,D11,OAES,OAES_009,OAES_009.basePlot.bgc,2023-08-09T13:24:00Z,2023-08-09T13:24:00Z,OAES_009-M-39-20230809,A00000277859,OAES_009-M-39-20230809-SM,NEON.DOC.014048vO,M,2023-08-28T19:55:00Z,2023-08-31T13:28:00Z,2.034,12.343,11.5,0.089,0.918,used frozen soil,NA,0009-0000-3406-7017,NA,20251217T193647Z,RELEASE-2026,DP1.10086.001,OAES,2023,sls_soilMoisture
562043c4-6c4c-4612-9152-e044d5a26d2f,D11,OAES,OAES_009,OAES_009.basePlot.bgc,2023-08-09T13:24:00Z,2023-08-30T14:53:00Z,OAES_009-M-39-20230830,A00000272678,OAES_009-M-39-20230830-SM,NEON.DOC.014048vO,M,2023-08-31T19:43:00Z,2023-09-04T13:50:00Z,2.23,12.63,11.99,0.066,0.938,used frozen soil,NA,0009-0009-3584-4071,NA,20251217T193647Z,RELEASE-2026,DP1.10086.001,OAES,2023,sls_soilMoisture
a5016c23-df4c-4157-ace0-b507f2a93123,D11,OAES,OAES_009,OAES_009.basePlot.bgc,2023-08-09T13:44:00Z,2023-08-09T13:44:00Z,OAES_009-M-21-20230809,A00000277826,OAES_009-M-21-20230809-SM,NEON.DOC.014048vO,M,2023-08-28T19:55:00Z,2023-08-31T13:38:00Z,2.076,12.495,11.68,0.085,0.922,used frozen soil,NA,0009-0000-3406-7017,NA,20251217T193647Z,RELEASE-2026,DP1.10086.001,OAES,2023,sls_soilMoisture
bbea1b39-9e1f-4d11-9824-b964299dfa3c,D11,OAES,OAES_009,OAES_009.basePlot.bgc,2023-08-09T13:44:00Z,2023-08-30T14:44:00Z,OAES_009-M-21-20230830,A00000272677,OAES_009-M-21-20230830-SM,NEON.DOC.014048vO,M,2023-08-31T19:43:00Z,2023-09-04T13:49:00Z,2.04,12.2,11.51,0.073,0.932,used frozen soil,NA,0009-0009-3584-4071,NA,20251217T193647Z,RELEASE-2026,DP1.10086.001,OAES,2023,sls_soilMoisture
