uid,namedLocation,domainID,siteID,plotID,startDate,collectDate,sampleID,sampleCode,kclSampleID,kclSampleCode,sampleCondition,ammoniumNAnalysisDate,kclAmmoniumNConc,ammoniumNRepNum,ammoniumNQF,ammoniumNRemarks,nitrateNitriteNAnalysisDate,kclNitrateNitriteNConc,nitrateNitriteNRepNum,nitrateNitriteNQF,nitrateNitriteNRemarks,laboratoryName,ammoniumNMethod,ammoniumNInstrument,ammoniumNAnalyzedBy,ammoniumNReviewedBy,nitrateNitriteNMethod,nitrateNitriteNInstrument,nitrateNitriteNAnalyzedBy,nitrateNitriteNReviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
c6ce3e80-246c-4066-b478-77d5322d307a,ONAQ_010.basePlot.bgc,D15,ONAQ,ONAQ_010,2021-04-01T18:58:00Z,2021-04-01T18:58:00Z,ONAQ_010-M-6.5-31.5-20210401,A00000281148,ONAQ_010-M-6.5-31.5-20210401-KCL,B00000014924,ok,2021-05-12,0.42,1,OK,NA,2021-05-12,0.149,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193831Z,RELEASE-2026,DP1.10086.001,ONAQ,2021,ntr_externalLab
cbf98a4d-70c6-429d-b6b0-8295dfb75a02,ONAQ_010.basePlot.bgc,D15,ONAQ,ONAQ_010,2021-04-01T18:58:00Z,2021-04-18T17:19:00Z,ONAQ_010-M-6.5-31.5-20210418,A00000281699,ONAQ_010-M-6.5-31.5-20210418-KCL,B00000014839,ok,2021-05-12,0.333,1,OK,NA,2021-05-12,0.241,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193831Z,RELEASE-2026,DP1.10086.001,ONAQ,2021,ntr_externalLab
f7e1b2b5-3ee0-42a4-8d65-bf0d4d194418,ONAQ_010.basePlot.bgc,D15,ONAQ,ONAQ_010,2021-04-01T19:18:00Z,2021-04-01T19:18:00Z,ONAQ_010-M-39.5-36.5-20210401,A00000281150,ONAQ_010-M-39.5-36.5-20210401-KCL,B00000014887,ok,2021-05-12,0.321,1,OK,NA,2021-05-12,0.09,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193831Z,RELEASE-2026,DP1.10086.001,ONAQ,2021,ntr_externalLab
777e15a6-049b-43f3-8e8f-9bea5cfcede7,ONAQ_010.basePlot.bgc,D15,ONAQ,ONAQ_010,2021-04-01T19:18:00Z,2021-04-18T17:27:00Z,ONAQ_010-M-39.5-36.5-20210418,A00000281713,ONAQ_010-M-39.5-36.5-20210418-KCL,B00000014840,ok,2021-05-12,0.355,1,OK,NA,2021-05-12,0.391,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193831Z,RELEASE-2026,DP1.10086.001,ONAQ,2021,ntr_externalLab
603d7956-0452-4a19-859d-9620c5e7db1d,ONAQ_010.basePlot.bgc,D15,ONAQ,ONAQ_010,2021-04-01T19:37:00Z,2021-04-01T19:37:00Z,ONAQ_010-M-37.5-10-20210401,A00000281149,ONAQ_010-M-37.5-10-20210401-KCL,B00000014923,ok,2021-05-12,0.228,1,OK,NA,2021-05-12,0.102,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193831Z,RELEASE-2026,DP1.10086.001,ONAQ,2021,ntr_externalLab
7b4ba505-dc1f-43e1-a2cd-fbcbd571a30c,ONAQ_010.basePlot.bgc,D15,ONAQ,ONAQ_010,2021-04-01T19:37:00Z,2021-04-18T17:40:00Z,ONAQ_010-M-37.5-10-20210418,A00000281698,ONAQ_010-M-37.5-10-20210418-KCL,B00000014852,ok,2021-05-12,0.426,1,OK,NA,2021-05-12,0.509,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193831Z,RELEASE-2026,DP1.10086.001,ONAQ,2021,ntr_externalLab
5793a4f4-553b-49f9-b8b0-26a34414508b,ONAQ_010.basePlot.bgc,D15,ONAQ,ONAQ_010,2021-05-26T17:58:00Z,2021-06-16T15:29:00Z,ONAQ_010-M-3-35.5-20210616,A00000282215,ONAQ_010-M-3-35.5-20210616-KCL,B00000115934,ok,2021-09-29,0.08,1,OK,NA,2021-09-29,0.165,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T194036Z,RELEASE-2026,DP1.10086.001,ONAQ,2021,ntr_externalLab
6c34e602-447a-4f75-b119-6fdbcb102232,ONAQ_010.basePlot.bgc,D15,ONAQ,ONAQ_010,2021-05-26T17:58:00Z,2021-06-16T15:29:00Z,ONAQ_010-M-3-35.5-20210616,A00000282215,ONAQ_010-M-3-35.5-20210616-KCL,B00000115934,ok,2021-09-29,0.081,2,OK,NA,2021-09-29,0.154,2,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T194036Z,RELEASE-2026,DP1.10086.001,ONAQ,2021,ntr_externalLab
c823bcfb-995c-4a12-b361-9c8b8ac8547d,ONAQ_010.basePlot.bgc,D15,ONAQ,ONAQ_010,2021-05-26T18:17:00Z,2021-06-16T15:38:00Z,ONAQ_010-M-1.5-11-20210616,A00000282217,ONAQ_010-M-1.5-11-20210616-KCL,B00000115932,ok,2021-09-29,0.126,1,OK,NA,2021-09-29,0.13,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T194036Z,RELEASE-2026,DP1.10086.001,ONAQ,2021,ntr_externalLab
3d56f755-02de-44a8-94bb-5de9bc4af53b,ONAQ_010.basePlot.bgc,D15,ONAQ,ONAQ_010,2021-05-26T18:40:00Z,2021-06-16T15:48:00Z,ONAQ_010-M-31.5-14.5-20210616,A00000282216,ONAQ_010-M-31.5-14.5-20210616-KCL,B00000115933,ok,2021-09-29,0.564,1,OK,NA,2021-09-29,0.256,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T194036Z,RELEASE-2026,DP1.10086.001,ONAQ,2021,ntr_externalLab
55283f6c-6090-48e5-ae11-3b5a846e701e,ONAQ_010.basePlot.bgc,D15,ONAQ,ONAQ_010,2021-05-26T17:58:00Z,2021-05-26T17:58:00Z,ONAQ_010-M-3-35.5-20210526,A00000281773,ONAQ_010-M-3-35.5-20210526-KCL,B00000115854,ok,2021-09-29,0.118,1,OK,NA,2021-09-29,0.787,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193818Z,RELEASE-2026,DP1.10086.001,ONAQ,2021,ntr_externalLab
186afcd4-621b-4e61-b3e2-6a556007c1a2,ONAQ_010.basePlot.bgc,D15,ONAQ,ONAQ_010,2021-05-26T18:17:00Z,2021-05-26T18:17:00Z,ONAQ_010-M-1.5-11-20210526,A00000281774,ONAQ_010-M-1.5-11-20210526-KCL,B00000115856,ok,2021-09-29,0.086,1,OK,NA,2021-09-29,0.513,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193818Z,RELEASE-2026,DP1.10086.001,ONAQ,2021,ntr_externalLab
368b1364-1789-4ee5-a9a9-aca4a16e7893,ONAQ_010.basePlot.bgc,D15,ONAQ,ONAQ_010,2021-05-26T18:40:00Z,2021-05-26T18:40:00Z,ONAQ_010-M-31.5-14.5-20210526,A00000281775,ONAQ_010-M-31.5-14.5-20210526-KCL,B00000115855,ok,2021-09-29,0.142,1,OK,NA,2021-09-29,0.834,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193818Z,RELEASE-2026,DP1.10086.001,ONAQ,2021,ntr_externalLab
