uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
eab699b3-0187-4c14-a124-695f252f51f0,D15,ONAQ,ONAQ_043,ONAQ_043.basePlot.bgc,2023-03-27T16:41:00Z,2023-03-27T16:41:00Z,ONAQ_043-M-41-20230327,A00000388312,ONAQ_043-M-41-20230327-SM,NEON.DOC.014048vO,M,2023-03-28T13:48:00Z,2023-04-03T14:44:00Z,2.143,12.243,10.77,0.171,0.854,OK,NA,0000-0002-0834-4276,NA,20251217T193713Z,RELEASE-2026,DP1.10086.001,ONAQ,2023,sls_soilMoisture
7cb97e41-9115-45ca-89b2-8ebb8939fcc1,D15,ONAQ,ONAQ_043,ONAQ_043.basePlot.bgc,2023-03-27T17:08:00Z,2023-03-27T17:08:00Z,ONAQ_043-M-23-20230327,A00000388311,ONAQ_043-M-23-20230327-SM,NEON.DOC.014048vO,M,2023-03-28T13:51:00Z,2023-04-03T14:45:00Z,2.11,12.419,10.47,0.233,0.811,OK,NA,0000-0002-0834-4276,NA,20251217T193713Z,RELEASE-2026,DP1.10086.001,ONAQ,2023,sls_soilMoisture
da604cb5-db3b-4d4d-9340-eab81c69f261,D15,ONAQ,ONAQ_043,ONAQ_043.basePlot.bgc,2023-03-27T17:32:00Z,2023-03-27T17:32:00Z,ONAQ_043-M-39-20230327,A00000388310,ONAQ_043-M-39-20230327-SM,NEON.DOC.014048vO,M,2023-03-28T13:38:00Z,2023-04-03T14:43:00Z,2.216,12.395,10.67,0.204,0.831,OK,NA,0000-0002-0834-4276,NA,20251217T193713Z,RELEASE-2026,DP1.10086.001,ONAQ,2023,sls_soilMoisture
292f2cc7-3fba-4927-a380-1071179513e8,D15,ONAQ,ONAQ_041,ONAQ_041.basePlot.bgc,2023-03-28T17:11:00Z,2023-03-28T17:11:00Z,ONAQ_041-M-23-20230328,A00000388306,ONAQ_041-M-23-20230328-SM,NEON.DOC.014048vO,M,2023-03-29T19:47:00Z,2023-04-03T14:26:00Z,2.17,12.22,10.58,0.195,0.837,OK,NA,0000-0002-5333-6523,NA,20251217T193713Z,RELEASE-2026,DP1.10086.001,ONAQ,2023,sls_soilMoisture
a35574b5-fb0d-49ff-980c-e44821854b44,D15,ONAQ,ONAQ_041,ONAQ_041.basePlot.bgc,2023-03-28T17:38:00Z,2023-03-28T17:38:00Z,ONAQ_041-M-39-20230328,A00000388305,ONAQ_041-M-39-20230328-SM,NEON.DOC.014048vO,M,2023-03-29T19:54:00Z,2023-04-03T14:46:00Z,2.08,12.09,10.58,0.178,0.849,OK,NA,0000-0002-5333-6523,NA,20251217T193713Z,RELEASE-2026,DP1.10086.001,ONAQ,2023,sls_soilMoisture
f7402b52-a4d7-4eac-8cc1-9f4e7738bfd6,D15,ONAQ,ONAQ_041,ONAQ_041.basePlot.bgc,2023-03-28T17:55:00Z,2023-03-28T17:55:00Z,ONAQ_041-M-41-20230328,A00000388304,ONAQ_041-M-41-20230328-SM,NEON.DOC.014048vO,M,2023-03-29T19:51:00Z,2023-04-03T14:45:00Z,2.16,12.2,10.74,0.17,0.855,OK,NA,0000-0002-5333-6523,NA,20251217T193713Z,RELEASE-2026,DP1.10086.001,ONAQ,2023,sls_soilMoisture
090c3359-884a-4b30-bcd4-9664727fa559,D15,ONAQ,ONAQ_044,ONAQ_044.basePlot.bgc,2023-03-29T15:58:00Z,2023-03-29T15:58:00Z,ONAQ_044-M-41-20230329,A00000388313,ONAQ_044-M-41-20230329-SM,NEON.DOC.014048vO,M,2023-03-30T13:51:00Z,2023-04-03T14:39:00Z,2.1,12.4,10.91,0.169,0.855,OK,NA,0000-0002-2110-6248,NA,20251217T193713Z,RELEASE-2026,DP1.10086.001,ONAQ,2023,sls_soilMoisture
f2f1163c-1a95-4c2e-923b-30e1d090ffee,D15,ONAQ,ONAQ_044,ONAQ_044.basePlot.bgc,2023-03-29T16:11:00Z,2023-03-29T16:11:00Z,ONAQ_044-M-23-20230329,A00000388314,ONAQ_044-M-23-20230329-SM,NEON.DOC.014048vO,M,2023-03-30T13:29:00Z,2023-04-03T14:42:00Z,2.12,12.187,10.97,0.138,0.879,OK,NA,0009-0000-7236-0361,NA,20251217T193713Z,RELEASE-2026,DP1.10086.001,ONAQ,2023,sls_soilMoisture
91d06bd1-607d-41ba-ae07-28b5d9b2b85f,D15,ONAQ,ONAQ_042,ONAQ_042.basePlot.bgc,2023-03-29T16:16:00Z,2023-03-29T16:16:00Z,ONAQ_042-M-41-20230329,A00000388307,ONAQ_042-M-41-20230329-SM,NEON.DOC.014048vO,M,2023-03-30T13:46:00Z,2023-04-03T14:12:00Z,2.09,12.31,10.85,0.167,0.857,OK,NA,0000-0002-2110-6248,NA,20251217T193713Z,RELEASE-2026,DP1.10086.001,ONAQ,2023,sls_soilMoisture
85f91e4e-4b98-44b4-b71f-9a57ad0fa106,D15,ONAQ,ONAQ_044,ONAQ_044.basePlot.bgc,2023-03-29T16:26:00Z,2023-03-29T16:26:00Z,ONAQ_044-M-21-20230329,A00000388315,ONAQ_044-M-21-20230329-SM,NEON.DOC.014048vO,M,2023-03-30T13:54:00Z,2023-04-03T14:22:00Z,2.07,12.32,10.79,0.175,0.851,tin spilled,NA,0000-0002-2110-6248,NA,20251217T193713Z,RELEASE-2026,DP1.10086.001,ONAQ,2023,sls_soilMoisture
37d87b6b-13fe-432e-a569-285cf6217e3e,D15,ONAQ,ONAQ_042,ONAQ_042.basePlot.bgc,2023-03-29T16:40:00Z,2023-03-29T16:40:00Z,ONAQ_042-M-39-20230329,A00000388309,ONAQ_042-M-39-20230329-SM,NEON.DOC.014048vO,M,2023-03-30T15:12:00Z,2023-04-03T14:27:00Z,2.14,12.44,11.07,0.153,0.867,OK,NA,0000-0002-2110-6248,NA,20251217T193713Z,RELEASE-2026,DP1.10086.001,ONAQ,2023,sls_soilMoisture
55281aca-661a-4c8a-9e1c-3ebfdcf10c9f,D15,ONAQ,ONAQ_042,ONAQ_042.basePlot.bgc,2023-03-29T16:58:00Z,2023-03-29T16:58:00Z,ONAQ_042-M-21-20230329,A00000388308,ONAQ_042-M-21-20230329-SM,NEON.DOC.014048vO,M,2023-03-30T13:48:00Z,2023-04-03T14:39:00Z,2.05,12.68,11.2,0.162,0.861,OK,NA,0000-0002-2110-6248,NA,20251217T193713Z,RELEASE-2026,DP1.10086.001,ONAQ,2023,sls_soilMoisture
