uid,domainID,siteID,extractionStartDate,extractionEndDate,kclReferenceID,kclBlank1ID,kclBlank1Code,kclBlank2ID,kclBlank2Code,kclBlank3ID,kclBlank3Code,remarks,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
2300a3de-794e-43be-aca5-20c213cabc37,D07,ORNL,2022-03-15,2022-03-15,ORNL-20220315-BREF1,ORNL-20220315-BREF1-A,B00000085985,ORNL-20220315-BREF1-B,B00000085984,ORNL-20220315-BREF1-C,B00000085983,NA,NA,20251217T194043Z,RELEASE-2026,DP1.10086.001,ORNL,2022,ntr_internalLabBlanks
34f43423-eaca-4a2b-833b-a5a5f92e71cc,D07,ORNL,2022-03-16,2022-03-16,ORNL-20220316-BREF1,ORNL-20220316-BREF1-A,B00000085995,ORNL-20220316-BREF1-B,B00000085998,ORNL-20220316-BREF1-C,B00000085996,NA,NA,20251217T194043Z,RELEASE-2026,DP1.10086.001,ORNL,2022,ntr_internalLabBlanks
8dfe2ecb-a624-4ce2-b18b-043ea3f1e823,D07,ORNL,2022-03-17,2022-03-17,ORNL-20220317-BREF1,ORNL-20220317-BREF1-A,B00000086004,ORNL-20220317-BREF1-B,B00000086005,NA,NA,NA,NA,20251217T194043Z,RELEASE-2026,DP1.10086.001,ORNL,2022,ntr_internalLabBlanks
82ae2d71-eec4-4545-bc53-f6f24461986b,D07,ORNL,2022-04-05,2022-04-05,ORNL-20220405-BREF1,ORNL-20220405-BREF1-A,B00000086032,ORNL-20220405-BREF1-B,B00000086027,ORNL-20220405-BREF1-C,B00000086030,NA,NA,20251217T193929Z,RELEASE-2026,DP1.10086.001,ORNL,2022,ntr_internalLabBlanks
86391856-819f-41d4-99d1-3c4db7770f6d,D07,ORNL,2022-04-07,2022-04-07,ORNL-20220407-BREF1,ORNL-20220407-BREF1-A,B00000086042,ORNL-20220407-BREF1-B,B00000086057,ORNL-20220407-BREF1-C,B00000086055,NA,NA,20251217T193929Z,RELEASE-2026,DP1.10086.001,ORNL,2022,ntr_internalLabBlanks
55a33cf2-5b2c-4d17-869f-3a7bc6776168,D07,ORNL,2022-06-14,2022-06-14,ORNL-20220614-BREF1,ORNL-20220614-BREF1-A,B00000086043,ORNL-20220614-BREF1-B,B00000086039,ORNL-20220614-BREF1-C,B00000086040,NA,NA,20251217T193731Z,RELEASE-2026,DP1.10086.001,ORNL,2022,ntr_internalLabBlanks
4106eaa9-654a-43a9-b3ee-656b14fb9385,D07,ORNL,2022-06-15,2022-06-15,ORNL-20220615-BREF1,ORNL-20220615-BREF1-A,B00000088989,ORNL-20220615-BREF1-B,B00000088988,NA,NA,NA,NA,20251217T193731Z,RELEASE-2026,DP1.10086.001,ORNL,2022,ntr_internalLabBlanks
71f91143-d190-4072-a2bd-44ed62a1b38d,D07,ORNL,2022-06-16,2022-06-16,ORNL-20220616-BREF1,ORNL-20220616-BREF1-A,B00000088996,ORNL-20220616-BREF1-B,B00000088990,ORNL-20220616-BREF1-C,B00000089017,NA,NA,20251217T193731Z,RELEASE-2026,DP1.10086.001,ORNL,2022,ntr_internalLabBlanks
7f730363-b0ef-4a81-bd0e-f07915a2a199,D07,ORNL,2022-06-17,2022-06-17,ORNL-20220617-BREF1,ORNL-20220617-BREF1-A,B00000089029,ORNL-20220617-BREF1-B,B00000089023,ORNL-20220617-BREF1-C,B00000089032,NA,NA,20251217T193731Z,RELEASE-2026,DP1.10086.001,ORNL,2022,ntr_internalLabBlanks
414a169c-3492-4900-bfac-496eb49322b6,D07,ORNL,2022-06-28,2022-06-28,ORNL-20220628-BREF1,ORNL-20220628-BREF1-A,B00000089042,ORNL-20220628-BREF1-B,B00000089043,ORNL-20220628-BREF1-C,B00000089044,NA,NA,20251217T193731Z,RELEASE-2026,DP1.10086.001,ORNL,2022,ntr_internalLabBlanks
80e27e21-ae67-4f0b-8463-ff38c7bd0a65,D07,ORNL,2022-06-29,2022-06-29,ORNL-20220629-BREF1,ORNL-20220629-BREF1-A,B00000089051,ORNL-20220629-BREF1-B,B00000089050,NA,NA,NA,NA,20251217T193731Z,RELEASE-2026,DP1.10086.001,ORNL,2022,ntr_internalLabBlanks
f7b603df-a4ae-4f4b-b1af-faa268d61aba,D07,ORNL,2022-06-30,2022-06-30,ORNL-20220630-BREF1,ORNL-20220630-BREF1-A,B00000089053,ORNL-20220630-BREF1-B,B00000089054,ORNL-20220630-BREF1-C,B00000089055,NA,NA,20251217T193731Z,RELEASE-2026,DP1.10086.001,ORNL,2022,ntr_internalLabBlanks
13041704-e988-447d-bce5-74445048887c,D07,ORNL,2022-10-18,2022-10-18,ORNL-20221018-BREF1,ORNL-20221018-BREF1-A,B00000089158,ORNL-20221018-BREF1-B,B00000089159,ORNL-20221018-BREF1-C,B00000089157,NA,NA,20251217T193748Z,RELEASE-2026,DP1.10086.001,ORNL,2022,ntr_internalLabBlanks
853dd5fd-22d2-434e-9a21-b365f15c0e53,D07,ORNL,2022-10-19,2022-10-19,ORNL-20221019-BREF1,ORNL-20221019-BREF1-A,B00000089190,ORNL-20221019-BREF1-B,B00000089191,ORNL-20221019-BREF1-C,B00000089192,NA,NA,20251217T193748Z,RELEASE-2026,DP1.10086.001,ORNL,2022,ntr_internalLabBlanks
84f8b0c0-0e44-4a1d-82f5-7d21ff2f5393,D07,ORNL,2022-10-20,2022-10-20,ORNL-20221020-BREF1,ORNL-20221020-BREF1-A,B00000089202,ORNL-20221020-BREF1-B,B00000089203,ORNL-20221020-BREF1-C,B00000089201,NA,NA,20251217T193748Z,RELEASE-2026,DP1.10086.001,ORNL,2022,ntr_internalLabBlanks
851b849e-b827-4074-8565-41e10942829c,D07,ORNL,2022-11-07,2022-11-07,ORNL-20221107-BREF1,ORNL-20221107-BREF1-A,D00000115840,ORNL-20221107-BREF1-B,D00000115846,ORNL-20221107-BREF1-C,D00000115851,NA,NA,20251217T194033Z,RELEASE-2026,DP1.10086.001,ORNL,2022,ntr_internalLabBlanks
684409cc-a563-4616-90f1-264678d82b52,D07,ORNL,2022-11-08,2022-11-08,ORNL-20221108-BREF1,ORNL-20221108-BREF1-A,B00000089246,ORNL-20221108-BREF1-B,B00000089243,ORNL-20221108-BREF1-C,B00000089245,NA,NA,20251217T194033Z,RELEASE-2026,DP1.10086.001,ORNL,2022,ntr_internalLabBlanks
6b359faf-c7d6-4e01-a5db-549b147d7e1d,D07,ORNL,2022-11-09,2022-11-09,ORNL-20221109-BREF1,ORNL-20221109-BREF1-A,B00000089252,ORNL-20221109-BREF1-B,B00000089255,ORNL-20221109-BREF1-C,B00000089253,NA,NA,20251217T194033Z,RELEASE-2026,DP1.10086.001,ORNL,2022,ntr_internalLabBlanks
