uid,namedLocation,domainID,siteID,plotID,startDate,collectDate,sampleID,sampleCode,kclSampleID,kclSampleCode,sampleCondition,ammoniumNAnalysisDate,kclAmmoniumNConc,ammoniumNRepNum,ammoniumNQF,ammoniumNRemarks,nitrateNitriteNAnalysisDate,kclNitrateNitriteNConc,nitrateNitriteNRepNum,nitrateNitriteNQF,nitrateNitriteNRemarks,laboratoryName,ammoniumNMethod,ammoniumNInstrument,ammoniumNAnalyzedBy,ammoniumNReviewedBy,nitrateNitriteNMethod,nitrateNitriteNInstrument,nitrateNitriteNAnalyzedBy,nitrateNitriteNReviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
c20bbb33-6c7a-49d0-a163-c14b614da8d3,OSBS_001.basePlot.bgc,D03,OSBS,OSBS_001,2021-03-17T15:00:00Z,2021-03-17T15:00:00Z,OSBS_001-M-8-3.5-20210317,A00000315820,OSBS_001-M-8-3.5-20210317-KCL,B00000064780,ok,2021-06-23,0.055,1,OK,NA,2021-06-23,0.027,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_externalLab
3531200b-67a8-4ef8-a412-ce321de140a4,OSBS_001.basePlot.bgc,D03,OSBS,OSBS_001,2021-03-17T15:00:00Z,2021-03-31T16:01:00Z,OSBS_001-M-8-3.5-20210331,A00000315997,OSBS_001-M-8-3.5-20210331-KCL,B00000128100,ok,2021-06-23,0.057,1,OK,NA,2021-06-23,0.071,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_externalLab
88f375ed-4d13-48a1-9360-f1c657be3ac7,OSBS_001.basePlot.bgc,D03,OSBS,OSBS_001,2021-03-17T15:00:00Z,2021-03-31T16:01:00Z,OSBS_001-M-8-3.5-20210331,A00000315997,OSBS_001-M-8-3.5-20210331-KCL,B00000128100,ok,2021-06-23,0.061,2,OK,NA,2021-06-23,0.08,2,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_externalLab
ac93b558-9266-4482-8de0-8a3ef2c58fbd,OSBS_001.basePlot.bgc,D03,OSBS,OSBS_001,2021-03-17T15:14:00Z,2021-03-17T15:14:00Z,OSBS_001-M-20.5-5-20210317,A00000315821,OSBS_001-M-20.5-5-20210317-KCL,B00000064779,ok,2021-06-23,0.043,1,OK,NA,2021-06-23,0.023,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_externalLab
9bd5149a-e8f7-4840-9046-a3aa3c1182e2,OSBS_001.basePlot.bgc,D03,OSBS,OSBS_001,2021-03-17T15:14:00Z,2021-03-31T15:50:00Z,OSBS_001-M-20.5-5-20210331,A00000315998,OSBS_001-M-20.5-5-20210331-KCL,B00000128118,ok,2021-06-23,0.069,1,OK,NA,2021-06-23,0.049,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_externalLab
dababb94-4c06-4dba-b3f6-81379493970b,OSBS_001.basePlot.bgc,D03,OSBS,OSBS_001,2021-03-17T15:24:00Z,2021-03-17T15:24:00Z,OSBS_001-M-32.5-38-20210317,A00000315822,OSBS_001-M-32.5-38-20210317-KCL,B00000064778,ok,2021-06-23,0.037,1,OK,NA,2021-06-23,0.025,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_externalLab
e0b74de0-3bc2-455d-beba-30659aad18ab,OSBS_001.basePlot.bgc,D03,OSBS,OSBS_001,2021-03-17T15:24:00Z,2021-03-31T16:00:00Z,OSBS_001-M-32.5-38-20210331,A00000315999,OSBS_001-M-32.5-38-20210331-KCL,B00000128119,ok,2021-06-23,0.194,1,OK,NA,2021-06-23,0.069,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_externalLab
d2d2a9e0-7716-46a0-b234-ef4f5507f201,OSBS_001.basePlot.bgc,D03,OSBS,OSBS_001,2021-07-06T17:22:00Z,2021-07-06T17:22:00Z,OSBS_001-O-38-4-20210706,A00000315853,OSBS_001-O-38-4-20210706-KCL,B00000065460,ok,2021-11-03,0.364,1,OK,NA,2021-11-03,0.028,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_externalLab
2ec1d9ab-713e-4e5f-8ffc-aaa6b78a7c9f,OSBS_001.basePlot.bgc,D03,OSBS,OSBS_001,2021-07-06T17:22:00Z,2021-07-06T17:22:00Z,OSBS_001-M-38-4-20210706,A00000315850,OSBS_001-M-38-4-20210706-KCL,B00000065472,ok,2021-11-03,0.089,1,OK,NA,2021-11-03,0.027,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_externalLab
884704da-f5f7-402d-88ed-582c815a0091,OSBS_001.basePlot.bgc,D03,OSBS,OSBS_001,2021-07-06T17:22:00Z,2021-07-06T17:22:00Z,OSBS_001-M-38-4-20210706,A00000315850,OSBS_001-M-38-4-20210706-KCL,B00000065472,ok,2021-11-03,0.091,2,OK,NA,2021-11-03,0.032,2,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_externalLab
