uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
b3434dca-5efc-4582-8999-c03c5d578066,D02,SERC,SERC_049,SERC_049.basePlot.bgc,2021-03-30T13:34:00Z,2021-03-30T13:34:00Z,SERC_049-M-33-6.5-20210330,NA,SERC_049-M-33-6.5-20210330-SM,NEON.DOC.014048vN,M,2021-03-31T12:00:00Z,2021-04-05T20:49:00Z,2.148,12.193,10.087,0.265,0.79,NA,NA,0000-0001-7914-5891,NA,20251217T193729Z,RELEASE-2026,DP1.10086.001,SERC,2021,sls_soilMoisture
97714097-05b1-4d08-b311-81117b8cacc2,D02,SERC,SERC_049,SERC_049.basePlot.bgc,2021-03-30T13:57:00Z,2021-03-30T13:57:00Z,SERC_049-M-38-39-20210330,NA,SERC_049-M-38-39-20210330-SM,NEON.DOC.014048vN,M,2021-03-31T12:00:00Z,2021-04-05T20:48:00Z,2.14,12.298,9.88,0.312,0.762,NA,NA,0000-0001-7914-5891,NA,20251217T193729Z,RELEASE-2026,DP1.10086.001,SERC,2021,sls_soilMoisture
86f252d0-4f99-4356-be99-bf821de91289,D02,SERC,SERC_049,SERC_049.basePlot.bgc,2021-03-30T14:18:00Z,2021-03-30T14:18:00Z,SERC_049-M-7-20-20210330,NA,SERC_049-M-7-20-20210330-SM,NEON.DOC.014048vN,M,2021-03-31T12:00:00Z,2021-04-05T20:49:00Z,2.163,12.255,10.291,0.242,0.805,NA,NA,0000-0001-7914-5891,NA,20251217T193729Z,RELEASE-2026,DP1.10086.001,SERC,2021,sls_soilMoisture
cad2541b-2dc7-4003-982a-c3b8a90cf52c,D02,SERC,SERC_049,SERC_049.basePlot.bgc,2021-03-30T13:34:00Z,2021-04-20T15:09:00Z,SERC_049-M-33-6.5-20210420,NA,SERC_049-M-33-6.5-20210420-SM,NEON.DOC.014048vN,M,2021-04-20T21:30:00Z,2021-04-27T17:34:00Z,2.146,12.548,10.199,0.292,0.774,NA,NA,0000-0001-8122-5196,NA,20251217T193635Z,RELEASE-2026,DP1.10086.001,SERC,2021,sls_soilMoisture
0574eb41-49fe-4705-9147-ee2a309a48f9,D02,SERC,SERC_049,SERC_049.basePlot.bgc,2021-03-30T13:57:00Z,2021-04-20T15:17:00Z,SERC_049-M-38-39-20210420,NA,SERC_049-M-38-39-20210420-SM,NEON.DOC.014048vN,M,2021-04-20T21:30:00Z,2021-04-27T17:33:00Z,2.1,12.351,10.005,0.297,0.771,NA,NA,0000-0001-8122-5196,NA,20251217T193635Z,RELEASE-2026,DP1.10086.001,SERC,2021,sls_soilMoisture
1880c779-b97e-4fd9-a7f5-49930770e9c7,D02,SERC,SERC_049,SERC_049.basePlot.bgc,2021-03-30T14:18:00Z,2021-04-20T15:25:00Z,SERC_049-M-7-20-20210420,NA,SERC_049-M-7-20-20210420-SM,NEON.DOC.014048vN,M,2021-04-20T21:30:00Z,2021-04-27T17:34:00Z,2.137,12.346,10.432,0.231,0.813,NA,NA,0000-0001-8122-5196,NA,20251217T193635Z,RELEASE-2026,DP1.10086.001,SERC,2021,sls_soilMoisture
ff432d27-1e74-400d-9536-aa7f9ef718c4,D02,SERC,SERC_049,SERC_049.basePlot.bgc,2021-07-06T17:39:00Z,2021-07-06T17:39:00Z,SERC_049-M-20-3-20210706,NA,SERC_049-M-20-3-20210706-SM,NEON.DOC.014048vN,M,2021-07-07T12:00:00Z,2021-07-12T17:58:00Z,2.12,12.095,10.298,0.22,0.82,NA,NA,0000-0001-7914-5891,NA,20251217T193941Z,RELEASE-2026,DP1.10086.001,SERC,2021,sls_soilMoisture
336856bc-e1b7-44d0-a16f-6cdab5364fc6,D02,SERC,SERC_049,SERC_049.basePlot.bgc,2021-07-06T17:39:00Z,2021-07-26T18:23:00Z,SERC_049-M-20-3-20210726,NA,SERC_049-M-20-3-20210726-SM,NEON.DOC.014048vN,M,2021-07-27T12:00:00Z,2021-08-03T16:32:00Z,2.115,12.204,10.403,0.217,0.822,NA,NA,0000-0003-2486-7859,NA,20251217T193941Z,RELEASE-2026,DP1.10086.001,SERC,2021,sls_soilMoisture
7dd8fae3-7d5f-4418-836d-885750cbfa36,D02,SERC,SERC_049,SERC_049.basePlot.bgc,2021-07-06T17:49:00Z,2021-07-06T17:49:00Z,SERC_049-M-31.5-21-20210706,NA,SERC_049-M-31.5-21-20210706-SM,NEON.DOC.014048vN,M,2021-07-07T12:00:00Z,2021-07-12T17:59:00Z,2.099,12.185,10.105,0.26,0.794,NA,NA,0000-0001-7914-5891,NA,20251217T193941Z,RELEASE-2026,DP1.10086.001,SERC,2021,sls_soilMoisture
bf9520ab-d011-41cb-8349-4d33266bc67d,D02,SERC,SERC_049,SERC_049.basePlot.bgc,2021-07-06T17:49:00Z,2021-07-26T18:30:00Z,SERC_049-M-31.5-21-20210726,NA,SERC_049-M-31.5-21-20210726-SM,NEON.DOC.014048vN,M,2021-07-27T12:00:00Z,2021-08-03T16:25:00Z,2.092,12.135,10.422,0.206,0.829,NA,NA,0000-0003-2486-7859,NA,20251217T193941Z,RELEASE-2026,DP1.10086.001,SERC,2021,sls_soilMoisture
4e92bdae-651f-4af6-a655-bb93318234c6,D02,SERC,SERC_049,SERC_049.basePlot.bgc,2021-07-06T18:17:00Z,2021-07-06T18:17:00Z,SERC_049-M-3-29.5-20210706,NA,SERC_049-M-3-29.5-20210706-SM,NEON.DOC.014048vN,M,2021-07-07T12:00:00Z,2021-07-12T18:00:00Z,2.135,12.075,10.368,0.207,0.828,NA,NA,0000-0001-7914-5891,NA,20251217T193941Z,RELEASE-2026,DP1.10086.001,SERC,2021,sls_soilMoisture
89044ee5-553c-4e7b-be32-1e035053d463,D02,SERC,SERC_049,SERC_049.basePlot.bgc,2021-07-06T18:17:00Z,2021-07-26T18:36:00Z,SERC_049-M-3-29.5-20210726,NA,SERC_049-M-3-29.5-20210726-SM,NEON.DOC.014048vN,M,2021-07-27T12:00:00Z,2021-08-03T16:23:00Z,2.13,12.194,10.926,0.144,0.874,NA,NA,0000-0003-2486-7859,NA,20251217T193941Z,RELEASE-2026,DP1.10086.001,SERC,2021,sls_soilMoisture
f3e83c34-dde7-44bb-91ba-7bec661350d0,D02,SERC,SERC_049,SERC_049.basePlot.bgc,2021-10-18T16:55:00Z,2021-10-18T16:55:00Z,SERC_049-M-13.5-6.5-20211018,NA,SERC_049-M-13.5-6.5-20211018-SM,NEON.DOC.014048vN,M,2021-10-19T13:00:00Z,2021-10-27T11:21:00Z,2.105,12.153,10.926,0.139,0.878,NA,NA,0000-0001-7914-5891,NA,20251217T194031Z,RELEASE-2026,DP1.10086.001,SERC,2021,sls_soilMoisture
bac5c6c0-403f-474d-be7e-f34184315e5c,D02,SERC,SERC_049,SERC_049.basePlot.bgc,2021-10-18T17:19:00Z,2021-10-18T17:19:00Z,SERC_049-M-13-34.5-20211018,NA,SERC_049-M-13-34.5-20211018-SM,NEON.DOC.014048vN,M,2021-10-19T13:00:00Z,2021-10-27T11:21:00Z,2.122,12.109,10.903,0.137,0.879,NA,NA,0000-0001-7914-5891,NA,20251217T194031Z,RELEASE-2026,DP1.10086.001,SERC,2021,sls_soilMoisture
6f3a4d7a-95c8-4173-8812-7c8b3c199fbc,D02,SERC,SERC_049,SERC_049.basePlot.bgc,2021-10-18T17:48:00Z,2021-10-18T17:48:00Z,SERC_049-M-28.5-36-20211018,NA,SERC_049-M-28.5-36-20211018-SM,NEON.DOC.014048vN,M,2021-10-19T13:00:00Z,2021-10-27T11:20:00Z,2.084,12.156,10.999,0.13,0.885,NA,NA,0000-0001-7914-5891,NA,20251217T194031Z,RELEASE-2026,DP1.10086.001,SERC,2021,sls_soilMoisture
97303fbb-28f6-4789-9fd0-bd616f8309ed,D02,SERC,SERC_049,SERC_049.basePlot.bgc,2021-10-18T16:55:00Z,2021-11-08T18:01:00Z,SERC_049-M-13.5-6.5-20211108,NA,SERC_049-M-13.5-6.5-20211108-SM,NEON.DOC.014048vN,M,2021-11-09T14:00:00Z,2021-11-15T13:26:00Z,2.106,12.124,10.43,0.203,0.831,OK,NA,0000-0001-7914-5891,NA,20251217T193421Z,RELEASE-2026,DP1.10086.001,SERC,2021,sls_soilMoisture
cd8826ec-f5ec-4ccd-90fd-996e35045e99,D02,SERC,SERC_049,SERC_049.basePlot.bgc,2021-10-18T17:19:00Z,2021-11-08T18:10:00Z,SERC_049-M-13-34.5-20211108,NA,SERC_049-M-13-34.5-20211108-SM,NEON.DOC.014048vN,M,2021-11-09T14:00:00Z,2021-11-15T13:28:00Z,2.124,12.057,10.384,0.203,0.832,OK,NA,0000-0001-7914-5891,NA,20251217T193421Z,RELEASE-2026,DP1.10086.001,SERC,2021,sls_soilMoisture
