uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,processedDate,sampleID,sampleCode,pHSampleID,samplingProtocolVersion,horizon,soilInWaterpH,soilInCaClpH,pHSoilInWaterMass,pHWaterVol,waterpHRatio,pHSoilInCaClMass,pHCaClVol,caclpHRatio,pHRemarks,pHMeasuredBy,pHDataQF,publicationDate,release,dpID,site_download,year_download,source_table
7509fd53-c92a-4e07-bee7-d7f1bdca965d,D02,SERC,SERC_044,SERC_044.basePlot.bgc,2022-03-21T16:14:00Z,2022-03-21T16:14:00Z,2022-04-07,SERC_044-M-21-20220321,A00000166945,SERC_044-M-21-20220321-PH,NEON.DOC.014048vO,M,4.81,3.93,9.9,10,1,9.9,20,2,NA,0000-0002-5247-174X,NA,20251217T193710Z,RELEASE-2026,DP1.10086.001,SERC,2022,sls_soilpH
8584846f-72f7-45bd-9eb9-ab539fe514c4,D02,SERC,SERC_044,SERC_044.basePlot.bgc,2022-03-21T16:34:00Z,2022-03-21T16:34:00Z,2022-04-07,SERC_044-M-39-20220321,A00000166929,SERC_044-M-39-20220321-PH,NEON.DOC.014048vO,M,5.25,4.5,10,10,1,10,20,2,NA,0000-0002-5247-174X,NA,20251217T193710Z,RELEASE-2026,DP1.10086.001,SERC,2022,sls_soilpH
a4cee162-308f-41c6-b7e3-c63ddda70c99,D02,SERC,SERC_044,SERC_044.basePlot.bgc,2022-03-21T16:57:00Z,2022-03-21T16:57:00Z,2022-04-07,SERC_044-M-23-20220321,A00000166941,SERC_044-M-23-20220321-PH,NEON.DOC.014048vO,M,4.95,4,10,10,1,10,20,2,NA,0000-0002-5247-174X,NA,20251217T193710Z,RELEASE-2026,DP1.10086.001,SERC,2022,sls_soilpH
e3571960-d15b-4966-b348-2a1b2c2c8246,D02,SERC,SERC_047,SERC_047.basePlot.bgc,2022-03-21T17:44:00Z,2022-03-21T17:44:00Z,2022-04-07,SERC_047-M-41-20220321,A00000166957,SERC_047-M-41-20220321-PH,NEON.DOC.014048vO,M,4.68,3.84,10.2,10,1,10.2,20,2,NA,0000-0002-5247-174X,NA,20251217T193710Z,RELEASE-2026,DP1.10086.001,SERC,2022,sls_soilpH
1083ac82-7c68-4072-9d85-cbe39a565b57,D02,SERC,SERC_047,SERC_047.basePlot.bgc,2022-03-21T18:03:00Z,2022-03-21T18:03:00Z,2022-04-07,SERC_047-M-23-20220321,A00000166990,SERC_047-M-23-20220321-PH,NEON.DOC.014048vO,M,4.35,3.58,10.1,10,1,10.1,20,2,NA,0000-0002-5247-174X,NA,20251217T193710Z,RELEASE-2026,DP1.10086.001,SERC,2022,sls_soilpH
4e3c4bd7-b4c7-48f8-9050-1935b2d167e2,D02,SERC,SERC_047,SERC_047.basePlot.bgc,2022-03-21T18:22:00Z,2022-03-21T18:22:00Z,2022-04-07,SERC_047-M-21-20220321,NA,SERC_047-M-21-20220321-PH,NEON.DOC.014048vO,M,5.24,4.53,10,10,1,10,20,2,NA,0000-0002-5247-174X,NA,20251217T193710Z,RELEASE-2026,DP1.10086.001,SERC,2022,sls_soilpH
676f9e40-a42b-40a4-9ee3-a72300926573,D02,SERC,SERC_049,SERC_049.basePlot.bgc,2022-03-21T18:47:00Z,2022-03-21T18:47:00Z,2022-04-07,SERC_049-M-21-20220321,A00000166961,SERC_049-M-21-20220321-PH,NEON.DOC.014048vO,M,4.21,3.55,10.1,10,1,10.1,20,2,NA,0000-0002-5247-174X,NA,20251217T193710Z,RELEASE-2026,DP1.10086.001,SERC,2022,sls_soilpH
38b41534-73b5-418c-93f9-2ba7094c8d38,D02,SERC,SERC_049,SERC_049.basePlot.bgc,2022-03-21T19:05:00Z,2022-03-21T19:05:00Z,2022-04-07,SERC_049-M-39-20220321,A00000166927,SERC_049-M-39-20220321-PH,NEON.DOC.014048vO,M,4.22,3.56,10.1,10,1,10.1,20,2,NA,0000-0002-5247-174X,NA,20251217T193710Z,RELEASE-2026,DP1.10086.001,SERC,2022,sls_soilpH
cc26e1e2-e8a4-4a02-a957-c65c03e590b5,D02,SERC,SERC_049,SERC_049.basePlot.bgc,2022-03-21T19:22:00Z,2022-03-21T19:22:00Z,2022-04-07,SERC_049-M-41-20220321,A00000166943,SERC_049-M-41-20220321-PH,NEON.DOC.014048vO,M,4.3,3.58,10.1,10,1,10.1,20,2,NA,0000-0002-5247-174X,NA,20251217T193710Z,RELEASE-2026,DP1.10086.001,SERC,2022,sls_soilpH
0dc2c3af-e6de-491e-8c57-901992e9fe35,D02,SERC,SERC_003,SERC_003.basePlot.bgc,2022-03-22T11:57:00Z,2022-03-22T11:57:00Z,2022-04-07,SERC_003-M-39-20220322,A00000166959,SERC_003-M-39-20220322-PH,NEON.DOC.014048vO,M,5.52,4.64,10,10,1,10,20,2,NA,0000-0002-5247-174X,NA,20251217T193710Z,RELEASE-2026,DP1.10086.001,SERC,2022,sls_soilpH
392b7bca-fafc-46c9-b9c0-84e12e3168da,D02,SERC,SERC_003,SERC_003.basePlot.bgc,2022-03-22T12:12:00Z,2022-03-22T12:12:00Z,2022-04-07,SERC_003-M-21-20220322,A00000166975,SERC_003-M-21-20220322-PH,NEON.DOC.014048vO,M,5.4,4.47,10,10,1,10,20,2,NA,0000-0002-5247-174X,NA,20251217T193710Z,RELEASE-2026,DP1.10086.001,SERC,2022,sls_soilpH
9594d310-35b4-435d-8edb-cec0a688523e,D02,SERC,SERC_003,SERC_003.basePlot.bgc,2022-03-22T12:30:00Z,2022-03-22T12:30:00Z,2022-04-07,SERC_003-M-23-20220322,A00000166925,SERC_003-M-23-20220322-PH,NEON.DOC.014048vO,M,5.53,4.6,10.1,10,1,10.1,20,2,NA,0000-0002-5247-174X,NA,20251217T193710Z,RELEASE-2026,DP1.10086.001,SERC,2022,sls_soilpH
8e473dc6-e638-46ff-9c9a-b1528a7bc3e5,D02,SERC,SERC_005,SERC_005.basePlot.bgc,2022-03-22T13:26:00Z,2022-03-22T13:26:00Z,2022-04-07,SERC_005-M-21-20220322,A00000166991,SERC_005-M-21-20220322-PH,NEON.DOC.014048vO,M,4.84,3.87,10,10,1,10,20,2,NA,0000-0002-5247-174X,NA,20251217T193710Z,RELEASE-2026,DP1.10086.001,SERC,2022,sls_soilpH
84022350-35d4-424b-9630-aad65e873769,D02,SERC,SERC_005,SERC_005.basePlot.bgc,2022-03-22T13:54:00Z,2022-03-22T13:54:00Z,2022-04-07,SERC_005-M-39-20220322,A00000166912,SERC_005-M-39-20220322-PH,NEON.DOC.014048vO,M,4.7,3.82,10.1,10,1,10.1,20,2,NA,0000-0002-5247-174X,NA,20251217T193710Z,RELEASE-2026,DP1.10086.001,SERC,2022,sls_soilpH
b1fca28d-c1c6-48ad-9fd3-76b64f2339ce,D02,SERC,SERC_005,SERC_005.basePlot.bgc,2022-03-22T14:17:00Z,2022-03-22T14:17:00Z,2022-04-07,SERC_005-M-41-20220322,A00000166928,SERC_005-M-41-20220322-PH,NEON.DOC.014048vO,M,4.93,4.04,10.1,10,1,10.1,20,2,NA,0000-0002-5247-174X,NA,20251217T193710Z,RELEASE-2026,DP1.10086.001,SERC,2022,sls_soilpH
