uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
de1ee13c-21e4-45b0-b2c4-7c5f5a484585,D17,SOAP,SOAP_031,SOAP_031.basePlot.bgc,2022-03-21T18:42:00Z,2022-03-21T18:42:00Z,SOAP_031-M-41-20220321,A00000299774,SOAP_031-M-41-20220321-SM,NEON.DOC.014048vO,M,2022-03-21T23:29:00Z,2022-03-28T16:00:00Z,2.26,12.18,9.8,0.316,0.76,OK,NA,0000-0003-0250-5865,NA,20251217T193454Z,RELEASE-2026,DP1.10086.001,SOAP,2022,sls_soilMoisture
925965e9-dab0-4b61-a72b-b2af0e0d8568,D17,SOAP,SOAP_031,SOAP_031.basePlot.bgc,2022-03-21T19:02:00Z,2022-03-21T19:02:00Z,SOAP_031-M-23-20220321,A00000300124,SOAP_031-M-23-20220321-SM,NEON.DOC.014048vO,M,2022-03-21T23:34:00Z,2022-03-28T16:30:00Z,2.33,12.38,10.07,0.298,0.77,OK,NA,0000-0003-0250-5865,NA,20251217T193454Z,RELEASE-2026,DP1.10086.001,SOAP,2022,sls_soilMoisture
1fad88af-e438-47ea-920a-94cf7efb7199,D17,SOAP,SOAP_031,SOAP_031.basePlot.bgc,2022-03-21T19:15:00Z,2022-03-21T19:15:00Z,SOAP_031-M-21-20220321,A00000300123,SOAP_031-M-21-20220321-SM,NEON.DOC.014048vO,M,2022-03-21T23:32:00Z,2022-03-28T16:00:00Z,2.29,12.32,10.15,0.276,0.784,OK,NA,0000-0003-0250-5865,NA,20251217T193454Z,RELEASE-2026,DP1.10086.001,SOAP,2022,sls_soilMoisture
2f6e2b67-37de-4aff-9bfc-c81aa6bed205,D17,SOAP,SOAP_003,SOAP_003.basePlot.bgc,2022-03-21T20:06:00Z,2022-03-21T20:06:00Z,SOAP_003-M-41-20220321,A00000300113,SOAP_003-M-41-20220321-SM,NEON.DOC.014048vO,M,2022-03-21T23:37:00Z,2022-03-28T16:51:00Z,2.27,12.27,9.93,0.305,0.766,OK,NA,0000-0003-0250-5865,NA,20251217T193454Z,RELEASE-2026,DP1.10086.001,SOAP,2022,sls_soilMoisture
b315935f-d800-4be3-84f1-f43acad79584,D17,SOAP,SOAP_003,SOAP_003.basePlot.bgc,2022-03-21T20:20:00Z,2022-03-21T20:20:00Z,SOAP_003-M-21-20220321,A00000300112,SOAP_003-M-21-20220321-SM,NEON.DOC.014048vO,M,2022-03-21T23:44:00Z,2022-03-28T16:30:00Z,2.16,12.14,10.28,0.229,0.814,OK,NA,0000-0003-0250-5865,NA,20251217T193454Z,RELEASE-2026,DP1.10086.001,SOAP,2022,sls_soilMoisture
d9afe4c4-ff85-4347-9646-df5517b28c07,D17,SOAP,SOAP_003,SOAP_003.basePlot.bgc,2022-03-21T20:37:00Z,2022-03-21T20:37:00Z,SOAP_003-M-23-20220321,A00000300111,SOAP_003-M-23-20220321-SM,NEON.DOC.014048vO,M,2022-03-21T23:41:00Z,2022-03-28T16:30:00Z,2.31,12.22,9.89,0.307,0.765,OK,NA,0000-0003-0250-5865,NA,20251217T193454Z,RELEASE-2026,DP1.10086.001,SOAP,2022,sls_soilMoisture
09239262-46ba-41ce-b690-1c8f4c0fe23f,D17,SOAP,SOAP_043,SOAP_043.basePlot.bgc,2022-03-22T16:50:00Z,2022-03-22T16:50:00Z,SOAP_043-M-41-20220322,A00000299777,SOAP_043-M-41-20220322-SM,NEON.DOC.014048vO,M,2022-03-22T22:30:00Z,2022-03-28T16:30:00Z,2.19,12.28,10.77,0.176,0.85,OK,NA,0000-0003-0250-5865,NA,20251217T193454Z,RELEASE-2026,DP1.10086.001,SOAP,2022,sls_soilMoisture
27447546-dd6c-4cf5-b6c1-f8b80e332f9e,D17,SOAP,SOAP_043,SOAP_043.basePlot.bgc,2022-03-22T16:56:00Z,2022-03-22T16:56:00Z,SOAP_043-M-39-20220322,A00000299776,SOAP_043-M-39-20220322-SM,NEON.DOC.014048vO,M,2022-03-22T22:30:00Z,2022-03-28T16:40:00Z,2.3,12.35,10.49,0.227,0.815,OK,NA,0000-0003-0250-5865,NA,20251217T193454Z,RELEASE-2026,DP1.10086.001,SOAP,2022,sls_soilMoisture
20280c96-465a-473a-9790-d460a712cf36,D17,SOAP,SOAP_043,SOAP_043.basePlot.bgc,2022-03-22T17:06:00Z,2022-03-22T17:06:00Z,SOAP_043-M-21-20220322,A00000299775,SOAP_043-M-21-20220322-SM,NEON.DOC.014048vO,M,2022-03-22T22:30:00Z,2022-03-28T16:40:00Z,2.27,12.14,10.23,0.24,0.806,OK,NA,0000-0003-0250-5865,NA,20251217T193454Z,RELEASE-2026,DP1.10086.001,SOAP,2022,sls_soilMoisture
9bcf723a-dcb9-4e5a-8c4c-e2d435a63ac6,D17,SOAP,SOAP_002,SOAP_002.basePlot.bgc,2022-03-22T18:54:00Z,2022-03-22T18:54:00Z,SOAP_002-M-23-20220322,A00000300109,SOAP_002-M-23-20220322-SM,NEON.DOC.014048vO,M,2022-03-22T22:35:00Z,2022-03-28T16:47:00Z,2.15,12.18,10.04,0.271,0.787,OK,NA,0000-0003-0250-5865,NA,20251217T193454Z,RELEASE-2026,DP1.10086.001,SOAP,2022,sls_soilMoisture
