uid,namedLocation,domainID,siteID,plotID,startDate,collectDate,sampleID,sampleCode,kclSampleID,kclSampleCode,sampleCondition,ammoniumNAnalysisDate,kclAmmoniumNConc,ammoniumNRepNum,ammoniumNQF,ammoniumNRemarks,nitrateNitriteNAnalysisDate,kclNitrateNitriteNConc,nitrateNitriteNRepNum,nitrateNitriteNQF,nitrateNitriteNRemarks,laboratoryName,ammoniumNMethod,ammoniumNInstrument,ammoniumNAnalyzedBy,ammoniumNReviewedBy,nitrateNitriteNMethod,nitrateNitriteNInstrument,nitrateNitriteNAnalyzedBy,nitrateNitriteNReviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
dc67611d-3a45-43c6-b5d1-b02cd68f4e86,SOAP_006.basePlot.bgc,D17,SOAP,SOAP_006,2024-02-27T20:02:00Z,2024-02-27T20:02:00Z,SOAP_006-M-21-20240227,A00000395139,SOAP_006-M-21-20240227-KCL,B00000125293,ok,2024-10-15,0.147,1,OK,NA,2024-10-15,0.099,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194028Z,RELEASE-2026,DP1.10086.001,SOAP,2024,ntr_externalLab
5d73ac19-6996-4668-a097-db51e52aa2e5,SOAP_006.basePlot.bgc,D17,SOAP,SOAP_006,2024-02-27T20:18:00Z,2024-02-27T20:18:00Z,SOAP_006-M-39-20240227,A00000395138,SOAP_006-M-39-20240227-KCL,B00000125294,ok,2024-10-15,0.114,1,OK,NA,2024-10-15,0.087,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194028Z,RELEASE-2026,DP1.10086.001,SOAP,2024,ntr_externalLab
e9c38975-f6af-48bb-a903-1265d56ff128,SOAP_006.basePlot.bgc,D17,SOAP,SOAP_006,2024-02-27T20:37:00Z,2024-02-27T20:37:00Z,SOAP_006-M-41-20240227,A00000395137,SOAP_006-M-41-20240227-KCL,B00000125295,ok,2024-10-15,0.198,1,OK,NA,2024-10-15,0.094,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194028Z,RELEASE-2026,DP1.10086.001,SOAP,2024,ntr_externalLab
6d7aeab3-d9c6-4142-a785-a22efef4fe6f,SOAP_006.basePlot.bgc,D17,SOAP,SOAP_006,2024-02-27T20:02:00Z,2024-03-26T18:02:00Z,SOAP_006-M-21-20240326,A00000395876,SOAP_006-M-21-20240326-KCL,B00000125475,ok,2024-10-15,0.154,1,OK,NA,2024-10-15,0.179,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193936Z,RELEASE-2026,DP1.10086.001,SOAP,2024,ntr_externalLab
b20ffba3-bd81-4b9a-a264-df5f00f088ae,SOAP_006.basePlot.bgc,D17,SOAP,SOAP_006,2024-02-27T20:18:00Z,2024-03-26T17:44:00Z,SOAP_006-M-39-20240326,A00000395877,SOAP_006-M-39-20240326-KCL,B00000125476,ok,2024-10-15,0.229,1,OK,NA,2024-10-15,0.121,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193936Z,RELEASE-2026,DP1.10086.001,SOAP,2024,ntr_externalLab
510b9ad3-3425-4343-9f3a-bfa507217b7c,SOAP_006.basePlot.bgc,D17,SOAP,SOAP_006,2024-02-27T20:37:00Z,2024-03-26T17:26:00Z,SOAP_006-M-41-20240326,A00000395878,SOAP_006-M-41-20240326-KCL,B00000125477,ok,2024-10-15,0.227,1,OK,NA,2024-10-15,0.242,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193936Z,RELEASE-2026,DP1.10086.001,SOAP,2024,ntr_externalLab
835c51b8-97e9-4d01-b135-150c6fa5732e,SOAP_006.basePlot.bgc,D17,SOAP,SOAP_006,2024-05-23T18:40:00Z,2024-05-23T18:40:00Z,SOAP_006-M-21-20240523,A00000396011,SOAP_006-M-21-20240523-KCL,B00000168322,ok,2024-10-15,0.132,1,OK,NA,2024-10-15,0.016,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193547Z,RELEASE-2026,DP1.10086.001,SOAP,2024,ntr_externalLab
615f50df-3634-4ccf-9986-9e3d31079c31,SOAP_006.basePlot.bgc,D17,SOAP,SOAP_006,2024-05-23T19:00:00Z,2024-05-23T19:00:00Z,SOAP_006-M-39-20240523,A00000396028,SOAP_006-M-39-20240523-KCL,B00000168321,ok,2024-10-15,0.113,1,OK,NA,2024-10-15,0.032,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193547Z,RELEASE-2026,DP1.10086.001,SOAP,2024,ntr_externalLab
4d5be943-dd1f-401e-b4c5-c5f2bf344583,SOAP_006.basePlot.bgc,D17,SOAP,SOAP_006,2024-05-23T19:15:00Z,2024-05-23T19:15:00Z,SOAP_006-M-41-20240523,A00000396044,SOAP_006-M-41-20240523-KCL,B00000168320,ok,2024-10-15,0.075,1,OK,NA,2024-10-15,0.009,1,below method detection limit,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193547Z,RELEASE-2026,DP1.10086.001,SOAP,2024,ntr_externalLab
a0abce7b-01a1-4b7c-9dde-f5d10878042d,SOAP_006.basePlot.bgc,D17,SOAP,SOAP_006,2024-11-19T19:41:00Z,2024-11-19T19:41:00Z,SOAP_006-M-39-20241119,A00000398608,SOAP_006-M-39-20241119-KCL,B00000144160,ok,2025-02-13,0.358,1,OK,NA,2025-02-13,0.073,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193610Z,RELEASE-2026,DP1.10086.001,SOAP,2024,ntr_externalLab
