uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
c315fd32-1ae3-4c06-b0f6-c8c98e900b79,D14,SRER,SRER_053,SRER_053.basePlot.bgc,2021-06-29T17:41:00Z,2021-06-29T17:41:00Z,SRER_053-M-10-3.5-20210629,A00000279192,SRER_053-M-10-3.5-20210629-SM,NEON.DOC.014048vN,M,2021-06-29T22:53:00Z,2021-07-01T23:20:00Z,2.2,12.24,12.17,0.007,0.993,NA,NA,0000-0002-6694-2717,NA,20251217T193446Z,RELEASE-2026,DP1.10086.001,SRER,2021,sls_soilMoisture
e550d3e0-ade2-4194-b590-5724bd262fd4,D14,SRER,SRER_053,SRER_053.basePlot.bgc,2021-06-29T18:05:00Z,2021-06-29T18:05:00Z,SRER_053-M-39-10-20210629,A00000279193,SRER_053-M-39-10-20210629-SM,NEON.DOC.014048vN,M,2021-06-29T22:53:00Z,2021-07-01T23:20:00Z,2.23,12.24,12.15,0.009,0.991,NA,NA,0000-0002-6694-2717,NA,20251217T193446Z,RELEASE-2026,DP1.10086.001,SRER,2021,sls_soilMoisture
d08272f8-cb8f-4b7c-aad6-8399c19c6486,D14,SRER,SRER_053,SRER_053.basePlot.bgc,2021-06-29T18:27:00Z,2021-06-29T18:27:00Z,SRER_053-M-11.5-34.5-20210629,A00000279191,SRER_053-M-11.5-34.5-20210629-SM,NEON.DOC.014048vN,M,2021-06-29T22:53:00Z,2021-07-01T23:20:00Z,2.24,12.32,12.28,0.004,0.996,NA,NA,0000-0002-3867-8015,NA,20251217T193446Z,RELEASE-2026,DP1.10086.001,SRER,2021,sls_soilMoisture
2079325e-7e1c-4cca-b598-5898eb3a2e85,D14,SRER,SRER_053,SRER_053.basePlot.bgc,2021-06-29T17:41:00Z,2021-07-19T16:04:00Z,SRER_053-M-10-3.5-20210719,A00000279250,SRER_053-M-10-3.5-20210719-SM,NEON.DOC.014048vN,M,2021-07-19T18:30:00Z,2021-07-21T19:20:00Z,2.22,12.23,11.87,0.037,0.964,NA,NA,0000-0002-3695-3837,NA,20251217T193619Z,RELEASE-2026,DP1.10086.001,SRER,2021,sls_soilMoisture
64f080c5-e322-497f-b896-efc038f5912f,D14,SRER,SRER_053,SRER_053.basePlot.bgc,2021-06-29T18:05:00Z,2021-07-19T16:00:00Z,SRER_053-M-39-10-20210719,A00000279252,SRER_053-M-39-10-20210719-SM,NEON.DOC.014048vN,M,2021-07-19T18:30:00Z,2021-07-21T19:20:00Z,2.23,12.25,11.65,0.064,0.94,NA,NA,0000-0002-3695-3837,NA,20251217T193619Z,RELEASE-2026,DP1.10086.001,SRER,2021,sls_soilMoisture
cad9ae44-556c-473f-929d-9c9b75c448bc,D14,SRER,SRER_053,SRER_053.basePlot.bgc,2021-06-29T18:27:00Z,2021-07-19T16:01:00Z,SRER_053-M-11.5-34.5-20210719,A00000279230,SRER_053-M-11.5-34.5-20210719-SM,NEON.DOC.014048vN,M,2021-07-19T18:30:00Z,2021-07-21T19:20:00Z,2.25,12.23,11.92,0.032,0.969,NA,NA,0000-0002-3695-3837,NA,20251217T193619Z,RELEASE-2026,DP1.10086.001,SRER,2021,sls_soilMoisture
9a4c293f-aa57-4a54-b2cc-9960eb26de5c,D14,SRER,SRER_053,SRER_053.basePlot.bgc,2021-10-20T18:57:00Z,2021-10-20T18:57:00Z,SRER_053-M-35-33.5-20211020,A00000280420,SRER_053-M-35-33.5-20211020-SM,NEON.DOC.014048vN,M,2021-10-20T23:30:00Z,2021-10-27T20:46:00Z,2.21,12.22,12.02,0.02,0.98,NA,NA,0000-0002-4810-0129,NA,20251217T193855Z,RELEASE-2026,DP1.10086.001,SRER,2021,sls_soilMoisture
9253ea72-4bf2-4723-9ea7-c6a079d1b861,D14,SRER,SRER_053,SRER_053.basePlot.bgc,2021-10-20T19:27:00Z,2021-10-20T19:27:00Z,SRER_053-M-32.5-8-20211020,A00000280421,SRER_053-M-32.5-8-20211020-SM,NEON.DOC.014048vN,M,2021-10-20T23:30:00Z,2021-10-27T20:46:00Z,2.21,12.21,11.95,0.027,0.974,NA,NA,0000-0002-4810-0129,NA,20251217T193855Z,RELEASE-2026,DP1.10086.001,SRER,2021,sls_soilMoisture
36d3950a-4449-43a6-a0f8-b750d85f1ca5,D14,SRER,SRER_053,SRER_053.basePlot.bgc,2021-10-20T20:06:00Z,2021-10-20T20:06:00Z,SRER_053-M-8.5-3-20211020,A00000280422,SRER_053-M-8.5-3-20211020-SM,NEON.DOC.014048vN,M,2021-10-20T23:30:00Z,2021-10-27T20:46:00Z,2.29,12.31,12.04,0.028,0.973,NA,NA,0000-0002-4810-0129,NA,20251217T193855Z,RELEASE-2026,DP1.10086.001,SRER,2021,sls_soilMoisture
513d40cc-4dba-44bf-afaa-f0050cb6e2e7,D14,SRER,SRER_053,SRER_053.basePlot.bgc,2021-08-10T14:58:00Z,2021-08-10T14:58:00Z,SRER_053-M-31-34-20210810,A00000279655,SRER_053-M-31-34-20210810-SM,NEON.DOC.014048vN,M,2021-08-10T20:13:00Z,2021-08-12T21:33:00Z,2.26,11.86,11.33,0.058,0.945,NA,NA,0000-0002-6943-948X,NA,20251217T193546Z,RELEASE-2026,DP1.10086.001,SRER,2021,sls_soilMoisture
