uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,processedDate,sampleID,sampleCode,pHSampleID,samplingProtocolVersion,horizon,soilInWaterpH,soilInCaClpH,pHSoilInWaterMass,pHWaterVol,waterpHRatio,pHSoilInCaClMass,pHCaClVol,caclpHRatio,pHRemarks,pHMeasuredBy,pHDataQF,publicationDate,release,dpID,site_download,year_download,source_table
e59dd7a9-88f7-4c7c-bba8-01d19c6535a2,D10,STER,STER_006,STER_006.basePlot.bgc,2018-04-23T18:23:00Z,2018-04-23T18:23:00Z,2018-05-07,STER_006-M-5.5-21-20180423,A00000017509,STER_006-M-5.5-21-20180423-PH,NEON.DOC.014048vK,M,6.75,5.85,10,20,2,10,20,2,NA,sdixon@battelleecology.org,NA,20251217T193406Z,RELEASE-2026,DP1.10086.001,STER,2018,sls_soilpH
af67e1a0-91b2-4ef3-92f2-879726a7ae23,D10,STER,STER_006,STER_006.basePlot.bgc,2018-04-23T18:30:00Z,2018-04-23T18:30:00Z,2018-05-07,STER_006-M-22-33-20180423,A00000017511,STER_006-M-22-33-20180423-PH,NEON.DOC.014048vK,M,6.2,5.46,10,20,2,10,20,2,NA,sdixon@battelleecology.org,NA,20251217T193406Z,RELEASE-2026,DP1.10086.001,STER,2018,sls_soilpH
c12a3a5d-8280-4877-9ae1-9255bf6dd885,D10,STER,STER_006,STER_006.basePlot.bgc,2018-04-23T18:38:00Z,2018-04-23T18:38:00Z,2018-05-07,STER_006-M-39-1.5-20180423,A00000017510,STER_006-M-39-1.5-20180423-PH,NEON.DOC.014048vK,M,6.9,6.09,10,20,2,10,20,2,NA,sdixon@battelleecology.org,NA,20251217T193406Z,RELEASE-2026,DP1.10086.001,STER,2018,sls_soilpH
c6e29bc5-6ff1-429f-abb9-d8f452167f45,D10,STER,STER_016,STER_016.basePlot.bgc,2018-04-23T19:06:00Z,2018-04-23T19:06:00Z,2018-05-07,STER_016-M-33-39-20180423,A00000017522,STER_016-M-33-39-20180423-PH,NEON.DOC.014048vK,M,7.04,6.24,10,20,2,10,20,2,NA,sdixon@battelleecology.org,NA,20251217T193406Z,RELEASE-2026,DP1.10086.001,STER,2018,sls_soilpH
3c0d2445-0158-4a3f-a6f2-dd8b5df69676,D10,STER,STER_016,STER_016.basePlot.bgc,2018-04-23T19:30:00Z,2018-04-23T19:30:00Z,2018-05-07,STER_016-M-16.5-31-20180423,A00000017524,STER_016-M-16.5-31-20180423-PH,NEON.DOC.014048vK,M,7.1,6.18,10,20,2,10,20,2,NA,sdixon@battelleecology.org,NA,20251217T193406Z,RELEASE-2026,DP1.10086.001,STER,2018,sls_soilpH
4e655fc5-3b93-4fd9-8606-e829f1da671d,D10,STER,STER_016,STER_016.basePlot.bgc,2018-04-23T19:47:00Z,2018-04-23T19:47:00Z,2018-05-07,STER_016-M-28.5-6.5-20180423,A00000017521,STER_016-M-28.5-6.5-20180423-PH,NEON.DOC.014048vK,M,7.61,6.63,10,20,2,10,20,2,NA,sdixon@battelleecology.org,NA,20251217T193406Z,RELEASE-2026,DP1.10086.001,STER,2018,sls_soilpH
d6c4b548-efd8-4d85-aac6-f4a4a8341748,D10,STER,STER_011,STER_011.basePlot.bgc,2018-04-23T20:12:00Z,2018-04-23T20:12:00Z,2018-05-07,STER_011-M-9-13-20180423,A00000017986,STER_011-M-9-13-20180423-PH,NEON.DOC.014048vK,M,7.35,6.51,10,20,2,10,20,2,NA,sdixon@battelleecology.org,NA,20251217T193406Z,RELEASE-2026,DP1.10086.001,STER,2018,sls_soilpH
0949f69e-b8e7-4ee3-aeb8-07e8b7670c2c,D10,STER,STER_011,STER_011.basePlot.bgc,2018-04-23T20:41:00Z,2018-04-23T20:41:00Z,2018-05-07,STER_011-M-30-32.5-20180423,A00000017515,STER_011-M-30-32.5-20180423-PH,NEON.DOC.014048vK,M,7.24,6.4,10,20,2,10,20,2,NA,sdixon@battelleecology.org,NA,20251217T193406Z,RELEASE-2026,DP1.10086.001,STER,2018,sls_soilpH
8b08997e-c965-4b36-821e-e3291a6b5ecc,D10,STER,STER_011,STER_011.basePlot.bgc,2018-04-23T20:51:00Z,2018-04-23T20:51:00Z,2018-05-07,STER_011-M-28-2.5-20180423,A00000017516,STER_011-M-28-2.5-20180423-PH,NEON.DOC.014048vK,M,7.65,6.78,10,20,2,10,20,2,NA,sdixon@battelleecology.org,NA,20251217T193406Z,RELEASE-2026,DP1.10086.001,STER,2018,sls_soilpH
b89ee107-0e63-42c1-bd5f-c0974dc4176f,D10,STER,STER_010,STER_010.basePlot.bgc,2018-04-23T21:17:00Z,2018-04-23T21:17:00Z,2018-05-07,STER_010-M-11-7.5-20180423,A00000017513,STER_010-M-11-7.5-20180423-PH,NEON.DOC.014048vK,M,8.41,7.68,10,20,2,10,20,2,NA,sdixon@battelleecology.org,NA,20251217T193406Z,RELEASE-2026,DP1.10086.001,STER,2018,sls_soilpH
