uid,namedLocation,domainID,siteID,plotID,startDate,collectDate,sampleID,sampleCode,kclSampleID,kclSampleCode,sampleCondition,ammoniumNAnalysisDate,kclAmmoniumNConc,ammoniumNRepNum,ammoniumNQF,ammoniumNRemarks,nitrateNitriteNAnalysisDate,kclNitrateNitriteNConc,nitrateNitriteNRepNum,nitrateNitriteNQF,nitrateNitriteNRemarks,laboratoryName,ammoniumNMethod,ammoniumNInstrument,ammoniumNAnalyzedBy,ammoniumNReviewedBy,nitrateNitriteNMethod,nitrateNitriteNInstrument,nitrateNitriteNAnalyzedBy,nitrateNitriteNReviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
9e92d31a-5f26-49a0-896f-6a2336702de7,TREE_006.basePlot.bgc,D05,TREE,TREE_006,2020-07-08T17:59:00Z,2020-07-08T17:59:00Z,TREE_006-M-5.5-4.5-20200708,A00000202783,TREE_006-M-5.5-4.5-20200708-KCL,B00000062397,ok,2020-08-21,0.363,1,OK,NA,2020-08-21,0.029,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,TREE,2020,ntr_externalLab
55772184-cb3f-4f35-9992-db393aabdd17,TREE_006.basePlot.bgc,D05,TREE,TREE_006,2020-07-08T17:59:00Z,2020-07-30T21:59:00Z,TREE_006-M-5.5-4.5-20200730,A00000203654,TREE_006-M-5.5-4.5-20200730-KCL,B00000062493,ok,2020-08-21,0.248,1,OK,NA,2020-08-21,0.054,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,TREE,2020,ntr_externalLab
e9f51c8c-e50a-481c-9241-0d0a2781c8ba,TREE_006.basePlot.bgc,D05,TREE,TREE_006,2020-07-08T18:39:00Z,2020-07-08T18:39:00Z,TREE_006-M-34-0.5-20200708,A00000202765,TREE_006-M-34-0.5-20200708-KCL,B00000062398,ok,2020-08-21,0.44,1,OK,NA,2020-08-21,0.064,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,TREE,2020,ntr_externalLab
6581b437-ca84-457b-9957-796739bce2ea,TREE_006.basePlot.bgc,D05,TREE,TREE_006,2020-07-08T18:39:00Z,2020-07-30T22:08:00Z,TREE_006-M-34-0.5-20200730,A00000203655,TREE_006-M-34-0.5-20200730-KCL,B00000062438,ok,2020-08-21,0.452,1,OK,NA,2020-08-21,0.869,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,TREE,2020,ntr_externalLab
98a8b240-b0b7-4544-8b98-1687f614fe64,TREE_006.basePlot.bgc,D05,TREE,TREE_006,2020-07-08T19:05:00Z,2020-07-08T19:05:00Z,TREE_006-M-34-21-20200708,A00000202767,TREE_006-M-34-21-20200708-KCL,B00000062427,ok,2020-08-21,0.359,1,OK,NA,2020-08-21,0.041,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,TREE,2020,ntr_externalLab
afc32d4b-f763-4bdc-9246-b5cb1acae30e,TREE_006.basePlot.bgc,D05,TREE,TREE_006,2020-07-08T19:05:00Z,2020-07-30T22:18:00Z,TREE_006-M-34-21-20200730,A00000203574,TREE_006-M-34-21-20200730-KCL,B00000062494,ok,2020-08-21,0.423,1,OK,NA,2020-08-21,0.078,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,TREE,2020,ntr_externalLab
30eb59e3-8e8e-4857-8bab-ed7ffb8731de,TREE_006.basePlot.bgc,D05,TREE,TREE_006,2020-10-06T17:55:00Z,2020-10-06T17:55:00Z,TREE_006-M-2-30.5-20201006,A00000205007,TREE_006-M-2-30.5-20201006-KCL,B00000062816,ok,2020-12-02,0.2,1,OK,NA,2020-12-02,0.024,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T194034Z,RELEASE-2026,DP1.10086.001,TREE,2020,ntr_externalLab
95ba9500-9b01-479f-81c9-54c56a7e1011,TREE_006.basePlot.bgc,D05,TREE,TREE_006,2020-10-06T17:55:00Z,2020-10-27T19:58:00Z,TREE_006-M-2-30.5-20201027,NA,TREE_006-M-2-30.5-20201027-KCL,B00000062942,ok,2020-12-02,0.089,1,OK,NA,2020-12-02,0.026,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T194034Z,RELEASE-2026,DP1.10086.001,TREE,2020,ntr_externalLab
58955e74-bc74-40b9-838f-e9028d734066,TREE_006.basePlot.bgc,D05,TREE,TREE_006,2020-10-06T18:20:00Z,2020-10-06T18:20:00Z,TREE_006-M-24-32.5-20201006,A00000204991,TREE_006-M-24-32.5-20201006-KCL,B00000061699,ok,2020-12-02,0.202,1,OK,NA,2020-12-02,0.027,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T194034Z,RELEASE-2026,DP1.10086.001,TREE,2020,ntr_externalLab
5158284b-f78f-44f5-b244-49255a371ddc,TREE_006.basePlot.bgc,D05,TREE,TREE_006,2020-10-06T18:20:00Z,2020-10-27T20:05:00Z,TREE_006-M-24-32.5-20201027,A00000204981,TREE_006-M-24-32.5-20201027-KCL,B00000062941,ok,2020-12-02,0.067,1,OK,NA,2020-12-02,0.023,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T194034Z,RELEASE-2026,DP1.10086.001,TREE,2020,ntr_externalLab
