uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
9a63bf44-9bd7-4208-ab54-6fbc9143082e,D05,TREE,TREE_006,TREE_006.basePlot.bgc,2020-07-08T17:59:00Z,2020-07-08T17:59:00Z,TREE_006-M-5.5-4.5-20200708,A00000202783,TREE_006-M-5.5-4.5-20200708-SM,NEON.DOC.014048vN,M,2020-07-10T16:40:00Z,2020-07-14T15:28:00Z,2.14,12.26,11.11,0.128,0.886,NA,NA,0000-0001-6932-8707,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,TREE,2020,sls_soilMoisture
fa244080-cf57-4aa0-9302-5634df977c1e,D05,TREE,TREE_006,TREE_006.basePlot.bgc,2020-07-08T17:59:00Z,2020-07-30T21:59:00Z,TREE_006-M-5.5-4.5-20200730,A00000203654,TREE_006-M-5.5-4.5-20200730-SM,NEON.DOC.014048vN,M,2020-07-31T13:17:00Z,2020-08-04T19:27:00Z,2.13,12.16,10.76,0.162,0.86,NA,NA,0000-0002-4977-9110,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,TREE,2020,sls_soilMoisture
cf60a7a9-0cc0-43a2-b18b-685a4fa5e388,D05,TREE,TREE_006,TREE_006.basePlot.bgc,2020-07-08T18:39:00Z,2020-07-08T18:39:00Z,TREE_006-M-34-0.5-20200708,A00000202765,TREE_006-M-34-0.5-20200708-SM,NEON.DOC.014048vN,M,2020-07-10T16:19:00Z,2020-07-14T15:30:00Z,2.14,12.2,10.36,0.224,0.817,NA,NA,0000-0001-6932-8707,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,TREE,2020,sls_soilMoisture
1a438eb3-4e77-472b-ac31-36b52e1c7a5c,D05,TREE,TREE_006,TREE_006.basePlot.bgc,2020-07-08T18:39:00Z,2020-07-30T22:08:00Z,TREE_006-M-34-0.5-20200730,A00000203655,TREE_006-M-34-0.5-20200730-SM,NEON.DOC.014048vN,M,2020-07-31T13:17:00Z,2020-08-04T19:27:00Z,2.14,12.18,10.29,0.232,0.812,NA,NA,0000-0002-4977-9110,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,TREE,2020,sls_soilMoisture
628992b5-a9df-452f-a2be-61066fd7a803,D05,TREE,TREE_006,TREE_006.basePlot.bgc,2020-07-08T19:05:00Z,2020-07-08T19:05:00Z,TREE_006-M-34-21-20200708,A00000202767,TREE_006-M-34-21-20200708-SM,NEON.DOC.014048vN,M,2020-07-10T16:41:00Z,2020-07-14T15:24:00Z,2.08,12.11,11.18,0.102,0.907,NA,NA,0000-0001-6932-8707,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,TREE,2020,sls_soilMoisture
4eb32ab5-b2cf-4dec-a712-0d8d14a095ad,D05,TREE,TREE_006,TREE_006.basePlot.bgc,2020-07-08T19:05:00Z,2020-07-30T22:18:00Z,TREE_006-M-34-21-20200730,A00000203574,TREE_006-M-34-21-20200730-SM,NEON.DOC.014048vN,M,2020-07-31T13:17:00Z,2020-08-04T19:26:00Z,2.09,12.13,11.1,0.114,0.897,NA,NA,0000-0002-4977-9110,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,TREE,2020,sls_soilMoisture
561908cc-7cf6-4b84-94bd-b0f4b0420582,D05,TREE,TREE_006,TREE_006.basePlot.bgc,2020-10-06T17:55:00Z,2020-10-06T17:55:00Z,TREE_006-M-2-30.5-20201006,A00000205007,TREE_006-M-2-30.5-20201006-SM,NEON.DOC.014048vN,M,2020-10-07T16:47:00Z,2020-10-12T19:00:00Z,2.07,12.1,10.76,0.154,0.866,NA,NA,0000-0001-6932-8707,NA,20251217T194034Z,RELEASE-2026,DP1.10086.001,TREE,2020,sls_soilMoisture
fb40591e-cb16-4369-9e67-e9f74d4336c0,D05,TREE,TREE_006,TREE_006.basePlot.bgc,2020-10-06T17:55:00Z,2020-10-27T19:58:00Z,TREE_006-M-2-30.5-20201027,NA,TREE_006-M-2-30.5-20201027-SM,NEON.DOC.014048vN,M,2020-10-28T16:34:00Z,2020-11-02T14:18:00Z,2.16,12.18,10.63,0.183,0.845,NA,NA,0000-0002-5484-7763,NA,20251217T194034Z,RELEASE-2026,DP1.10086.001,TREE,2020,sls_soilMoisture
1c0c5fcd-8b19-478b-afa0-df4882fc8113,D05,TREE,TREE_006,TREE_006.basePlot.bgc,2020-10-06T18:20:00Z,2020-10-06T18:20:00Z,TREE_006-M-24-32.5-20201006,A00000204991,TREE_006-M-24-32.5-20201006-SM,NEON.DOC.014048vN,M,2020-10-07T16:52:00Z,2020-10-12T19:01:00Z,2.13,12.09,10.79,0.15,0.869,NA,NA,0000-0001-6932-8707,NA,20251217T194034Z,RELEASE-2026,DP1.10086.001,TREE,2020,sls_soilMoisture
16647c84-146b-47cc-a5a3-44b6204e7709,D05,TREE,TREE_006,TREE_006.basePlot.bgc,2020-10-06T18:20:00Z,2020-10-27T20:05:00Z,TREE_006-M-24-32.5-20201027,A00000204981,TREE_006-M-24-32.5-20201027-SM,NEON.DOC.014048vN,M,2020-10-28T16:30:00Z,2020-11-02T14:17:00Z,2.18,12.25,10.91,0.153,0.867,NA,NA,0000-0002-5484-7763,NA,20251217T194034Z,RELEASE-2026,DP1.10086.001,TREE,2020,sls_soilMoisture
e1d8927e-ee4f-4023-aeb7-30421070fcce,D05,TREE,TREE_006,TREE_006.basePlot.bgc,2020-10-06T18:52:00Z,2020-10-06T18:52:00Z,TREE_006-M-32.5-19-20201006,A00000204959,TREE_006-M-32.5-19-20201006-SM,NEON.DOC.014048vN,M,2020-10-07T16:56:00Z,2020-10-12T19:02:00Z,2.11,12.11,10.94,0.133,0.883,NA,NA,0000-0001-6932-8707,NA,20251217T194034Z,RELEASE-2026,DP1.10086.001,TREE,2020,sls_soilMoisture
8fb7ea8f-5a06-4364-89cc-c4d79265d2a9,D05,TREE,TREE_006,TREE_006.basePlot.bgc,2020-10-06T18:52:00Z,2020-10-27T20:18:00Z,TREE_006-M-32.5-19-20201027,A00000204928,TREE_006-M-32.5-19-20201027-SM,NEON.DOC.014048vN,M,2020-10-28T16:26:00Z,2020-11-02T14:17:00Z,2.07,12.04,10.62,0.166,0.858,NA,NA,0000-0002-5484-7763,NA,20251217T194034Z,RELEASE-2026,DP1.10086.001,TREE,2020,sls_soilMoisture
