uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
a286d985-0aaa-4d8c-a870-9e470cece5e1,D05,UNDE,UNDE_001,UNDE_001.basePlot.bgc,2019-05-14T18:03:00Z,2019-05-14T18:03:00Z,UNDE_001-O-30.5-8-20190514,A00000075781,UNDE_001-O-30.5-8-20190514-SM,NEON.DOC.014048vL,O,2019-05-15T14:04:00Z,2019-05-20T15:20:00Z,2.02,12.06,3.22,7.367,0.12,NA,NA,0000-0001-7187-3229,NA,20251217T193736Z,RELEASE-2026,DP1.10086.001,UNDE,2019,sls_soilMoisture
a2810e3d-e6bd-48b2-b1e8-38053a0eabb1,D05,UNDE,UNDE_001,UNDE_001.basePlot.bgc,2019-05-14T19:01:00Z,2019-05-14T19:01:00Z,UNDE_001-M-12.5-2.5-20190514,A00000075778,UNDE_001-M-12.5-2.5-20190514-SM,NEON.DOC.014048vL,M,2019-05-15T14:07:00Z,2019-05-20T15:21:00Z,2.13,12.14,9.82,0.302,0.768,NA,NA,0000-0001-7187-3229,NA,20251217T193736Z,RELEASE-2026,DP1.10086.001,UNDE,2019,sls_soilMoisture
991d388f-cb01-4ee0-b022-6939724cd310,D05,UNDE,UNDE_001,UNDE_001.basePlot.bgc,2019-05-14T20:26:00Z,2019-05-14T20:26:00Z,UNDE_001-O-7.5-23.5-20190514,A00000075779,UNDE_001-O-7.5-23.5-20190514-SM,NEON.DOC.014048vL,O,2019-05-15T14:09:00Z,2019-05-20T15:22:00Z,2.13,12.16,5.55,1.933,0.341,NA,NA,0000-0001-7187-3229,NA,20251217T193736Z,RELEASE-2026,DP1.10086.001,UNDE,2019,sls_soilMoisture
ff22461b-f0c1-4f58-85c1-3dcbb4e63b48,D05,UNDE,UNDE_001,UNDE_001.basePlot.bgc,2019-05-14T20:26:00Z,2019-05-14T20:26:00Z,UNDE_001-M-7.5-23.5-20190514,A00000075780,UNDE_001-M-7.5-23.5-20190514-SM,NEON.DOC.014048vL,M,2019-05-15T14:12:00Z,2019-05-20T15:23:00Z,2.06,12.04,7.25,0.923,0.52,NA,NA,0000-0001-7187-3229,NA,20251217T193736Z,RELEASE-2026,DP1.10086.001,UNDE,2019,sls_soilMoisture
3d9d3cc4-d825-4115-95ea-dd455d208621,D05,UNDE,UNDE_001,UNDE_001.basePlot.bgc,2019-05-14T18:03:00Z,2019-06-03T18:51:00Z,UNDE_001-O-30.5-8-20190603,A00000076390,UNDE_001-O-30.5-8-20190603-SM,NEON.DOC.014048vL,O,2019-06-03T22:30:00Z,2019-06-05T23:02:00Z,2.11,7.06,2.66,8,0.111,NA,NA,0000-0002-5484-7763,NA,20251217T193900Z,RELEASE-2026,DP1.10086.001,UNDE,2019,sls_soilMoisture
44f4c227-66ef-47d3-bdc5-f9b3b40469c8,D05,UNDE,UNDE_001,UNDE_001.basePlot.bgc,2019-05-14T19:01:00Z,2019-06-03T18:43:00Z,UNDE_001-M-12.5-2.5-20190603,A00000076311,UNDE_001-M-12.5-2.5-20190603-SM,NEON.DOC.014048vL,M,2019-06-03T22:30:00Z,2019-06-05T23:01:00Z,2.15,12.13,9.93,0.283,0.78,NA,NA,0000-0002-5484-7763,NA,20251217T193900Z,RELEASE-2026,DP1.10086.001,UNDE,2019,sls_soilMoisture
741f1749-944c-42ac-8b0e-c2db74ce0e4f,D05,UNDE,UNDE_001,UNDE_001.basePlot.bgc,2019-05-14T20:26:00Z,2019-06-03T18:32:00Z,UNDE_001-O-7.5-23.5-20190603,A00000076310,UNDE_001-O-7.5-23.5-20190603-SM,NEON.DOC.014048vL,O,2019-06-03T22:30:00Z,2019-06-05T23:01:00Z,2.12,7.17,3.69,2.217,0.311,NA,Seems to have a high mineral content,0000-0002-5484-7763,NA,20251217T193900Z,RELEASE-2026,DP1.10086.001,UNDE,2019,sls_soilMoisture
c8dbce51-2f55-44f4-8f4c-cfa7b04d059e,D05,UNDE,UNDE_001,UNDE_001.basePlot.bgc,2019-05-14T20:26:00Z,2019-06-03T18:32:00Z,UNDE_001-M-7.5-23.5-20190603,A00000076309,UNDE_001-M-7.5-23.5-20190603-SM,NEON.DOC.014048vL,M,2019-06-03T22:30:00Z,2019-06-05T23:00:00Z,2.13,12.03,6.18,1.444,0.409,NA,NA,0000-0002-5484-7763,NA,20251217T193900Z,RELEASE-2026,DP1.10086.001,UNDE,2019,sls_soilMoisture
3ef84628-431b-488f-947b-cc420c509659,D05,UNDE,UNDE_001,UNDE_001.basePlot.bgc,2019-07-15T18:13:00Z,2019-08-05T15:39:00Z,UNDE_001-O-36-5-20190805,A00000077093,UNDE_001-O-36-5-20190805-SM,NEON.DOC.014048vL,O,2019-08-05T19:30:00Z,2019-08-07T20:41:00Z,2.08,7.15,2.7,7.177,0.122,NA,NA,0000-0002-6045-187X,NA,20251217T194017Z,RELEASE-2026,DP1.10086.001,UNDE,2019,sls_soilMoisture
fe217590-1953-4638-8439-43d53868e7f3,D05,UNDE,UNDE_001,UNDE_001.basePlot.bgc,2019-07-15T18:46:00Z,2019-08-05T15:47:00Z,UNDE_001-O-26-39.5-20190805,A00000077009,UNDE_001-O-26-39.5-20190805-SM,NEON.DOC.014048vL,O,2019-08-05T19:30:00Z,2019-08-07T20:39:00Z,2.14,7.15,4.5,1.123,0.471,NA,NA,0000-0002-6045-187X,NA,20251217T194017Z,RELEASE-2026,DP1.10086.001,UNDE,2019,sls_soilMoisture
