uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,processedDate,sampleID,sampleCode,pHSampleID,samplingProtocolVersion,horizon,soilInWaterpH,soilInCaClpH,pHSoilInWaterMass,pHWaterVol,waterpHRatio,pHSoilInCaClMass,pHCaClVol,caclpHRatio,pHRemarks,pHMeasuredBy,pHDataQF,publicationDate,release,dpID,site_download,year_download,source_table
3e5eb2c4-f84b-4b53-bf9b-fa0bdf0573fd,D16,WREF,WREF_073,WREF_073.basePlot.bgc,2019-04-30T17:05:00Z,2019-04-30T17:05:00Z,2019-05-24,WREF_073-M-15.5-7.5-20190430,A00000059951,WREF_073-M-15.5-7.5-20190430-PH,NEON.DOC.014048vL,M,5.5,4.32,10,40,4,10,40,4,NA,0000-0002-2939-423X,NA,20251217T193916Z,RELEASE-2026,DP1.10086.001,WREF,2019,sls_soilpH
e388f564-46b2-4422-8c47-81217e7f0bce,D16,WREF,WREF_073,WREF_073.basePlot.bgc,2019-04-30T17:52:00Z,2019-04-30T17:52:00Z,2019-05-24,WREF_073-O-39-14.5-20190430,A00000059950,WREF_073-O-39-14.5-20190430-PH,NEON.DOC.014048vL,O,4.29,3.43,3,40,13.2,3,40,13.4,NA,0000-0002-2939-423X,NA,20251217T193916Z,RELEASE-2026,DP1.10086.001,WREF,2019,sls_soilpH
3c9339f8-f8f0-42c2-84f3-82e66a40c529,D16,WREF,WREF_073,WREF_073.basePlot.bgc,2019-04-30T17:52:00Z,2019-04-30T17:52:00Z,2019-05-24,WREF_073-O-15.5-7.5-20190430,A00000059952,WREF_073-O-15.5-7.5-20190430-PH,NEON.DOC.014048vL,O,4.38,3.66,2.5,40,16.1,2.5,40,16.1,NA,0000-0002-2939-423X,NA,20251217T193916Z,RELEASE-2026,DP1.10086.001,WREF,2019,sls_soilpH
54b62939-e26b-453c-87c2-a0ab444b663c,D16,WREF,WREF_073,WREF_073.basePlot.bgc,2019-04-30T17:52:00Z,2019-04-30T17:52:00Z,2019-05-24,WREF_073-M-39-14.5-20190430,A00000059941,WREF_073-M-39-14.5-20190430-PH,NEON.DOC.014048vL,M,4.74,3.84,10,20,2,10,20,2,NA,0000-0002-2939-423X,NA,20251217T193916Z,RELEASE-2026,DP1.10086.001,WREF,2019,sls_soilpH
8883b55c-5cde-4248-afc5-b9a30f5a044f,D16,WREF,WREF_073,WREF_073.basePlot.bgc,2019-04-30T18:29:00Z,2019-04-30T18:29:00Z,2019-05-24,WREF_073-M-19-36-20190430,A00000059942,WREF_073-M-19-36-20190430-PH,NEON.DOC.014048vL,M,5.87,5,10.1,20,2,10,20,2,NA,0000-0002-2939-423X,NA,20251217T193916Z,RELEASE-2026,DP1.10086.001,WREF,2019,sls_soilpH
63350e73-c49e-472f-8df6-6e1d4ccd069a,D16,WREF,WREF_073,WREF_073.basePlot.bgc,2019-06-18T19:10:00Z,2019-06-18T19:10:00Z,2019-07-24,WREF_073-M-0-19-20190618,A00000060504,WREF_073-M-0-19-20190618-PH,NEON.DOC.014048vL,M,5.41,4.45,10,20,2,10,20,2,NA,0000-0002-2939-423X,NA,20251217T193928Z,RELEASE-2026,DP1.10086.001,WREF,2019,sls_soilpH
e6098aeb-0509-4069-88a9-a5a16d397bd1,D16,WREF,WREF_073,WREF_073.basePlot.bgc,2019-06-18T19:42:00Z,2019-06-18T19:42:00Z,2019-07-24,WREF_073-M-17.5-36.5-20190618,A00000060502,WREF_073-M-17.5-36.5-20190618-PH,NEON.DOC.014048vL,M,5.79,4.69,10,20,2,9.9,20,2,NA,0000-0002-2939-423X,NA,20251217T193928Z,RELEASE-2026,DP1.10086.001,WREF,2019,sls_soilpH
20f05f6a-cea7-4aa1-90ae-f8df66fb46b2,D16,WREF,WREF_073,WREF_073.basePlot.bgc,2019-06-18T20:13:00Z,2019-06-18T20:13:00Z,2019-07-24,WREF_073-M-34.5-19-20190618,A00000060537,WREF_073-M-34.5-19-20190618-PH,NEON.DOC.014048vL,M,5.44,4.46,10,20,2,10,20,2,NA,0000-0002-2939-423X,NA,20251217T193928Z,RELEASE-2026,DP1.10086.001,WREF,2019,sls_soilpH
da2a8772-4496-4ad9-b090-12018400f3ac,D16,WREF,WREF_073,WREF_073.basePlot.bgc,2019-06-18T20:13:00Z,2019-06-18T20:13:00Z,2019-07-24,WREF_073-O-34.5-19-20190618,A00000060503,WREF_073-O-34.5-19-20190618-PH,NEON.DOC.014048vL,O,4.61,3.57,3,40,13.2,3,40,13.3,NA,0000-0002-2939-423X,NA,20251217T193928Z,RELEASE-2026,DP1.10086.001,WREF,2019,sls_soilpH
eacc7807-048e-45d5-885e-da57c9395799,D16,WREF,WREF_073,WREF_073.basePlot.bgc,2019-10-10T17:20:00Z,2019-10-10T17:20:00Z,2019-11-05,WREF_073-M-21-30.5-20191010,A00000139998,WREF_073-M-21-30.5-20191010-PH,NEON.DOC.014048vL,M,5.55,4.58,10,20,2,10,20,2,NA,0000-0003-2593-761X,NA,20251217T193730Z,RELEASE-2026,DP1.10086.001,WREF,2019,sls_soilpH
cdfa5c27-8f44-43f0-8291-bcba92191631,D16,WREF,WREF_073,WREF_073.basePlot.bgc,2019-10-10T17:20:00Z,2019-10-10T17:20:00Z,2019-11-05,WREF_073-O-21-30.5-20191010,A00000140025,WREF_073-O-21-30.5-20191010-PH,NEON.DOC.014048vL,O,5.34,4.24,3.1,40,13.1,3,40,13.3,Fluffy soil. Reduced sample to about 3 g.,0000-0003-2593-761X,NA,20251217T193730Z,RELEASE-2026,DP1.10086.001,WREF,2019,sls_soilpH
