uid,namedLocation,domainID,siteID,plotID,startDate,collectDate,sampleID,sampleCode,kclSampleID,kclSampleCode,sampleCondition,ammoniumNAnalysisDate,kclAmmoniumNConc,ammoniumNRepNum,ammoniumNQF,ammoniumNRemarks,nitrateNitriteNAnalysisDate,kclNitrateNitriteNConc,nitrateNitriteNRepNum,nitrateNitriteNQF,nitrateNitriteNRemarks,laboratoryName,ammoniumNMethod,ammoniumNInstrument,ammoniumNAnalyzedBy,ammoniumNReviewedBy,nitrateNitriteNMethod,nitrateNitriteNInstrument,nitrateNitriteNAnalyzedBy,nitrateNitriteNReviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
9c1f3b1d-98ec-4127-b271-acc666ec0b9a,WREF_071.basePlot.bgc,D16,WREF,WREF_071,2023-07-10T18:56:00Z,2023-07-10T18:56:00Z,WREF_071-M-23-20230710,A00000294168,WREF_071-M-23-20230710-KCL,B00000121282,ok,2023-09-20,0.02,1,OK,NA,2023-09-19,0.024,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193725Z,RELEASE-2026,DP1.10086.001,WREF,2023,ntr_externalLab
68f6c854-a6c6-4a0a-9834-92044ab65e1f,WREF_071.basePlot.bgc,D16,WREF,WREF_071,2023-07-10T18:56:00Z,2023-07-10T18:56:00Z,WREF_071-O-23-20230710,A00000294146,WREF_071-O-23-20230710-KCL,B00000121281,ok,2023-09-20,0.109,1,OK,NA,2023-09-19,0.06,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193725Z,RELEASE-2026,DP1.10086.001,WREF,2023,ntr_externalLab
64875740-3ad5-49be-81a3-301f58ecff89,WREF_071.basePlot.bgc,D16,WREF,WREF_071,2023-06-05T19:40:00Z,2023-06-05T19:40:00Z,WREF_071-M-23-20230605,A00000426787,WREF_071-M-23-20230605-KCL,B00000121264,ok,2023-09-14,0.026,1,OK,NA,2023-09-13,0.014,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193550Z,RELEASE-2026,DP1.10086.001,WREF,2023,ntr_externalLab
710b2071-a4cc-4589-b494-626e0aa6ce57,WREF_071.basePlot.bgc,D16,WREF,WREF_071,2023-06-05T19:40:00Z,2023-06-26T18:09:00Z,WREF_071-M-23-20230626,A00000426981,WREF_071-M-23-20230626-KCL,B00000121304,ok,2023-09-14,0.063,1,OK,NA,2023-09-13,0.018,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193550Z,RELEASE-2026,DP1.10086.001,WREF,2023,ntr_externalLab
00ba8d5d-360e-431b-8caf-97fd30bfc889,WREF_071.basePlot.bgc,D16,WREF,WREF_071,2023-06-05T20:07:00Z,2023-06-05T20:07:00Z,WREF_071-M-21-20230605,A00000426785,WREF_071-M-21-20230605-KCL,B00000121262,ok,2023-09-14,0.011,1,OK,NA,2023-09-13,0.009,1,below method detection limit,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193550Z,RELEASE-2026,DP1.10086.001,WREF,2023,ntr_externalLab
9834619c-67f6-4b7e-8070-b8f55b18825d,WREF_071.basePlot.bgc,D16,WREF,WREF_071,2023-06-05T20:07:00Z,2023-06-26T18:21:00Z,WREF_071-M-21-20230626,A00000426991,WREF_071-M-21-20230626-KCL,B00000121306,ok,2023-09-14,0.073,1,OK,NA,2023-09-13,0.021,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193550Z,RELEASE-2026,DP1.10086.001,WREF,2023,ntr_externalLab
12522b29-7ada-4e04-ad9d-3917c854124e,WREF_071.basePlot.bgc,D16,WREF,WREF_071,2023-06-05T20:37:00Z,2023-06-05T20:37:00Z,WREF_071-O-39-20230605,A00000426791,WREF_071-O-39-20230605-KCL,B00000121263,ok,2023-09-14,0.01,2,OK,NA,2023-09-13,0.043,2,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193550Z,RELEASE-2026,DP1.10086.001,WREF,2023,ntr_externalLab
6da12241-858d-4715-866d-e396c8c7af35,WREF_071.basePlot.bgc,D16,WREF,WREF_071,2023-06-05T20:37:00Z,2023-06-05T20:37:00Z,WREF_071-O-39-20230605,A00000426791,WREF_071-O-39-20230605-KCL,B00000121263,ok,2023-09-14,0.01,1,OK,NA,2023-09-13,0.034,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193550Z,RELEASE-2026,DP1.10086.001,WREF,2023,ntr_externalLab
fec25804-c9e1-41f6-9f0e-9414f13563d8,WREF_071.basePlot.bgc,D16,WREF,WREF_071,2023-06-05T20:37:00Z,2023-06-05T20:37:00Z,WREF_071-M-39-20230605,A00000426792,WREF_071-M-39-20230605-KCL,B00000121261,ok,2023-09-14,0.011,1,OK,NA,2023-09-13,0.007,1,below method detection limit,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193550Z,RELEASE-2026,DP1.10086.001,WREF,2023,ntr_externalLab
529612cf-9795-41af-b7df-37d09876822f,WREF_071.basePlot.bgc,D16,WREF,WREF_071,2023-06-05T20:37:00Z,2023-06-26T18:30:00Z,WREF_071-O-39-20230626,A00000426983,WREF_071-O-39-20230626-KCL,B00000121338,ok,2023-09-14,0.158,1,OK,NA,2023-09-13,0.025,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193550Z,RELEASE-2026,DP1.10086.001,WREF,2023,ntr_externalLab
