uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
7bb26dde-a074-4025-b1ea-22fcea30e3d0,D16,WREF,WREF_073,WREF_073.basePlot.bgc,2023-06-07T17:54:00Z,2023-06-07T17:54:00Z,WREF_073-M-39-20230607,A00000426966,WREF_073-M-39-20230607-SM,NEON.DOC.014048vO,M,2023-06-08T14:48:00Z,2023-06-14T20:30:00Z,2.25,12.95,9.74,0.429,0.7,OK,NA,0000-0003-1989-8722,NA,20251217T193550Z,RELEASE-2026,DP1.10086.001,WREF,2023,sls_soilMoisture
c9c633ea-d98e-4fdc-9b26-1a3b5c4950de,D16,WREF,WREF_073,WREF_073.basePlot.bgc,2023-06-07T17:54:00Z,2023-06-07T17:54:00Z,WREF_073-O-39-20230607,A00000426967,WREF_073-O-39-20230607-SM,NEON.DOC.014048vO,O,2023-06-08T14:48:00Z,2023-06-14T20:30:00Z,1.77,6.37,3.17,2.286,0.304,OK,NA,0000-0003-1989-8722,NA,20251217T193550Z,RELEASE-2026,DP1.10086.001,WREF,2023,sls_soilMoisture
c4c05016-ad09-4c41-b954-89e33082f9c5,D16,WREF,WREF_073,WREF_073.basePlot.bgc,2023-06-07T17:54:00Z,2023-06-26T20:24:00Z,WREF_073-M-39-20230626,A00000427018,WREF_073-M-39-20230626-SM,NEON.DOC.014048vO,M,2023-06-27T15:50:00Z,2023-06-29T21:34:00Z,1.95,11.75,8.12,0.588,0.63,sampleID uncertain,Could also be sample WREF_071-M-39-20230626,0000-0003-1989-8722,NA,20251217T193550Z,RELEASE-2026,DP1.10086.001,WREF,2023,sls_soilMoisture
057ad3ec-ecc0-4b03-a2f7-670c9aad5d67,D16,WREF,WREF_073,WREF_073.basePlot.bgc,2023-06-07T17:54:00Z,2023-06-26T20:24:00Z,WREF_073-O-39-20230626,A00000427036,WREF_073-O-39-20230626-SM,NEON.DOC.014048vO,O,2023-06-27T15:50:00Z,2023-06-29T21:34:00Z,2.26,7.27,3.82,2.212,0.311,OK,NA,0000-0003-1989-8722,NA,20251217T193550Z,RELEASE-2026,DP1.10086.001,WREF,2023,sls_soilMoisture
6027f7a1-4bb8-4cdb-bdb7-7f68bf7010f8,D16,WREF,WREF_073,WREF_073.basePlot.bgc,2023-06-07T19:03:00Z,2023-06-07T19:03:00Z,WREF_073-M-41-20230607,A00000426964,WREF_073-M-41-20230607-SM,NEON.DOC.014048vO,M,2023-06-08T14:48:00Z,2023-06-14T20:30:00Z,2.18,12.16,9,0.463,0.683,OK,NA,0000-0003-1989-8722,NA,20251217T193550Z,RELEASE-2026,DP1.10086.001,WREF,2023,sls_soilMoisture
0de59d08-57a4-4d14-b6a9-15581678eb04,D16,WREF,WREF_073,WREF_073.basePlot.bgc,2023-06-07T19:03:00Z,2023-06-26T20:16:00Z,WREF_073-M-41-20230626,A00000426990,WREF_073-M-41-20230626-SM,NEON.DOC.014048vO,M,2023-06-27T15:50:00Z,2023-06-29T21:34:00Z,2.24,12.01,8.82,0.485,0.673,OK,NA,0000-0003-1989-8722,NA,20251217T193550Z,RELEASE-2026,DP1.10086.001,WREF,2023,sls_soilMoisture
dc722b52-27eb-4a7c-be8d-4ad319922b82,D16,WREF,WREF_073,WREF_073.basePlot.bgc,2023-06-07T19:58:00Z,2023-06-07T19:58:00Z,WREF_073-M-23-20230607,A00000426968,WREF_073-M-23-20230607-SM,NEON.DOC.014048vO,M,2023-06-08T14:48:00Z,2023-06-14T20:30:00Z,2.26,12.49,10.51,0.24,0.806,OK,NA,0000-0003-1989-8722,NA,20251217T193550Z,RELEASE-2026,DP1.10086.001,WREF,2023,sls_soilMoisture
2262bc48-c16a-4a26-be3d-9388d321d8bc,D16,WREF,WREF_073,WREF_073.basePlot.bgc,2023-06-07T19:58:00Z,2023-06-26T20:44:00Z,WREF_073-M-23-20230626,A00000427019,WREF_073-M-23-20230626-SM,NEON.DOC.014048vO,M,2023-06-27T15:50:00Z,2023-06-29T21:34:00Z,2.23,12.6,10.6,0.239,0.807,OK,NA,0000-0003-1989-8722,NA,20251217T193550Z,RELEASE-2026,DP1.10086.001,WREF,2023,sls_soilMoisture
ea3ffe98-04a0-4ee4-a01a-34098a79685f,D16,WREF,WREF_073,WREF_073.basePlot.bgc,2023-07-10T21:16:00Z,2023-07-10T21:16:00Z,WREF_073-M-41-20230710,A00000294164,WREF_073-M-41-20230710-SM,NEON.DOC.014048vO,M,2023-07-11T15:51:00Z,2023-07-13T16:24:00Z,1.94,11.71,9.3,0.327,0.753,OK,NA,0000-0003-1989-8722,NA,20251217T193725Z,RELEASE-2026,DP1.10086.001,WREF,2023,sls_soilMoisture
6124e2c5-d1b1-4c34-b5b3-c5ed67789d5b,D16,WREF,WREF_073,WREF_073.basePlot.bgc,2023-07-10T21:16:00Z,2023-08-01T17:00:00Z,WREF_073-M-41-20230801,A00000294150,WREF_073-M-41-20230801-SM,NEON.DOC.014048vO,M,2023-08-02T15:57:00Z,2023-08-09T14:48:00Z,2.27,12.34,9.98,0.306,0.766,OK,NA,0009-0008-6716-0515,NA,20251217T193954Z,RELEASE-2026,DP1.10086.001,WREF,2023,sls_soilMoisture
