uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
073f34ca-16e9-4691-9d51-42453eae5ee4,D12,YELL,YELL_048,YELL_048.basePlot.bgc,2020-09-24T17:20:00Z,2020-09-24T17:20:00Z,YELL_048-M-39.5-33-20200924,A00000115146,YELL_048-M-39.5-33-20200924-SM,NEON.DOC.014048vN,M,2020-09-25T15:14:00Z,2020-09-28T14:18:00Z,2.23,12.11,10.64,0.175,0.851,NA,NA,0000-0001-7235-2193,NA,20251217T193758Z,RELEASE-2026,DP1.10086.001,YELL,2020,sls_soilMoisture
47da35cf-9990-49f6-840c-a45b777a292f,D12,YELL,YELL_048,YELL_048.basePlot.bgc,2020-09-24T17:43:00Z,2020-09-24T17:43:00Z,YELL_048-M-34.5-13-20200924,A00000115147,YELL_048-M-34.5-13-20200924-SM,NEON.DOC.014048vN,M,2020-09-25T15:17:00Z,2020-09-28T14:18:00Z,2.19,12.25,11.64,0.065,0.939,NA,NA,0000-0001-7235-2193,NA,20251217T193758Z,RELEASE-2026,DP1.10086.001,YELL,2020,sls_soilMoisture
64272b59-ad91-41de-a632-92b8af3088f7,D12,YELL,YELL_048,YELL_048.basePlot.bgc,2020-09-24T18:03:00Z,2020-09-24T18:03:00Z,YELL_048-M-16.5-3-20200924,A00000115148,YELL_048-M-16.5-3-20200924-SM,NEON.DOC.014048vN,M,2020-09-25T15:10:00Z,2020-09-28T14:17:00Z,2.15,12.53,11.55,0.104,0.906,NA,NA,0000-0001-7235-2193,NA,20251217T193758Z,RELEASE-2026,DP1.10086.001,YELL,2020,sls_soilMoisture
7ac12dd5-43df-4337-a003-abf5b47c96d3,D12,YELL,YELL_048,YELL_048.basePlot.bgc,2020-07-09T17:36:00Z,2020-07-09T17:36:00Z,YELL_048-M-3.5-9.5-20200709,A00000116857,YELL_048-M-3.5-9.5-20200709-SM,NEON.DOC.014048vN,M,2020-07-10T14:02:00Z,2020-07-23T20:37:00Z,2.24,12.37,10,0.305,0.766,NA,NA,0000-0001-5523-6326,NA,20251217T193652Z,RELEASE-2026,DP1.10086.001,YELL,2020,sls_soilMoisture
c984af96-7e04-41b7-ba61-2bbfbdc1b44c,D12,YELL,YELL_048,YELL_048.basePlot.bgc,2020-07-09T17:36:00Z,2020-07-31T14:20:00Z,YELL_048-M-3.5-9.5-20200731,A00000114379,YELL_048-M-3.5-9.5-20200731-SM,NEON.DOC.014048vN,M,2020-07-31T22:15:00Z,2020-08-05T22:36:00Z,2.22,12.22,10.84,0.16,0.862,NA,NA,0000-0001-7235-2193,NA,20251217T193652Z,RELEASE-2026,DP1.10086.001,YELL,2020,sls_soilMoisture
d72ba9a7-0f9e-4243-9b5d-97c5e85790c3,D12,YELL,YELL_048,YELL_048.basePlot.bgc,2020-07-09T18:17:00Z,2020-07-09T18:17:00Z,YELL_048-M-1-31-20200709,A00000116858,YELL_048-M-1-31-20200709-SM,NEON.DOC.014048vN,M,2020-07-10T14:02:00Z,2020-07-23T20:37:00Z,2.22,12.1,9.82,0.3,0.769,NA,NA,0000-0001-5523-6326,NA,20251217T193652Z,RELEASE-2026,DP1.10086.001,YELL,2020,sls_soilMoisture
3bb318bc-e656-4ad1-b505-da3697abfc7a,D12,YELL,YELL_048,YELL_048.basePlot.bgc,2020-07-09T18:17:00Z,2020-07-31T14:14:00Z,YELL_048-M-1-31-20200731,A00000114378,YELL_048-M-1-31-20200731-SM,NEON.DOC.014048vN,M,2020-07-31T22:15:00Z,2020-08-05T22:37:00Z,2.17,12.43,8.41,0.644,0.608,NA,NA,0000-0001-7235-2193,NA,20251217T193652Z,RELEASE-2026,DP1.10086.001,YELL,2020,sls_soilMoisture
bea92048-7626-41bd-920a-e136caa886b1,D12,YELL,YELL_048,YELL_048.basePlot.bgc,2020-07-09T18:45:00Z,2020-07-09T18:45:00Z,YELL_048-M-36.5-31-20200709,A00000114886,YELL_048-M-36.5-31-20200709-SM,NEON.DOC.014048vN,M,2020-07-10T14:02:00Z,2020-07-23T20:37:00Z,2.21,12.21,10.49,0.208,0.828,NA,NA,0000-0001-5523-6326,NA,20251217T193652Z,RELEASE-2026,DP1.10086.001,YELL,2020,sls_soilMoisture
dfabac5a-c791-4695-8be2-a48a706c41ab,D12,YELL,YELL_048,YELL_048.basePlot.bgc,2020-07-09T18:45:00Z,2020-07-31T14:08:00Z,YELL_048-M-36.5-31-20200731,A00000114380,YELL_048-M-36.5-31-20200731-SM,NEON.DOC.014048vN,M,2020-07-31T22:15:00Z,2020-08-05T22:37:00Z,2.21,12.31,11.46,0.092,0.916,NA,NA,0000-0001-7235-2193,NA,20251217T193652Z,RELEASE-2026,DP1.10086.001,YELL,2020,sls_soilMoisture
41cf641f-aad0-4725-bafc-7998d5e818fe,D12,YELL,YELL_048,YELL_048.basePlot.bgc,2020-09-24T17:20:00Z,2020-10-15T17:20:00Z,YELL_048-M-39.5-33-20201015,A00000117465,YELL_048-M-39.5-33-20201015-SM,NEON.DOC.014048vN,M,2020-10-16T15:08:00Z,2020-10-19T14:58:00Z,2.2,12.18,10.73,0.17,0.855,NA,NA,0000-0003-0814-3869,NA,20251217T193823Z,RELEASE-2026,DP1.10086.001,YELL,2020,sls_soilMoisture
