dpID,site,table,years_averaged,siteID,plotID,namedLocation,n_raw_records,year_download_mean_2018_2024,collectYear_mean_2018_2024,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10086.001,DELA,sls_metagenomicsPooling,2018-2024,DELA,DELA_001,DELA_001.basePlot.bgc,2,2021.5,2021.5,NA,NA
DP1.10086.001,DELA,sls_metagenomicsPooling,2018-2024,DELA,DELA_002,DELA_002.basePlot.bgc,2,2021.5,2021.5,NA,NA
DP1.10086.001,DELA,sls_metagenomicsPooling,2018-2024,DELA,DELA_003,DELA_003.basePlot.bgc,2,2021.5,2021.5,NA,NA
DP1.10086.001,DELA,sls_metagenomicsPooling,2018-2024,DELA,DELA_004,DELA_004.basePlot.bgc,2,2021.5,2021.5,NA,NA
DP1.10086.001,DELA,sls_metagenomicsPooling,2018-2024,DELA,DELA_005,DELA_005.basePlot.bgc,2,2021.5,2021.5,NA,NA
DP1.10086.001,DELA,sls_metagenomicsPooling,2018-2024,DELA,DELA_014,DELA_014.basePlot.bgc,2,2021.5,2021.5,NA,NA
DP1.10086.001,DELA,sls_metagenomicsPooling,2018-2024,DELA,DELA_037,DELA_037.basePlot.bgc,2,2021.5,2021.5,NA,NA
DP1.10086.001,DELA,sls_metagenomicsPooling,2018-2024,DELA,DELA_038,DELA_038.basePlot.bgc,2,2021.5,2021.5,NA,NA
DP1.10086.001,DELA,sls_metagenomicsPooling,2018-2024,DELA,DELA_040,DELA_040.basePlot.bgc,2,2021.5,2021.5,NA,NA
DP1.10086.001,DELA,sls_metagenomicsPooling,2018-2024,DELA,DELA_041,DELA_041.basePlot.bgc,2,2021.5,2021.5,NA,NA
