dpID,site,table,years_averaged,siteID,plotID,namedLocation,plotType,horizon,sampleTopDepth,sampleBottomDepth,sampleExtent,n_raw_records,coreCoordinateX_mean_2018_2024,coreCoordinateY_mean_2018_2024,decimalLatitude_mean_2018_2024,decimalLongitude_mean_2018_2024,coordinateUncertainty_mean_2018_2024,elevation_mean_2018_2024,elevationUncertainty_mean_2018_2024,standingWaterDepth_mean_2018_2024,soilTemp_mean_2018_2024,litterDepth_mean_2018_2024,soilCoreCount_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,coreCoordinateX_mean_2018_2024_unit,coreCoordinateY_mean_2018_2024_unit,decimalLatitude_mean_2018_2024_unit,decimalLongitude_mean_2018_2024_unit,coordinateUncertainty_mean_2018_2024_unit,elevation_mean_2018_2024_unit,elevationUncertainty_mean_2018_2024_unit,standingWaterDepth_mean_2018_2024_unit,soilTemp_mean_2018_2024_unit,litterDepth_mean_2018_2024_unit,soilCoreCount_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,0,7.5,obstruction,1,1.5,34,40.042345,-105.558975,20.1,3213.5,0.11,0,8.7,0.5,2,2018,2018,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,0,9,obstruction,1,30,15,40.042345,-105.558975,20.1,3213.5,0.11,0,5.2,0.9,1,2019,2019,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,0,10,obstruction,1,1,6,40.042345,-105.558975,20.1,3213.5,0.11,0,6.3,4.5,1,2024,2024,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,0,10.3,obstruction,1,32.5,16.5,40.042345,-105.558975,20.1,3213.5,0.11,0,8.9,0.5,2,2018,2018,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,0,11,obstruction,1,30,27.5,40.042345,-105.558975,20.1,3213.5,0.11,0,12.6,3,NA,2019,2019,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,0,12,obstruction,1,1.5,28,40.042345,-105.558975,20.1,3213.5,0.11,0,5.6,1.7,1,2019,2019,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,0,13,obstruction,1,1.5,28,40.042345,-105.558975,20.1,3213.5,0.11,0,15,1.5,1,2019,2019,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,0,13.7,obstruction,1,6,17.5,40.042345,-105.558975,20.1,3213.5,0.11,0,7.7,2.6,3,2020,2020,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,0,13.8,obstruction,1,28,8.5,40.042345,-105.558975,20.1,3213.5,0.11,0,7.4,2.3,2,2020,2020,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,0,14,obstruction,1,30,15,40.042345,-105.558975,20.1,3213.5,0.11,0,10.3,2,1,2019,2019,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,0,14.1,obstruction,1,35.5,12,40.042345,-105.558975,20.1,3213.5,0.11,0,7.1,3.5,1,2024,2024,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,0,14.9,obstruction,1,35.5,12,40.042345,-105.558975,20.1,3213.5,0.11,0,5.3,1.5,1,2024,2024,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,0,15.6,obstruction,2,5,6.75,40.042345,-105.558975,20.1,3213.5,0.11,0,10.8,4.25,1.5,2023,2023,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,0,16.5,obstruction,1,39.5,14.5,40.042345,-105.558975,20.1,3213.5,0.11,0,NA,1,3,2023,2023,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
