dpID,site,table,years_averaged,siteID,plotID,namedLocation,horizon,n_raw_records,bgcArchiveMass_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,bgcArchiveMass_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10086.001,WOOD,sls_bgcSubsampling,2018-2024,WOOD,WOOD_001,WOOD_001.basePlot.bgc,M,3,207.79999999999998,2021,2021,gram,NA,NA
DP1.10086.001,WOOD,sls_bgcSubsampling,2018-2024,WOOD,WOOD_002,WOOD_002.basePlot.bgc,M,3,209.13333333333333,2021,2021,gram,NA,NA
DP1.10086.001,WOOD,sls_bgcSubsampling,2018-2024,WOOD,WOOD_003,WOOD_003.basePlot.bgc,M,3,261.4,2021,2021,gram,NA,NA
DP1.10086.001,WOOD,sls_bgcSubsampling,2018-2024,WOOD,WOOD_004,WOOD_004.basePlot.bgc,M,3,199.7,2021,2021,gram,NA,NA
DP1.10086.001,WOOD,sls_bgcSubsampling,2018-2024,WOOD,WOOD_005,WOOD_005.basePlot.bgc,M,3,217.53333333333333,2021,2021,gram,NA,NA
DP1.10086.001,WOOD,sls_bgcSubsampling,2018-2024,WOOD,WOOD_024,WOOD_024.basePlot.bgc,M,3,125.63333333333334,2021,2021,gram,NA,NA
DP1.10086.001,WOOD,sls_bgcSubsampling,2018-2024,WOOD,WOOD_024,WOOD_024.basePlot.bgc,O,1,28.5,2021,2021,gram,NA,NA
DP1.10086.001,WOOD,sls_bgcSubsampling,2018-2024,WOOD,WOOD_042,WOOD_042.basePlot.bgc,M,3,186.53333333333333,2021,2021,gram,NA,NA
DP1.10086.001,WOOD,sls_bgcSubsampling,2018-2024,WOOD,WOOD_043,WOOD_043.basePlot.bgc,M,3,210.4,2021,2021,gram,NA,NA
DP1.10086.001,WOOD,sls_bgcSubsampling,2018-2024,WOOD,WOOD_044,WOOD_044.basePlot.bgc,M,3,199.33333333333334,2021,2021,gram,NA,NA
DP1.10086.001,WOOD,sls_bgcSubsampling,2018-2024,WOOD,WOOD_045,WOOD_045.basePlot.bgc,M,3,213.86666666666667,2021,2021,gram,NA,NA
