table,fieldName,description,dataType,units,downloadPkg,pubFormat,primaryKey,categoricalCodeName,dpID,siteID_download,year_downloaded
PARPAR_1min,domainID,Unique identifier of the NEON domain,string,NA,appended by stackByTable,NA,N,,DP1.00024.001,ABBY,2018
PARPAR_1min,siteID,NEON site code,string,NA,appended by stackByTable,NA,N,,DP1.00024.001,BARR,2019
PARPAR_1min,horizontalPosition,Index of horizontal location at a NEON site,string,NA,appended by stackByTable,NA,N,,DP1.00024.001,BART,2020
PARPAR_1min,verticalPosition,Index of vertical location at a NEON site,string,NA,appended by stackByTable,NA,N,,DP1.00024.001,BLAN,2021
PARPAR_1min,startDateTime,Date and time at which a sampling is initiated,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm:ss'Z'(floor),NA,NA,DP1.00024.001,BONA,2022
PARPAR_1min,endDateTime,Date and time at which a sampling is completed,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm:ss'Z'(floor),NA,NA,DP1.00024.001,CLBJ,2023
PARPAR_1min,PARMean,Arithmetic mean of photosynthetically active radiation,real,micromolesPerSquareMeterPerSecond,basic,*.##(round),NA,NA,DP1.00024.001,CPER,2024
PARPAR_1min,PARMinimum,Minimum photosynthetically active radiation,real,micromolesPerSquareMeterPerSecond,basic,*.##(round),NA,NA,DP1.00024.001,DCFS,
PARPAR_1min,PARMaximum,Maximum photosynthetically active radiation,real,micromolesPerSquareMeterPerSecond,basic,*.##(round),NA,NA,DP1.00024.001,DEJU,
PARPAR_1min,PARVariance,Variance in photosynthetically active radiation,real,micromolesPerSquareMeterPerSecondSquared,basic,*.##(round),NA,NA,DP1.00024.001,DELA,
PARPAR_1min,PARNumPts,Number of points used to calculate the arithmetic mean of photosynthetically active radiation,real,number,basic,integer,NA,NA,DP1.00024.001,DSNY,
PARPAR_1min,PARExpUncert,Expanded uncertainty for photosynthetically active radiation,real,micromolesPerSquareMeterPerSecond,basic,*.##(round),NA,NA,DP1.00024.001,GRSM,
PARPAR_1min,PARStdErMean,Standard error of the mean for photosynthetically active radiation,real,micromolesPerSquareMeterPerSecond,basic,*.##(round),NA,NA,DP1.00024.001,GUAN,
PARPAR_1min,PARRangeFailQM,"Photosynthetically active radiation quality metric that summarizes the failed outcomes of the range test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA,DP1.00024.001,HARV,
PARPAR_1min,PARRangePassQM,"Photosynthetically active radiation quality metric that summarizes the passed outcomes of the range test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA,DP1.00024.001,HEAL,
PARPAR_1min,PARRangeNAQM,"Photosynthetically active radiation quality metric that summarizes when the range test could not be run over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA,DP1.00024.001,JERC,
PARPAR_1min,PARPersistenceFailQM,"Photosynthetically active radiation quality metric that summarizes  the failed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA,DP1.00024.001,JORN,
PARPAR_1min,PARPersistencePassQM,"Photosynthetically active radiation quality metric that summarizes the passed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA,DP1.00024.001,KONA,
PARPAR_1min,PARPersistenceNAQM,"Photosynthetically active radiation quality metric that summarizes when the persistence test could not be run over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA,DP1.00024.001,KONZ,
PARPAR_1min,PARStepFailQM,"Photosynthetically active radiation quality metric that summarizes the failed outcomes of the step test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA,DP1.00024.001,LAJA,
PARPAR_1min,PARStepPassQM,"Photosynthetically active radiation quality metric that summarizes the passed outcomes of the step test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA,DP1.00024.001,LENO,
PARPAR_1min,PARStepNAQM,"Photosynthetically active radiation quality metric that summarizes when the step test could not be run over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA,DP1.00024.001,MLBS,
