uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,ligninSampleID,ligninSampleBarcode,collectDate,analysisDate,analyticalRepNumber,dryMass,ligninPercent,cellulosePercent,measurementQF,accuracyQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
36480d04-cc6b-4331-8ca2-a05139251107,BARR_051.basePlot.cfc,D18,BARR,BARR_051,tower,TN1TQAl40/vcB2Ec91NqfJVubm+7apHMGohFPYedunA=,A00000349373,TN1TQAl40/vcB2Ec91NqfJVubm+7apHMvq1eGTQZCuM=,A00000349896,2022-07-25T18:58:00Z,2022-12-16,1,0.485,5.05,21.5,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T160122Z,RELEASE-2026,DP1.10026.001,BARR,2022,cfc_lignin
67081f17-0e65-412c-a292-40e4f3321bbd,BARR_053.basePlot.cfc,D18,BARR,BARR_053,tower,TN1TQAl40/t21cP1BVrMyXRY7cVaXOQWsXydI3J/3Jg=,A00000349360,TN1TQAl40/t21cP1BVrMyXRY7cVaXOQW3bs82FBEkbQ=,A00000349887,2022-07-25T19:51:00Z,2022-12-16,1,0.467,5.26,26.19,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T160122Z,RELEASE-2026,DP1.10026.001,BARR,2022,cfc_lignin
7fc25bd8-c5d0-4ce5-8894-b56a7bd32543,BARR_052.basePlot.cfc,D18,BARR,BARR_052,tower,TN1TQAl40/uXOsNBlNapeJzoQd69lZ9O5aycK4QqKCE=,A00000349309,TN1TQAl40/uXOsNBlNapeJzoQd69lZ9OVxQ5/Y4pfW8=,A00000349916,2022-07-25T21:08:00Z,2022-12-16,1,0.493,3.42,21.24,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T160122Z,RELEASE-2026,DP1.10026.001,BARR,2022,cfc_lignin
145d5e86-e2d5-41e3-bf71-49fbf73448d4,BARR_054.basePlot.cfc,D18,BARR,BARR_054,tower,TN1TQAl40/vZeRSBmDuJklpjLtn71qk6KsOFQV8ykAo=,A00000349342,TN1TQAl40/vZeRSBmDuJklpjLtn71qk6Vg2fwqb5Ets=,A00000349892,2022-07-25T22:04:00Z,2022-12-16,1,0.483,3.18,22.52,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T160122Z,RELEASE-2026,DP1.10026.001,BARR,2022,cfc_lignin
eb0fbeea-05c0-475c-90ca-fa961218acb5,BARR_009.basePlot.cfc,D18,BARR,BARR_009,distributed,TN1TQAl40/uqpVfkODdhLAh1GqXaQyAdZjgD+nZvrVw=,A00000349357,TN1TQAl40/uqpVfkODdhLAh1GqXaQyAdiGjQtDV7ydA=,A00000349911,2022-07-25T22:36:00Z,2022-12-16,1,0.481,6.2,23.83,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T160122Z,RELEASE-2026,DP1.10026.001,BARR,2022,cfc_lignin
0fc8b51a-53c8-4164-9c1b-8450b53008c7,BARR_004.basePlot.cfc,D18,BARR,BARR_004,distributed,TN1TQAl40/tUlQ+Lfmu4AWrWc6Iv3GpIhvHRBMVnwCI=,A00000349358,TN1TQAl40/tUlQ+Lfmu4AWrWc6Iv3GpIPm6KU1T+9IY=,A00000349904,2022-07-26T18:16:00Z,2022-12-16,1,0.489,13.61,21.32,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T160122Z,RELEASE-2026,DP1.10026.001,BARR,2022,cfc_lignin
6524859b-7c62-4a34-8920-d52591c8bcee,BARR_016.basePlot.cfc,D18,BARR,BARR_016,distributed,TN1TQAl40/vGDEGwGaeW20XbFsp0mauRk6h8L2x2Gdg=,A00000349325,TN1TQAl40/vGDEGwGaeW20XbFsp0mauRbI7BJ9fvTe8=,A00000349996,2022-07-26T18:49:00Z,2022-12-16,1,0.46,4.11,24.79,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T160122Z,RELEASE-2026,DP1.10026.001,BARR,2022,cfc_lignin
6447ac3c-9527-444d-a282-44637f7e1486,BARR_001.basePlot.cfc,D18,BARR,BARR_001,distributed,TN1TQAl40/t4cMzFe84HKwWFXWd0bkey+iOGgGJBl0o=,A00000349375,TN1TQAl40/t4cMzFe84HKwWFXWd0bkeypaXYur4nv6Y=,A00000349910,2022-07-26T19:07:00Z,2022-12-16,1,0.496,2.63,29.12,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T160122Z,RELEASE-2026,DP1.10026.001,BARR,2022,cfc_lignin
17c704ec-9f1f-442b-932e-43291f8f98b9,BARR_017.basePlot.cfc,D18,BARR,BARR_017,distributed,TN1TQAl40/v5a6n6GQA9zFQbBMzjJeXD6foPJDvYJZE=,A00000349376,TN1TQAl40/v5a6n6GQA9zFQbBMzjJeXDBECDpzTH73I=,A00000350026,2022-07-26T19:48:00Z,2022-12-16,1,0.461,8.09,23.89,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T160122Z,RELEASE-2026,DP1.10026.001,BARR,2022,cfc_lignin
4e2f5ffe-f803-48de-baf8-6b2fa90301db,BARR_006.basePlot.cfc,D18,BARR,BARR_006,distributed,TN1TQAl40/vs6dka0vUsZZjqrIbY6rR7ov13X+8d2xU=,A00000349345,TN1TQAl40/vs6dka0vUsZZjqrIbY6rR72AVzKVyuTlk=,A00000349899,2022-07-26T20:14:00Z,2022-12-16,1,0.473,4.8,27.03,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T160122Z,RELEASE-2026,DP1.10026.001,BARR,2022,cfc_lignin
