uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,ligninSampleID,ligninSampleBarcode,collectDate,analysisDate,analyticalRepNumber,dryMass,ligninPercent,cellulosePercent,measurementQF,accuracyQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
ef242cd7-82e2-404c-b8b0-60aa879852cf,BLAN_031.basePlot.cfc,D02,BLAN,BLAN_031,tower,9bPqo9r3ZrMLlECH3r51rpuDDNxgCfYnWXZ2WVggK0g=,NA,9bPqo9r3ZrMLlECH3r51rpuDDNxgCfYnYh9Heoug0NI=,A00000162129,2020-08-17T13:37:00Z,2021-01-07,1,0.48,6.68,31.74,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154903Z,RELEASE-2026,DP1.10026.001,BLAN,2020,cfc_lignin
98539b18-8a20-4034-b3b0-4823bba74b17,BLAN_055.basePlot.cfc,D02,BLAN,BLAN_055,tower,9bPqo9r3ZrNX8vJey56QuUi0m54y7uQSF2Hnko2yMS0=,NA,9bPqo9r3ZrNX8vJey56QuUi0m54y7uQSoLZvNyVWH48=,A00000162020,2020-08-17T14:05:00Z,2021-01-07,1,0.471,7.05,9.17,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154903Z,RELEASE-2026,DP1.10026.001,BLAN,2020,cfc_lignin
ad1c4f95-cb10-4413-b57a-f0cbd1910088,BLAN_038.basePlot.cfc,D02,BLAN,BLAN_038,tower,9bPqo9r3ZrOuujdlsPoIq4EihTERhNJ6/UKTopMT/98=,NA,9bPqo9r3ZrOuujdlsPoIq4EihTERhNJ6gmnweT9Bf14=,A00000162141,2020-08-17T14:21:00Z,2021-01-07,1,0.49,5.06,29.02,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154903Z,RELEASE-2026,DP1.10026.001,BLAN,2020,cfc_lignin
c05085a7-a121-45d9-bf9c-c0d87832187f,BLAN_055.basePlot.cfc,D02,BLAN,BLAN_055,tower,9bPqo9r3ZrP/IYACrQCXJFUZanIvngSCUrocq1vSxvQ=,NA,9bPqo9r3ZrP/IYACrQCXJFUZanIvngSCtTRtEvfb7IC2fwQ83E1UUQ==,A00000162182,2020-08-17T15:16:00Z,2021-01-07,1,0.469,12.27,17.98,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154903Z,RELEASE-2026,DP1.10026.001,BLAN,2020,cfc_lignin
4e2e9300-8283-459a-aa00-175df6896097,BLAN_032.basePlot.cfc,D02,BLAN,BLAN_032,tower,9bPqo9r3ZrNNEzYCrLK71mIqtpxFH1DjRyJHEM+vNUk=,NA,9bPqo9r3ZrNNEzYCrLK71mIqtpxFH1Djl9uHhh4ROKE=,A00000162146,2020-08-17T15:23:00Z,2021-01-07,1,0.498,8.51,13.24,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154903Z,RELEASE-2026,DP1.10026.001,BLAN,2020,cfc_lignin
68b725da-37c2-4f22-97e3-7be18bc15dd8,BLAN_007.basePlot.cfc,D02,BLAN,BLAN_007,distributed,9bPqo9r3ZrOsn06XKPtJ1O0w+dNuMAVax80FA8RIrFk=,NA,9bPqo9r3ZrOsn06XKPtJ1O0w+dNuMAVaLeGwRDNLFjQ=,A00000162162,2020-08-17T16:15:00Z,2021-01-07,1,0.498,12.36,19.81,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154903Z,RELEASE-2026,DP1.10026.001,BLAN,2020,cfc_lignin
153e2b3c-5c61-4c6f-8b76-5971e4473b24,BLAN_004.basePlot.cfc,D02,BLAN,BLAN_004,distributed,9bPqo9r3ZrNKBQJ6HsoC4TGiO2QF5gZSIMK2YUcWTdY=,NA,9bPqo9r3ZrNKBQJ6HsoC4TGiO2QF5gZShcQi0HMJ+y0=,A00000162140,2020-08-17T17:07:00Z,2021-01-07,1,0.491,5.4,26.14,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154903Z,RELEASE-2026,DP1.10026.001,BLAN,2020,cfc_lignin
18cded2c-4815-4bdd-8f0a-a2b95765b82c,BLAN_057.basePlot.cfc,D02,BLAN,BLAN_057,tower,9bPqo9r3ZrNBZGPowHLWA4CG0XmR9dOqYYGox6S95Og=,NA,9bPqo9r3ZrNBZGPowHLWA4CG0XmR9dOqeFTdBBftsl8=,A00000162132,2020-08-17T17:27:00Z,2021-01-07,1,0.492,5.21,8.93,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154903Z,RELEASE-2026,DP1.10026.001,BLAN,2020,cfc_lignin
c283c216-47b8-42c8-89c2-fc2fb3197b67,BLAN_017.basePlot.cfc,D02,BLAN,BLAN_017,distributed,9bPqo9r3ZrOJJg0At4sPvXNcGU2Ut1rG5uPQwEei5FE=,NA,9bPqo9r3ZrOJJg0At4sPvXNcGU2Ut1rGp1T42L/kg3dwvOjQ35HtvQ==,A00000162147,2020-08-17T17:46:00Z,2021-01-07,1,0.488,9.06,16.25,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154903Z,RELEASE-2026,DP1.10026.001,BLAN,2020,cfc_lignin
9ed7e3db-66b4-4684-b3b6-093e9cd57b43,BLAN_003.basePlot.cfc,D02,BLAN,BLAN_003,distributed,9bPqo9r3ZrPVekffnzp8zQJqybz5Src1qoUuM2P/8ds=,NA,9bPqo9r3ZrPVekffnzp8zQJqybz5Src14XAbOl+Ii4k=,A00000162168,2020-08-17T17:57:00Z,2021-01-07,1,0.481,3.56,25.51,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154903Z,RELEASE-2026,DP1.10026.001,BLAN,2020,cfc_lignin
