uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,ligninSampleID,ligninSampleBarcode,collectDate,analysisDate,analyticalRepNumber,dryMass,ligninPercent,cellulosePercent,measurementQF,accuracyQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
df49a53b-146a-4e51-8bb3-f90d4c87ffbd,BONA_078.basePlot.cfc,D19,BONA,BONA_078,tower,7uHsYbyZiKalqTh4G1uVM4m31jpI7ckOz7E0jaeQeko=,A00000433192,7uHsYbyZiKalqTh4G1uVM4m31jpI7ckOtw1wSYPSD4UdaiI3xn9KMg==,A00000434432,2024-07-01T21:05:00Z,2025-01-15,1,0.459,12.63,11.15,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,Nxkz/TUp5W0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154432Z,RELEASE-2026,DP1.10026.001,BONA,2024,cfc_lignin
88dcfe2c-40c8-4089-a3cb-031693d8c314,BONA_078.basePlot.cfc,D19,BONA,BONA_078,tower,7uHsYbyZiKYSU8Njm34+iitW9aivSsz/qrU4IgP8S/E=,A00000431393,7uHsYbyZiKYSU8Njm34+iitW9aivSsz/JpEm3N1js7k=,A00000449375,2024-07-01T21:44:00Z,2025-01-15,1,0.462,13.39,18.06,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,Nxkz/TUp5W0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154432Z,RELEASE-2026,DP1.10026.001,BONA,2024,cfc_lignin
1e89d823-f5da-4ff4-84fb-807f47b1cbc9,BONA_078.basePlot.cfc,D19,BONA,BONA_078,tower,7uHsYbyZiKY4h3F+dxByhzi6dNk4nbKqrJmw0lwd5r0=,A00000433202,7uHsYbyZiKY4h3F+dxByhzi6dNk4nbKq1oLIIh76KFu77zMJMi3W+w==,A00000434420,2024-07-01T22:39:00Z,2025-01-15,1,0.49,9.46,11.8,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,Nxkz/TUp5W0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154432Z,RELEASE-2026,DP1.10026.001,BONA,2024,cfc_lignin
f762b40b-489f-40e0-8b81-f3dbc08640f4,BONA_078.basePlot.cfc,D19,BONA,BONA_078,tower,7uHsYbyZiKYr7TQAbt9qW3VC018h7iytDEy7VgJYx+Q=,A00000433211,7uHsYbyZiKYr7TQAbt9qW3VC018h7iyt5lUk9sGnvvjsv6jl/2PiCA==,A00000434423,2024-07-01T22:54:00Z,2025-01-15,1,0.463,9.37,13.73,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,Nxkz/TUp5W0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154432Z,RELEASE-2026,DP1.10026.001,BONA,2024,cfc_lignin
36691a05-cd2f-42a1-824a-919a0583daf1,BONA_071.basePlot.cfc,D19,BONA,BONA_071,tower,7uHsYbyZiKap6T02rgibOllO97bWfe5JywXYWhJd0p0=,A00000433199,7uHsYbyZiKap6T02rgibOllO97bWfe5JwwHl7Dgwg9o=,A00000434430,2024-07-02T19:09:00Z,2025-01-15,1,0.464,25.08,16.78,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,Nxkz/TUp5W0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154432Z,RELEASE-2026,DP1.10026.001,BONA,2024,cfc_lignin
be6a1a90-0eb7-4094-96e5-c238322dc3ac,BONA_093.basePlot.cfc,D19,BONA,BONA_093,tower,7uHsYbyZiKbJt6v1K4IZpeU/h8XoCj3vX537zmjCNUQ=,A00000433194,7uHsYbyZiKbJt6v1K4IZpeU/h8XoCj3vQe6mV9TP+/5yOPOSE+cCkg==,A00000434457,2024-07-02T20:37:00Z,2025-01-15,1,0.465,9.15,15.23,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,Nxkz/TUp5W0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154432Z,RELEASE-2026,DP1.10026.001,BONA,2024,cfc_lignin
b76dd069-c7d0-4723-92c0-d012a9ccefde,BONA_079.basePlot.cfc,D19,BONA,BONA_079,tower,7uHsYbyZiKaw/48UZtjqXqAQ1seDFZXMwrkSnKutYYU=,A00000433210,7uHsYbyZiKaw/48UZtjqXqAQ1seDFZXM9o0+Hzcl8ug=,A00000434417,2024-07-02T21:12:00Z,2025-01-15,1,0.46,16.67,17.93,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,Nxkz/TUp5W0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154432Z,RELEASE-2026,DP1.10026.001,BONA,2024,cfc_lignin
e04b7a65-99cf-408c-80cf-0fcd6b6b6397,BONA_072.basePlot.cfc,D19,BONA,BONA_072,tower,7uHsYbyZiKauBa90nzJ0UYBAxYoJdauiRCS4Ld9uC50=,A00000433208,7uHsYbyZiKauBa90nzJ0UYBAxYoJdauiUMy2K5iobLY=,A00000434429,2024-07-02T22:48:00Z,2025-01-15,1,0.462,15.68,18.74,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,Nxkz/TUp5W0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154432Z,RELEASE-2026,DP1.10026.001,BONA,2024,cfc_lignin
265d8fa8-255a-4154-ba95-123b299aa2c2,BONA_014.basePlot.cfc,D19,BONA,BONA_014,distributed,7uHsYbyZiKZb6ciJ6nNWnj8vZDk4MRMu44ZB1JyKU1A=,A00000433196,7uHsYbyZiKZb6ciJ6nNWnj8vZDk4MRMuIXbNWF0mcrNXD75t0wniOQ==,A00000449366,2024-07-03T20:29:00Z,2025-01-15,1,0.477,12.49,10.32,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,Nxkz/TUp5W0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154432Z,RELEASE-2026,DP1.10026.001,BONA,2024,cfc_lignin
480d048a-6fae-4645-9649-b69fa4f40c5d,BONA_014.basePlot.cfc,D19,BONA,BONA_014,distributed,7uHsYbyZiKaeW1KC9Svsz9lPGkHjtdytOwUmYedbWiI=,A00000431401,7uHsYbyZiKaeW1KC9Svsz9lPGkHjtdytb+3tiaqFFWM=,A00000449437,2024-07-03T21:00:00Z,2025-01-15,1,0.464,14.66,18.95,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,Nxkz/TUp5W0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154432Z,RELEASE-2026,DP1.10026.001,BONA,2024,cfc_lignin
