uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,ligninSampleID,ligninSampleBarcode,collectDate,analysisDate,analyticalRepNumber,dryMass,digestVolume,foliarPhosphorusConc,foliarPotassiumConc,foliarCalciumConc,foliarMagnesiumConc,foliarSulfurConc,foliarManganeseConc,foliarIronConc,foliarCopperConc,foliarBoronConc,foliarZincConc,foliarPhosphorusQF,foliarPotassiumQF,foliarCalciumQF,foliarMagnesiumQF,foliarSulfurQF,foliarManganeseQF,foliarIronQF,foliarCopperQF,foliarBoronQF,foliarZincQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
d72aa331-aaab-4496-94b6-b5ec47c2e339,DELA_018.basePlot.cfc,D08,DELA,DELA_018,distributed,Nc+HNMhlqfsnz6FNEIwdfsWmIUSpBr0OFgK8ecEB+NM=,NA,Nc+HNMhlqfsnz6FNEIwdfsWmIUSpBr0O+qil36lP2wSFUiDCEgZqWA==,A00000082829,2019-04-24T16:50:00Z,2019-08-07,1,0.193,25,0.22,1.068,1.551,0.386,0.197,1042,119.5,9.6,22.4,114.4,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,NA,20260106T154256Z,RELEASE-2026,DP1.10026.001,DELA,2019,cfc_elements
54ed0146-0bcf-4d61-b8a9-daccc31c1205,DELA_037.basePlot.cfc,D08,DELA,DELA_037,tower,Nc+HNMhlqfsAhFo00mW98DxiUETxOpi89aDGrmcTVb0=,A00000081974,Nc+HNMhlqfsAhFo00mW98DxiUETxOpi8hD3cXwI6aczj00i7j9A+9w==,A00000083320,2019-04-24T19:06:00Z,2019-08-07,1,0.198,25,0.269,1.111,0.565,0.245,0.178,1283,86,11.1,11.7,29.4,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,NA,20260106T154256Z,RELEASE-2026,DP1.10026.001,DELA,2019,cfc_elements
91f2f5cd-5839-4bc9-ab64-e5f4f7129888,DELA_037.basePlot.cfc,D08,DELA,DELA_037,tower,Nc+HNMhlqftqTy1u6ZC0mcDZhrM56GNreDrZYbTy18Q=,A00000081975,Nc+HNMhlqftqTy1u6ZC0mcDZhrM56GNrhp06r4iZsvE=,A00000082879,2019-04-24T19:10:00Z,2019-08-07,1,0.198,25,0.186,0.966,0.474,0.129,0.146,596.4,59.1,5.7,17.9,12.5,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,NA,20260106T154256Z,RELEASE-2026,DP1.10026.001,DELA,2019,cfc_elements
210ce8bc-7acd-4d89-8130-a814e3956360,DELA_037.basePlot.cfc,D08,DELA,DELA_037,tower,Nc+HNMhlqfu2Elvk5YKLrDGF+5Kf6lJrkxOdRsqUcU0=,A00000081976,Nc+HNMhlqfu2Elvk5YKLrDGF+5Kf6lJrWIO8hwkgX/g=,A00000082886,2019-04-24T19:12:00Z,2019-08-07,1,0.201,25,0.134,0.645,0.496,0.165,0.1,485.6,251.9,4.5,10,18,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,NA,20260106T154256Z,RELEASE-2026,DP1.10026.001,DELA,2019,cfc_elements
d5b038d9-e2a6-400c-bdd6-aa2cf298bc93,DELA_004.basePlot.cfc,D08,DELA,DELA_004,distributed,Nc+HNMhlqfuwkD7dmJPLXVLEmN2TKZvWpb+QskA6CnM=,A00000081977,Nc+HNMhlqfuwkD7dmJPLXVLEmN2TKZvW+erNO8Oy2gY=,A00000082878,2019-04-25T13:34:00Z,2019-08-07,1,0.197,25,0.391,1.621,0.735,0.248,0.264,33.5,58.3,36.9,17.6,29.9,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,NA,20260106T154256Z,RELEASE-2026,DP1.10026.001,DELA,2019,cfc_elements
51278255-938c-4a49-898c-a8a586791384,DELA_004.basePlot.cfc,D08,DELA,DELA_004,distributed,Nc+HNMhlqfvzzMmbGQYGYjjZ7SKMhcJn9al0s1bIq3w=,A00000081978,Nc+HNMhlqfvzzMmbGQYGYjjZ7SKMhcJnjucQnHpcjRI=,A00000082797,2019-04-25T14:04:00Z,2019-08-07,1,0.201,25,0.283,1.852,2.293,0.517,0.152,115.1,49.6,9.6,17,15.7,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,NA,20260106T154256Z,RELEASE-2026,DP1.10026.001,DELA,2019,cfc_elements
689dbd7b-fd59-4763-9167-4e9a70e1ceba,DELA_004.basePlot.cfc,D08,DELA,DELA_004,distributed,Nc+HNMhlqfs+NPALPvNDccCD7HI8gGqXY4qzY09MoN0=,A00000081979,Nc+HNMhlqfs+NPALPvNDccCD7HI8gGqX09MZg1wk65c=,A00000082831,2019-04-25T14:42:00Z,2019-08-07,1,0.197,25,0.226,0.944,0.487,0.161,0.15,699.7,42.5,8.8,16.4,29.9,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,NA,20260106T154256Z,RELEASE-2026,DP1.10026.001,DELA,2019,cfc_elements
be51d35c-8646-4608-bb1f-deb16b684347,DELA_004.basePlot.cfc,D08,DELA,DELA_004,distributed,Nc+HNMhlqfvzzMmbGQYGYoJDjOWFEkvLeaJudwc9lP0=,A00000081980,Nc+HNMhlqfvzzMmbGQYGYoJDjOWFEkvLbIvqnMsWu2s=,A00000083307,2019-04-25T15:06:00Z,2019-08-07,1,0.203,25,0.306,1.573,2.542,0.296,0.167,103.5,68.5,13.1,26.4,18.3,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,NA,20260106T154256Z,RELEASE-2026,DP1.10026.001,DELA,2019,cfc_elements
fa32cea6-db71-40e6-aa61-ce5352d21e9f,DELA_003.basePlot.cfc,D08,DELA,DELA_003,distributed,Nc+HNMhlqfsLn9TiKPIz/JUCNNrug2aPON8fLCjR+BE=,A00000081981,Nc+HNMhlqfsLn9TiKPIz/JUCNNrug2aPL5mPgjvZAdeDE9xdmp9SJg==,A00000082835,2019-04-25T15:59:00Z,2019-08-07,1,0.199,25,0.179,0.83,0.616,0.223,0.131,1542,48.4,7.8,7.2,29.4,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,NA,20260106T154256Z,RELEASE-2026,DP1.10026.001,DELA,2019,cfc_elements
10815bfc-11d8-4851-80fb-ecc4d7b44666,DELA_040.basePlot.cfc,D08,DELA,DELA_040,tower,Nc+HNMhlqfubEIJhrJbaDsb7yj31PY9MpO8+dN+5GkY=,A00000081982,Nc+HNMhlqfubEIJhrJbaDsb7yj31PY9M7RgBtjJzLGM=,A00000083322,2019-04-29T15:52:00Z,2019-08-07,1,0.204,25,0.401,1.419,0.778,0.288,0.295,93.5,463.2,29.9,13.4,42.2,OK,OK,OK,OK,OK,OK,sample value outlier - soil contamination,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,NA,20260106T154256Z,RELEASE-2026,DP1.10026.001,DELA,2019,cfc_elements
