uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,ligninSampleID,ligninSampleBarcode,collectDate,analysisDate,analyticalRepNumber,dryMass,digestVolume,foliarPhosphorusConc,foliarPotassiumConc,foliarCalciumConc,foliarMagnesiumConc,foliarSulfurConc,foliarManganeseConc,foliarIronConc,foliarCopperConc,foliarBoronConc,foliarZincConc,foliarPhosphorusQF,foliarPotassiumQF,foliarCalciumQF,foliarMagnesiumQF,foliarSulfurQF,foliarManganeseQF,foliarIronQF,foliarCopperQF,foliarBoronQF,foliarZincQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
0261bd34-97ba-4eed-a49d-f370a47477cc,DSNY_005.basePlot.cfc,D03,DSNY,DSNY_005,distributed,k7LBIL3J5m4UlkpFy9X43yYBk1WqrCC/dBTh/KLORR4=,A00000177527,k7LBIL3J5m4UlkpFy9X43yYBk1WqrCC/lboWAMIohPjWvyvQ1Rlfcw==,A00000178027,2023-04-18T12:06:00Z,2023-09-14,1,0.198,25,0.09,0.513,0.382,0.175,0.267,77.2,20.3,10,15.5,20.3,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154723Z,RELEASE-2026,DP1.10026.001,DSNY,2023,cfc_elements
1025c0f1-8aec-44f3-a447-00ec77b2f6a9,DSNY_005.basePlot.cfc,D03,DSNY,DSNY_005,distributed,k7LBIL3J5m72gzjTWdQed9H+rJhhpgNSflyGNc13X68=,A00000177491,k7LBIL3J5m72gzjTWdQed9H+rJhhpgNSpphl7JtTdQWBMphfeU7vTQ==,A00000178007,2023-04-18T12:06:00Z,2023-09-14,1,0.201,25,0.137,0.546,0.388,0.146,0.102,217.7,33.2,5.9,22.4,23.3,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154723Z,RELEASE-2026,DP1.10026.001,DSNY,2023,cfc_elements
b672e164-c812-4912-b029-72943505f0c6,DSNY_005.basePlot.cfc,D03,DSNY,DSNY_005,distributed,k7LBIL3J5m5gy9P5IK/X71z+XHP+jV7M7Zhj4AcWhWo=,A00000177539,k7LBIL3J5m5gy9P5IK/X71z+XHP+jV7MUJDqW2xcvKA=,A00000177994,2023-04-18T12:06:00Z,2023-09-14,1,0.201,25,0.123,0.61,0.593,0.2,0.099,202.8,40.8,8.6,18.6,22.1,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154723Z,RELEASE-2026,DP1.10026.001,DSNY,2023,cfc_elements
8395dacd-058d-429e-ab20-6286e96c4bde,DSNY_005.basePlot.cfc,D03,DSNY,DSNY_005,distributed,k7LBIL3J5m54AXR848q4EJpFbcJ0mFEfpOz4uTGXTZc=,A00000177475,k7LBIL3J5m54AXR848q4EJpFbcJ0mFEf6S/zDPdUI5M=,A00000178026,2023-04-18T12:06:00Z,2023-09-14,1,0.2,25,0.031,0.119,0.123,0.049,0.065,18,57.7,2.4,1.2,13.5,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154723Z,RELEASE-2026,DP1.10026.001,DSNY,2023,cfc_elements
84f56669-0871-49e7-bebd-73884890a8c8,DSNY_005.basePlot.cfc,D03,DSNY,DSNY_005,distributed,k7LBIL3J5m6tCJvyDzMVpfqVidkSJvmq8UFIOe5i9CI=,A00000177555,k7LBIL3J5m6tCJvyDzMVpfqVidkSJvmq5Hlf9XaUU6c=,A00000177641,2023-04-18T12:06:00Z,2023-09-14,1,0.197,25,0.113,0.848,0.423,0.232,0.101,117.4,35.8,7.6,11.9,24.8,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154723Z,RELEASE-2026,DP1.10026.001,DSNY,2023,cfc_elements
f69232cd-9228-4754-9cd2-1e8f1df4c389,DSNY_009.basePlot.cfc,D03,DSNY,DSNY_009,distributed,k7LBIL3J5m4BWrofqXwd100LrC/ukGaSDmqp1RuT8XE=,A00000177525,k7LBIL3J5m4BWrofqXwd100LrC/ukGaS8iUm7wjaOtn9tZosvlKPlw==,A00000177959,2023-04-18T14:57:00Z,2023-09-14,1,0.199,25,0.063,0.215,0.321,0.108,0.07,93.8,25.5,2.7,6.1,25.4,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154723Z,RELEASE-2026,DP1.10026.001,DSNY,2023,cfc_elements
883627a4-97e0-45c9-af75-fd3b186c65e5,DSNY_009.basePlot.cfc,D03,DSNY,DSNY_009,distributed,k7LBIL3J5m6YrsobBHq3Oo65Dg5LlhFSONuLWAc5Vss=,A00000177509,k7LBIL3J5m6YrsobBHq3Oo65Dg5LlhFSGf5v8JiioTo=,A00000177993,2023-04-18T14:57:00Z,2023-09-14,1,0.196,25,0.095,0.593,0.579,0.233,0.112,260.1,24.7,4.6,22.1,9.3,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154723Z,RELEASE-2026,DP1.10026.001,DSNY,2023,cfc_elements
dddd2428-8851-4f83-b7b1-800ff0426d90,DSNY_003.basePlot.cfc,D03,DSNY,DSNY_003,distributed,k7LBIL3J5m5a+0yIsYPsCJjKA9DaLg76gmql0IVz4Ec=,A00000177554,k7LBIL3J5m5a+0yIsYPsCJjKA9DaLg76j8wik9OrHzJaXV4fVbNZLA==,A00000177965,2023-04-18T16:22:00Z,2023-09-14,1,0.196,25,0.034,0.126,1.582,0.514,0.099,365.7,13.7,1.8,10.3,28.9,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154723Z,RELEASE-2026,DP1.10026.001,DSNY,2023,cfc_elements
8b075293-cec2-457d-a796-d4765479a8b3,DSNY_003.basePlot.cfc,D03,DSNY,DSNY_003,distributed,k7LBIL3J5m6/YattITbhGdagYbGiXWmShqj2c+vH0rk=,A00000177538,k7LBIL3J5m6/YattITbhGdagYbGiXWmSJfa1zVsoUiRUMY4CS5EglA==,A00000177977,2023-04-18T16:22:00Z,2023-09-14,1,0.2,25,0.064,0.235,0.185,0.303,0.129,5.6,17.6,2,4.6,5.4,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154723Z,RELEASE-2026,DP1.10026.001,DSNY,2023,cfc_elements
400da2e3-b02e-403e-888c-7f4a5bf81907,DSNY_003.basePlot.cfc,D03,DSNY,DSNY_003,distributed,k7LBIL3J5m5Kz03oDnJCcGNTqvLm3gZXk1Yw4lLqFco=,A00000177506,k7LBIL3J5m5Kz03oDnJCcGNTqvLm3gZXTQD5z+yUDdwSVlVraNomZg==,A00000178013,2023-04-18T16:22:00Z,2023-09-14,1,0.195,25,0.077,0.481,0.756,0.255,0.127,76.9,39.1,3.6,13.4,19.9,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154723Z,RELEASE-2026,DP1.10026.001,DSNY,2023,cfc_elements
