uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,collectDate,ovenStartDate,ovenEndDate,sampleCondition,cnSampleID,cnSampleCode,ligninSampleID,ligninSampleBarcode,archiveSampleID,archiveSampleCode,archiveMass,toxicodendronPossible,processedBy,remarks,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
1312b20d-4e04-4b23-8124-f4f72bf38f93,GRSM_048.basePlot.cfc,D07,GRSM,GRSM_048,tower,njZEDkTA4mijW335XiEJ8tWPswutJIZ/kmXfmg3mIB0=,A00000215451,2021-06-01T16:57:00Z,2021-06-04T16:53:00Z,2021-06-30T12:26:00Z,OK,njZEDkTA4mijW335XiEJ8tWPswutJIZ/HsRSHrCDHu0=,A00000215983,njZEDkTA4mijW335XiEJ8tWPswutJIZ/yqTe3cUR1dA=,A00000215985,njZEDkTA4mijW335XiEJ8tWPswutJIZ/03MNDMnKHFA=,A00000215984,2.8,NA,0000-0002-5456-2901,NA,NA,20260106T155616Z,RELEASE-2026,DP1.10026.001,GRSM,2021,cfc_chemistrySubsampling
84a4a1c8-a148-4b9c-a792-e9a3d29b0382,GRSM_048.basePlot.cfc,D07,GRSM,GRSM_048,tower,njZEDkTA4mhQZXVAoTr5scbWVtauAI6AU0Qj24YesFk=,A00000215435,2021-06-01T18:23:00Z,2021-06-04T16:56:00Z,2021-07-01T18:50:00Z,OK,njZEDkTA4mhQZXVAoTr5scbWVtauAI6ADgwjkqy5reE=,A00000216012,njZEDkTA4mhQZXVAoTr5scbWVtauAI6AyVkTRwG/4m4=,A00000216010,njZEDkTA4mhQZXVAoTr5scbWVtauAI6AqDsmCDYTYZs=,A00000216011,2.19,NA,0000-0003-1944-3584,NA,NA,20260106T155616Z,RELEASE-2026,DP1.10026.001,GRSM,2021,cfc_chemistrySubsampling
cd3448da-fc55-4fb7-9952-add099fa6abd,GRSM_048.basePlot.cfc,D07,GRSM,GRSM_048,tower,njZEDkTA4miYIxofffXqETUIYrxjg1cnd9WBmLhEhoY=,A00000215429,2021-06-01T19:12:00Z,2021-06-04T17:07:00Z,2021-06-30T12:59:00Z,OK,njZEDkTA4miYIxofffXqETUIYrxjg1cnFKhUTmBkEbI=,A00000215986,njZEDkTA4miYIxofffXqETUIYrxjg1cnYcQFvO2jBkA=,A00000215988,njZEDkTA4miYIxofffXqETUIYrxjg1cnx4BSmoTcJHU=,A00000215987,5.02,NA,0000-0002-5456-2901,NA,NA,20260106T155616Z,RELEASE-2026,DP1.10026.001,GRSM,2021,cfc_chemistrySubsampling
e31d2562-7d76-48b6-8821-97ce44568ca1,GRSM_001.basePlot.cfc,D07,GRSM,GRSM_001,distributed,njZEDkTA4mgKrVWgy5R0Y9r/6t0C4bWDnOn+qhQmCBo=,A00000215422,2021-06-02T11:32:00Z,2021-06-04T18:26:00Z,2021-07-01T15:13:00Z,OK,njZEDkTA4mgKrVWgy5R0Y9r/6t0C4bWDBLfQ82Z+E9k=,A00000216000,njZEDkTA4mgKrVWgy5R0Y9r/6t0C4bWDG7mIUx5R+XmauAtIJR8yHA==,A00000215998,njZEDkTA4mgKrVWgy5R0Y9r/6t0C4bWD/5bmmS7pgVY=,A00000215999,8.26,NA,0000-0002-5456-2901,NA,NA,20260106T155616Z,RELEASE-2026,DP1.10026.001,GRSM,2021,cfc_chemistrySubsampling
2b7b5f57-75c8-43ca-a713-deedef9912d0,GRSM_001.basePlot.cfc,D07,GRSM,GRSM_001,distributed,njZEDkTA4miibeQfPVi9RpIJ3mNCV6CuZT8uQWEyVcE=,A00000215431,2021-06-02T13:52:00Z,2021-06-04T17:44:00Z,2021-07-01T15:46:00Z,OK,njZEDkTA4miibeQfPVi9RpIJ3mNCV6CunZNBZSo6lo8=,A00000216001,njZEDkTA4miibeQfPVi9RpIJ3mNCV6CuElK0UrJZcwo=,A00000216003,njZEDkTA4miibeQfPVi9RpIJ3mNCV6Cu3Yy1Ckj/Un4=,A00000216002,2.73,NA,0000-0002-5456-2901,NA,NA,20260106T155616Z,RELEASE-2026,DP1.10026.001,GRSM,2021,cfc_chemistrySubsampling
ad6f9af3-a487-4d94-bffd-616e86e8da68,GRSM_001.basePlot.cfc,D07,GRSM,GRSM_001,distributed,njZEDkTA4mhsCFFRaj0x+LmAArSdnTDOXRv0PYuwkco=,A00000215430,2021-06-02T14:40:00Z,2021-06-04T17:31:00Z,2021-06-30T14:31:00Z,OK,njZEDkTA4mhsCFFRaj0x+LmAArSdnTDOVdvkDeNOWmM=,A00000215989,njZEDkTA4mhsCFFRaj0x+LmAArSdnTDOvVHKsV4IdOw=,A00000215991,njZEDkTA4mhsCFFRaj0x+LmAArSdnTDO//3Wy+z6GLY=,A00000215990,6.32,NA,0000-0002-5456-2901,NA,NA,20260106T155616Z,RELEASE-2026,DP1.10026.001,GRSM,2021,cfc_chemistrySubsampling
bf4e676b-bb25-4d89-b56b-70c1f25d1c8d,GRSM_017.basePlot.cfc,D07,GRSM,GRSM_017,distributed,njZEDkTA4mh8viJOPvP8RKvuuP7/mPYNLJBUEBD9IUA=,A00000215432,2021-06-02T16:45:00Z,2021-06-04T17:54:00Z,2021-06-29T14:27:00Z,OK,njZEDkTA4mh8viJOPvP8RKvuuP7/mPYN5AalTlfKDlA=,A00000215967,njZEDkTA4mh8viJOPvP8RKvuuP7/mPYNRe+NhbhvCOE=,A00000215966,njZEDkTA4mh8viJOPvP8RKvuuP7/mPYNTqq++7ZfSrc=,A00000215965,3.66,NA,0000-0002-5456-2901,NA,NA,20260106T155616Z,RELEASE-2026,DP1.10026.001,GRSM,2021,cfc_chemistrySubsampling
94afd391-25ba-45b6-9f24-8185c65005bb,GRSM_017.basePlot.cfc,D07,GRSM,GRSM_017,distributed,njZEDkTA4mhEcUurIjlAW9d8doMN7PvZnOHu9u2ZpUE=,A00000215450,2021-06-02T17:12:00Z,2021-06-04T18:11:00Z,2021-06-29T16:43:00Z,OK,njZEDkTA4mhEcUurIjlAW9d8doMN7PvZ9sbvoQ4eGMY=,A00000215972,njZEDkTA4mhEcUurIjlAW9d8doMN7PvZ/swTiu/3ZkM=,A00000215971,njZEDkTA4mhEcUurIjlAW9d8doMN7PvZGXgn7jiXRZs=,A00000215973,2.05,NA,0000-0002-5456-2901,NA,NA,20260106T155616Z,RELEASE-2026,DP1.10026.001,GRSM,2021,cfc_chemistrySubsampling
c0f92646-8d1b-49ff-8d6d-6cadb7ee1ef1,GRSM_017.basePlot.cfc,D07,GRSM,GRSM_017,distributed,njZEDkTA4miLKr17kw0hQb0FqQPBh4WUU3XJPwnlvx0=,A00000215449,2021-06-02T18:32:00Z,2021-06-04T17:50:00Z,2021-06-30T11:56:00Z,OK,njZEDkTA4miLKr17kw0hQb0FqQPBh4WU04GndjeZz1Y=,A00000215982,njZEDkTA4miLKr17kw0hQb0FqQPBh4WUUtE6abAVexI=,A00000215981,njZEDkTA4miLKr17kw0hQb0FqQPBh4WUByl+unRQS10=,A00000215980,1.52,NA,0000-0003-1944-3584,NA,NA,20260106T155616Z,RELEASE-2026,DP1.10026.001,GRSM,2021,cfc_chemistrySubsampling
091796d8-d155-4384-a8dd-f18b11efb512,GRSM_019.basePlot.cfc,D07,GRSM,GRSM_019,distributed,njZEDkTA4mid97yfL+cYL9Sx+ZJ2XfKycopdwOboCyc=,A00000215434,2021-06-03T12:30:00Z,2021-06-04T18:34:00Z,2021-07-02T12:56:00Z,OK,njZEDkTA4mid97yfL+cYL9Sx+ZJ2XfKy7H4rIlkEFUM=,A00000216018,njZEDkTA4mid97yfL+cYL9Sx+ZJ2XfKyVCN/Fr9BpjIxdH2IDHwT8g==,A00000216016,njZEDkTA4mid97yfL+cYL9Sx+ZJ2XfKyMOWHojhZAT0=,A00000216017,5.28,NA,0000-0002-5456-2901,NA,NA,20260106T155616Z,RELEASE-2026,DP1.10026.001,GRSM,2021,cfc_chemistrySubsampling
