dpID,site,year,table
DP1.10026.001,GRSM,2021,categoricalCodes_10026
DP1.10026.001,GRSM,2021,cfc_carbonNitrogen
DP1.10026.001,GRSM,2021,cfc_chemistrySubsampling
DP1.10026.001,GRSM,2021,cfc_chlorophyll
DP1.10026.001,GRSM,2021,cfc_elements
DP1.10026.001,GRSM,2021,cfc_fieldData
DP1.10026.001,GRSM,2021,cfc_lignin
DP1.10026.001,GRSM,2021,cfc_LMA
DP1.10026.001,GRSM,2021,cfc_shapefile
DP1.10026.001,GRSM,2021,citation_10026_RELEASE-2026
DP1.10026.001,GRSM,2021,issueLog_10026
DP1.10026.001,GRSM,2021,readme_10026
DP1.10026.001,GRSM,2021,validation_10026
DP1.10026.001,GRSM,2021,variables_10026
