uid,namedLocation,domainID,siteID,plotType,sampleID,sampleCode,collectDate,lmaSampleID,lmaSampleCode,lmaSampleCondition,tissueDescriptor,scanDate,scannedBy,freshMass,ovenStartDate,ovenEndDate,dryMass,weighedBy,scannedLeafNumber,leafArea,percentGreen,leafMassPerArea,dryMassFraction,measuredBy,remarks,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
4ce472d2-1f1a-4721-a60a-f98d2a818873,HARV_001.basePlot.cfc,D01,HARV,distributed,AVQkM2txccffTtmrmjG0vfDOMRjlfEino/UfebNl8GE=,A00000155801,2024-08-06T13:31:00Z,AVQkM2txccffTtmrmjG0vfDOMRjlfEin3SzCIZOgZGo=,NA,OK,leaf,2024-08-07T12:38:00Z,0009-0003-2915-5006,3.565,2024-08-07T12:44:00Z,2024-08-19T19:46:00Z,1.63,0009-0003-0051-6402,3,14864,99,109.7,0.457,0000-0003-1933-3182,NA,NA,20260106T155201Z,RELEASE-2026,DP1.10026.001,HARV,2024,cfc_LMA
3332f52d-0be3-49fc-af07-6df2782a52b5,HARV_001.basePlot.cfc,D01,HARV,distributed,AVQkM2txccc1oGYEv/HvdrCNIOEe3HCGITYjFSF4xx8=,A00000155814,2024-08-06T13:31:00Z,AVQkM2txccc1oGYEv/HvdrCNIOEe3HCGmZ5BY7DqKLI=,NA,OK,leaf,2024-08-07T12:00:00Z,0009-0003-2915-5006,0.699,2024-08-07T12:16:00Z,2024-08-19T20:01:00Z,0.295,0009-0003-0051-6402,24,1875,100,157.3,0.422,0000-0003-1933-3182,NA,NA,20260106T155201Z,RELEASE-2026,DP1.10026.001,HARV,2024,cfc_LMA
b1ae7390-effa-4a3a-a34f-008bb926bf4c,HARV_027.basePlot.cfc,D01,HARV,distributed,AVQkM2txccfkVjvhTfbFmcvFIMu5FdZ2VUM9PzMl3wM=,A00000155781,2024-08-06T15:35:00Z,AVQkM2txccfkVjvhTfbFmcvFIMu5FdZ2+bcMsJIogTtd80TB31De+w==,A00000322324,other,leaf,2024-08-07T12:26:00Z,0009-0003-2915-5006,1.274,2024-08-07T12:33:00Z,2024-08-19T19:44:00Z,0.604,0009-0003-0051-6402,2,7745,95,78,0.474,0000-0003-1933-3182,Incomplete compound leaves. Missing petioles. Leaf number estimated from number of leaflets present. All scanned material included in mass.,NA,20260106T155201Z,RELEASE-2026,DP1.10026.001,HARV,2024,cfc_LMA
7cad467c-4edb-4fbd-8bb2-7f8d94c7e14b,HARV_027.basePlot.cfc,D01,HARV,distributed,AVQkM2txccdvOEmd2aZdezqtFdZYjKSr9t2ylk2srnc=,A00000155811,2024-08-06T15:35:00Z,AVQkM2txccdvOEmd2aZdezqtFdZYjKSrso5aAUMFpVk=,NA,OK,leaf,2024-08-07T15:27:00Z,0009-0003-2915-5006,0.474,2024-08-07T15:31:00Z,2024-08-19T20:04:00Z,0.208,0009-0003-0051-6402,19,1281,100,162.4,0.439,0000-0003-1933-3182,NA,NA,20260106T155201Z,RELEASE-2026,DP1.10026.001,HARV,2024,cfc_LMA
46c7ce61-778d-4801-90e9-503beed25a2a,HARV_027.basePlot.cfc,D01,HARV,distributed,AVQkM2txccfIL6eDWjUw97EFJNULId3kN0EsIA1pKCE=,A00000155780,2024-08-06T15:35:00Z,AVQkM2txccfIL6eDWjUw97EFJNULId3kZ0pdpt62sig=,NA,OK,leaf,2024-08-07T14:40:00Z,0009-0003-2915-5006,0.244,2024-08-07T14:43:00Z,2024-08-19T19:48:00Z,0.121,0009-0003-0051-6402,1,1260,100,96,0.496,0000-0003-1933-3182,Small sample,NA,20260106T155201Z,RELEASE-2026,DP1.10026.001,HARV,2024,cfc_LMA
e3c69999-3192-4cb8-9c73-30d47119ccc3,HARV_004.basePlot.cfc,D01,HARV,distributed,AVQkM2txcccSmS/+trysXwecGu6mMY1bnxOs/EAAEAk=,A00000155826,2024-08-06T16:51:00Z,AVQkM2txcccSmS/+trysXwecGu6mMY1brbOzUoIUJWk=,NA,OK,leaf,2024-08-07T20:08:00Z,0009-0003-2915-5006,0.545,2024-08-07T20:11:00Z,2024-08-19T20:03:00Z,0.284,0009-0003-0051-6402,1,2431,97,116.8,0.521,0000-0003-1933-3182,NA,NA,20260106T155201Z,RELEASE-2026,DP1.10026.001,HARV,2024,cfc_LMA
7075a897-70eb-4ac5-9532-b3368a715f28,HARV_004.basePlot.cfc,D01,HARV,distributed,AVQkM2txccfoJDNLYOYIVdDG/GnkwhoIA9QSRYEaNAE=,A00000155845,2024-08-06T16:51:00Z,AVQkM2txccfoJDNLYOYIVdDG/GnkwhoI4a0zC1K1lGY=,A00000322061,OK,leaf,2024-08-07T13:10:00Z,0009-0003-2915-5006,2.296,2024-08-07T13:14:00Z,2024-08-19T19:50:00Z,1.115,0009-0003-0051-6402,5,10191,95,109.4,0.486,0000-0003-1933-3182,NA,NA,20260106T155201Z,RELEASE-2026,DP1.10026.001,HARV,2024,cfc_LMA
a24b00fc-2901-46f6-985c-0d409beadbbc,HARV_004.basePlot.cfc,D01,HARV,distributed,AVQkM2txccfr8sOhlxEHY3JfRtCVNjZ3IdeottfRxaA=,A00000155803,2024-08-06T16:51:00Z,AVQkM2txccfr8sOhlxEHY3JfRtCVNjZ3njbRGtLix/78QiaLCfVsUg==,A00000322045,other,leaf,2024-08-07T12:49:00Z,0009-0003-2915-5006,1.768,2024-08-07T12:55:00Z,2024-08-19T19:57:00Z,0.883,0009-0003-0051-6402,1,9496,95,93,0.499,0000-0003-1933-3182,Petiole missing from compound leaf.,NA,20260106T155201Z,RELEASE-2026,DP1.10026.001,HARV,2024,cfc_LMA
b9d88b1d-2071-4c97-a233-3c1287dbf706,HARV_004.basePlot.cfc,D01,HARV,distributed,AVQkM2txccf9OgFuQ8NnGyPpNTxMsRzZeijqng91/1I=,A00000155808,2024-08-06T16:51:00Z,AVQkM2txccf9OgFuQ8NnGyPpNTxMsRzZzqU/MtJh7hShjsE+EgWlpw==,NA,OK,leaf,2024-08-07T15:03:00Z,0009-0003-2915-5006,2.591,2024-08-07T15:13:00Z,2024-08-19T19:51:00Z,1.311,0009-0003-0051-6402,3,13296,100,98.6,0.506,0000-0003-1933-3182,NA,NA,20260106T155201Z,RELEASE-2026,DP1.10026.001,HARV,2024,cfc_LMA
20e4bfa3-4a9c-4526-90c9-15571ec2e5fb,HARV_041.basePlot.cfc,D01,HARV,tower,AVQkM2txccfc9reV/b4oD9TaHc92h4HdZlv1of3x1+M=,A00000155802,2024-08-06T20:29:00Z,AVQkM2txccfc9reV/b4oD9TaHc92h4HddJcU3oDHkjc=,NA,OK,leaf,2024-08-07T14:19:00Z,0009-0003-2915-5006,0.195,2024-08-07T14:29:00Z,2024-08-19T20:05:00Z,0.091,0009-0003-0051-6402,41,602,100,151.2,0.467,0000-0003-1933-3182,NA,NA,20260106T155201Z,RELEASE-2026,DP1.10026.001,HARV,2024,cfc_LMA
