uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,ligninSampleID,ligninSampleBarcode,collectDate,analysisDate,analyticalRepNumber,dryMass,ligninPercent,cellulosePercent,measurementQF,accuracyQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
ce4f480c-643b-434c-abaf-f18567e59539,ORNL_043.basePlot.cfc,D07,ORNL,ORNL_043,tower,vOIarzMvGlh3Hzsug9qHL3iEsZLy1zirwwq0BdFzNSk=,A00000220130,vOIarzMvGlh3Hzsug9qHL3iEsZLy1zir6DfWX8K9lxA=,A00000220709,2022-06-01T12:58:00Z,2022-09-02,1,0.48,17.41,17.2,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154957Z,RELEASE-2026,DP1.10026.001,ORNL,2022,cfc_lignin
4ad37ff6-c46a-4586-99c8-239ebf83b183,ORNL_043.basePlot.cfc,D07,ORNL,ORNL_043,tower,vOIarzMvGliaklg0KdNYHnrHd19E82GISx1cikyW0j0=,A00000220141,vOIarzMvGliaklg0KdNYHnrHd19E82GIPNrV4D7l2MxoAJV5EXbMyQ==,A00000220689,2022-06-01T13:41:00Z,2022-09-02,1,0.485,16.5,17.89,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154957Z,RELEASE-2026,DP1.10026.001,ORNL,2022,cfc_lignin
a689b2ae-7a77-41d6-a64d-a206d32076ac,ORNL_043.basePlot.cfc,D07,ORNL,ORNL_043,tower,vOIarzMvGljo3+GmDgJoKeb9x17o6Tfg7WOIrvb/Cjs=,A00000220146,vOIarzMvGljo3+GmDgJoKeb9x17o6TfgsJFgdb54DrMm6IluYkI3AA==,A00000220758,2022-06-01T14:07:00Z,2022-09-02,1,0.497,12.83,13.06,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154957Z,RELEASE-2026,DP1.10026.001,ORNL,2022,cfc_lignin
cf155d5b-2be4-4e61-a767-03f9b4033ac8,ORNL_043.basePlot.cfc,D07,ORNL,ORNL_043,tower,vOIarzMvGli8wy0iTzSZCBfk7ROKTUjE6eRVmdZUU1w=,A00000220127,vOIarzMvGli8wy0iTzSZCBfk7ROKTUjEPxwIyN85Mno=,A00000220726,2022-06-01T14:50:00Z,2022-09-02,1,0.491,22.12,14.98,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154957Z,RELEASE-2026,DP1.10026.001,ORNL,2022,cfc_lignin
a788d588-d4ab-4c54-87d7-2c33322565a2,ORNL_053.basePlot.cfc,D07,ORNL,ORNL_053,tower,vOIarzMvGli/jyfR0JsN+LknXyvDq35LUwJAbqf98c4=,A00000220125,vOIarzMvGli/jyfR0JsN+LknXyvDq35LQNSJnwQ17m0=,A00000220724,2022-06-01T15:34:00Z,2022-09-02,1,0.474,18.32,15.78,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154957Z,RELEASE-2026,DP1.10026.001,ORNL,2022,cfc_lignin
deb88145-c8cd-4a88-a9cf-ef4411c03472,ORNL_053.basePlot.cfc,D07,ORNL,ORNL_053,tower,vOIarzMvGlhFIwL/RDHCiB4avc+YzRvMaimvIRuggDM=,A00000220126,vOIarzMvGlhFIwL/RDHCiB4avc+YzRvMWRidcxKD6FnSSsw5Kx5INQ==,A00000220694,2022-06-01T16:30:00Z,2022-09-02,1,0.474,9.19,18.84,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154957Z,RELEASE-2026,DP1.10026.001,ORNL,2022,cfc_lignin
b7cc2ddc-92b2-443f-bca1-1c1df9dc4391,ORNL_053.basePlot.cfc,D07,ORNL,ORNL_053,tower,vOIarzMvGlguDTlXxzvukQUySVaJ2kWp9CFRpZW4i6Q=,A00000220129,vOIarzMvGlguDTlXxzvukQUySVaJ2kWpBLF2+jAl9nE=,A00000220705,2022-06-01T17:42:00Z,2022-09-02,1,0.47,17.71,16.42,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154957Z,RELEASE-2026,DP1.10026.001,ORNL,2022,cfc_lignin
a122f362-e96a-43cd-9a45-f8198168d849,ORNL_053.basePlot.cfc,D07,ORNL,ORNL_053,tower,vOIarzMvGliqgT8LShYcl4ClfcktpE/R2PJsPSOwYn0=,A00000220128,vOIarzMvGliqgT8LShYcl4ClfcktpE/RzT4fBmI0hpY=,A00000220923,2022-06-01T18:36:00Z,2022-09-02,1,0.502,17.97,14.63,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154957Z,RELEASE-2026,DP1.10026.001,ORNL,2022,cfc_lignin
a85ccd04-5127-4372-be9f-c5c7951f81e4,ORNL_014.basePlot.cfc,D07,ORNL,ORNL_014,distributed,vOIarzMvGljWFpaFOl016AQec+vsbdF0FMCvR7xTnJE=,A00000220135,vOIarzMvGljWFpaFOl016AQec+vsbdF0yIQhVdVd1pSLUQDJvIxsSA==,A00000220743,2022-06-02T12:19:00Z,2022-09-02,1,0.491,14.07,23.05,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154957Z,RELEASE-2026,DP1.10026.001,ORNL,2022,cfc_lignin
4380c345-9ea4-4d8b-809d-af460af0739e,ORNL_014.basePlot.cfc,D07,ORNL,ORNL_014,distributed,vOIarzMvGlhMr1pncaeDzYb2gaijLmyGfWIEy1d6EYw=,A00000220134,vOIarzMvGlhMr1pncaeDzYb2gaijLmyGoZeZVzGmLNQ=,A00000220721,2022-06-02T13:00:00Z,2022-09-02,1,0.496,9.51,11.35,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154957Z,RELEASE-2026,DP1.10026.001,ORNL,2022,cfc_lignin
1a349d46-8e18-4b3d-ac19-dfa129ebcfe3,ORNL_045.basePlot.cfc,D07,ORNL,ORNL_045,tower,vOIarzMvGliGmNHYlK13AozVFpoJb+rp3IvukNuLdcQ=,A00000220131,vOIarzMvGliGmNHYlK13AozVFpoJb+rpPFNKo8acd7JE/8t777IAPA==,A00000220719,2022-06-02T16:21:00Z,2022-09-02,1,0.482,12.04,16.08,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154957Z,RELEASE-2026,DP1.10026.001,ORNL,2022,cfc_lignin
ce87743b-73e1-47c6-9cf3-cf901901959b,ORNL_045.basePlot.cfc,D07,ORNL,ORNL_045,tower,vOIarzMvGlgsHGakFJoUutwvfJOhHErGpG99MOemOJY=,A00000220133,vOIarzMvGlgsHGakFJoUutwvfJOhHErGqxa5ZA9RNIM=,A00000220734,2022-06-02T18:02:00Z,2022-09-02,1,0.485,16.86,15.09,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154957Z,RELEASE-2026,DP1.10026.001,ORNL,2022,cfc_lignin
59ea8a47-203b-405f-952b-913421718b9d,ORNL_060.basePlot.cfc,D07,ORNL,ORNL_060,tower,vOIarzMvGlgDIb5L94Yo+9kBizf4ylmxVZbzfVUws8o=,A00000220132,vOIarzMvGlgDIb5L94Yo+9kBizf4ylmx+ENkrMthTHk=,A00000220749,2022-06-07T12:59:00Z,2022-09-02,1,0.474,19.11,17.41,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154957Z,RELEASE-2026,DP1.10026.001,ORNL,2022,cfc_lignin
d688f78c-4179-4c2c-a156-3b77124e8296,ORNL_060.basePlot.cfc,D07,ORNL,ORNL_060,tower,vOIarzMvGlg1iweAto6b7vC6/Twh2Lo/8KPu0W6upcA=,A00000220136,vOIarzMvGlg1iweAto6b7vC6/Twh2Lo/oDrNBZ02GmHeRF+MBOUBBQ==,A00000220755,2022-06-07T14:28:00Z,2022-09-02,1,0.497,9.91,15.01,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154957Z,RELEASE-2026,DP1.10026.001,ORNL,2022,cfc_lignin
d773ee8e-62ad-4ed5-afbe-5c8bd751c44f,ORNL_002.basePlot.cfc,D07,ORNL,ORNL_002,distributed,vOIarzMvGlh7NBdJ8CKuDAmt7sOBvVvwlPVkuc8/B50=,A00000220137,vOIarzMvGlh7NBdJ8CKuDAmt7sOBvVvwPJJT+7E4ujQ=,A00000220738,2022-06-07T16:51:00Z,2022-09-02,1,0.497,10,13.92,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154957Z,RELEASE-2026,DP1.10026.001,ORNL,2022,cfc_lignin
3cb48ad2-0a78-4fcc-9348-3b8eaa9d3436,ORNL_002.basePlot.cfc,D07,ORNL,ORNL_002,distributed,vOIarzMvGlieMp1k4SFbjEtHda6MZBtIEPj82xun31g=,A00000220138,vOIarzMvGlieMp1k4SFbjEtHda6MZBtI9AmaHhPcA1M=,A00000220751,2022-06-07T18:11:00Z,2022-09-02,1,0.488,19.65,25.55,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154957Z,RELEASE-2026,DP1.10026.001,ORNL,2022,cfc_lignin
