uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,collectDate,aopCollectDate,samplingImpractical,subplotID,sampleType,samplingMethod,sampleID,sampleCode,sampleCondition,chlorophyllSampleID,chlorophyllSampleCode,chlorophyllSamplePrepMethod,chlorophyllSampleCondition,clipCellNumber,clipID,clipLength,clipWidth,percentCoverClip,toxicodendronPossible,vstTag,tagID,individualID,taxonID,scientificName,plantStatus,canopyStatus,canopyPosition,leafSamplePosition,subsample1Height,subsample2Height,subsample3Height,crownPolygonID,crownPolygonConfidence,previousPolygon,shapefileID,collectedBy,recordedBy,remarks,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
76a5f32f-31a2-4ee1-9553-d9e431733169,SCBI_021.basePlot.cfc,D02,SCBI,SCBI_021,distributed,deciduousForest,WGS84,38.900853,-78.15288,20.1,318.1,0.13,NEON.DOC.001024vJ,2022-05-16T13:58:00Z,2022-05-30,OK,NA,Woody individual,UAS,HvxvVDlCk197/huPlO1cMDWY1a2IsxYUiXt7hcU3rQc=,A00000168656,OK,HvxvVDlCk197/huPlO1cMDWY1a2IsxYUlGX7b080QKTIeAFMOkG6hw==,B00000138085,NA,OK,NA,NA,NA,NA,NA,NA,Y,14192,NEON.PLA.D02.SCBI.14192,PRSES,Prunus serotina Ehrh. var. serotina,Leaves not fully expanded,true canopy,Full sun,NA,16.6,15,NA,SCBI.14192.2022,high,NA,SCBI-2022-polygons,0000-0003-1337-5330,0000-0002-6053-9222,Some Vitis infestation in canopy,NA,20260106T155634Z,RELEASE-2026,DP1.10026.001,SCBI,2022,cfc_fieldData
bf996001-0f49-4224-83a5-6cdbeebdc098,SCBI_021.basePlot.cfc,D02,SCBI,SCBI_021,distributed,deciduousForest,WGS84,38.900853,-78.15288,20.1,318.1,0.13,NEON.DOC.001024vJ,2022-05-16T14:32:00Z,2022-05-30,OK,NA,Woody individual,UAS,HvxvVDlCk19M2tdxCE0fXrFTGHH7hRuDcULpnFCsz4Q=,A00000168647,OK,HvxvVDlCk19M2tdxCE0fXrFTGHH7hRuDLEjLA7R4lf4=,B00000138083,NA,OK,NA,NA,NA,NA,NA,NA,Y,14441,NEON.PLA.D02.SCBI.14441,ROPS,Robinia pseudoacacia L.,Leaves not fully expanded,true canopy,Partially shaded,NA,14.1,NA,NA,SCBI.14441.2022,high,NA,SCBI-2022-polygons,0000-0003-1337-5330,0000-0002-6053-9222,NA,NA,20260106T155634Z,RELEASE-2026,DP1.10026.001,SCBI,2022,cfc_fieldData
591140ce-5b72-46dc-975b-432d38106c03,SCBI_016.basePlot.cfc,D02,SCBI,SCBI_016,distributed,deciduousForest,WGS84,38.904234,-78.158647,20.2,257.8,0.24,NEON.DOC.001024vJ,2022-05-17T12:24:00Z,2022-05-30,OK,NA,Woody individual,UAS,HvxvVDlCk18UXbCpwxdgB0z/LeyHtt4LsAH7YJ8TEbg=,A00000168648,OK,HvxvVDlCk18UXbCpwxdgB0z/LeyHtt4LIPFTWSxJSLU=,B00000138082,NA,OK,NA,NA,NA,NA,NA,NA,Y,02041,NEON.PLA.D02.SCBI.02041,ACRU,Acer rubrum L.,Leaves not fully expanded,true canopy,Partially shaded,NA,18,NA,NA,SCBI.02041.2022,high,NA,SCBI-2022-polygons,0000-0003-1337-5330,0000-0002-5247-174X,NA,NA,20260106T155634Z,RELEASE-2026,DP1.10026.001,SCBI,2022,cfc_fieldData
f5d27501-2836-4aea-9ad8-b3bffa2bb6c5,SCBI_016.basePlot.cfc,D02,SCBI,SCBI_016,distributed,deciduousForest,WGS84,38.904234,-78.158647,20.2,257.8,0.24,NEON.DOC.001024vJ,2022-05-17T13:24:00Z,2022-05-30,OK,NA,Woody individual,UAS,HvxvVDlCk1++9boZqlFMa+uB311PEiue0MlKmLUwiuY=,A00000168637,OK,HvxvVDlCk1++9boZqlFMa+uB311PEiueVTZApPA8t5Y=,B00000138067,NA,OK,NA,NA,NA,NA,NA,NA,N,14503Z,NEON.PLA.D02.SCBI.14503Z,LITU,Liriodendron tulipifera L.,Leaves not fully expanded,true canopy,Full sun,NA,29.4,NA,NA,SCBI.14503Z.2022,high,NA,SCBI-2022-polygons,0000-0003-1337-5330,0000-0002-5247-174X,NA,NA,20260106T155634Z,RELEASE-2026,DP1.10026.001,SCBI,2022,cfc_fieldData
93c15793-4a7a-4115-9e52-c3371d1c8694,SCBI_016.basePlot.cfc,D02,SCBI,SCBI_016,distributed,deciduousForest,WGS84,38.904234,-78.158647,20.2,257.8,0.24,NEON.DOC.001024vJ,2022-05-17T13:29:00Z,2022-05-30,OK,NA,Woody individual,UAS,HvxvVDlCk1/QC9PdvXnPseiksV0D8wB6m/v+x7j21us=,A00000168639,OK,HvxvVDlCk1/QC9PdvXnPseiksV0D8wB69FPQqUkBi3wxbNYhh2KKGw==,B00000138069,NA,OK,NA,NA,NA,NA,NA,NA,Y,02036,NEON.PLA.D02.SCBI.02036,SAAL5,Sassafras albidum (Nutt.) Nees,Leaves not fully expanded,true canopy,Partially shaded,NA,13.1,NA,NA,SCBI.02036.2022,medium,NA,SCBI-2022-polygons,0000-0003-1337-5330,0000-0002-5247-174X,NA,NA,20260106T155634Z,RELEASE-2026,DP1.10026.001,SCBI,2022,cfc_fieldData
3f46dc16-f5c5-4b28-b579-8250b71d7484,SCBI_016.basePlot.cfc,D02,SCBI,SCBI_016,distributed,deciduousForest,WGS84,38.904234,-78.158647,20.2,257.8,0.24,NEON.DOC.001024vJ,2022-05-17T13:45:00Z,2022-05-30,OK,NA,Woody individual,UAS,HvxvVDlCk1+Sue0zwn7n6uNbJNFdQ+aDDiBct6vD7HY=,A00000168640,OK,HvxvVDlCk1+Sue0zwn7n6uNbJNFdQ+aDKDSwyhf4At2bu3DMHAZCzg==,B00000138070,NA,OK,NA,NA,NA,NA,NA,NA,Y,02026,NEON.PLA.D02.SCBI.02026,PIVI2,Pinus virginiana Mill.,Leaves not fully expanded,true canopy,Full sun,NA,23.8,NA,NA,SCBI.02026.2022,high,NA,SCBI-2022-polygons,0000-0003-1337-5330,0000-0002-5247-174X,NA,NA,20260106T155634Z,RELEASE-2026,DP1.10026.001,SCBI,2022,cfc_fieldData
37e4aa59-a082-49db-95f7-332da3dcf6a3,SCBI_005.basePlot.cfc,D02,SCBI,SCBI_005,distributed,deciduousForest,WGS84,38.900538,-78.16186,20.2,270.7,0.25,NEON.DOC.001024vJ,2022-05-17T18:54:00Z,2022-05-30,OK,NA,Woody individual,UAS,HvxvVDlCk1+PJvxtOAh+kigUp20ZCeZaNf6zlqRdpQM=,A00000168652,OK,HvxvVDlCk1+PJvxtOAh+kigUp20ZCeZa12YQVITz3Uc=,B00000138095,NA,OK,NA,NA,NA,NA,NA,NA,N,13003,NEON.PLA.D02.SCBI.13003,LITU,Liriodendron tulipifera L.,Leaves not fully expanded,true canopy,Full sun,NA,25.9,NA,NA,SCBI.13003.2022,high,NA,SCBI-2022-polygons,0000-0003-1337-5330,0000-0002-2772-6536,NA,NA,20260106T155634Z,RELEASE-2026,DP1.10026.001,SCBI,2022,cfc_fieldData
b27a2f04-87fc-432a-aa16-51a8fc65acdf,SCBI_005.basePlot.cfc,D02,SCBI,SCBI_005,distributed,deciduousForest,WGS84,38.900538,-78.16186,20.2,270.7,0.25,NEON.DOC.001024vJ,2022-05-17T19:20:00Z,2022-05-30,OK,NA,Woody individual,clippers,HvxvVDlCk1+QOKu04rTl9G4h5i8Fhd0rE7caFJpXYuA=,A00000168650,OK,HvxvVDlCk1+QOKu04rTl9G4h5i8Fhd0rbVTGIUHV4+s=,B00000138080,NA,OK,NA,NA,NA,NA,NA,NA,N,14501Z,NEON.PLA.D02.SCBI.14501Z,BETH,Berberis thunbergii DC.,OK,sunlit gap,Partially shaded,NA,2,NA,NA,NA,NA,NA,NA,0000-0003-1337-5330,0000-0002-2772-6536,NA,NA,20260106T155634Z,RELEASE-2026,DP1.10026.001,SCBI,2022,cfc_fieldData
639e1f8d-00e3-4f1c-a72f-8ecfba033653,SCBI_004.basePlot.cfc,D02,SCBI,SCBI_004,distributed,deciduousForest,WGS84,38.896938,-78.146458,20.5,309.4,0.72,NEON.DOC.001024vJ,2022-05-17T20:26:00Z,2022-05-30,OK,NA,Woody individual,UAS,HvxvVDlCk1/s0alBC4ORxlg5QqEdPINDSi5Eif1YhtE=,A00000168659,OK,HvxvVDlCk1/s0alBC4ORxlg5QqEdPINDAOni2T7pqjUtx5mON5TWqQ==,B00000138074,NA,OK,NA,NA,NA,NA,NA,NA,N,14440Z,NEON.PLA.D02.SCBI.14440Z,CAGL8,Carya glabra (Mill.) Sweet,Leaves not fully expanded,true canopy,Full sun,NA,27.7,NA,NA,SCBI.14440Z.2022,high,NA,SCBI-2022-polygons,0000-0003-1337-5330,0000-0002-6053-9222,NA,NA,20260106T155634Z,RELEASE-2026,DP1.10026.001,SCBI,2022,cfc_fieldData
d29c10ad-ffb7-4824-956c-eed50d815cb2,SCBI_004.basePlot.cfc,D02,SCBI,SCBI_004,distributed,deciduousForest,WGS84,38.896938,-78.146458,20.5,309.4,0.72,NEON.DOC.001024vJ,2022-05-17T20:47:00Z,2022-05-30,OK,NA,Woody individual,UAS,HvxvVDlCk1/Ol10IGwAkvhydsygpMwdV+fvs30ej8Nw=,A00000168653,OK,HvxvVDlCk1/Ol10IGwAkvhydsygpMwdVISzPfYLZ+WTw+x7o4faBFQ==,B00000138084,NA,OK,NA,NA,NA,NA,NA,NA,N,14437Z,NEON.PLA.D02.SCBI.14437Z,FRAM2,Fraxinus americana L.,Leaves not fully expanded,sunlit gap,Mostly shaded,NA,22,NA,NA,SCBI.14437Z.2022,low,NA,SCBI-2022-polygons,0000-0003-1337-5330,0000-0002-6053-9222,NA,NA,20260106T155634Z,RELEASE-2026,DP1.10026.001,SCBI,2022,cfc_fieldData
