uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,collectDate,ovenStartDate,ovenEndDate,sampleCondition,cnSampleID,cnSampleCode,ligninSampleID,ligninSampleBarcode,archiveSampleID,archiveSampleCode,archiveMass,toxicodendronPossible,processedBy,remarks,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
4076763c-0e0f-4f6f-8afd-73c17b7a1393,SRER_019.basePlot.cfc,D14,SRER,SRER_019,distributed,jf4sOIyMYqxujHk9sjZNdcX8P69531tLMwrb0E+8ujM=,A00000279768,2021-09-01T15:25:00Z,2021-09-02T22:00:00Z,2021-09-07T19:00:00Z,OK,jf4sOIyMYqxujHk9sjZNdcX8P69531tLd7ctj10EZiQ=,A00000279961,jf4sOIyMYqxujHk9sjZNdcX8P69531tLrwokC83m2+4yro48NsivZQ==,A00000279962,jf4sOIyMYqxujHk9sjZNdcX8P69531tL584sJeLHsDs=,A00000280283,2.71,NA,0000-0002-5964-2409,NA,NA,20260106T155919Z,RELEASE-2026,DP1.10026.001,SRER,2021,cfc_chemistrySubsampling
7cdd180c-ee58-4076-b4ed-010d91eed01f,SRER_019.basePlot.cfc,D14,SRER,SRER_019,distributed,jf4sOIyMYqyuI7TQ4C+uv/PQnYhzI1XRykE0SEt6oTA=,A00000279772,2021-09-01T16:05:00Z,2021-09-02T22:00:00Z,2021-09-07T19:00:00Z,OK,jf4sOIyMYqyuI7TQ4C+uv/PQnYhzI1XR7XRDxHdYvJs=,A00000279978,jf4sOIyMYqyuI7TQ4C+uv/PQnYhzI1XRt7WA8RNA9UNyNxi1/HAuDg==,A00000279977,jf4sOIyMYqyuI7TQ4C+uv/PQnYhzI1XRagWm1+7fmhc=,A00000280094,2.95,NA,0000-0002-5964-2409,NA,NA,20260106T155919Z,RELEASE-2026,DP1.10026.001,SRER,2021,cfc_chemistrySubsampling
1ac210f3-64c6-4142-a018-af440bfed58b,SRER_008.basePlot.cfc,D14,SRER,SRER_008,distributed,jf4sOIyMYqwudtGavobZ/xMvypeVGPlW15O6jr/KH+s=,NA,2021-09-01T17:22:00Z,2021-09-02T21:00:00Z,2021-09-07T21:15:00Z,OK,jf4sOIyMYqwudtGavobZ/xMvypeVGPlWpLrhhbCtK1w=,A00000280100,jf4sOIyMYqwudtGavobZ/xMvypeVGPlWnfkvHHOZpG8=,A00000280106,jf4sOIyMYqwudtGavobZ/xMvypeVGPlWIQF5ZIcc920=,A00000280102,8.37,N,0000-0001-6825-4902,NA,NA,20260106T155919Z,RELEASE-2026,DP1.10026.001,SRER,2021,cfc_chemistrySubsampling
e0586060-5c6c-40e7-9612-c201b46dc120,SRER_052.basePlot.cfc,D14,SRER,SRER_052,tower,jf4sOIyMYqznwapiSGD7Ia6LbuQQRYHbV/PsiDWJ2iY=,NA,2021-09-01T18:25:00Z,2021-09-02T22:00:00Z,2021-09-07T19:00:00Z,OK,jf4sOIyMYqznwapiSGD7Ia6LbuQQRYHbmscEnuqXXzk=,A00000279963,jf4sOIyMYqznwapiSGD7Ia6LbuQQRYHbuTg/k8xTxCqKZlN10Iojqw==,A00000279964,jf4sOIyMYqznwapiSGD7Ia6LbuQQRYHbQpHO+5T/kBA=,A00000280098,2.05,NA,0000-0002-5964-2409,NA,NA,20260106T155919Z,RELEASE-2026,DP1.10026.001,SRER,2021,cfc_chemistrySubsampling
e984a2da-9a4d-48cb-9a3d-fe193dc793cb,SRER_014.basePlot.cfc,D14,SRER,SRER_014,distributed,jf4sOIyMYqzNma/fY6jWP0drjXHsDtINsjPntu913Jw=,A00000280141,2021-09-02T18:00:00Z,2021-09-02T22:00:00Z,2021-09-08T20:40:00Z,OK,jf4sOIyMYqzNma/fY6jWP0drjXHsDtINs1Z52kxg7oY=,A00000280264,jf4sOIyMYqzNma/fY6jWP0drjXHsDtINGIA9Tryjm78=,A00000280265,jf4sOIyMYqzNma/fY6jWP0drjXHsDtINhXvSYb41ZXk=,A00000280266,5.58,N,0000-0002-5964-2409,NA,NA,20260106T155919Z,RELEASE-2026,DP1.10026.001,SRER,2021,cfc_chemistrySubsampling
c7131420-38e9-4f1b-985b-88583715bd7d,SRER_047.basePlot.cfc,D14,SRER,SRER_047,tower,jf4sOIyMYqw268AUri/Z9VaZEjBaK/TpFenw1hIgzeg=,A00000279758,2021-08-17T15:22:00Z,2021-08-19T23:00:00Z,2021-08-25T16:30:00Z,OK,jf4sOIyMYqw268AUri/Z9VaZEjBaK/TpQarXVhuOPw4=,A00000279968,jf4sOIyMYqw268AUri/Z9VaZEjBaK/TpFTH1qTCz/45sq/S7Soxj+A==,A00000279984,jf4sOIyMYqw268AUri/Z9VaZEjBaK/TpHrOueZJhsgc=,A00000279983,3.43,NA,0000-0003-4194-7703,NA,NA,20260106T154215Z,RELEASE-2026,DP1.10026.001,SRER,2021,cfc_chemistrySubsampling
255f7fc4-de35-478e-9e8d-3f5f1924ed25,SRER_047.basePlot.cfc,D14,SRER,SRER_047,tower,jf4sOIyMYqw268AUri/Z9XMKUwNVTYyJB6Ci1OTBR5A=,A00000279759,2021-08-17T16:46:00Z,2021-08-19T23:00:00Z,2021-08-25T16:30:00Z,OK,jf4sOIyMYqw268AUri/Z9XMKUwNVTYyJmc6Pv7Rl8ZU=,A00000279970,jf4sOIyMYqw268AUri/Z9XMKUwNVTYyJ2rEEZQvdfXZ1RXAiFVSMEQ==,A00000279986,jf4sOIyMYqw268AUri/Z9XMKUwNVTYyJJRuKgRcUUKM=,A00000279906,6,NA,0000-0002-5964-2409,NA,NA,20260106T154215Z,RELEASE-2026,DP1.10026.001,SRER,2021,cfc_chemistrySubsampling
dc9d0667-8ace-4ffb-921a-878910d4c49b,SRER_045.basePlot.cfc,D14,SRER,SRER_045,tower,jf4sOIyMYqxBbpNkmDSys/+giwkirbfKwrr/J7eB5Jk=,A00000279766,2021-08-17T17:46:00Z,2021-08-19T23:00:00Z,2021-08-25T16:30:00Z,OK,jf4sOIyMYqxBbpNkmDSys/+giwkirbfKAhqL9ZTpFcU=,A00000279923,jf4sOIyMYqxBbpNkmDSys/+giwkirbfKFocjKTxqENSgGBDmi0AK+Q==,A00000279937,jf4sOIyMYqxBbpNkmDSys/+giwkirbfK7ytYbgNn0NQ=,A00000279907,4.46,NA,0000-0001-5980-6082,NA,NA,20260106T154215Z,RELEASE-2026,DP1.10026.001,SRER,2021,cfc_chemistrySubsampling
8cddd721-975b-4c85-b186-4c4b38302ff3,SRER_058.basePlot.cfc,D14,SRER,SRER_058,tower,jf4sOIyMYqwbEPKhqIXrvHGfy5FxTMS8uiq/gpGl+os=,A00000279896,2021-08-17T18:24:00Z,2021-08-19T23:00:00Z,2021-08-25T16:30:00Z,OK,jf4sOIyMYqwbEPKhqIXrvHGfy5FxTMS8wAS2H+V7GAg=,A00000279922,jf4sOIyMYqwbEPKhqIXrvHGfy5FxTMS8w94PkZzTCNQ=,A00000279938,jf4sOIyMYqwbEPKhqIXrvHGfy5FxTMS8sBT1P+e5ZNE=,A00000279954,5.43,NA,0000-0002-5964-2409,NA,NA,20260106T154215Z,RELEASE-2026,DP1.10026.001,SRER,2021,cfc_chemistrySubsampling
29b7f510-38e8-4b11-b4d4-491b0cfb4f3d,SRER_002.basePlot.cfc,D14,SRER,SRER_002,distributed,jf4sOIyMYqxbxXm4XPGCewWwvP5TuojKaggPobynB6Q=,A00000279747,2021-08-18T16:14:00Z,2021-08-19T23:00:00Z,2021-08-25T16:30:00Z,OK,jf4sOIyMYqxbxXm4XPGCewWwvP5TuojK//wjXzJHoxc=,A00000279953,jf4sOIyMYqxbxXm4XPGCewWwvP5TuojKEBgwZYjig36RjI7fIqg4Zg==,A00000279969,jf4sOIyMYqxbxXm4XPGCewWwvP5TuojKe6TE1/mBUPg=,A00000279985,8.18,NA,0000-0003-4194-7703,NA,NA,20260106T154215Z,RELEASE-2026,DP1.10026.001,SRER,2021,cfc_chemistrySubsampling
