uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,collectDate,ovenStartDate,ovenEndDate,sampleCondition,cnSampleID,cnSampleCode,ligninSampleID,ligninSampleBarcode,archiveSampleID,archiveSampleCode,archiveMass,toxicodendronPossible,processedBy,remarks,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
d8a2f511-463f-4145-bcc3-64ff8ab24b69,TALL_047.basePlot.cfc,D08,TALL,TALL_047,tower,8YsBtW+LzBbAWUjQ/Py/wQOJwXo+V3QiciHGlo7iQlQ=,A00000013793,2021-04-23T14:08:00Z,2021-04-28T16:59:00Z,2021-05-21T00:47:00Z,OK,8YsBtW+LzBbAWUjQ/Py/wQOJwXo+V3QisMaTnB8eE3Q=,A00000148063,8YsBtW+LzBbAWUjQ/Py/wQOJwXo+V3QiDdWFf3LodIA=,A00000148064,8YsBtW+LzBbAWUjQ/Py/wQOJwXo+V3QiEbhwCVxE77U=,A00000148065,5.39,NA,0000-0002-9190-7358,NA,NA,20260106T160138Z,RELEASE-2026,DP1.10026.001,TALL,2021,cfc_chemistrySubsampling
bee7b59e-4228-42ef-bd9e-c9d943034120,TALL_047.basePlot.cfc,D08,TALL,TALL_047,tower,8YsBtW+LzBZIhqe20cuOaic9TTRWMTd0IUMmPQyendE=,A00000013792,2021-04-23T14:39:00Z,2021-04-28T16:49:00Z,2021-05-20T22:11:00Z,OK,8YsBtW+LzBZIhqe20cuOaic9TTRWMTd00cCRDR7zHLg=,A00000148049,8YsBtW+LzBZIhqe20cuOaic9TTRWMTd06OyQaUMCIFU=,A00000148061,8YsBtW+LzBZIhqe20cuOaic9TTRWMTd02mNFcu6cZhw=,A00000148062,6.11,NA,0000-0002-9190-7358,NA,NA,20260106T160138Z,RELEASE-2026,DP1.10026.001,TALL,2021,cfc_chemistrySubsampling
1ec6b44d-d2c4-43b3-bc30-ae82a9b42005,TALL_047.basePlot.cfc,D08,TALL,TALL_047,tower,8YsBtW+LzBaBNRgmmnlcAs/g1jvYpPqpillopjjdekM=,A00000232799,2021-04-23T15:28:00Z,2021-04-28T16:53:00Z,2021-05-20T20:33:00Z,OK,8YsBtW+LzBaBNRgmmnlcAs/g1jvYpPqpohURtpAUk8c=,A00000148046,8YsBtW+LzBaBNRgmmnlcAs/g1jvYpPqprm1EZKCTIuv6tB56lF1HLA==,A00000148047,8YsBtW+LzBaBNRgmmnlcAs/g1jvYpPqp3yTIE0LzfD4=,A00000148048,8.35,NA,0000-0002-9190-7358,NA,NA,20260106T160138Z,RELEASE-2026,DP1.10026.001,TALL,2021,cfc_chemistrySubsampling
c7d5387f-11b5-4c42-bed0-5d82549ecc13,TALL_044.basePlot.cfc,D08,TALL,TALL_044,tower,8YsBtW+LzBassxoNPqOCfhZrJ13W9/45fBlftVqnMUs=,A00000232800,2021-04-23T15:52:00Z,2021-04-28T16:46:00Z,2021-05-21T01:42:00Z,OK,8YsBtW+LzBassxoNPqOCfhZrJ13W9/45JXH84B9FTZU=,A00000148051,8YsBtW+LzBassxoNPqOCfhZrJ13W9/45PGPU02++dN1REVhp81ZW7Q==,A00000148050,8YsBtW+LzBassxoNPqOCfhZrJ13W9/45aFawpkx3lyA=,A00000148045,5.02,NA,0000-0002-9190-7358,NA,NA,20260106T160138Z,RELEASE-2026,DP1.10026.001,TALL,2021,cfc_chemistrySubsampling
d8c4cf4a-188e-4832-bcdc-14fd8241e038,TALL_044.basePlot.cfc,D08,TALL,TALL_044,tower,8YsBtW+LzBYzk8iY5xZI+KVTcKOyD5dfRKudakRlAnk=,A00000232801,2021-04-23T16:42:00Z,2021-04-28T16:43:00Z,2021-05-20T23:21:00Z,OK,8YsBtW+LzBYzk8iY5xZI+KVTcKOyD5df3ZSjFsTiFfs=,A00000148054,8YsBtW+LzBYzk8iY5xZI+KVTcKOyD5df7NBvBWqCDX4=,A00000148053,8YsBtW+LzBYzk8iY5xZI+KVTcKOyD5df4pjqYc/r5Ek=,A00000148052,3.35,NA,0000-0002-9190-7358,NA,NA,20260106T160138Z,RELEASE-2026,DP1.10026.001,TALL,2021,cfc_chemistrySubsampling
7bc769d4-fe19-4a03-a604-8636985bdb77,TALL_051.basePlot.cfc,D08,TALL,TALL_051,tower,8YsBtW+LzBaumRUTuUa2OPRJe1bXWQ2fh0dx99tUDJY=,A00000232802,2021-04-23T17:27:00Z,2021-04-28T16:54:00Z,2021-05-21T19:12:00Z,OK,8YsBtW+LzBaumRUTuUa2OPRJe1bXWQ2fld/j3e4X63w=,A00000148076,8YsBtW+LzBaumRUTuUa2OPRJe1bXWQ2fi67cCM8gdGs=,A00000148075,8YsBtW+LzBaumRUTuUa2OPRJe1bXWQ2fZXtEeMCB7Jw=,A00000148074,4.24,NA,0000-0002-9190-7358,NA,NA,20260106T160138Z,RELEASE-2026,DP1.10026.001,TALL,2021,cfc_chemistrySubsampling
7bd1684f-1fc8-4863-9432-cee992b88f0f,TALL_054.basePlot.cfc,D08,TALL,TALL_054,tower,8YsBtW+LzBZk7IIQRxP4MJxh5XXPDnzUNohFFiWP5ek=,A00000232803,2021-04-23T18:49:00Z,2021-04-28T16:50:00Z,2021-06-08T18:01:00Z,OK,8YsBtW+LzBZk7IIQRxP4MJxh5XXPDnzUXtljLT+f/K4=,A00000147234,8YsBtW+LzBZk7IIQRxP4MJxh5XXPDnzU60D/0uVQRG+1xwyRAN+fEA==,A00000147235,8YsBtW+LzBZk7IIQRxP4MJxh5XXPDnzUUEK80DyDu98=,A00000147236,6.29,NA,0000-0002-9190-7358,NA,NA,20260106T160138Z,RELEASE-2026,DP1.10026.001,TALL,2021,cfc_chemistrySubsampling
9c4823bc-a7d5-47cd-baf8-d35e2759d45f,TALL_054.basePlot.cfc,D08,TALL,TALL_054,tower,8YsBtW+LzBalX5oNx5Y8hydOPB5eOutUk54SXgpFfYs=,A00000232804,2021-04-23T19:17:00Z,2021-04-28T16:55:00Z,2021-05-21T18:03:00Z,OK,8YsBtW+LzBalX5oNx5Y8hydOPB5eOutUgqhdVVYj1+c=,A00000147232,8YsBtW+LzBalX5oNx5Y8hydOPB5eOutUVHX5w4OJN/8AWqXaw9J1yw==,A00000147233,8YsBtW+LzBalX5oNx5Y8hydOPB5eOutUreKbk7zhBvs=,A00000147231,1.46,NA,0000-0002-9190-7358,NA,NA,20260106T160138Z,RELEASE-2026,DP1.10026.001,TALL,2021,cfc_chemistrySubsampling
3f5045c3-ed7c-47c4-b066-5a64c1dd12e8,TALL_005.basePlot.cfc,D08,TALL,TALL_005,distributed,8YsBtW+LzBb6ybUeRQ+qMQ9I/k7r1xlt1wTv49GVCAs=,A00000232805,2021-04-26T13:55:00Z,2021-04-28T16:48:00Z,2021-05-20T16:38:00Z,OK,8YsBtW+LzBb6ybUeRQ+qMQ9I/k7r1xltWMevl4/slE8=,A00000147999,8YsBtW+LzBb6ybUeRQ+qMQ9I/k7r1xltqn7WPPYIcbk=,A00000147998,8YsBtW+LzBb6ybUeRQ+qMQ9I/k7r1xlt7EulWfpAI98=,A00000147997,5.95,NA,0000-0002-9190-7358,NA,NA,20260106T160138Z,RELEASE-2026,DP1.10026.001,TALL,2021,cfc_chemistrySubsampling
a5625c9d-f9e0-4603-bd02-a172b92ea4f7,TALL_005.basePlot.cfc,D08,TALL,TALL_005,distributed,8YsBtW+LzBYToelTMBDOURTNz806Xlv8+FM065pjR/s=,A00000232806,2021-04-26T16:19:00Z,2021-04-28T16:47:00Z,2021-05-20T23:03:00Z,OK,8YsBtW+LzBYToelTMBDOURTNz806Xlv85wvmydKdLWo=,A00000147248,8YsBtW+LzBYToelTMBDOURTNz806Xlv8DU9Py0B4LftYSkXutwKyLg==,A00000147249,8YsBtW+LzBYToelTMBDOURTNz806Xlv80QslYy68dSs=,A00000147250,2.51,NA,0000-0002-9190-7358,NA,NA,20260106T160138Z,RELEASE-2026,DP1.10026.001,TALL,2021,cfc_chemistrySubsampling
